,Date,Open,High,Low,Close,Volume
0,2000-01-03,19.9375,19.9375,19.75,19.8125,36200
1,2000-01-04,19.9375,19.9375,19.0,19.5,148500
2,2000-01-05,19.0,19.25,18.8125,19.25,178700
3,2000-01-06,19.375,19.8125,19.375,19.625,452800
4,2000-01-07,19.75,20.0,19.75,20.0,290700
5,2000-01-10,20.0,20.1875,19.9375,20.125,158200
6,2000-01-11,20.125,20.3125,20.0,20.1875,146000
7,2000-01-12,20.25,20.25,20.0,20.0,120000
8,2000-01-13,20.0,20.1875,19.9375,19.9375,85400
9,2000-01-14,20.0,20.0,19.75,19.75,80500
10,2000-01-18,19.875,20.6875,19.75,20.0625,548000
11,2000-01-19,20.125,20.3125,20.0625,20.1875,77100
12,2000-01-20,20.25,20.3125,20.125,20.3125,271000
13,2000-01-21,20.375,20.5,20.3125,20.4375,95000
14,2000-01-24,20.5,20.5,20.375,20.375,34600
15,2000-01-25,20.375,20.5625,20.375,20.4375,100400
16,2000-01-26,20.5,20.5625,20.4375,20.5,151100
17,2000-01-27,20.5,20.625,20.5,20.5625,59100
18,2000-01-28,20.625,20.625,20.4375,20.5,118700
19,2000-01-31,20.5,20.5,20.4375,20.4375,94800
20,2000-02-01,20.5,20.625,20.4375,20.5625,366600
21,2000-02-02,20.625,20.625,20.5,20.5,238200
22,2000-02-03,20.5625,20.625,20.5,20.5625,380400
23,2000-02-04,20.5625,20.5625,20.4375,20.5,101300
24,2000-02-07,20.375,20.625,20.375,20.5625,230300
25,2000-02-08,20.5,20.5625,20.375,20.4375,88000
26,2000-02-09,20.375,20.6875,20.25,20.4375,143500
27,2000-02-10,20.4375,20.5625,20.375,20.4375,93300
28,2000-02-11,20.5,20.6875,20.0625,20.0625,43200
29,2000-02-14,20.0625,20.375,20.0,20.3125,153200
30,2000-02-15,20.5625,20.625,20.375,20.625,144800
31,2000-02-16,20.625,20.6875,20.5,20.625,117900
32,2000-02-17,20.5,20.5625,20.4375,20.5625,102100
33,2000-02-18,20.5625,20.5625,20.3125,20.5,79300
34,2000-02-22,20.25,20.5625,20.25,20.5625,195500
35,2000-02-23,20.625,20.625,20.4375,20.5,103200
36,2000-02-24,20.5,20.5,20.1875,20.4375,235900
37,2000-02-25,20.25,20.25,20.125,20.25,43400
38,2000-02-28,20.125,20.25,20.0,20.125,135400
39,2000-02-29,20.1875,20.25,20.0,20.1875,172000
40,2000-03-01,20.25,20.25,20.0625,20.1875,169500
41,2000-03-02,20.25,20.25,20.0625,20.125,73300
42,2000-03-03,20.1875,20.1875,20.0625,20.0625,103400
43,2000-03-06,20.0,20.1875,19.9375,20.1875,106600
44,2000-03-07,20.0625,20.1875,20.0625,20.1875,170700
45,2000-03-08,20.125,20.3125,20.125,20.25,263200
46,2000-03-09,20.375,20.375,20.0625,20.1875,184000
47,2000-03-10,20.25,20.25,20.0,20.1875,201000
48,2000-03-13,20.125,20.25,20.0625,20.1875,681900
49,2000-03-14,20.25,20.375,20.1875,20.375,156800
50,2000-03-15,20.4375,20.75,20.375,20.75,372100
51,2000-03-16,20.75,20.9375,20.75,20.9375,337100
52,2000-03-17,20.9375,21.0625,20.875,20.9375,333000
53,2000-03-20,21.0,21.125,20.9375,21.0,73400
54,2000-03-21,20.875,21.0625,20.875,21.0,119400
