,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.25,22.875,21.4375,21.625,212000
1,2000-01-04,21.1875,21.53125,20.875,21.046875,480400
2,2000-01-05,21.125,21.25,20.5625,21.03125,558600
3,2000-01-06,21.28125,21.375,20.875,21.0625,470600
4,2000-01-07,20.96875,23.0,20.21875,21.21875,1169600
5,2000-01-10,21.25,22.0625,21.25,21.75,363400
6,2000-01-11,21.625,22.578125,21.5,22.28125,189400
7,2000-01-12,22.40625,22.40625,21.875,22.0,85600
8,2000-01-13,22.25,22.5625,22.125,22.5,415200
9,2000-01-14,22.40625,22.4375,21.5,21.6875,247600
10,2000-01-18,21.625,22.5,21.4375,22.195313,116400
11,2000-01-19,22.4375,26.1875,22.375,24.765625,1664400
12,2000-01-20,26.0,26.03125,24.125,25.875,500200
13,2000-01-21,25.75,27.0,25.5,27.0,359800
14,2000-01-24,27.03125,29.1875,25.625,25.625,642400
15,2000-01-25,26.3125,26.5,24.875,25.484375,352000
16,2000-01-26,25.03125,27.5,25.0,26.9375,458800
17,2000-01-27,26.9375,26.9375,25.125,25.578125,321200
18,2000-01-28,25.4375,25.4375,24.625,25.171875,198000
19,2000-01-31,25.03125,25.1875,23.25,23.25,294600
20,2000-02-01,23.28125,23.75,22.875,23.328125,402800
21,2000-02-02,23.4375,26.5,23.25,25.25,260400
22,2000-02-03,25.0,26.59375,24.875,26.46875,337400
23,2000-02-04,26.59375,27.0625,25.75,27.0,381400
24,2000-02-07,27.5,29.5,27.25,29.0,427200
25,2000-02-08,28.765625,30.75,28.75,29.828125,1175400
26,2000-02-09,29.78125,30.1875,29.0,29.953125,409200
27,2000-02-10,29.75,30.375,29.4375,30.25,474000
28,2000-02-11,30.0,30.0625,28.75,29.46875,349400
29,2000-02-14,29.25,29.5,26.75,27.28125,220800
30,2000-02-15,27.03125,28.1875,27.03125,27.578125,163400
31,2000-02-16,27.59375,29.375,27.25,28.0625,434200
32,2000-02-17,28.6875,29.0,27.875,28.9375,255600
33,2000-02-18,29.0,29.9375,29.0,29.296875,192000
34,2000-02-22,29.59375,30.15625,29.25,29.75,505000
35,2000-02-23,29.75,29.8125,27.75,29.125,185800
36,2000-02-24,29.4375,29.46875,28.625,28.9375,372400
37,2000-02-25,28.25,29.5,28.25,28.90625,577000
38,2000-02-28,29.359375,29.5625,28.875,29.03125,234800
39,2000-02-29,28.875,28.9375,26.25,28.234375,293800
40,2000-03-01,28.25,28.25,27.625,27.890625,112200
41,2000-03-02,27.84375,29.3125,27.71875,29.203125,365000
42,2000-03-03,29.34375,30.125,28.84375,29.84375,563000
43,2000-03-06,29.625,29.625,28.125,28.5,345800
44,2000-03-07,27.9375,27.953125,27.34375,27.375,227600
45,2000-03-08,27.6875,31.6875,27.5,29.0,1719600
46,2000-03-09,29.0,31.125,28.25,31.125,915600
47,2000-03-10,31.0,35.4375,30.9375,33.03125,1005400
48,2000-03-13,32.125,34.5,31.96875,33.9375,545600
49,2000-03-14,33.9375,35.0625,32.9375,33.5625,474800
50,2000-03-15,33.625,33.6875,30.75,30.8125,493800
51,2000-03-16,31.25,33.0,30.5,30.875,471000
52,2000-03-17,30.625,31.75,30.601563,31.671875,215000
53,2000-03-20,31.8125,34.5625,31.8125,32.875,348600
54,2000-03-21,33.125,33.125,30.5,30.6875,162600
55,2000-03-22,31.25,32.53125,31.03125,32.25,210000
56,2000-03-23,31.820313,35.1875,31.53125,34.5625,667800
57,2000-03-24,34.75,37.0,34.46875,34.59375,317400
58,2000-03-27,34.4375,34.75,32.34375,32.875,299000
59,2000-03-28,32.5,34.5,32.5,33.75,201400
60,2000-03-29,33.75,34.625,33.3125,34.140625,560200
61,2000-03-30,33.90625,34.4375,30.4375,31.125,652600
62,2000-03-31,32.5,35.5,32.3125,33.3125,605600
63,2000-04-03,33.0,33.6875,31.03125,31.90625,276800
64,2000-04-04,32.0,32.0,29.875,30.09375,166600
65,2000-04-05,29.546875,30.0,28.375,29.5625,444800
66,2000-04-06,29.4375,33.375,29.4375,32.875,439800
67,2000-04-07,33.1875,36.0,32.625,36.0,261000
68,2000-04-10,35.9375,36.4375,34.5,34.9375,511600
69,2000-04-11,34.5,34.96875,32.5,34.375,260800
70,2000-04-12,34.25,34.75,28.90625,29.5,752000
71,2000-04-13,30.5,32.5625,28.3125,31.25,714400
72,2000-04-14,30.875,31.6875,27.03125,27.28125,456600
73,2000-04-17,27.21875,30.0625,26.0,29.96875,262200
74,2000-04-18,30.125,32.0625,30.09375,31.1875,347000
75,2000-04-19,32.75,36.125,32.484375,35.65625,1322200
76,2000-04-20,35.96875,36.0,35.3125,35.5625,726400
77,2000-04-24,35.3125,36.25,34.84375,36.0,602400
78,2000-04-25,36.28125,37.625,36.25,37.5,776000
79,2000-04-26,37.75,39.0,36.4375,37.78125,822600
80,2000-04-27,36.15625,39.25,35.5,39.21875,643200
81,2000-04-28,39.5,39.5,37.90625,38.3125,335400
82,2000-05-01,38.6875,38.75,36.0625,36.84375,798400
83,2000-05-02,36.625,38.125,35.0,35.0,246200
84,2000-05-03,34.796875,35.0,32.375,33.78125,494800
85,2000-05-04,33.875,35.125,33.84375,34.40625,279200
86,2000-05-05,34.1875,35.8125,34.1875,35.8125,399800
87,2000-05-08,35.5,38.5,35.375,37.6875,1517000
88,2000-05-09,37.9375,40.125,37.84375,38.921875,1003400
89,2000-05-10,38.375,39.6875,37.375,39.3125,955400
90,2000-05-11,39.25,39.625,38.3125,38.9375,571000
91,2000-05-12,39.0625,40.875,38.984375,40.5,956600
92,2000-05-15,40.9375,44.21875,38.5,44.125,762000
93,2000-05-16,43.9375,45.75,42.375,44.625,928400
94,2000-05-17,43.75,43.8125,42.25,43.4375,543800
95,2000-05-18,43.625,44.5,41.75,42.09375,516800
96,2000-05-19,41.6875,41.78125,39.75,40.25,659200
97,2000-05-22,40.90625,40.9375,37.1875,39.75,441600
98,2000-05-23,39.71875,41.0,38.25,38.25,481200
99,2000-05-24,37.75,38.25,33.4375,36.25,603200
