,Date,Open,High,Low,Close,Volume
0,2000-08-22,4.75,4.75,4.75,4.75,23400
1,2000-08-23,4.75,4.8125,4.75,4.8125,39000
2,2000-08-24,4.75,4.8125,4.75,4.75,29800
3,2000-08-25,4.75,4.8125,4.75,4.78125,32000
4,2000-08-28,4.78125,4.78125,4.75,4.75,19000
5,2000-08-29,4.625,4.8125,4.625,4.625,23200
6,2000-08-30,4.6875,4.6875,4.625,4.625,21200
7,2000-08-31,4.625,4.6875,4.625,4.6875,34800
8,2000-09-01,4.625,4.75,4.625,4.625,18200
9,2000-09-05,4.625,4.625,4.5,4.5,3000
10,2000-09-06,4.5,4.5,4.5,4.5,8000
11,2000-09-07,4.5,4.71875,4.5,4.71875,3200
12,2000-09-08,4.71875,4.71875,4.53125,4.53125,8600
13,2000-09-11,4.71875,4.71875,4.5,4.5,17600
14,2000-09-12,4.71875,4.71875,4.5,4.5,5000
15,2000-09-13,4.5,4.5,4.5,4.5,0
16,2000-09-14,4.71875,4.71875,4.5,4.5,12000
17,2000-09-15,4.5,4.5,4.5,4.5,0
18,2000-09-18,4.625,4.625,4.5,4.625,8600
19,2000-09-19,4.625,4.71875,4.25,4.25,48400
20,2000-09-20,4.25,4.25,4.25,4.25,0
21,2000-09-21,4.0,4.0,3.75,3.75,12000
22,2000-09-22,3.5625,3.5625,3.0,3.5,28800
23,2000-09-25,3.6875,3.75,3.6875,3.75,9000
24,2000-09-26,3.75,3.75,3.75,3.75,0
25,2000-09-27,4.125,4.125,4.0,4.0,6400
26,2000-09-28,4.0,4.0,4.0,4.0,0
27,2000-09-29,4.0,4.0,4.0,4.0,0
28,2000-10-02,3.875,4.0625,3.875,4.0625,10000
29,2000-10-03,3.875,3.875,3.5,3.5,16600
30,2000-10-04,3.5625,3.75,3.5625,3.75,8400
31,2000-10-05,3.625,3.875,3.625,3.625,4600
32,2000-10-06,3.8125,3.8125,3.8125,3.8125,1000
33,2000-10-09,3.75,3.75,3.75,3.75,1000
34,2000-10-10,3.75,3.75,3.625,3.625,5000
35,2000-10-11,3.625,3.625,3.625,3.625,0
36,2000-10-12,3.5625,3.625,3.5625,3.5625,5400
37,2000-10-13,3.5,3.5,3.375,3.375,11000
38,2000-10-16,3.25,3.4375,3.25,3.40625,33200
39,2000-10-17,3.375,3.375,3.0,3.0,27000
40,2000-10-18,3.0625,3.5,3.0625,3.5,8200
41,2000-10-19,3.5,3.5,3.15625,3.15625,9400
42,2000-10-20,3.25,3.4375,3.25,3.25,3400
43,2000-10-23,3.4375,3.4375,3.4375,3.4375,1000
44,2000-10-24,3.4375,3.4375,3.4375,3.4375,0
45,2000-10-25,3.3125,3.3125,3.3125,3.3125,2000
46,2000-10-26,3.3125,3.3125,3.3125,3.3125,14000
47,2000-10-27,3.5,3.5,3.3125,3.3125,1000
48,2000-10-30,3.3125,3.375,3.3125,3.375,41800
49,2000-10-31,3.4375,3.4375,3.375,3.375,3400
50,2000-11-01,3.4375,3.625,3.4375,3.625,1600
51,2000-11-02,3.625,3.625,3.625,3.625,20800
52,2000-11-03,3.625,3.625,3.625,3.625,0
53,2000-11-06,3.625,3.625,3.625,3.625,0
54,2000-11-07,3.5,3.625,3.5,3.625,2400
55,2000-11-08,3.625,3.625,3.625,3.625,0
56,2000-11-09,3.5,3.5,3.5,3.5,5400
57,2000-11-10,3.5625,3.5625,3.5625,3.5625,2000
58,2000-11-13,3.5625,3.5625,3.5625,3.5625,4000
59,2000-11-14,3.5625,3.5625,3.5625,3.5625,0
60,2000-11-15,3.875,3.875,3.875,3.875,1000
61,2000-11-16,3.875,3.875,3.875,3.875,3200
62,2000-11-17,3.875,3.875,3.875,3.875,0
63,2000-11-20,3.875,3.875,3.875,3.875,0
64,2000-11-21,3.875,3.875,3.875,3.875,0
65,2000-11-22,3.5625,3.5625,3.5625,3.5625,1000
66,2000-11-24,3.5625,3.5625,3.5625,3.5625,5000
67,2000-11-27,3.5625,3.5625,3.5625,3.5625,0
68,2000-11-28,3.5625,3.5625,3.5625,3.5625,1600
69,2000-11-29,3.5625,3.5625,3.5625,3.5625,0
70,2000-11-30,3.5625,3.5625,3.5625,3.5625,0
71,2000-12-01,3.5625,3.5625,3.5625,3.5625,0
72,2000-12-04,3.5625,3.5625,3.5625,3.5625,0
73,2000-12-05,3.75,3.75,3.5,3.5,11000
74,2000-12-06,3.5,3.5,3.5,3.5,2200
75,2000-12-07,3.5,3.5,3.5,3.5,0
76,2000-12-08,3.75,3.75,3.375,3.375,7400
77,2000-12-11,3.3125,3.3125,3.3125,3.3125,28000
78,2000-12-12,3.25,3.25,2.375,2.5,97800
79,2000-12-13,2.375,3.0,2.0,2.9375,162400
80,2000-12-14,3.0,3.0,2.5,2.75,7400
81,2000-12-15,2.875,3.25,2.875,3.0,69200
82,2000-12-18,2.875,3.0,2.875,3.0,9800
83,2000-12-19,3.0,3.25,2.75,2.75,17000
84,2000-12-20,2.75,2.75,2.75,2.75,0
85,2000-12-21,2.75,2.75,2.75,2.75,60000
86,2000-12-22,2.75,2.75,2.75,2.75,0
87,2000-12-26,3.125,3.125,2.8125,3.0,4000
88,2000-12-27,2.8125,3.125,2.8125,3.125,13000
89,2000-12-28,3.125,3.125,3.0,3.0,28000
90,2000-12-29,2.9375,3.0,2.875,3.0,26000
91,2001-01-02,3.25,3.25,3.25,3.25,7400
92,2001-01-03,3.25,3.25,3.25,3.25,4000
93,2001-01-04,3.25,3.25,3.25,3.25,0
94,2001-01-05,3.25,3.25,3.25,3.25,0
95,2001-01-08,3.5,3.5,3.5,3.5,60000
96,2001-01-09,3.5,3.5,3.5,3.5,0
97,2001-01-10,3.5,3.5,3.5,3.5,0
98,2001-01-11,3.5,3.5,3.5,3.5,0
99,2001-01-12,3.375,3.375,3.375,3.375,4000
100,2001-01-16,3.625,3.625,3.625,3.625,200
101,2001-01-17,3.625,3.625,3.625,3.625,1000
102,2001-01-18,3.5,3.625,3.5,3.5,14600
103,2001-01-19,3.5,3.5,3.5,3.5,0
104,2001-01-22,3.25,3.25,3.25,3.25,1000
105,2001-01-23,3.25,3.25,3.25,3.25,0
106,2001-01-24,3.625,3.625,3.625,3.625,200
107,2001-01-25,3.625,3.625,3.625,3.625,0
108,2001-01-26,3.625,3.625,3.625,3.625,0
109,2001-01-29,3.625,3.625,3.625,3.625,0
110,2001-01-30,3.625,3.625,3.625,3.625,0
111,2001-01-31,3.53125,3.53125,3.53125,3.53125,1000
112,2001-02-01,3.375,3.4375,3.375,3.375,19400
113,2001-02-02,3.375,3.375,3.375,3.375,0
114,2001-02-05,3.375,3.375,3.375,3.375,0
115,2001-02-06,3.375,3.375,3.375,3.375,0
116,2001-02-07,3.625,3.625,3.25,3.25,17000
117,2001-02-08,3.28125,3.53125,3.28125,3.53125,3800
118,2001-02-09,3.8125,3.8125,3.8125,3.8125,1000
119,2001-02-12,3.4375,3.4375,3.4375,3.4375,6000
120,2001-02-13,3.4375,3.4375,3.4375,3.4375,6000
121,2001-02-14,3.4375,3.4375,3.4375,3.4375,0
122,2001-02-15,3.4375,3.4375,3.4375,3.4375,4000
123,2001-02-16,3.4375,3.4375,3.4375,3.4375,0
124,2001-02-20,3.4375,3.4375,3.4375,3.4375,0
125,2001-02-21,3.4375,3.4375,3.4375,3.4375,8000
126,2001-02-22,3.4375,3.4375,3.4375,3.4375,4000
127,2001-02-23,3.4375,3.4375,3.4375,3.4375,0
128,2001-02-26,3.4375,3.4375,3.4375,3.4375,2000
129,2001-02-27,3.4375,3.4375,3.4375,3.4375,0
130,2001-02-28,3.625,3.625,3.5,3.5,2200
131,2001-03-01,3.75,3.9375,3.625,3.625,24200
132,2001-03-02,3.625,3.625,3.5625,3.625,20800
133,2001-03-05,3.625,3.625,3.625,3.625,0
134,2001-03-06,3.625,3.75,3.625,3.75,3000
135,2001-03-07,3.75,3.75,3.75,3.75,0
136,2001-03-08,3.75,3.75,3.75,3.75,0
137,2001-03-09,4.0,4.0,3.875,3.875,6200
138,2001-03-12,4.0,4.0,4.0,4.0,3600
139,2001-03-13,4.0,4.0,4.0,4.0,0
140,2001-03-14,3.5,3.5,3.5,3.5,1000
141,2001-03-15,3.5,3.5,3.5,3.5,0
142,2001-03-16,4.0,4.0,4.0,4.0,200
143,2001-03-19,4.0,4.0,4.0,4.0,0
144,2001-03-20,4.0,4.0,4.0,4.0,200
145,2001-03-21,4.0,4.0,4.0,4.0,0
146,2001-03-22,3.5,3.5,3.5,3.5,1200
147,2001-03-23,3.5,3.5,3.5,3.5,0
148,2001-03-26,3.5,3.5,3.5,3.5,0
149,2001-03-27,3.5,3.5,3.5,3.5,0
150,2001-03-28,3.375,3.375,3.375,3.375,1000
151,2001-03-29,3.375,3.375,3.375,3.375,0
152,2001-03-30,3.375,3.375,3.375,3.375,0
153,2001-04-02,3.375,3.375,3.375,3.375,0
154,2001-04-03,3.375,3.375,3.375,3.375,0
155,2001-04-04,3.375,3.375,3.0,3.25,5000
156,2001-04-05,3.625,3.8125,3.625,3.75,3200
157,2001-04-06,3.75,3.75,3.75,3.75,0
158,2001-04-09,3.065,3.125,3.065,3.125,2800
159,2001-04-10,3.125,3.125,3.125,3.125,0
160,2001-04-11,3.125,3.125,3.125,3.125,0
161,2001-04-12,3.125,3.125,3.125,3.125,1000
162,2001-04-16,3.815,3.815,3.75,3.815,2800
163,2001-04-17,3.815,3.815,3.815,3.815,0
164,2001-04-18,3.815,3.815,3.815,3.815,200
165,2001-04-19,3.815,3.815,3.75,3.75,6000
166,2001-04-20,3.815,3.815,3.75,3.75,2800
167,2001-04-23,3.125,3.125,3.125,3.125,600
168,2001-04-24,3.125,3.815,3.125,3.75,4000
169,2001-04-25,3.5,3.5,3.25,3.25,3000
170,2001-04-26,3.375,3.375,3.375,3.375,1000
171,2001-04-27,3.375,3.375,3.375,3.375,0
172,2001-04-30,3.255,3.255,3.125,3.125,9000
173,2001-05-01,3.3,3.37,3.3,3.37,4400
174,2001-05-02,3.37,3.37,3.37,3.37,0
175,2001-05-03,3.37,3.37,3.37,3.37,0
176,2001-05-04,3.37,3.37,3.37,3.37,0
177,2001-05-07,3.37,3.37,3.37,3.37,0
178,2001-05-08,3.1,3.125,3.1,3.125,6000
179,2001-05-09,3.5,3.625,3.35,3.565,24400
180,2001-05-10,3.565,3.565,3.565,3.565,0
181,2001-05-11,3.565,3.565,3.565,3.565,0
182,2001-05-14,3.565,3.565,3.565,3.565,0
183,2001-05-15,3.565,3.565,3.565,3.565,0
184,2001-05-16,3.565,3.565,3.565,3.565,0
185,2001-05-17,3.625,3.625,3.125,3.125,3600
186,2001-05-18,3.125,3.125,3.125,3.125,0
187,2001-05-21,3.125,3.125,3.125,3.125,0
188,2001-05-22,3.175,3.625,3.175,3.475,1800
189,2001-05-23,3.375,3.375,3.375,3.375,800
190,2001-05-24,3.375,3.375,3.375,3.375,0
191,2001-05-25,3.375,3.375,3.375,3.375,0
192,2001-05-29,3.375,3.375,3.375,3.375,0
193,2001-05-30,3.5,3.5,3.375,3.375,3200
194,2001-05-31,3.75,3.75,3.625,3.75,5600
195,2001-06-01,3.75,3.75,3.75,3.75,0
196,2001-06-04,3.75,3.75,3.75,3.75,20000
197,2001-06-05,3.75,3.75,3.75,3.75,0
198,2001-06-06,3.75,3.75,3.75,3.75,0
199,2001-06-07,3.625,3.75,3.625,3.75,4000
