,Date,Open,High,Low,Close,Volume
0,2000-01-03,19.0625,19.0625,17.5,17.5,720
1,2000-01-04,17.5,19.375,17.5,18.75,4180
2,2000-01-05,17.1875,18.75,17.1875,17.8125,380
3,2000-01-06,18.4375,19.375,17.8125,18.59375,4860
4,2000-01-07,18.75,18.75,18.4375,18.75,2640
5,2000-01-10,18.75,19.375,17.5,17.5,680
6,2000-01-11,18.75,19.375,17.5,17.5,480
7,2000-01-12,19.0625,19.0625,16.875,18.984375,1260
8,2000-01-13,18.4375,20.3125,16.875,20.0,31720
9,2000-01-14,20.0,22.96875,19.375,21.25,15440
10,2000-01-18,20.9375,22.5,20.9375,22.5,6300
11,2000-01-19,20.9375,23.125,19.0625,22.5,10660
12,2000-01-20,22.34375,22.34375,20.0,21.5625,920
13,2000-01-21,20.625,25.0,20.625,22.5,11880
14,2000-01-24,23.125,23.4375,20.625,22.5,8300
15,2000-01-25,20.625,22.34375,20.0,21.5625,5600
16,2000-01-26,20.625,22.5,20.3125,22.5,10720
17,2000-01-27,21.5625,22.5,19.0625,21.875,10000
18,2000-01-28,20.625,21.875,20.625,21.875,3280
19,2000-01-31,21.5625,22.34375,20.9375,21.25,3440
20,2000-02-01,21.40625,21.40625,20.0,20.0,2380
21,2000-02-02,19.0625,22.1875,18.75,22.1875,14800
22,2000-02-03,20.15625,21.875,20.0,21.25,4300
23,2000-02-04,20.0,20.0,18.75,18.75,820
24,2000-02-07,20.15625,20.15625,17.5,20.15625,5060
25,2000-02-08,19.0625,19.0625,19.0625,19.0625,180
26,2000-02-09,18.75,20.0,18.75,18.75,3320
27,2000-02-10,19.6875,19.6875,19.6875,19.6875,840
28,2000-02-11,19.375,19.375,17.5,18.28125,1460
29,2000-02-14,17.5,19.375,17.5,19.375,12100
30,2000-02-15,17.1875,20.0,17.1875,20.0,11260
31,2000-02-16,18.75,20.0,18.75,19.375,4220
32,2000-02-17,18.75,19.375,17.5,18.4375,4260
33,2000-02-18,18.28125,20.0,17.5,19.375,7600
34,2000-02-22,18.125,18.125,17.5,17.5,3640
35,2000-02-23,17.5,18.125,17.1875,17.1875,4480
36,2000-02-24,17.1875,20.0,15.9375,20.0,8640
37,2000-02-25,18.4375,19.6875,17.5,19.6875,280
38,2000-02-28,19.6875,19.6875,19.6875,19.6875,0
39,2000-02-29,18.125,18.75,17.5,18.75,680
40,2000-03-01,17.5,17.5,16.875,17.5,280
41,2000-03-02,17.5,18.75,16.5625,17.5,3620
42,2000-03-03,17.5,18.75,16.875,17.5,1800
43,2000-03-06,17.5,18.75,17.5,18.75,5400
44,2000-03-07,17.5,17.5,16.875,16.875,7280
45,2000-03-08,16.796875,17.8125,16.796875,17.03125,2620
46,2000-03-09,16.25,16.71875,16.25,16.40625,9900
47,2000-03-10,15.0,18.125,15.0,17.5,2600
48,2000-03-13,16.25,17.1875,16.25,17.1875,1400
49,2000-03-14,16.25,16.875,15.0,15.3125,3740
50,2000-03-15,15.15625,16.875,15.0,16.875,3340
51,2000-03-16,14.6875,15.0,14.6875,14.6875,11280
52,2000-03-17,15.625,15.625,15.0,15.625,2880
53,2000-03-20,15.15625,15.625,14.6875,15.625,1100
