,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.4375,8.4375,8.0,8.125,22200
1,2000-01-04,8.0625,8.0625,7.625,7.75,24900
2,2000-01-05,7.875,7.9375,7.8125,7.875,10300
3,2000-01-06,7.9375,8.0,7.875,8.0,10000
4,2000-01-07,8.0,8.5,8.0,8.3125,24800
5,2000-01-10,8.375,8.5,7.8125,7.875,49100
6,2000-01-11,7.8125,8.125,7.8125,7.9375,61600
7,2000-01-12,7.875,8.0,7.875,7.9375,7800
8,2000-01-13,7.875,8.375,7.875,8.3125,44100
9,2000-01-14,8.25,8.5625,8.1875,8.5625,41400
10,2000-01-18,8.5625,8.5625,8.375,8.4375,19100
11,2000-01-19,8.3125,8.4375,8.1875,8.3125,68300
12,2000-01-20,8.25,8.4375,8.125,8.3125,47000
13,2000-01-21,8.1875,8.4375,8.125,8.375,24100
14,2000-01-24,8.375,8.5,8.3125,8.375,40800
15,2000-01-25,8.375,8.375,7.75,7.75,87900
16,2000-01-26,7.8125,7.8125,7.6875,7.75,12000
17,2000-01-27,7.6875,7.75,7.625,7.6875,38800
18,2000-01-28,7.6875,7.75,7.5625,7.5625,22500
19,2000-01-31,7.8125,7.8125,7.5625,7.5625,72800
20,2000-02-01,7.6875,7.6875,7.3125,7.3125,115000
21,2000-02-02,7.375,7.5625,7.25,7.5625,53400
22,2000-02-03,7.5625,8.0,7.5625,8.0,33300
23,2000-02-04,7.9375,8.0,7.75,8.0,27200
24,2000-02-07,8.0625,8.1875,8.0625,8.1875,19100
25,2000-02-08,8.25,8.375,8.1875,8.375,15000
26,2000-02-09,8.5,8.5,8.1875,8.1875,36300
27,2000-02-10,8.125,8.375,8.125,8.25,21300
28,2000-02-11,8.375,8.375,8.125,8.125,21800
29,2000-02-14,8.0,8.0,7.75,7.75,14300
30,2000-02-15,7.875,7.875,7.5,7.75,38800
31,2000-02-16,7.8125,7.875,7.6875,7.8125,15400
32,2000-02-17,7.875,8.1875,7.8125,8.125,31300
33,2000-02-18,8.1875,8.1875,7.6875,8.0,21700
34,2000-02-22,8.125,8.125,7.5625,7.75,38100
35,2000-02-23,7.875,7.9375,7.75,7.875,20300
36,2000-02-24,8.0,8.125,8.0,8.0625,20100
37,2000-02-25,8.0,8.0625,7.9375,8.0,12700
38,2000-02-28,8.0,8.0,7.375,7.5625,26800
39,2000-02-29,7.625,8.0,7.625,8.0,11100
40,2000-03-01,8.0,8.1875,7.375,7.4375,60100
41,2000-03-02,7.3125,7.5625,7.1875,7.5,24300
42,2000-03-03,7.4375,7.5625,7.375,7.375,31500
43,2000-03-06,7.25,7.3125,7.1875,7.25,21700
44,2000-03-07,7.25,7.4375,7.25,7.3125,5300
45,2000-03-08,7.25,7.4375,6.75,7.1875,63100
46,2000-03-09,7.125,7.125,6.8125,6.9375,25300
47,2000-03-10,7.0,7.0,6.625,6.6875,25800
48,2000-03-13,6.5625,6.6875,6.4375,6.5,63000
49,2000-03-14,6.5625,6.625,6.5,6.625,17600
50,2000-03-15,6.625,6.875,6.5625,6.875,14000
51,2000-03-16,6.875,7.75,6.875,7.6875,32500
52,2000-03-17,7.5625,7.5625,7.1875,7.1875,39600
53,2000-03-20,7.25,7.25,7.0,7.125,24400
54,2000-03-21,7.125,7.25,7.125,7.25,23300
55,2000-03-22,7.1875,7.25,6.875,6.9375,10000
56,2000-03-23,6.9375,6.9375,6.3125,6.4375,104200
57,2000-03-24,6.5,6.5625,6.3125,6.5,83000
58,2000-03-27,6.5,6.5,6.375,6.5,31400
59,2000-03-28,6.5,6.5,6.25,6.25,44900
60,2000-03-29,6.3125,6.3125,6.25,6.3125,87100
61,2000-03-30,6.3125,6.8125,6.25,6.8125,86100
62,2000-03-31,6.6875,6.75,6.3125,6.3125,116100
63,2000-04-03,6.4375,7.3125,6.4375,7.25,65100
64,2000-04-04,7.25,7.625,7.25,7.625,73200
65,2000-04-05,7.5625,7.875,7.5625,7.875,36400
66,2000-04-06,7.8125,7.9375,7.5625,7.6875,23900
67,2000-04-07,7.6875,8.0,7.625,7.875,94800
68,2000-04-10,7.8125,7.8125,7.5625,7.6875,44200
69,2000-04-11,7.6875,7.6875,7.3125,7.375,13100
70,2000-04-12,7.375,7.375,7.1875,7.1875,19400
71,2000-04-13,7.125,7.375,6.9375,7.0,67200
72,2000-04-14,7.0625,7.0625,6.6875,6.8125,36800
73,2000-04-17,6.6875,7.1875,6.6875,7.1875,29600
74,2000-04-18,7.125,7.1875,7.0625,7.1875,26000
75,2000-04-19,7.3125,7.5,7.3125,7.375,33600
76,2000-04-20,7.5,7.5625,7.4375,7.4375,19300
77,2000-04-24,7.4375,7.4375,7.375,7.375,6300
78,2000-04-25,7.375,7.375,7.25,7.25,6900
79,2000-04-26,7.25,7.375,7.0,7.3125,21100
80,2000-04-27,7.25,7.4375,7.25,7.375,16800
81,2000-04-28,7.25,7.4375,7.0625,7.4375,55600
82,2000-05-01,7.375,7.5625,7.375,7.5625,22400
83,2000-05-02,7.4375,7.4375,7.3125,7.375,10200
84,2000-05-03,7.4375,7.5,7.375,7.4375,6200
85,2000-05-04,7.4375,7.625,7.375,7.625,51800
86,2000-05-05,7.6875,7.75,7.625,7.625,7800
87,2000-05-08,7.5,7.5,7.4375,7.4375,7300
88,2000-05-09,7.5,7.5,7.375,7.4375,14100
89,2000-05-10,7.3125,7.3125,7.0625,7.3125,24900
90,2000-05-11,7.375,7.4375,7.3125,7.375,2500
91,2000-05-12,7.3125,7.4375,7.25,7.375,16600
92,2000-05-15,7.5,7.75,7.4375,7.75,27200
93,2000-05-16,7.875,7.9375,7.875,7.875,15500
94,2000-05-17,7.8125,8.0,7.8125,7.875,25000
95,2000-05-18,7.875,8.125,7.875,8.0,23300
96,2000-05-19,8.0,8.25,8.0,8.0625,27300
97,2000-05-22,8.0625,8.0625,7.9375,8.0625,33900
98,2000-05-23,8.0,8.0625,7.875,7.875,8100
99,2000-05-24,7.75,8.1875,7.75,8.0625,20200
100,2000-05-25,8.0625,8.4375,8.0625,8.25,46500
101,2000-05-26,8.3125,8.3125,8.125,8.25,17900
102,2000-05-30,8.1875,8.3125,8.1875,8.3125,15600
103,2000-05-31,8.25,8.375,8.0,8.0,33300
104,2000-06-01,7.9375,8.25,7.9375,8.1875,10100
105,2000-06-02,8.3125,8.3125,8.125,8.125,11500
106,2000-06-05,8.0625,8.3125,7.875,7.9375,26300
107,2000-06-06,7.875,7.875,7.75,7.8125,11000
108,2000-06-07,7.625,7.8125,7.625,7.8125,4600
109,2000-06-08,7.6875,7.9375,7.6875,7.875,6800
110,2000-06-09,8.0,8.1875,8.0,8.125,10200
111,2000-06-12,8.25,8.25,8.0,8.0,22000
112,2000-06-13,7.9375,7.9375,7.5,7.5,47800
113,2000-06-14,7.5,7.75,7.5,7.5625,50400
114,2000-06-15,7.625,7.6875,7.4375,7.4375,33300
115,2000-06-16,7.5625,7.75,7.5625,7.625,34800
116,2000-06-19,7.75,7.75,7.625,7.75,11300
117,2000-06-20,7.625,7.625,7.5,7.5,16700
118,2000-06-21,7.4375,7.5,7.1875,7.25,20500
119,2000-06-22,7.1875,7.4375,6.875,6.875,33800
