,Date,Open,High,Low,Close,Volume
0,2000-01-03,19.0,19.166668,17.75,18.125,334800
1,2000-01-04,17.875,18.0,16.708332,16.854168,509700
2,2000-01-05,17.0,17.0,15.333333,16.083332,562500
3,2000-01-06,15.833333,15.833333,15.333333,15.5625,265800
4,2000-01-07,15.375,17.416668,15.375,17.333332,312600
5,2000-01-10,16.666668,17.583332,16.416668,17.354168,234900
6,2000-01-11,17.125,17.583332,17.0,17.25,263700
7,2000-01-12,17.25,17.333332,16.333332,16.333332,249600
8,2000-01-13,16.833332,17.0,16.333332,16.552082,277800
9,2000-01-14,16.416668,17.4375,16.416668,17.145832,484800
10,2000-01-18,17.125,17.166668,16.541668,16.635418,498600
11,2000-01-19,16.604168,16.916668,16.458332,16.666668,670500
12,2000-01-20,17.041668,17.479168,16.708332,16.739582,1216500
13,2000-01-21,17.375,17.583332,16.875,17.208332,474300
14,2000-01-24,18.666668,18.833332,16.75,16.979168,311850
15,2000-01-25,17.0,17.0,15.333333,15.958333,378600
16,2000-01-26,15.895833,16.25,15.583333,15.666667,404100
17,2000-01-27,15.916667,16.833332,15.583333,15.6875,227250
18,2000-01-28,15.916667,15.958333,15.0,15.083333,126600
19,2000-01-31,15.083333,15.25,14.25,14.416667,498750
20,2000-02-01,14.291667,15.583333,14.0,15.0,370950
21,2000-02-02,15.083333,15.416667,13.666667,14.166667,515400
22,2000-02-03,14.791667,15.333333,14.375,15.083333,535050
23,2000-02-04,15.5,15.583333,15.0,15.541667,395700
24,2000-02-07,15.666667,15.916667,15.583333,15.739583,531450
25,2000-02-08,16.0,16.0,14.0,14.0,412200
26,2000-02-09,14.75,14.75,12.75,13.208333,695550
27,2000-02-10,13.25,14.166667,13.25,13.541667,819450
28,2000-02-11,13.458333,13.583333,13.375,13.479167,453750
29,2000-02-14,13.583333,13.583333,13.0,13.354167,251100
30,2000-02-15,13.375,13.5,12.666667,12.916667,331800
31,2000-02-16,13.0,13.416667,12.583333,12.645833,412050
32,2000-02-17,12.541667,13.291667,12.541667,13.25,736950
33,2000-02-18,12.875,13.208333,12.75,12.833333,368400
34,2000-02-22,12.75,13.75,12.666667,13.708333,428700
35,2000-02-23,13.75,15.083333,13.666667,15.0,901950
36,2000-02-24,15.333333,15.833333,14.833333,15.041667,727950
37,2000-02-25,15.0,15.333333,14.416667,14.604167,231750
38,2000-02-28,14.833333,15.5,14.5,15.354167,442050
39,2000-02-29,15.666667,16.666668,15.666667,16.625,887250
40,2000-03-01,16.416668,17.583332,16.333332,17.354168,722550
41,2000-03-02,17.5,18.0,17.333332,17.8125,1033650
42,2000-03-03,18.0,18.0,17.5,17.583332,464550
43,2000-03-06,17.5,17.666668,16.833332,17.0,585000
44,2000-03-07,17.041668,17.25,15.916667,16.083332,610050
45,2000-03-08,16.0,16.0,14.666667,15.666667,373350
46,2000-03-09,15.666667,16.166668,14.666667,15.75,529950
47,2000-03-10,15.5,16.0,13.0,13.75,883950
48,2000-03-13,14.25,15.333333,13.833333,14.666667,351600
49,2000-03-14,14.75,15.291667,14.583333,14.8125,728250
50,2000-03-15,14.979167,15.0,13.0,13.791667,1020000
51,2000-03-16,13.75,13.958333,12.833333,13.333333,476100
52,2000-03-17,13.166667,13.75,13.125,13.520833,306150
53,2000-03-20,13.291667,15.635417,13.291667,15.458333,513750
54,2000-03-21,15.333333,15.416667,14.75,15.333333,904200
55,2000-03-22,15.166667,16.75,15.166667,16.625,763950
56,2000-03-23,16.166668,16.833332,16.0,16.291668,560700
57,2000-03-24,16.083332,16.5,15.333333,15.75,255750
58,2000-03-27,15.833333,16.416668,15.416667,16.0,614400
59,2000-03-28,16.0,16.083332,14.75,14.916667,231750
60,2000-03-29,14.958333,15.0,14.0,14.541667,129600
61,2000-03-30,14.333333,15.333333,14.041667,14.416667,142200
62,2000-03-31,14.458333,16.0,14.416667,15.625,302100
63,2000-04-03,15.083333,15.458333,14.833333,15.333333,123900
64,2000-04-04,14.833333,15.291667,13.25,14.333333,411600
65,2000-04-05,13.833333,15.25,13.75,14.25,649950
66,2000-04-06,14.0625,14.333333,13.333333,13.916667,985200
67,2000-04-07,14.125,14.166667,13.833333,14.0,242550
68,2000-04-10,13.958333,14.083333,13.625,14.0,244050
69,2000-04-11,14.041667,14.041667,13.333333,13.354167,184800
70,2000-04-12,13.333333,13.583333,13.25,13.416667,400200
71,2000-04-13,13.333333,14.208333,13.0,13.666667,485850
72,2000-04-14,13.333333,14.0,12.666667,14.0,282150
73,2000-04-17,12.75,14.0,12.416667,13.375,393600
74,2000-04-18,13.416667,14.291667,12.5,13.666667,400500
75,2000-04-19,13.916667,14.0,13.041667,13.833333,121950
76,2000-04-20,13.833333,13.916667,12.75,13.416667,169350
77,2000-04-24,12.833333,13.333333,12.333333,12.916667,181200
78,2000-04-25,13.208333,13.5,12.708333,13.208333,314100
79,2000-04-26,13.458333,13.833333,12.75,12.958333,286500
80,2000-04-27,12.833333,13.416667,12.666667,12.75,423750
81,2000-04-28,13.25,13.375,12.75,13.333333,540150
82,2000-05-01,13.416667,13.75,13.083333,13.291667,201000
83,2000-05-02,13.333333,13.375,12.833333,12.833333,328950
84,2000-05-03,12.75,12.75,12.416667,12.625,464700
85,2000-05-04,12.5,12.75,12.25,12.458333,489750
86,2000-05-05,12.416667,12.708333,12.25,12.666667,87150
87,2000-05-08,12.625,12.625,11.583333,11.708333,462000
88,2000-05-09,12.333333,12.333333,10.166667,11.125,995700
89,2000-05-10,10.375,10.75,10.333333,10.458333,502200
90,2000-05-11,10.416667,10.666667,10.416667,10.666667,513600
91,2000-05-12,10.5,11.333333,10.416667,11.166667,434250
92,2000-05-15,11.25,11.375,10.75,11.208333,283050
93,2000-05-16,11.5,12.166667,11.5,12.083333,412650
94,2000-05-17,11.916667,12.083333,11.666667,11.791667,119250
95,2000-05-18,11.791667,12.083333,11.666667,11.666667,340200
96,2000-05-19,11.75,11.75,10.791667,10.833333,457050
97,2000-05-22,11.166667,11.166667,10.416667,10.666667,348750
98,2000-05-23,10.541667,10.666667,10.25,10.25,592350
99,2000-05-24,10.5,10.5,9.916667,10.5,760050
100,2000-05-25,10.583333,10.708333,10.416667,10.458333,338400
101,2000-05-26,10.583333,10.583333,10.0,10.166667,576150
102,2000-05-30,10.333333,10.75,10.083333,10.416667,464700
103,2000-05-31,10.333333,10.833333,10.083333,10.083333,527550
104,2000-06-01,10.5,10.666667,10.208333,10.666667,284700
105,2000-06-02,10.75,12.75,10.708333,12.708333,790500
106,2000-06-05,12.333333,12.666667,11.875,11.916667,216150
107,2000-06-06,12.083333,12.083333,11.833333,11.916667,244650
108,2000-06-07,11.875,12.0,10.75,11.083333,890550
