,Date,Open,High,Low,Close,Volume
0,2000-01-03,67.65625,67.96875,60.625,62.8125,2428640
1,2000-01-04,44.6875,53.90625,44.6875,50.0,14291440
2,2000-01-05,50.0,51.5625,46.5625,50.0,4049040
3,2000-01-06,48.90625,52.5,46.40625,47.96875,2467640
4,2000-01-07,47.96875,50.0,46.71875,48.28125,1736200
5,2000-01-10,49.21875,49.375,47.1875,48.4375,2714960
6,2000-01-11,47.96875,50.15625,47.34375,47.65625,2190280
7,2000-01-12,48.59375,48.59375,45.46875,48.125,1849800
8,2000-01-13,49.0625,51.875,47.5,51.5625,2108960
9,2000-01-14,52.34375,52.8125,49.21875,49.53125,1552880
10,2000-01-18,49.53125,51.875,48.90625,49.84375,2975280
11,2000-01-19,51.25,57.5,50.3125,55.0,3214080
12,2000-01-20,56.875,57.5,52.8125,55.15625,1605400
13,2000-01-21,55.9375,56.25,53.125,53.59375,1708040
14,2000-01-24,55.0,56.25,51.25,52.5,1358600
15,2000-01-25,53.125,59.0625,53.125,57.1875,2182320
16,2000-01-26,57.5,60.78125,55.9375,56.09375,1276040
17,2000-01-27,57.96875,58.4375,51.875,55.46875,1158320
18,2000-01-28,54.21875,56.25,51.09375,52.03125,1460360
19,2000-01-31,51.40625,54.375,49.84375,53.59375,1629960
20,2000-02-01,54.375,57.03125,54.0625,56.875,1163720
21,2000-02-02,57.1875,57.1875,52.96875,55.3125,1296760
22,2000-02-03,56.5625,59.21875,55.0,58.28125,1731360
23,2000-02-04,58.59375,60.46875,55.625,57.1875,1521880
24,2000-02-07,59.6875,60.15625,55.78125,57.1875,1269400
25,2000-02-08,57.8125,60.0,56.71875,57.1875,1386600
26,2000-02-09,58.125,59.53125,52.65625,53.90625,1641080
27,2000-02-10,54.375,57.5,54.21875,57.34375,1120720
28,2000-02-11,57.1875,58.125,55.78125,56.25,791360
29,2000-02-14,57.5,57.5,54.6875,56.25,1426960
30,2000-02-15,57.03125,57.5,53.125,54.21875,1565120
31,2000-02-16,55.3125,56.40625,54.53125,55.625,1356760
32,2000-02-17,57.34375,69.0625,56.71875,67.96875,4975120
33,2000-02-18,67.1875,67.5,63.125,64.0625,2585480
34,2000-02-22,65.3125,66.875,58.125,61.25,2125440
35,2000-02-23,61.71875,69.21875,61.71875,67.5,2638960
36,2000-02-24,70.15625,72.65625,65.3125,72.34375,2225920
37,2000-02-25,73.28125,73.75,68.59375,69.6875,1906120
38,2000-02-28,70.0,75.15625,68.4375,73.125,2660240
39,2000-02-29,75.15625,76.71875,73.28125,75.78125,2143320
40,2000-03-01,77.8125,78.125,73.75,76.09375,1556960
41,2000-03-02,76.40625,76.5625,69.53125,71.875,1704880
42,2000-03-03,72.8125,73.90625,70.625,73.90625,1321600
43,2000-03-06,74.0625,74.21875,71.25,71.71875,994600
44,2000-03-07,72.5,73.59375,68.75,71.875,1427560
45,2000-03-08,72.1875,72.5,67.96875,72.34375,1241280
46,2000-03-09,72.96875,80.0,72.8125,79.84375,2774680
47,2000-03-10,79.84375,82.1875,75.625,77.1875,1632720
48,2000-03-13,75.46875,77.1875,72.34375,72.96875,1561360
49,2000-03-14,74.101563,75.0,68.59375,68.75,1747440
50,2000-03-15,70.3125,72.34375,64.375,66.09375,1754480
51,2000-03-16,66.71875,74.21875,66.09375,71.875,1802040
52,2000-03-17,72.5,76.09375,71.25,74.21875,1562760
53,2000-03-20,74.375,74.84375,62.5,63.90625,2143400
54,2000-03-21,64.21875,67.8125,61.25,67.1875,2250000
55,2000-03-22,67.8125,70.3125,65.0,67.65625,1207600
56,2000-03-23,65.625,70.0,64.375,65.46875,1091840
57,2000-03-24,67.03125,69.6875,65.78125,67.96875,1239560
58,2000-03-27,67.8125,67.8125,62.8125,64.6875,1433880
59,2000-03-28,64.53125,66.09375,63.4375,63.75,982520
60,2000-03-29,63.90625,64.375,56.71875,58.59375,2159080
61,2000-03-30,57.5,60.625,52.5,55.3125,1503080
62,2000-03-31,56.09375,57.8125,50.9375,52.65625,2766640
63,2000-04-03,49.6875,49.84375,26.25,26.875,11255520
64,2000-04-04,28.75,28.75,21.40625,22.890625,17711480
65,2000-04-05,22.5,24.375,21.640625,23.671875,9107840
66,2000-04-06,25.46875,26.40625,24.375,24.921875,6045600
67,2000-04-07,26.40625,28.4375,25.0,28.125,6398040
