,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.46875,6.5625,6.0,6.25,404000
1,2000-01-04,5.8125,6.34375,5.8125,6.1875,886200
2,2000-01-05,6.03125,6.4375,5.96875,6.375,691000
3,2000-01-06,6.28125,6.90625,6.28125,6.84375,1365600
4,2000-01-07,7.0,7.09375,6.75,7.0625,1701600
5,2000-01-10,7.0625,7.125,6.75,6.90625,724000
6,2000-01-11,6.875,7.0625,6.8125,6.96875,617200
7,2000-01-12,6.71875,6.9375,6.71875,6.90625,865000
8,2000-01-13,6.8125,7.40625,6.8125,7.40625,829000
9,2000-01-14,7.46875,7.53125,7.25,7.4375,1144800
10,2000-01-18,7.40625,7.875,7.40625,7.75,802600
11,2000-01-19,7.734375,8.25,7.71875,8.09375,1805200
12,2000-01-20,8.28125,8.78125,8.28125,8.46875,2764600
13,2000-01-21,8.46875,9.28125,8.375,9.25,2422400
14,2000-01-24,9.375,9.46875,8.78125,8.8125,984600
15,2000-01-25,8.75,8.9375,8.25,8.5,1755000
16,2000-01-26,8.421875,8.875,8.03125,8.0625,1013200
17,2000-01-27,7.96875,8.3125,7.875,8.28125,960200
18,2000-01-28,8.125,8.8125,8.125,8.1875,878000
19,2000-01-31,8.34375,8.40625,7.65625,8.3125,563000
20,2000-02-01,8.3125,8.6875,8.09375,8.625,329600
21,2000-02-02,8.6875,9.3125,8.65625,8.875,1728200
22,2000-02-03,8.9375,9.0625,8.6875,8.8125,796400
23,2000-02-04,8.8125,8.875,8.71875,8.84375,505200
24,2000-02-07,8.8125,9.1875,8.78125,9.03125,871200
25,2000-02-08,9.25,9.28125,8.5625,8.71875,757800
26,2000-02-09,8.71875,8.75,8.5625,8.59375,1528200
27,2000-02-10,8.59375,8.78125,8.5625,8.6875,728600
28,2000-02-11,8.84375,8.96875,8.4375,8.5625,583400
29,2000-02-14,8.578125,8.9375,8.4375,8.875,930400
30,2000-02-15,8.9375,9.03125,8.625,8.96875,776600
31,2000-02-16,9.03125,9.25,8.90625,9.0,742000
32,2000-02-17,8.9375,9.1875,8.875,9.03125,1370800
33,2000-02-18,9.0,9.0,8.5,8.59375,907600
34,2000-02-22,8.4375,8.5,8.21875,8.5,478600
35,2000-02-23,8.3125,8.8125,8.3125,8.75,677000
36,2000-02-24,8.6875,9.0625,8.6875,9.0,2278600
37,2000-02-25,8.96875,9.84375,8.96875,9.59375,2578200
38,2000-02-28,9.125,10.085938,9.0,10.0,1544000
39,2000-02-29,9.96875,11.40625,9.96875,11.40625,2182400
40,2000-03-01,11.4375,12.0625,11.125,11.96875,1739800
41,2000-03-02,12.0625,13.25,12.0625,13.15625,3509000
42,2000-03-03,13.125,13.1875,12.75,13.0,3016400
43,2000-03-06,12.84375,13.25,12.8125,13.1875,1549200
44,2000-03-07,13.1875,14.375,13.15625,13.8125,2044000
45,2000-03-08,13.46875,13.5625,12.25,12.5,2853400
46,2000-03-09,12.375,12.5625,11.5,12.5625,1699000
47,2000-03-10,12.15625,13.53125,12.0,13.0,1228400
48,2000-03-13,12.4375,13.46875,12.25,12.90625,730800
49,2000-03-14,12.90625,13.125,12.4375,12.59375,1124800
50,2000-03-15,12.40625,12.546875,10.6875,11.65625,423600
51,2000-03-16,11.71875,13.375,11.6875,13.375,1765200
52,2000-03-17,12.84375,13.1875,12.28125,13.0,918000
53,2000-03-20,12.6875,12.9375,12.5625,12.625,1231600
54,2000-03-21,12.90625,14.03125,12.8125,13.875,1638400
55,2000-03-22,13.71875,15.03125,13.375,14.8125,1785600
56,2000-03-23,14.90625,15.09375,14.5625,14.90625,1781400
57,2000-03-24,14.625,14.9375,14.40625,14.59375,409200
58,2000-03-27,14.5625,14.78125,13.5,14.25,696000
59,2000-03-28,13.4375,14.21875,13.25,13.5625,978800
60,2000-03-29,13.5,14.8125,13.375,14.78125,1684600
61,2000-03-30,14.71875,15.9375,14.53125,15.46875,3053800
62,2000-03-31,15.46875,15.875,15.375,15.875,1192200
63,2000-04-03,15.5,16.0625,15.1875,15.90625,913400
64,2000-04-04,15.78125,16.125,14.59375,14.65625,1592200
65,2000-04-05,13.75,14.625,13.375,13.65625,1162400
66,2000-04-06,13.84375,14.5,13.84375,14.5,2110200
67,2000-04-07,14.5,14.625,13.40625,13.59375,1686800
68,2000-04-10,13.59375,14.0,12.375,12.40625,923400
69,2000-04-11,11.75,14.125,11.75,13.9375,1983000
70,2000-04-12,13.5625,14.75,13.5,14.0,1785400
71,2000-04-13,13.875,14.0,13.25,13.40625,381000
72,2000-04-14,13.3125,13.75,11.75,12.03125,878000
73,2000-04-17,12.0,12.03125,10.34375,11.125,1318200
74,2000-04-18,11.21875,12.59375,11.0625,12.53125,1282000
75,2000-04-19,12.625,13.0,12.59375,12.6875,1356400
76,2000-04-20,12.6875,13.90625,12.6875,13.6875,501000
77,2000-04-24,13.25,14.3125,13.125,14.25,937600
78,2000-04-25,14.125,14.375,13.15625,13.3125,928400
79,2000-04-26,13.3125,13.4375,12.6875,13.28125,1331200
80,2000-04-27,12.875,14.1875,12.6875,14.1875,1000800
81,2000-04-28,14.375,14.40625,13.375,14.125,1898800
82,2000-05-01,14.09375,14.1875,13.53125,13.625,885400
83,2000-05-02,13.75,13.90625,13.59375,13.625,584600
84,2000-05-03,13.640625,13.96875,13.3125,13.5,664800
85,2000-05-04,13.375,13.84375,13.25,13.75,649000
86,2000-05-05,13.546875,14.125,13.5,13.875,441600
87,2000-05-08,13.9375,14.4375,13.875,14.0,893000
88,2000-05-09,14.03125,14.75,13.875,14.625,1035800
89,2000-05-10,14.53125,14.96875,14.4375,14.6875,954800
90,2000-05-11,14.6875,15.0,14.65625,14.90625,846800
91,2000-05-12,14.9375,15.21875,14.5,14.5625,753800
92,2000-05-15,14.6875,15.0,14.5625,14.875,657400
93,2000-05-16,14.5,14.75,13.71875,14.25,923400
94,2000-05-17,14.1875,14.59375,14.0625,14.25,583800
