,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.5625,8.625,8.25,8.4375,149600
1,2000-01-04,8.375,8.5625,8.125,8.5625,140100
2,2000-01-05,8.625,8.75,8.125,8.3125,199900
3,2000-01-06,8.3125,8.75,8.3125,8.5,216200
4,2000-01-07,8.5625,8.8125,8.5,8.75,164900
5,2000-01-10,8.625,8.625,8.375,8.5,107300
6,2000-01-11,8.375,8.6875,8.3125,8.625,80900
7,2000-01-12,8.625,8.6875,8.1875,8.1875,186600
8,2000-01-13,8.4375,8.4375,8.3125,8.4375,153100
9,2000-01-14,8.375,8.8125,8.3125,8.6875,391900
10,2000-01-18,8.9375,9.3125,8.6875,9.3125,449100
11,2000-01-19,9.375,9.625,8.75,9.125,490600
12,2000-01-20,9.0,9.0,8.6875,9.0,279300
13,2000-01-21,9.0,9.4375,9.0,9.4375,449000
14,2000-01-24,9.4375,10.1875,9.4375,9.5,390900
15,2000-01-25,9.625,9.875,9.375,9.75,208800
16,2000-01-26,10.125,10.1875,9.8125,9.8125,331700
17,2000-01-27,9.8125,9.875,8.8125,8.8125,215000
18,2000-01-28,8.875,9.125,8.625,8.625,190000
19,2000-01-31,8.625,8.8125,8.5625,8.5625,164200
20,2000-02-01,8.625,8.9375,8.4375,8.9375,134100
21,2000-02-02,9.0,9.5,9.0,9.3125,232100
22,2000-02-03,9.4375,9.4375,8.75,9.0,137100
23,2000-02-04,9.125,9.25,8.5625,8.875,99400
24,2000-02-07,8.9375,8.9375,8.3125,8.6875,133900
25,2000-02-08,8.6875,8.6875,8.3125,8.375,189200
26,2000-02-09,8.375,8.375,8.125,8.125,108500
27,2000-02-10,8.0625,8.375,7.9375,8.3125,155800
28,2000-02-11,8.3125,8.3125,8.0,8.125,154300
29,2000-02-14,8.0,8.0625,7.75,7.875,206900
30,2000-02-15,8.0,8.125,7.75,8.0625,665400
31,2000-02-16,8.0,8.0,7.6875,7.75,617200
32,2000-02-17,7.8125,7.9375,7.5,7.6875,211200
33,2000-02-18,7.75,7.8125,6.75,6.875,630400
34,2000-02-22,7.125,7.6875,7.0625,7.4375,411400
35,2000-02-23,7.625,7.875,7.25,7.6875,468400
36,2000-02-24,7.5625,7.75,7.4375,7.75,273800
37,2000-02-25,7.6875,7.9375,7.375,7.4375,210700
38,2000-02-28,7.25,7.75,7.1875,7.6875,146600
39,2000-02-29,7.625,8.375,7.5,8.3125,363300
40,2000-03-01,8.1875,9.0,7.875,8.4375,387800
41,2000-03-02,8.3125,8.8125,8.25,8.75,385300
42,2000-03-03,8.6875,8.75,8.1875,8.1875,217400
43,2000-03-06,8.3125,8.5,8.1875,8.375,200300
44,2000-03-07,8.3125,9.5625,8.3125,9.0625,551500
45,2000-03-08,9.0,9.125,8.6875,9.125,383800
46,2000-03-09,9.125,9.5,8.875,9.4375,337800
47,2000-03-10,9.4375,9.6875,8.9375,8.9375,184000
48,2000-03-13,9.1875,9.1875,8.4375,8.4375,111500
49,2000-03-14,8.5625,9.125,8.5625,8.75,205100
50,2000-03-15,8.75,8.9375,8.3125,8.5625,296100
51,2000-03-16,8.75,9.25,8.5625,9.25,218400
52,2000-03-17,8.625,9.25,8.625,9.0,384900
53,2000-03-20,9.125,9.125,8.5625,8.8125,190400
54,2000-03-21,8.8125,9.125,8.6875,9.0,232400
55,2000-03-22,9.0,9.25,9.0,9.25,230500
56,2000-03-23,9.25,9.4375,9.0,9.125,124100
57,2000-03-24,9.0625,9.6875,9.0625,9.375,174500
58,2000-03-27,9.25,9.375,9.0625,9.25,80900
59,2000-03-28,9.25,9.375,8.875,9.0,196300
60,2000-03-29,9.0625,9.3125,9.0,9.1875,175400
61,2000-03-30,9.3125,10.3125,9.3125,10.0,362000
62,2000-03-31,10.125,10.75,10.0,10.5,435600
63,2000-04-03,10.625,10.875,10.25,10.5,328400
64,2000-04-04,10.375,10.375,9.125,9.9375,298600
65,2000-04-05,9.5625,10.0,9.5,9.75,198500
66,2000-04-06,9.875,10.125,9.875,10.0,207000
67,2000-04-07,10.0,10.0,9.5625,9.875,120300
68,2000-04-10,9.9375,9.9375,9.1875,9.1875,132500
69,2000-04-11,9.1875,9.5,9.125,9.1875,158100
70,2000-04-12,9.3125,9.75,9.25,9.6875,95900
71,2000-04-13,9.6875,9.8125,9.6875,9.75,123200
72,2000-04-14,9.625,9.8125,9.625,9.75,210500
73,2000-04-17,9.6875,9.75,9.0,9.5625,162600
74,2000-04-18,9.6875,9.9375,9.1875,9.8125,161300
75,2000-04-19,9.6875,10.1875,9.625,9.75,152200
76,2000-04-20,9.8125,10.125,9.5,9.5625,137800
77,2000-04-24,9.4375,9.8125,9.375,9.8125,250000
78,2000-04-25,9.8125,10.125,9.375,10.125,173300
79,2000-04-26,10.0,10.625,9.4375,9.5,310100
80,2000-04-27,9.5,10.3125,9.5,10.125,146700
81,2000-04-28,10.25,10.5,10.0,10.3125,117000
82,2000-05-01,10.25,10.75,10.1875,10.5,207600
83,2000-05-02,10.375,10.9375,10.25,10.6875,306500
