,Date,Open,High,Low,Close,Volume
0,2000-01-03,99.625,100.0,87.0,89.65625,91334000
1,2000-01-04,86.28125,87.65625,80.0,81.03125,63567400
2,2000-01-05,79.9375,81.625,69.5,78.21875,93778400
3,2000-01-06,74.25,78.0,69.875,70.03125,58782600
4,2000-01-07,67.0,75.25,66.460938,75.0,68198600
5,2000-01-10,81.0,81.5,76.25,79.6875,35360800
6,2000-01-11,78.0,78.9375,70.75,72.21875,30575800
7,2000-01-12,72.5,73.75,68.03125,69.125,34455600
8,2000-01-13,72.1875,72.8125,68.8125,71.5625,25146800
9,2000-01-14,73.8125,74.46875,69.75,70.21875,26209200
10,2000-01-18,68.71875,70.625,67.5,69.53125,28503000
11,2000-01-19,68.5625,73.5,68.5,73.3125,30728400
12,2000-01-20,74.625,78.0,73.5625,77.8125,39224000
13,2000-01-21,79.125,80.21875,75.5,77.46875,34955000
14,2000-01-24,77.875,78.5,69.8125,70.03125,32170600
15,2000-01-25,71.8125,74.96875,70.0,74.5,39671400
16,2000-01-26,64.5,65.4375,60.0,62.3125,136953200
17,2000-01-27,63.34375,64.0,58.6875,60.0,62571000
18,2000-01-28,60.53125,60.6875,52.8125,55.28125,85675000
19,2000-01-31,56.3125,63.75,56.09375,63.5,80518000
20,2000-02-01,65.75,70.0,65.460938,68.03125,69648400
21,2000-02-02,68.4375,72.75,68.0,71.03125,57368200
22,2000-02-03,72.5625,74.0,66.0,69.59375,52571000
23,2000-02-04,70.9375,70.9375,67.5,68.71875,30028800
24,2000-02-07,67.21875,67.625,65.125,66.71875,20868400
25,2000-02-08,66.75,69.8125,66.71875,69.53125,21450800
26,2000-02-09,69.75,70.0,66.5,66.65625,20141200
27,2000-02-10,67.28125,68.5625,66.5,68.46875,15072200
28,2000-02-11,67.539063,68.25,65.75,66.0,12419400
29,2000-02-14,64.6875,65.0,62.5,63.5625,23353600
30,2000-02-15,62.179688,63.84375,60.03125,63.3125,30036000
31,2000-02-16,62.6875,65.75,60.5,60.9375,30052000
32,2000-02-17,62.5625,65.5,61.0,65.0,34971600
33,2000-02-18,66.007813,69.375,65.875,67.25,42991600
34,2000-02-22,66.25,67.875,63.125,65.28125,24472000
35,2000-02-23,66.6875,73.75,65.375,73.4375,52349200
36,2000-02-24,68.4375,71.125,67.5,69.84375,51715400
37,2000-02-25,68.125,71.0,66.6875,66.78125,23405600
38,2000-02-28,68.75,73.75,68.75,71.625,36400800
39,2000-02-29,73.0,74.0,69.125,71.21875,31323400
40,2000-03-01,70.25,70.65625,68.265625,69.5,20865400
41,2000-03-02,69.4375,69.5625,66.0,66.09375,20560800
42,2000-03-03,65.5,67.5,63.0,65.9375,33932600
43,2000-03-06,64.75,69.0,64.0,66.625,23576200
44,2000-03-07,67.25,67.375,63.75,64.0,21447000
45,2000-03-08,65.3125,65.8125,62.492188,64.5625,22876000
46,2000-03-09,63.59375,64.625,62.375,63.5,17427800
47,2000-03-10,62.59375,72.75,61.0,68.0625,83012800
48,2000-03-13,64.1875,68.0,63.5625,65.09375,35140400
49,2000-03-14,66.0625,67.0,62.5,62.5625,24239800
50,2000-03-15,63.0,66.5,62.75,64.0,31392000
51,2000-03-16,65.21875,67.0,63.25,66.4375,23705600
52,2000-03-17,66.375,68.75,66.3125,68.125,31121600
53,2000-03-20,67.15625,67.96875,64.0,64.8125,18187800
54,2000-03-21,63.875,67.5,62.875,67.3125,18525200
55,2000-03-22,66.84375,67.875,65.25,67.4375,19331800
56,2000-03-23,66.28125,72.3125,66.125,72.0625,42424400
57,2000-03-24,71.75,76.210938,71.1875,73.0,50165800
58,2000-03-27,73.84375,78.0,73.25,74.46875,37870000
59,2000-03-28,74.875,78.5,73.5,77.40625,41268000
60,2000-03-29,79.125,81.28125,76.09375,78.75,50245600
61,2000-03-30,75.9375,78.625,69.625,72.617188,41385600
62,2000-03-31,74.90625,76.75,72.5,74.65625,34407000
63,2000-04-03,74.34375,76.0,69.03125,70.375,26965400
64,2000-04-04,70.9375,73.75,62.0,73.3125,42759000
65,2000-04-05,70.375,72.5,68.5625,70.625,23548800
66,2000-04-06,70.6875,71.5,68.5,69.5625,16193600
67,2000-04-07,70.9375,76.375,70.0,76.125,31462600
68,2000-04-10,75.6875,75.90625,70.125,70.59375,20188800
69,2000-04-11,67.75,73.75,66.96875,68.71875,22864800
70,2000-04-12,68.96875,70.5,62.5,62.5625,31838800
71,2000-04-13,64.0,67.8125,61.5,63.25,30230600
72,2000-04-14,61.5,65.375,51.5,52.59375,66002600
73,2000-04-17,49.21875,58.71875,49.0625,58.4375,64758800
74,2000-04-18,57.757813,60.625,53.5,56.09375,44492400
75,2000-04-19,59.625,62.9375,56.5,57.375,59833800
76,2000-04-20,57.96875,59.25,53.25,54.75,38979800
77,2000-04-24,51.5,52.0,46.125,49.8125,64246400
78,2000-04-25,52.25,54.15625,50.75,52.46875,47791400
79,2000-04-26,52.46875,52.625,48.5,48.625,31038600
80,2000-04-27,47.4375,52.0,47.25,51.75,41750800
81,2000-04-28,52.9375,55.0,52.25,54.21875,31301200
82,2000-05-01,54.8125,55.96875,53.625,54.875,22545000
83,2000-05-02,55.40625,60.0,55.0625,56.84375,52975000
84,2000-05-03,55.8125,57.0,54.0625,55.46875,32021800
85,2000-05-04,55.429688,56.125,52.84375,53.34375,20103200
86,2000-05-05,52.65625,55.6875,52.5,54.875,15971000
87,2000-05-08,53.25,53.859375,51.40625,51.5,16030200
88,2000-05-09,52.25,53.9375,51.0,52.5,23062400
89,2000-05-10,51.125,52.0,48.5,48.65625,34484800
90,2000-05-11,50.375,50.625,47.5,49.65625,32332200
91,2000-05-12,50.875,51.25,48.75,49.0,17078000
92,2000-05-15,49.15625,52.25,48.3125,52.15625,21605400
93,2000-05-16,52.679688,54.5,52.5,54.34375,23164200
94,2000-05-17,52.25,53.125,51.21875,51.578125,18169600
95,2000-05-18,51.5625,51.59375,48.0,48.46875,27271200
96,2000-05-19,47.5,48.3125,44.515625,44.59375,50833400
97,2000-05-22,45.0,45.0625,38.875,44.21875,51737000
98,2000-05-23,43.375,43.6875,39.625,39.6875,37273800
99,2000-05-24,38.15625,39.25,34.890625,38.375,82046200
100,2000-05-25,39.78125,41.125,34.3125,34.5,60416400
101,2000-05-26,34.90625,35.0,31.1875,33.03125,76242600
102,2000-05-30,31.664063,38.3125,30.0,38.1875,114359800
103,2000-05-31,35.375,36.0,33.0,33.1875,109686200
104,2000-06-01,35.625,36.0,34.125,34.5,64625400
105,2000-06-02,37.09375,37.375,34.15625,36.34375,75612600
106,2000-06-05,32.53125,34.9375,32.4375,33.625,59490200
107,2000-06-06,33.875,36.4375,33.8125,34.4375,47774000
108,2000-06-07,35.8125,37.40625,35.25,37.34375,45259200
109,2000-06-08,39.0625,40.0,37.75,38.71875,43289400
110,2000-06-09,40.25,40.5,39.25,39.53125,29512400
111,2000-06-12,41.625,42.15625,40.0,40.84375,30566000
112,2000-06-13,40.46875,41.40625,38.40625,40.6875,38326000
113,2000-06-14,40.84375,41.0,34.5,35.25,83876600
114,2000-06-15,31.4375,31.84375,29.992188,30.71875,122278000
115,2000-06-16,32.1875,33.75,31.875,32.875,55383200
116,2000-06-19,32.90625,33.125,31.625,32.59375,26381800
117,2000-06-20,32.71875,32.84375,31.25,31.46875,28998800
118,2000-06-21,31.125,33.75,30.9375,32.25,38151600
119,2000-06-22,32.625,36.9375,32.1875,34.125,84558800
120,2000-06-23,35.78125,37.375,32.75,33.1875,58846800
121,2000-06-26,34.09375,34.179688,31.453125,32.375,34292400
122,2000-06-27,32.1875,33.75,31.4375,31.84375,29835800
123,2000-06-28,30.0625,33.0,28.75,31.78125,77099400
124,2000-06-29,30.9375,31.609375,30.5,30.75,23910000
125,2000-06-30,31.0,31.0625,29.0,30.0,37016200
126,2000-07-03,29.96875,30.9375,29.75,30.125,8696800
127,2000-07-05,30.5,31.5,29.125,29.21875,20386800
128,2000-07-06,29.6875,31.3125,28.78125,30.84375,24744200
129,2000-07-07,28.6875,29.632813,28.03125,28.3125,56752800
130,2000-07-10,27.96875,28.75,27.0,27.4375,35357000
131,2000-07-11,26.78125,27.9375,25.75,26.5,36054000
132,2000-07-12,27.65625,30.75,26.96875,30.5,48357000
133,2000-07-13,30.8125,31.5,29.6875,31.0,32298800
134,2000-07-14,31.71875,32.4375,30.5,31.53125,22639000
135,2000-07-17,32.4375,35.46875,32.3125,34.90625,50497000
136,2000-07-18,34.21875,34.4375,32.5,32.5625,27709600
137,2000-07-19,32.34375,32.46875,31.0625,31.5,25049400
138,2000-07-20,29.6875,31.84375,28.53125,31.53125,48041800
139,2000-07-21,30.65625,32.5,30.625,31.40625,19396600
140,2000-07-24,31.375,32.46875,31.0625,31.8125,22134400
141,2000-07-25,32.90625,34.75,32.84375,34.1875,47747400
142,2000-07-26,33.75,35.25,33.03125,34.34375,32742000
143,2000-07-27,33.03125,33.5625,31.78125,32.78125,26503600
144,2000-07-28,32.1875,33.125,30.5,31.21875,17759200
145,2000-07-31,32.5,33.1875,31.8125,32.46875,23021400
146,2000-08-01,32.46875,32.5,31.40625,31.46875,11945000
147,2000-08-02,31.625,32.3125,30.75,30.96875,10719800
148,2000-08-03,30.0,32.25,29.1875,32.125,32228200
149,2000-08-04,33.25,33.9375,31.5625,32.0,22564600
150,2000-08-07,31.59375,32.90625,31.15625,31.78125,14546800
151,2000-08-08,31.5,31.875,30.25,30.53125,16626600
152,2000-08-09,31.3125,31.554688,30.625,30.71875,14096200
153,2000-08-10,31.1875,31.8125,30.625,30.71875,11360400
154,2000-08-11,30.59375,31.1875,29.4375,30.8125,15463800
155,2000-08-14,30.84375,31.5,30.5,31.3125,11490400
156,2000-08-15,31.1875,31.1875,30.5,30.6875,9656000
157,2000-08-16,31.0625,31.46875,30.03125,30.25,10482000
158,2000-08-17,30.125,31.1875,30.03125,30.28125,11370000
159,2000-08-18,30.46875,30.6875,29.84375,29.875,13836400
160,2000-08-21,29.375,30.0,28.65625,29.5,15207200
161,2000-08-22,29.03125,29.375,28.25,28.3125,22435200
162,2000-08-23,27.71875,28.375,27.40625,28.21875,28425200
163,2000-08-24,28.53125,30.375,28.4375,30.3125,27267000
164,2000-08-25,30.15625,30.65625,29.125,29.4375,15588800
165,2000-08-28,29.25,30.53125,29.234375,29.6875,18180800
166,2000-08-29,29.75,30.53125,29.3125,30.125,15618600
167,2000-08-30,30.0625,30.1875,29.0,29.15625,19122000
168,2000-08-31,29.375,31.03125,29.0,29.9375,38055400
169,2000-09-01,30.40625,31.0,29.25,29.625,20437600
170,2000-09-05,30.53125,30.8125,29.6875,29.6875,19835400
171,2000-09-06,30.0625,31.96875,29.9375,30.90625,57655800
172,2000-09-07,31.1875,32.3125,30.3125,32.0625,39563800
173,2000-09-08,31.84375,32.5,30.71875,30.78125,32579600
174,2000-09-11,30.273438,30.5625,29.0,29.0625,29739400
175,2000-09-12,30.53125,31.8125,30.25,30.71875,44940200
176,2000-09-13,30.75,32.1875,30.71875,32.0,24549400
177,2000-09-14,32.5,32.5625,31.0,31.3125,20935800
178,2000-09-15,31.3125,33.3125,30.8125,33.125,55480600
179,2000-09-18,33.875,35.625,33.5625,34.90625,75770000
180,2000-09-19,35.84375,39.375,35.3125,38.75,85274000
181,2000-09-20,39.09375,39.25,36.3125,37.523438,52449800
182,2000-09-21,36.75,38.46875,35.5,35.96875,32562800
183,2000-09-22,34.6875,36.5625,34.5,36.5,34164000
184,2000-09-25,37.625,37.75,34.71875,35.0,20946200
185,2000-09-26,35.6875,37.5,34.6875,36.6875,37944600
186,2000-09-27,37.125,37.8125,36.0625,36.4375,30288200
187,2000-09-28,36.125,37.59375,35.78125,37.40625,20885000
188,2000-09-29,37.34375,37.34375,35.4375,35.625,13227800
189,2000-10-02,36.3125,36.96875,35.375,35.65625,16962400
190,2000-10-03,36.0,37.78125,35.71875,36.25,25109000
191,2000-10-04,35.8125,39.75,35.75,39.21875,39061200
192,2000-10-05,39.0,43.5,38.5,41.4375,64696200
193,2000-10-06,41.4375,42.0,38.65625,38.90625,34240400
194,2000-10-09,38.6875,40.5,38.25,39.6875,20522600
195,2000-10-10,40.4375,41.9375,39.21875,39.84375,36832000
196,2000-10-11,38.875,39.46875,33.1875,35.25,58025400
197,2000-10-12,36.34375,37.09375,31.6875,32.1875,45688000
198,2000-10-13,32.0,35.03125,31.5625,34.96875,28286400
199,2000-10-16,37.4375,39.03125,36.40625,38.5,39924000
200,2000-10-17,39.1875,39.3125,35.5,37.09375,23364400
201,2000-10-18,35.0625,38.375,34.0,37.40625,28142400
202,2000-10-19,38.929688,39.0,36.65625,38.5,22504600
203,2000-10-20,37.289063,38.375,37.125,37.375,19325000
204,2000-10-23,36.914063,37.40625,35.40625,36.8125,18488000
205,2000-10-24,35.96875,37.0,35.25,35.5,17440200
206,2000-10-25,35.382813,36.375,32.53125,32.875,19413200
207,2000-10-26,33.6875,36.53125,33.0625,35.90625,23014800
208,2000-10-27,36.25,38.0,35.4375,37.4375,21752800
209,2000-10-30,35.65625,37.0,32.78125,34.0625,31944000
210,2000-10-31,33.3125,35.28125,31.75,32.554688,38786400
211,2000-11-01,31.695313,32.6875,30.5625,30.75,28733200
212,2000-11-02,31.40625,32.375,30.5,31.40625,33365600
213,2000-11-03,33.90625,36.8125,33.875,35.25,55045400
214,2000-11-06,35.6875,36.117188,34.875,35.28125,14825800
215,2000-11-07,35.0,37.28125,34.9375,36.875,18673000
216,2000-11-08,37.570313,37.625,34.4375,34.53125,18517400
217,2000-11-09,33.90625,36.46875,33.84375,36.34375,19473800
218,2000-11-10,36.375,38.75,36.3125,36.96875,33861800
219,2000-11-13,35.5,39.03125,35.46875,37.53125,35406600
220,2000-11-14,38.375,40.375,37.21875,40.1875,28926000
221,2000-11-15,40.6875,43.15625,40.625,42.09375,51017600
222,2000-11-16,41.15625,44.90625,41.09375,44.03125,40047000
223,2000-11-17,43.554688,44.625,42.3125,44.40625,32321200
224,2000-11-20,43.3125,44.125,42.0625,42.3125,20086600
225,2000-11-21,41.4375,45.125,41.0625,43.75,30790600
226,2000-11-22,42.8125,42.8125,38.75,39.46875,37088000
227,2000-11-24,40.71875,42.875,40.625,42.25,12493800
228,2000-11-27,43.5,45.6875,43.40625,44.71875,40959000
229,2000-11-28,43.75,44.34375,41.15625,41.734375,33772400
230,2000-11-29,41.0625,42.96875,39.25,41.3125,29682400
231,2000-11-30,39.375,41.40625,37.625,40.125,30656800
232,2000-12-01,41.1875,44.1875,40.75,41.5,28858600
233,2000-12-04,43.5625,45.0625,43.0,45.0,43292600
234,2000-12-05,46.25,50.0625,45.875,49.8125,58903800
235,2000-12-06,49.125,53.90625,48.75,49.6875,68904400
236,2000-12-07,48.21875,52.5,48.0,52.21875,47557800
237,2000-12-08,52.65625,53.125,49.25,51.625,42941400
238,2000-12-11,49.0,51.28125,47.75,49.75,36458200
239,2000-12-12,49.0625,49.625,44.84375,44.90625,42861200
240,2000-12-13,46.125,47.8125,45.53125,45.65625,31667600
241,2000-12-14,45.53125,47.25,43.875,44.03125,21760400
242,2000-12-15,42.6875,43.25,39.5,39.78125,57547800
243,2000-12-18,40.625,43.375,40.625,42.71875,31734000
244,2000-12-19,43.125,46.40625,41.5625,41.71875,37262600
245,2000-12-20,40.9375,42.0,37.125,38.5625,44586200
246,2000-12-21,38.5625,41.25,37.125,37.90625,35720200
247,2000-12-22,39.3125,42.5,39.25,42.5,32830200
248,2000-12-26,42.125,43.0625,40.3125,41.90625,16418600
249,2000-12-27,42.15625,45.0625,42.0,44.9375,26665200
250,2000-12-28,44.84375,45.3125,43.3125,44.6875,20138800
251,2000-12-29,44.75,45.875,40.65625,41.09375,23929400
252,2001-01-02,40.9375,41.125,35.15625,35.4375,36380600
253,2001-01-03,34.5625,42.875,34.53125,42.03125,47526000
254,2001-01-04,39.5,41.1875,38.375,39.46875,40355600
255,2001-01-05,39.6875,39.90625,36.28125,36.53125,31656400
256,2001-01-08,36.5,39.0,35.875,38.9375,23359400
257,2001-01-09,37.5625,38.15625,35.84375,36.625,29433000
258,2001-01-10,34.6875,36.3125,33.875,36.21875,35403600
259,2001-01-11,35.125,37.03125,34.78125,35.28125,25866400
260,2001-01-12,35.9375,37.53125,35.28125,35.90625,22619600
261,2001-01-16,34.8125,35.5625,34.21875,35.46875,21852600
262,2001-01-17,36.5,37.21875,35.78125,36.5,26540000
263,2001-01-18,36.8125,37.0,35.71875,36.53125,23147800
264,2001-01-19,37.1875,37.21875,35.0,35.1875,25167400
265,2001-01-22,35.21875,37.859375,34.65625,37.71875,33483800
266,2001-01-23,38.15625,39.9375,38.0625,38.8125,37063200
267,2001-01-24,39.1875,39.195313,36.4375,37.125,28724200
268,2001-01-25,37.0625,38.25,36.4375,36.96875,31479800
269,2001-01-26,38.46875,40.6875,37.875,40.5,57665400
270,2001-01-29,40.09375,43.5,39.75,43.40625,34226200
271,2001-01-30,42.875,43.0,41.515625,42.84375,22811800
272,2001-01-31,43.0,43.3125,41.96875,42.03125,22513800
273,2001-02-01,41.5625,42.75,40.46875,42.625,22344000
274,2001-02-02,42.0625,44.5625,41.625,43.40625,44556200
275,2001-02-05,42.90625,44.242188,42.5625,43.21875,21904200
276,2001-02-06,42.9375,43.6875,40.90625,41.46875,16467400
277,2001-02-07,40.78125,43.875,40.46875,43.3125,28307600
278,2001-02-08,43.21875,44.6875,42.3125,42.375,25561800
279,2001-02-09,42.0,43.0,38.875,39.5625,25314800
280,2001-02-12,39.53125,42.46875,39.5,41.4375,26479400
281,2001-02-13,42.75,43.5625,40.21875,40.25,24444800
282,2001-02-14,40.78125,42.0,39.875,41.6875,24141800
283,2001-02-15,42.265625,43.96875,42.21875,42.8125,25560200
284,2001-02-16,40.625,41.6875,39.96875,40.3125,23395000
285,2001-02-20,40.21875,40.9375,37.6875,37.757813,24447400
286,2001-02-21,36.375,37.90625,34.9375,35.625,32640000
287,2001-02-22,34.9375,35.25,31.53125,33.46875,51144600
288,2001-02-23,29.5625,31.3125,25.0625,30.90625,149932400
289,2001-02-26,31.4375,32.09375,29.375,31.53125,53842800
290,2001-02-27,30.84375,30.875,27.71875,27.8125,47386000
291,2001-02-28,28.0,29.25,26.0625,27.40625,57997000
292,2001-03-01,27.5625,30.75,27.46875,30.59375,55642200
293,2001-03-02,29.84375,32.375,29.75,30.25,54743000
294,2001-03-05,30.5625,31.625,29.75,31.46875,22659000
295,2001-03-06,32.4375,33.234375,29.09375,29.53125,41703600
296,2001-03-07,30.5,30.65625,28.03125,28.8125,45456400
297,2001-03-08,28.84375,29.625,28.59375,28.625,22061200
298,2001-03-09,27.9375,28.625,25.96875,25.96875,33687600
299,2001-03-12,25.5,27.0,23.625,24.03125,48112000
300,2001-03-13,24.3125,26.5,23.78125,26.40625,42182600
301,2001-03-14,24.945313,26.78125,24.5,25.65625,40149000
302,2001-03-15,26.8125,27.5625,26.0625,26.09375,26985600
303,2001-03-16,25.1875,25.6875,24.625,25.15625,30580400
304,2001-03-19,25.25,29.8125,25.125,29.09375,44608600
305,2001-03-20,29.0,29.75,26.6875,27.0,42417400
306,2001-03-21,27.40625,29.5625,27.0625,29.0625,43807600
307,2001-03-22,29.125,29.78125,26.5,28.4375,59501800
308,2001-03-23,29.6875,29.96875,28.03125,29.4375,35733800
309,2001-03-26,29.6875,30.5625,27.5625,28.3125,38035000
310,2001-03-27,28.53125,30.5,28.3125,29.9375,43913800
311,2001-03-28,29.1875,29.375,26.8125,27.40625,39496800
312,2001-03-29,26.1875,28.0625,26.0,27.34375,36864200
313,2001-03-30,27.46875,28.84375,26.28125,28.3125,29803400
314,2001-04-02,27.75,28.75,25.46875,25.75,37414800
315,2001-04-03,26.0,26.375,22.84375,22.875,49397200
316,2001-04-04,22.4375,23.8125,21.375,21.9375,62465400
317,2001-04-05,23.0625,24.25,21.6875,23.96875,63258000
318,2001-04-06,23.390625,23.71875,21.84375,22.3125,40943200
319,2001-04-09,22.355,23.1,21.889999,22.620001,23734400
320,2001-04-10,22.924999,25.34,22.605,24.4,34930600
321,2001-04-11,26.434999,26.525,24.85,25.545,29363800
322,2001-04-12,24.5,26.639999,23.549999,26.52,36153200
323,2001-04-16,25.799999,26.01,24.004999,24.184999,23467800
324,2001-04-17,23.975,25.754999,23.950001,25.379999,28842800
325,2001-04-18,26.99,30.0,26.375,29.375,51701600
326,2001-04-19,29.9,33.25,28.93,33.165001,55586000
327,2001-04-20,32.049999,33.0,30.629999,31.915001,33502800
