,Date,Open,High,Low,Close,Volume
0,2000-01-03,24.0625,24.375,23.3125,23.625,263500
1,2000-01-04,23.5,23.5625,21.375,22.3125,462500
2,2000-01-05,22.25,22.875,22.25,22.75,336900
3,2000-01-06,22.5625,24.75,22.5625,24.625,634300
4,2000-01-07,24.5,25.125,24.375,25.125,299600
5,2000-01-10,25.0625,25.125,23.8125,24.0,188100
6,2000-01-11,24.25,24.5625,24.125,24.5,171100
7,2000-01-12,24.375,24.8125,23.875,23.9375,389100
8,2000-01-13,23.9375,24.1875,23.625,23.6875,216100
9,2000-01-14,23.8125,23.875,23.6875,23.6875,245700
10,2000-01-18,23.4375,24.0625,23.3125,24.0,104600
11,2000-01-19,24.0,25.0,24.0,24.875,328700
12,2000-01-20,24.75,24.875,24.0,24.0625,139800
13,2000-01-21,23.625,23.625,22.375,23.4375,380200
14,2000-01-24,23.625,23.625,23.0,23.25,182400
15,2000-01-25,23.125,23.3125,22.3125,22.4375,382100
16,2000-01-26,22.4375,22.5625,22.25,22.3125,223100
17,2000-01-27,22.4375,22.4375,21.8125,22.125,270900
18,2000-01-28,22.0,22.0,21.5,21.625,179900
19,2000-01-31,21.5625,22.0625,21.5,22.0625,310900
20,2000-02-01,22.0,22.0625,21.5625,21.8125,140500
21,2000-02-02,22.0625,22.375,21.5,22.0625,941000
22,2000-02-03,22.0625,22.625,22.0625,22.625,248100
23,2000-02-04,22.625,24.0,22.5625,22.625,312300
24,2000-02-07,22.75,23.125,21.5625,21.6875,289800
25,2000-02-08,21.3125,21.75,21.3125,21.5,158800
26,2000-02-09,21.5,21.625,20.6875,20.8125,203000
27,2000-02-10,20.8125,21.125,20.375,21.0,219100
28,2000-02-11,21.0,21.0,19.9375,20.125,364500
29,2000-02-14,20.375,20.4375,19.75,20.1875,499900
30,2000-02-15,20.3125,20.75,20.25,20.5625,268200
31,2000-02-16,20.6875,20.6875,19.9375,20.4375,243400
32,2000-02-17,20.375,20.6875,19.5625,19.75,232000
33,2000-02-18,19.75,19.75,18.875,19.125,272600
34,2000-02-22,19.125,19.25,18.875,19.125,165100
35,2000-02-23,18.9375,19.25,18.5,18.5625,322100
36,2000-02-24,18.625,19.0,18.5,18.8125,323100
37,2000-02-25,18.75,18.875,18.5625,18.625,222300
38,2000-02-28,18.625,18.8125,18.5,18.625,233900
39,2000-02-29,18.6875,18.875,18.4375,18.5,373300
40,2000-03-01,18.5,18.75,18.5,18.5625,247200
41,2000-03-02,18.4375,18.75,18.0625,18.25,564900
42,2000-03-03,18.375,18.625,17.875,18.3125,375700
43,2000-03-06,18.4375,18.4375,17.6875,17.8125,207700
44,2000-03-07,17.75,17.875,17.4375,17.625,310100
45,2000-03-08,17.6875,17.75,17.4375,17.5,297400
46,2000-03-09,17.5,18.0625,17.4375,18.0625,1065500
47,2000-03-10,18.0625,19.8125,18.0625,18.8125,2565900
48,2000-03-13,18.9375,20.625,18.9375,19.625,823900
49,2000-03-14,19.375,20.5,19.25,19.8125,634500
50,2000-03-15,19.9375,20.8125,19.75,20.625,452100
51,2000-03-16,20.875,21.875,20.875,21.5,642500
52,2000-03-17,20.875,20.9375,19.8125,19.9375,684900
53,2000-03-20,20.0625,20.5,19.5,19.875,547000
54,2000-03-21,19.9375,22.4375,19.9375,21.625,1056100
55,2000-03-22,21.5,24.75,21.5,24.125,2197600
56,2000-03-23,24.125,24.6875,23.75,23.875,740500
57,2000-03-24,23.875,24.375,23.3125,23.4375,735000
58,2000-03-27,22.5,23.0625,22.375,22.4375,755400
59,2000-03-28,22.4375,22.75,22.0,22.25,508900
60,2000-03-29,22.4375,23.5,22.1875,22.9375,821500
61,2000-03-30,22.6875,23.625,22.375,22.75,571800
62,2000-03-31,22.875,22.875,22.5,22.6875,439400
63,2000-04-03,22.4375,22.875,21.3125,21.9375,614900
64,2000-04-04,22.0,22.5625,20.625,22.0,1076100
65,2000-04-05,21.875,23.25,21.875,22.0625,924400
66,2000-04-06,22.125,22.875,22.125,22.625,1033700
67,2000-04-07,22.875,24.875,22.8125,24.625,2267000
68,2000-04-10,24.5,24.625,23.75,24.0,800500
69,2000-04-11,23.875,24.25,23.0,23.9375,552000
70,2000-04-12,24.125,24.8125,23.625,24.125,740300
71,2000-04-13,24.25,24.6875,23.5625,23.625,629800
72,2000-04-14,23.5,23.5,21.0,21.625,1175200
73,2000-04-17,20.5,22.25,20.5,22.1875,718400
74,2000-04-18,22.25,22.25,21.0,21.3125,427700
75,2000-04-19,21.3125,22.75,21.3125,22.625,1097700
76,2000-04-20,22.625,22.875,21.875,22.1875,694200
77,2000-04-24,22.0,22.0,21.25,21.75,541900
78,2000-04-25,21.9375,22.625,21.8125,22.5625,661400
79,2000-04-26,22.625,23.0625,21.6875,21.875,517400
80,2000-04-27,21.5,22.75,21.5,22.5,976400
81,2000-04-28,22.75,23.125,21.875,22.1875,508300
82,2000-05-01,22.125,22.6875,21.625,22.25,877200
83,2000-05-02,22.0,22.125,21.5625,21.6875,606300
84,2000-05-03,21.75,21.8125,19.875,20.625,1177300
85,2000-05-04,20.5,21.25,20.5,20.75,494500
86,2000-05-05,20.5625,21.125,20.3125,20.8125,503100
87,2000-05-08,20.6875,21.8125,20.6875,21.4375,852500
88,2000-05-09,21.4375,22.125,21.0625,21.25,610400
