,Date,Open,High,Low,Close,Volume
0,2000-01-03,0.748971,0.748971,0.72428,0.72428,16706
1,2000-01-04,0.72428,0.73251,0.707819,0.72428,106313
2,2000-01-05,0.73251,0.740741,0.72428,0.73251,44803
3,2000-01-06,0.73251,0.765432,0.72428,0.765432,16706
4,2000-01-07,0.757202,0.757202,0.716049,0.716049,63028
5,2000-01-10,0.716049,0.716049,0.716049,0.716049,113147
6,2000-01-11,0.716049,0.716049,0.716049,0.716049,25819
7,2000-01-12,0.72428,0.72428,0.72428,0.72428,104034
8,2000-01-13,0.72428,0.757202,0.72428,0.748971,24300
9,2000-01-14,0.798354,0.864198,0.798354,0.847737,194400
10,2000-01-18,0.855967,0.954733,0.855967,0.954733,257428
11,2000-01-19,0.962963,1.045267,0.962963,1.028807,163266
12,2000-01-20,1.020576,1.152263,1.020576,1.152263,182250
13,2000-01-21,1.135802,1.168724,1.119342,1.152263,85809
14,2000-01-24,1.168724,1.168724,1.160494,1.160494,41766
15,2000-01-25,1.144033,1.144033,1.069959,1.069959,105553
16,2000-01-26,1.078189,1.078189,1.078189,1.078189,4556
17,2000-01-27,1.061728,1.069959,1.053498,1.069959,56953
18,2000-01-28,1.053498,1.152263,1.020576,1.152263,179972
19,2000-01-31,1.135802,1.135802,1.135802,1.135802,8353
20,2000-02-01,1.135802,1.135802,1.102881,1.102881,13669
21,2000-02-02,1.09465,1.09465,0.987654,0.987654,77456
22,2000-02-03,0.987654,0.995885,0.938272,0.938272,55434
23,2000-02-04,0.946502,0.946502,0.946502,0.946502,13669
24,2000-02-07,0.954733,0.971193,0.954733,0.971193,59231
25,2000-02-08,0.962963,0.979424,0.962963,0.962963,106313
26,2000-02-09,0.954733,0.971193,0.954733,0.954733,13669
27,2000-02-10,0.962963,0.962963,0.872428,0.888889,167063
28,2000-02-11,0.880658,0.897119,0.872428,0.888889,91884
29,2000-02-14,0.888889,0.888889,0.823045,0.823045,63788
30,2000-02-15,0.823045,0.90535,0.823045,0.888889,77456
31,2000-02-16,0.888889,0.954733,0.888889,0.954733,78216
32,2000-02-17,0.946502,1.004115,0.946502,0.995885,49359
33,2000-02-18,1.012346,1.012346,1.012346,1.012346,9872
34,2000-02-22,1.004115,1.012346,1.004115,1.004115,18225
35,2000-02-23,1.004115,1.012346,1.004115,1.012346,5316
36,2000-02-24,1.012346,1.012346,1.012346,1.012346,2278
37,2000-02-25,1.012346,1.012346,0.995885,0.995885,17466
38,2000-02-28,1.004115,1.012346,0.979424,1.012346,28856
39,2000-02-29,1.004115,1.020576,0.987654,1.004115,78975
40,2000-03-01,1.004115,1.037037,0.971193,1.037037,71381
41,2000-03-02,1.037037,1.08642,1.037037,1.08642,36450
42,2000-03-03,1.102881,1.119342,1.102881,1.102881,47841
43,2000-03-06,1.09465,1.09465,1.09465,1.09465,759
44,2000-03-07,1.09465,1.152263,1.09465,1.144033,74419
45,2000-03-08,1.160494,1.168724,1.111111,1.168724,86569
46,2000-03-09,1.185185,1.234568,1.185185,1.234568,116184
47,2000-03-10,1.234568,1.234568,1.201646,1.209877,34172
48,2000-03-13,1.193416,1.193416,1.185185,1.185185,49359
49,2000-03-14,1.185185,1.218107,1.185185,1.209877,47841
50,2000-03-15,1.218107,1.226337,1.218107,1.218107,52397
51,2000-03-16,1.226337,1.234568,1.226337,1.226337,34172
52,2000-03-17,1.218107,1.226337,1.218107,1.218107,47081
53,2000-03-20,1.218107,1.218107,1.218107,1.218107,0
54,2000-03-21,1.218107,1.218107,1.218107,1.218107,759
55,2000-03-22,1.226337,1.226337,1.226337,1.226337,759
56,2000-03-23,1.226337,1.234568,1.218107,1.234568,6834
57,2000-03-24,1.251029,1.283951,1.251029,1.283951,30375
58,2000-03-27,1.27572,1.27572,1.234568,1.234568,35691
59,2000-03-28,1.234568,1.234568,1.201646,1.218107,65306
60,2000-03-29,1.218107,1.259259,1.218107,1.259259,18225
61,2000-03-30,1.251029,1.251029,1.226337,1.251029,78216
62,2000-03-31,1.234568,1.242798,1.234568,1.242798,11391
63,2000-04-03,1.226337,1.26749,1.226337,1.226337,52397
64,2000-04-04,1.226337,1.226337,1.226337,1.226337,26578
65,2000-04-05,1.193416,1.193416,1.185185,1.185185,19744
66,2000-04-06,1.193416,1.234568,1.176955,1.218107,35691
67,2000-04-07,1.218107,1.251029,1.209877,1.251029,30375
68,2000-04-10,1.242798,1.242798,1.242798,1.242798,3038
69,2000-04-11,1.251029,1.251029,1.251029,1.251029,15188
70,2000-04-12,1.251029,1.251029,1.234568,1.242798,404747
71,2000-04-13,1.259259,1.283951,1.259259,1.27572,451069
72,2000-04-14,1.283951,1.292181,1.251029,1.259259,59231
73,2000-04-17,1.259259,1.259259,1.226337,1.259259,27338
74,2000-04-18,1.259259,1.259259,1.259259,1.259259,50119
75,2000-04-19,1.259259,1.259259,1.259259,1.259259,9872
76,2000-04-20,1.259259,1.259259,1.259259,1.259259,12150
77,2000-04-24,1.259259,1.26749,1.259259,1.26749,25819
78,2000-04-25,1.27572,1.27572,1.27572,1.27572,1519
79,2000-04-26,1.27572,1.283951,1.26749,1.27572,25819
80,2000-04-27,1.27572,1.283951,1.27572,1.283951,3797
81,2000-04-28,1.292181,1.333333,1.292181,1.333333,50119
82,2000-05-01,1.349794,1.366255,1.333333,1.358025,56194
83,2000-05-02,1.374486,1.415638,1.374486,1.415638,60750
84,2000-05-03,1.399177,1.399177,1.366255,1.366255,26578
85,2000-05-04,1.366255,1.366255,1.366255,1.366255,0
86,2000-05-05,1.366255,1.366255,1.349794,1.358025,44803
87,2000-05-08,1.349794,1.358025,1.325103,1.358025,79734
88,2000-05-09,1.333333,1.333333,1.333333,1.333333,31894
89,2000-05-10,1.325103,1.325103,1.300412,1.316872,108591
90,2000-05-11,1.308642,1.308642,1.300412,1.308642,13669
91,2000-05-12,1.308642,1.349794,1.300412,1.333333,43284
92,2000-05-15,1.333333,1.358025,1.333333,1.358025,50878
93,2000-05-16,1.341564,1.366255,1.333333,1.333333,122259
94,2000-05-17,1.333333,1.382716,1.316872,1.366255,111628
95,2000-05-18,1.358025,1.358025,1.251029,1.259259,198197
96,2000-05-19,1.259259,1.283951,1.251029,1.283951,38728
97,2000-05-22,1.26749,1.316872,1.251029,1.316872,31134
98,2000-05-23,1.316872,1.382716,1.316872,1.333333,59991
99,2000-05-24,1.333333,1.366255,1.333333,1.366255,14428
100,2000-05-25,1.358025,1.366255,1.349794,1.349794,192122
101,2000-05-26,1.366255,1.366255,1.316872,1.316872,156431
102,2000-05-30,1.316872,1.349794,1.308642,1.349794,82013
103,2000-05-31,1.349794,1.399177,1.349794,1.399177,64547
104,2000-06-01,1.415638,1.415638,1.349794,1.349794,75178
105,2000-06-02,1.358025,1.36214,1.349794,1.349794,41766
106,2000-06-05,1.349794,1.374486,1.349794,1.349794,53156
107,2000-06-06,1.349794,1.349794,1.349794,1.349794,759
108,2000-06-07,1.333333,1.333333,1.333333,1.333333,1519
109,2000-06-08,1.333333,1.333333,1.333333,1.333333,4556
110,2000-06-09,1.333333,1.341564,1.333333,1.341564,5316
111,2000-06-12,1.341564,1.349794,1.341564,1.349794,9113
112,2000-06-13,1.333333,1.333333,1.283951,1.300412,132131
113,2000-06-14,1.292181,1.292181,1.27572,1.292181,9872
114,2000-06-15,1.292181,1.325103,1.283951,1.316872,49359
115,2000-06-16,1.325103,1.382716,1.316872,1.382716,170859
116,2000-06-19,1.374486,1.382716,1.358025,1.382716,63028
117,2000-06-20,1.382716,1.382716,1.374486,1.382716,39488
118,2000-06-21,1.382716,1.390947,1.366255,1.382716,58472
119,2000-06-22,1.382716,1.390947,1.382716,1.382716,37969
120,2000-06-23,1.382716,1.382716,1.316872,1.349794,120741
121,2000-06-26,1.366255,1.399177,1.366255,1.390947,101756
122,2000-06-27,1.390947,1.390947,1.374486,1.382716,36450
123,2000-06-28,1.382716,1.390947,1.382716,1.390947,6834
124,2000-06-29,1.390947,1.390947,1.279835,1.358025,85809
125,2000-06-30,1.390947,1.390947,1.390947,1.390947,39488
126,2000-07-03,1.390947,1.407407,1.390947,1.407407,4556
127,2000-07-05,1.407407,1.407407,1.407407,1.407407,1519
128,2000-07-06,1.407407,1.547325,1.407407,1.522634,88088
129,2000-07-07,1.497942,1.514403,1.481481,1.514403,30375
130,2000-07-10,1.481481,1.497942,1.399177,1.399177,63028
131,2000-07-11,1.399177,1.399177,1.366255,1.390947,8353
132,2000-07-12,1.407407,1.407407,1.407407,1.407407,759
133,2000-07-13,1.399177,1.423868,1.374486,1.374486,20503
134,2000-07-14,1.399177,1.44856,1.366255,1.44856,31134
135,2000-07-17,1.432099,1.44856,1.415638,1.44856,22781
136,2000-07-18,1.44856,1.465021,1.440329,1.465021,18225
137,2000-07-19,1.465021,1.473251,1.415638,1.415638,59991
138,2000-07-20,1.44856,1.44856,1.432099,1.432099,20503
139,2000-07-21,1.44856,1.44856,1.423868,1.423868,5316
140,2000-07-24,1.399177,1.415638,1.374486,1.390947,22022
141,2000-07-25,1.382716,1.390947,1.366255,1.366255,56953
142,2000-07-26,1.366255,1.382716,1.316872,1.382716,81253
143,2000-07-27,1.399177,1.399177,1.390947,1.390947,6075
144,2000-07-28,1.399177,1.399177,1.366255,1.366255,50119
145,2000-07-31,1.349794,1.349794,1.300412,1.341564,26578
146,2000-08-01,1.333333,1.341564,1.333333,1.341564,15188
147,2000-08-02,1.329218,1.329218,1.329218,1.329218,34172
148,2000-08-03,1.333333,1.349794,1.329218,1.349794,50878
149,2000-08-04,1.341564,1.382716,1.341564,1.382716,66066
150,2000-08-07,1.399177,1.399177,1.316872,1.316872,37209
151,2000-08-08,1.308642,1.308642,1.300412,1.300412,3797
152,2000-08-09,1.283951,1.316872,1.283951,1.316872,59991
153,2000-08-10,1.283951,1.316872,1.283951,1.300412,45563
154,2000-08-11,1.292181,1.292181,1.251029,1.26749,55434
155,2000-08-14,1.27572,1.316872,1.27572,1.316872,10631
156,2000-08-15,1.341564,1.341564,1.316872,1.333333,10631
157,2000-08-16,1.349794,1.374486,1.341564,1.374486,18225
158,2000-08-17,1.374486,1.390947,1.349794,1.366255,50119
159,2000-08-18,1.358025,1.358025,1.349794,1.349794,5316
160,2000-08-21,1.366255,1.382716,1.366255,1.366255,4556
161,2000-08-22,1.358025,1.358025,1.358025,1.358025,759
162,2000-08-23,1.366255,1.366255,1.366255,1.366255,3797
163,2000-08-24,1.374486,1.374486,1.374486,1.374486,2278
164,2000-08-25,1.390947,1.432099,1.349794,1.432099,58472
165,2000-08-28,1.432099,1.432099,1.432099,1.432099,0
166,2000-08-29,1.44856,1.481481,1.44856,1.481481,7594
167,2000-08-30,1.44856,1.44856,1.44856,1.44856,7594
168,2000-08-31,1.45679,1.473251,1.44856,1.44856,9113
169,2000-09-01,1.440329,1.481481,1.440329,1.481481,9113
170,2000-09-05,1.481481,1.481481,1.45679,1.45679,70622
171,2000-09-06,1.473251,1.514403,1.465021,1.465021,42525
172,2000-09-07,1.44856,1.465021,1.44856,1.465021,47081
173,2000-09-08,1.497942,1.497942,1.497942,1.497942,58472
174,2000-09-11,1.481481,1.481481,1.481481,1.481481,759
175,2000-09-12,1.481481,1.481481,1.481481,1.481481,12909
176,2000-09-13,1.497942,1.506173,1.481481,1.506173,46322
177,2000-09-14,1.506173,1.596708,1.506173,1.596708,15947
178,2000-09-15,1.596708,1.662551,1.596708,1.654321,45563
179,2000-09-18,1.670782,1.777778,1.670782,1.769547,66066
180,2000-09-19,1.786008,1.876543,1.786008,1.851852,49359
181,2000-09-20,1.925926,1.925926,1.794239,1.794239,132891
182,2000-09-21,1.777778,1.777778,1.744856,1.744856,89606
183,2000-09-22,1.711934,1.711934,1.703704,1.711934,24300
184,2000-09-25,1.679012,1.711934,1.679012,1.679012,42525
185,2000-09-26,1.670782,1.670782,1.563786,1.563786,37209
186,2000-09-27,1.563786,1.563786,1.563786,1.563786,22022
187,2000-09-28,1.547325,1.555556,1.530864,1.555556,12150
188,2000-09-29,1.572016,1.596708,1.547325,1.547325,42525
189,2000-10-02,1.530864,1.530864,1.489712,1.489712,60750
190,2000-10-03,1.473251,1.481481,1.390947,1.390947,59991
191,2000-10-04,1.374486,1.374486,1.358025,1.358025,27338
192,2000-10-05,1.341564,1.341564,1.316872,1.333333,38728
193,2000-10-06,1.333333,1.358025,1.333333,1.358025,12150
