,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.625,3.625,3.5,3.5625,22000
1,2000-01-04,3.5,3.5,3.5,3.5,4100
2,2000-01-05,3.5625,3.625,3.5,3.5,42600
3,2000-01-06,3.5625,3.5625,3.4375,3.46875,45600
4,2000-01-07,3.546875,3.75,3.546875,3.75,11500
5,2000-01-10,3.75,3.75,3.5625,3.5625,3800
6,2000-01-11,3.65625,3.6875,3.625,3.625,7800
7,2000-01-12,3.6875,3.75,3.625,3.75,15100
8,2000-01-13,3.75,3.9375,3.75,3.875,21800
9,2000-01-14,3.8125,3.8125,3.375,3.4375,16200
10,2000-01-18,3.625,3.75,3.625,3.75,8000
11,2000-01-19,3.625,3.875,3.625,3.875,1700
12,2000-01-20,3.625,3.75,3.625,3.625,7800
13,2000-01-21,3.625,3.625,3.625,3.625,6800
14,2000-01-24,3.671875,3.75,3.5,3.75,44700
15,2000-01-25,3.78125,3.78125,3.6875,3.75,7900
16,2000-01-26,3.625,3.625,3.625,3.625,6600
17,2000-01-27,3.625,3.75,3.625,3.625,6400
18,2000-01-28,3.75,3.75,3.75,3.75,4000
19,2000-01-31,3.75,4.0,3.6875,4.0,33500
20,2000-02-01,3.9375,3.9375,3.875,3.875,1200
21,2000-02-02,4.0,4.0,3.875,3.9375,4100
22,2000-02-03,3.875,3.9375,3.875,3.9375,35300
23,2000-02-04,3.9375,4.0625,3.9375,4.0,56400
24,2000-02-07,4.125,4.4375,4.078125,4.25,106500
25,2000-02-08,4.15625,4.46875,4.15625,4.4375,33900
26,2000-02-09,4.46875,4.75,4.40625,4.5,86400
27,2000-02-10,4.5625,4.5625,4.46875,4.46875,57700
28,2000-02-11,4.46875,4.5625,4.125,4.5625,23300
29,2000-02-14,4.5,4.5,4.125,4.375,3700
30,2000-02-15,4.1875,4.1875,4.0,4.0,21200
31,2000-02-16,4.125,4.25,4.125,4.25,17200
32,2000-02-17,4.25,4.25,4.125,4.125,5100
33,2000-02-18,4.15625,4.15625,4.15625,4.15625,1500
34,2000-02-22,4.375,4.375,4.0625,4.0625,5500
35,2000-02-23,4.25,4.25,4.03125,4.03125,3700
36,2000-02-24,4.03125,4.140625,4.0,4.140625,14500
37,2000-02-25,4.25,4.25,4.125,4.125,13500
38,2000-02-28,4.125,4.125,4.125,4.125,800
39,2000-02-29,4.125,4.25,4.0,4.0,12100
40,2000-03-01,4.0,4.125,3.375,3.875,16000
41,2000-03-02,3.75,3.75,3.75,3.75,2400
42,2000-03-03,3.9375,3.9375,3.875,3.9375,10000
43,2000-03-06,3.84375,3.9375,3.84375,3.9375,5400
44,2000-03-07,3.9375,4.125,3.9375,4.125,10800
45,2000-03-08,4.03125,4.03125,3.9375,3.9375,2400
46,2000-03-09,3.9375,4.0,3.9375,3.9375,4300
47,2000-03-10,3.9375,3.9375,3.8125,3.8125,19400
48,2000-03-13,3.9375,3.9375,3.875,3.875,5400
49,2000-03-14,3.875,3.875,3.8125,3.8125,1000
50,2000-03-15,3.84375,3.875,3.8125,3.8125,21100
51,2000-03-16,3.8125,3.875,3.8125,3.875,500
52,2000-03-17,3.84375,3.859375,3.8125,3.8125,2500
53,2000-03-20,3.875,3.875,3.875,3.875,6600
54,2000-03-21,3.875,3.875,3.75,3.75,11000
55,2000-03-22,3.75,3.875,3.6875,3.84375,7900
56,2000-03-23,3.8125,3.84375,3.5625,3.75,37900
57,2000-03-24,3.6875,3.8125,3.6875,3.8125,1800
58,2000-03-27,3.6875,3.875,3.6875,3.6875,7300
59,2000-03-28,3.6875,3.6875,3.5,3.5625,8600
60,2000-03-29,3.625,3.625,3.5,3.5,18200
61,2000-03-30,3.375,3.5,3.375,3.375,27200
62,2000-03-31,3.5,3.5,3.4375,3.4375,26100
63,2000-04-03,3.375,3.5,3.375,3.5,29000
64,2000-04-04,3.5,3.5,3.375,3.375,36800
65,2000-04-05,3.46875,3.5,3.375,3.5,22800
66,2000-04-06,3.40625,3.4375,3.40625,3.4375,1100
67,2000-04-07,3.4375,3.4375,3.4375,3.4375,10000
68,2000-04-10,3.4375,3.4375,3.3125,3.375,4900
69,2000-04-11,3.4375,3.4375,3.3125,3.375,9800
70,2000-04-12,3.40625,3.40625,3.3125,3.3125,800
71,2000-04-13,3.359375,3.359375,3.3125,3.3125,3600
72,2000-04-14,3.46875,3.46875,3.25,3.34375,79200
73,2000-04-17,3.25,3.375,3.03125,3.1875,11900
74,2000-04-18,3.15625,3.171875,3.0,3.0,5200
75,2000-04-19,3.125,3.125,3.0,3.0,10900
76,2000-04-20,3.0625,3.125,3.0625,3.125,6700
77,2000-04-24,3.0625,3.0625,3.0625,3.0625,2200
78,2000-04-25,3.0,3.125,3.0,3.125,11800
79,2000-04-26,3.0,3.109375,3.0,3.109375,10200
80,2000-04-27,3.0625,3.1875,3.0625,3.125,10400
81,2000-04-28,3.125,3.125,3.125,3.125,200
82,2000-05-01,3.25,3.25,3.25,3.25,3500
83,2000-05-02,3.25,3.375,3.1875,3.375,18300
84,2000-05-03,3.375,3.375,3.25,3.375,17400
85,2000-05-04,3.375,3.75,3.375,3.5625,41700
86,2000-05-05,3.5625,4.0,3.5625,4.0,20700
87,2000-05-08,3.5625,4.0,3.5625,3.8125,7200
88,2000-05-09,3.8125,3.8125,3.8125,3.8125,0
89,2000-05-10,3.6875,3.6875,3.6875,3.6875,500
90,2000-05-11,3.75,3.75,3.75,3.75,4900
91,2000-05-12,3.75,3.75,3.34375,3.34375,10600
92,2000-05-15,3.375,3.375,3.0,3.25,157600
93,2000-05-16,3.25,3.25,3.0,3.0,164400
94,2000-05-17,3.0,3.0,3.0,3.0,12700
95,2000-05-18,2.9375,2.9375,2.90625,2.9375,6200
96,2000-05-19,3.0,3.0,2.9375,2.9375,18100
97,2000-05-22,2.984375,2.984375,2.625,2.625,21200
98,2000-05-23,2.9375,2.96875,2.625,2.625,23900
99,2000-05-24,2.625,2.75,2.5,2.5625,39400
100,2000-05-25,2.5625,2.75,2.5625,2.75,5800
101,2000-05-26,2.75,2.875,2.75,2.75,5000
102,2000-05-30,2.75,2.75,2.625,2.625,2700
103,2000-05-31,2.625,2.671875,2.625,2.625,62900
104,2000-06-01,2.5625,2.6875,2.5625,2.578125,5500
105,2000-06-02,2.5625,2.875,2.5625,2.75,44700
106,2000-06-05,2.875,2.9375,2.8125,2.875,8000
107,2000-06-06,3.0,3.03125,2.9375,3.0,33900
108,2000-06-07,2.96875,3.0,2.75,2.75,9600
109,2000-06-08,2.9375,3.0,2.9375,2.9375,17200
110,2000-06-09,3.0,3.0625,2.875,2.875,131000
111,2000-06-12,2.875,2.875,2.8125,2.875,8000
112,2000-06-13,3.0,3.0,2.875,2.875,600
113,2000-06-14,2.875,3.0625,2.875,3.0625,57500
114,2000-06-15,3.0625,3.0625,3.0,3.0,106500
115,2000-06-16,3.0,3.0,3.0,3.0,2000
116,2000-06-19,2.9375,2.9375,2.875,2.875,3000
117,2000-06-20,2.875,2.875,2.875,2.875,0
118,2000-06-21,2.875,2.875,2.875,2.875,0
119,2000-06-22,3.0,3.0,2.875,2.90625,18100
120,2000-06-23,2.875,2.9375,2.875,2.875,12300
121,2000-06-26,3.0,3.0,2.9375,2.9375,2100
122,2000-06-27,2.875,2.875,2.875,2.875,1500
123,2000-06-28,3.0,3.0,2.9375,3.0,56600
124,2000-06-29,3.0,3.03125,2.9375,2.9375,9500
125,2000-06-30,2.9375,2.9375,2.75,2.75,18300
126,2000-07-03,3.0,3.0,2.75,2.875,10200
127,2000-07-05,2.875,3.0,2.875,2.875,14000
128,2000-07-06,2.8125,2.875,2.8125,2.875,4700
129,2000-07-07,2.875,2.875,2.75,2.75,31300
130,2000-07-10,2.875,3.0,2.875,3.0,26200
131,2000-07-11,2.8125,3.0,2.8125,2.875,6700
132,2000-07-12,2.875,2.875,2.75,2.75,9500
133,2000-07-13,2.75,2.75,2.75,2.75,100
134,2000-07-14,2.9375,2.9375,2.75,2.75,12800
135,2000-07-17,2.8125,2.875,2.75,2.8125,1300
136,2000-07-18,2.8125,2.8125,2.625,2.625,19800
137,2000-07-19,2.8125,2.8125,2.75,2.75,700
138,2000-07-20,2.625,2.6875,2.625,2.6875,8400
139,2000-07-21,2.625,2.6875,2.5625,2.6875,13800
140,2000-07-24,2.6875,2.6875,2.5625,2.5625,6200
141,2000-07-25,2.625,2.625,2.5625,2.625,12300
142,2000-07-26,2.6875,2.6875,2.6875,2.6875,1800
143,2000-07-27,2.75,2.75,2.6875,2.6875,1100
144,2000-07-28,2.765625,2.8125,2.75,2.75,13400
145,2000-07-31,2.75,2.75,2.75,2.75,6500
146,2000-08-01,2.875,2.875,2.875,2.875,400
147,2000-08-02,2.875,2.875,2.875,2.875,2100
148,2000-08-03,2.875,2.875,2.875,2.875,2600
149,2000-08-04,2.875,2.875,2.875,2.875,3000
150,2000-08-07,2.8125,2.8125,2.6875,2.75,8300
151,2000-08-08,2.75,2.75,2.75,2.75,500
152,2000-08-09,2.75,2.75,2.75,2.75,3500
153,2000-08-10,2.875,2.875,2.8125,2.8125,4000
154,2000-08-11,2.96875,3.5,2.96875,3.4375,42500
