,Date,Open,High,Low,Close,Volume
0,2000-01-03,29.875,29.9375,29.5625,29.5625,4100
1,2000-01-04,29.5625,29.5625,28.875,29.0,12600
2,2000-01-05,29.125,29.4375,28.8125,29.25,9200
3,2000-01-06,29.375,29.5,28.625,28.921875,20600
4,2000-01-07,29.0,29.125,29.0,29.0,18600
5,2000-01-10,29.1875,30.0625,28.875,30.0625,18500
6,2000-01-11,30.0,30.1875,29.75,29.875,8700
7,2000-01-12,30.0,30.0,29.75,29.75,9400
8,2000-01-13,29.6875,29.9375,29.5,29.625,8800
9,2000-01-14,29.625,29.6875,29.5,29.5625,2200
10,2000-01-18,29.625,29.75,29.625,29.6875,11800
11,2000-01-19,29.625,30.375,29.625,30.375,15000
12,2000-01-20,30.4375,30.4375,30.1875,30.25,15200
13,2000-01-21,30.0,30.0625,29.6875,29.6875,14200
14,2000-01-24,29.6875,29.75,28.9375,28.9375,16000
15,2000-01-25,29.0,29.9375,28.75,28.75,46500
16,2000-01-26,28.8125,28.9375,28.375,28.4375,24500
17,2000-01-27,28.3125,29.0,28.3125,28.6875,19000
18,2000-01-28,28.5625,28.5625,28.0,28.0,11500
19,2000-01-31,27.8125,28.1875,27.5625,27.875,20400
20,2000-02-01,27.9375,27.9375,27.4375,27.8125,109100
21,2000-02-02,27.8125,28.0,27.8125,28.0,6000
22,2000-02-03,28.25,29.8125,28.25,29.5625,47800
23,2000-02-04,29.6875,30.0,29.625,29.9375,39000
24,2000-02-07,30.0,30.0,29.75,29.875,8700
25,2000-02-08,29.9375,29.9375,28.6875,28.75,40000
26,2000-02-09,28.625,29.125,28.5,29.0625,8600
27,2000-02-10,29.0625,29.25,28.875,29.125,22700
28,2000-02-11,29.1875,29.8125,29.1875,29.4375,15200
29,2000-02-14,29.4375,29.4375,28.75,28.75,7100
30,2000-02-15,28.625,28.625,27.625,28.4375,29300
31,2000-02-16,27.9375,28.375,27.6875,27.875,45700
32,2000-02-17,27.875,28.1875,27.4375,27.5,21800
33,2000-02-18,27.625,27.625,27.0,27.1875,12000
34,2000-02-22,27.375,27.375,26.5,26.5625,10700
35,2000-02-23,26.5625,27.0,24.5,27.0,110400
36,2000-02-24,27.0,27.125,26.75,26.8125,10100
37,2000-02-25,26.8125,27.125,26.8125,26.9375,18500
38,2000-02-28,26.9375,26.9375,26.75,26.8125,73900
39,2000-02-29,26.8125,27.5625,26.75,27.5625,83900
40,2000-03-01,27.5625,27.625,27.25,27.25,26400
41,2000-03-02,27.125,27.125,26.9375,26.9375,8000
42,2000-03-03,27.0,27.0,26.40625,26.5,8200
43,2000-03-06,26.375,26.9375,26.125,26.875,12000
44,2000-03-07,27.0,27.0,26.875,26.875,8800
45,2000-03-08,26.8125,26.8125,26.4375,26.6875,18100
46,2000-03-09,26.5625,26.9375,26.5625,26.8125,7000
47,2000-03-10,26.8125,27.125,26.6875,27.0,19000
48,2000-03-13,26.9375,26.9375,26.3125,26.4375,7200
49,2000-03-14,26.3125,26.3125,25.8125,25.8125,7000
50,2000-03-15,25.75,25.75,25.1875,25.1875,4800
51,2000-03-16,25.1875,26.0,25.125,26.0,15000
52,2000-03-17,25.875,26.75,25.875,26.75,13900
53,2000-03-20,26.75,27.0,26.5625,26.5625,12500
54,2000-03-21,26.5625,26.5625,26.1875,26.5625,13200
55,2000-03-22,26.75,27.0,26.75,27.0,11300
56,2000-03-23,27.125,27.5625,27.125,27.5,21900
57,2000-03-24,27.625,28.1875,27.625,28.0625,20100
58,2000-03-27,29.125,29.25,28.625,28.625,38100
59,2000-03-28,28.6875,28.6875,27.625,27.75,11700
60,2000-03-29,27.75,27.75,27.0,27.0625,29700
61,2000-03-30,27.125,27.1875,27.0625,27.0625,10200
62,2000-03-31,26.9375,27.125,26.625,27.125,10300
