,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.4375,8.4375,8.3125,8.375,144000
1,2000-01-04,8.34375,8.34375,8.125,8.125,40800
2,2000-01-05,8.09375,8.109375,8.0,8.109375,132400
3,2000-01-06,8.09375,8.1875,8.078125,8.125,31600
4,2000-01-07,8.15625,8.171875,8.109375,8.171875,18800
5,2000-01-10,8.15625,8.1875,8.15625,8.171875,16400
6,2000-01-11,8.15625,8.171875,8.140625,8.140625,24000
7,2000-01-12,8.125,8.1875,8.125,8.1875,22000
8,2000-01-13,8.1875,8.1875,8.15625,8.171875,55200
9,2000-01-14,8.171875,8.484375,8.171875,8.421875,64000
10,2000-01-18,8.421875,8.46875,8.390625,8.4375,93200
11,2000-01-19,8.4375,8.5,8.4375,8.5,38000
12,2000-01-20,8.5,8.5,8.28125,8.375,103600
13,2000-01-21,8.34375,8.34375,8.265625,8.28125,44400
14,2000-01-24,8.265625,8.375,8.109375,8.109375,64000
15,2000-01-25,8.09375,8.15625,8.09375,8.140625,39200
16,2000-01-26,8.125,8.1875,8.09375,8.109375,48400
17,2000-01-27,8.09375,8.09375,8.03125,8.03125,60400
18,2000-01-28,8.03125,8.046875,7.96875,7.96875,46000
19,2000-01-31,7.96875,7.96875,7.8125,7.8125,63600
20,2000-02-01,7.78125,7.78125,7.71875,7.71875,40000
21,2000-02-02,7.75,7.75,7.578125,7.578125,118000
22,2000-02-03,7.578125,7.75,7.578125,7.75,30400
23,2000-02-04,7.8125,8.015625,7.8125,7.984375,54800
24,2000-02-07,7.984375,7.984375,7.703125,7.703125,146000
25,2000-02-08,8.15625,8.578125,8.15625,8.53125,900000
26,2000-02-09,8.5,8.625,7.84375,8.0,1682800
27,2000-02-10,7.96875,7.96875,7.796875,7.828125,178800
28,2000-02-11,7.78125,7.890625,7.78125,7.84375,157200
29,2000-02-14,7.84375,7.875,7.75,7.78125,66800
30,2000-02-15,7.8125,7.84375,7.78125,7.8125,63200
31,2000-02-16,7.8125,7.8125,7.65625,7.734375,63600
32,2000-02-17,7.671875,7.71875,7.671875,7.671875,30800
33,2000-02-18,7.703125,7.703125,7.578125,7.65625,122400
34,2000-02-22,7.625,7.625,7.578125,7.59375,82400
35,2000-02-23,7.5625,7.609375,7.53125,7.609375,34800
36,2000-02-24,7.625,7.875,7.625,7.625,117600
37,2000-02-25,7.625,7.625,7.5,7.53125,81200
38,2000-02-28,7.53125,7.640625,7.53125,7.546875,87600
39,2000-02-29,7.53125,7.53125,7.390625,7.453125,69200
40,2000-03-01,7.484375,7.484375,7.328125,7.375,64800
41,2000-03-02,7.375,7.4375,7.203125,7.21875,97600
42,2000-03-03,7.21875,7.21875,7.0625,7.0625,26800
43,2000-03-06,7.140625,7.140625,7.109375,7.125,326000
44,2000-03-07,7.09375,7.09375,6.96875,6.96875,34800
45,2000-03-08,6.96875,6.96875,6.8125,6.828125,38800
46,2000-03-09,6.8125,6.8125,6.734375,6.75,109200
47,2000-03-10,6.75,6.75,6.65625,6.703125,48400
48,2000-03-13,6.671875,6.6875,6.625,6.625,24800
49,2000-03-14,6.5625,6.75,6.5625,6.640625,187600
50,2000-03-15,6.640625,6.875,6.640625,6.875,118400
51,2000-03-16,6.9375,7.125,6.9375,7.09375,73600
52,2000-03-17,7.078125,7.28125,7.078125,7.28125,59600
53,2000-03-20,7.25,7.25,7.0625,7.0625,54400
54,2000-03-21,7.0625,7.3125,7.046875,7.3125,60000
55,2000-03-22,7.375,7.625,7.359375,7.625,91200
56,2000-03-23,7.625,8.1875,7.625,8.015625,165600
57,2000-03-24,8.078125,8.078125,8.015625,8.015625,48400
58,2000-03-27,8.015625,8.0625,8.015625,8.0625,38400
59,2000-03-28,8.046875,8.078125,8.046875,8.078125,26000
60,2000-03-29,8.015625,8.09375,8.015625,8.09375,24400
61,2000-03-30,8.0625,8.21875,8.0625,8.15625,55200
62,2000-03-31,8.140625,8.375,8.140625,8.375,54800
63,2000-04-03,8.34375,8.40625,8.34375,8.40625,20800
64,2000-04-04,8.40625,8.40625,8.25,8.34375,34000
65,2000-04-05,8.328125,8.4375,8.28125,8.4375,28400
66,2000-04-06,8.40625,8.5625,8.40625,8.46875,55200
67,2000-04-07,8.46875,8.46875,8.40625,8.4375,16800
68,2000-04-10,8.375,8.375,8.203125,8.25,33600
69,2000-04-11,8.25,8.25,7.96875,8.0,74000
70,2000-04-12,8.0,8.125,8.0,8.125,82000
71,2000-04-13,8.125,8.125,8.078125,8.09375,18400
72,2000-04-14,8.0625,8.0625,8.0,8.0,72400
73,2000-04-17,7.984375,8.046875,7.96875,8.046875,17600
74,2000-04-18,8.015625,8.078125,7.96875,8.078125,51200
75,2000-04-19,8.0625,8.0625,8.0,8.015625,26000
76,2000-04-20,8.015625,8.03125,7.96875,7.96875,30400
77,2000-04-24,7.96875,8.03125,7.96875,8.015625,40400
78,2000-04-25,7.953125,8.0,7.953125,7.953125,48800
79,2000-04-26,7.953125,8.03125,7.953125,8.0,34400
80,2000-04-27,7.953125,8.03125,7.921875,8.03125,52800
81,2000-04-28,8.03125,8.03125,7.953125,8.03125,46400
82,2000-05-01,8.03125,8.03125,7.953125,8.0,49600
83,2000-05-02,7.9375,7.9375,7.890625,7.921875,29200
84,2000-05-03,7.90625,7.90625,7.84375,7.84375,17200
85,2000-05-04,7.8125,7.890625,7.8125,7.890625,29600
86,2000-05-05,7.890625,8.125,7.875,8.125,84800
87,2000-05-08,8.03125,8.09375,8.0,8.03125,63600
88,2000-05-09,8.09375,8.109375,8.046875,8.046875,43200
89,2000-05-10,8.0625,8.1875,8.0625,8.1875,81200
90,2000-05-11,8.21875,8.46875,8.21875,8.46875,37200
91,2000-05-12,8.5,8.71875,8.5,8.5,160400
92,2000-05-15,8.5,8.5,8.375,8.5,81600
93,2000-05-16,8.5,8.59375,8.46875,8.59375,39200
94,2000-05-17,8.625,8.625,8.53125,8.5625,66800
95,2000-05-18,8.5625,8.5625,8.5,8.5,11200
96,2000-05-19,8.5,8.53125,8.5,8.515625,17600
97,2000-05-22,8.484375,8.5625,8.4375,8.5625,23600
98,2000-05-23,8.53125,8.53125,8.46875,8.5,25200
99,2000-05-24,8.5,8.625,8.46875,8.625,45600
100,2000-05-25,8.640625,8.671875,8.578125,8.578125,42400
101,2000-05-26,8.578125,8.765625,8.578125,8.734375,12000
102,2000-05-30,8.703125,9.0,8.703125,9.0,66000
103,2000-05-31,9.0,9.109375,8.984375,9.09375,40800
104,2000-06-01,9.03125,9.21875,9.03125,9.21875,62000
105,2000-06-02,9.28125,9.4375,9.28125,9.375,40400
106,2000-06-05,9.328125,9.328125,9.28125,9.296875,15600
107,2000-06-06,9.296875,9.296875,8.96875,8.96875,54400
108,2000-06-07,8.984375,8.984375,8.796875,8.84375,40800
109,2000-06-08,8.828125,8.859375,8.828125,8.859375,6400
110,2000-06-09,8.859375,8.859375,8.796875,8.796875,18400
111,2000-06-12,8.796875,8.796875,8.75,8.75,36800
112,2000-06-13,8.75,8.75,8.6875,8.6875,77200
113,2000-06-14,8.703125,8.765625,8.65625,8.6875,22800
114,2000-06-15,8.6875,8.71875,8.65625,8.71875,21200
115,2000-06-16,8.71875,8.71875,8.65625,8.65625,39600
116,2000-06-19,8.65625,8.765625,8.609375,8.765625,13200
117,2000-06-20,8.765625,8.765625,8.671875,8.671875,12800
