,Date,Open,High,Low,Close,Volume
0,2000-01-03,5.28125,5.28125,5.0625,5.109375,770400
1,2000-01-04,5.0625,5.125,5.046875,5.085938,620800
2,2000-01-05,5.078125,5.109375,4.992188,5.085938,845600
3,2000-01-06,5.085938,5.125,5.0625,5.09375,265600
4,2000-01-07,5.109375,5.148438,5.09375,5.109375,1012800
5,2000-01-10,5.140625,5.171875,5.0625,5.171875,973600
6,2000-01-11,5.28125,5.375,5.171875,5.203125,300800
7,2000-01-12,5.21875,5.21875,5.0625,5.109375,419200
8,2000-01-13,5.109375,5.4375,5.109375,5.421875,1065600
9,2000-01-14,5.375,5.5,5.296875,5.304688,999200
10,2000-01-18,5.375,5.609375,5.375,5.609375,903200
11,2000-01-19,5.625,5.742188,5.625,5.734375,996800
12,2000-01-20,5.828125,6.046875,5.796875,6.046875,563200
13,2000-01-21,6.125,6.890625,6.125,6.8125,1504000
14,2000-01-24,6.8125,7.125,6.78125,6.859375,1003200
15,2000-01-25,6.875,6.875,6.171875,6.242188,2020000
16,2000-01-26,6.257813,6.257813,5.828125,5.984375,1252000
17,2000-01-27,5.984375,5.984375,5.5,5.59375,848800
18,2000-01-28,5.59375,5.804688,5.40625,5.5,2183200
19,2000-01-31,5.5,5.5,5.265625,5.375,964800
20,2000-02-01,5.34375,5.5625,5.3125,5.546875,1068800
21,2000-02-02,5.539063,5.703125,5.3125,5.34375,312000
22,2000-02-03,6.234375,6.5,6.0,6.382813,2494400
23,2000-02-04,6.5,6.96875,6.484375,6.820313,2258400
24,2000-02-07,6.828125,7.46875,6.828125,6.9375,1303200
25,2000-02-08,6.9375,7.09375,6.71875,7.0,1018400
26,2000-02-09,7.125,7.46875,7.125,7.320313,1652000
27,2000-02-10,7.320313,7.625,7.320313,7.625,823200
28,2000-02-11,7.625,7.625,7.09375,7.1875,446400
29,2000-02-14,7.1875,7.25,7.1875,7.210938,395200
30,2000-02-15,7.234375,7.234375,7.070313,7.078125,536000
31,2000-02-16,7.109375,7.140625,7.0,7.070313,235200
32,2000-02-17,7.140625,7.171875,7.0625,7.109375,860000
33,2000-02-18,7.109375,7.195313,7.09375,7.15625,677600
34,2000-02-22,7.234375,7.445313,7.140625,7.421875,747200
35,2000-02-23,7.390625,7.5,7.265625,7.460938,1535200
36,2000-02-24,7.546875,8.75,7.546875,8.578125,1708800
37,2000-02-25,8.625,9.125,8.296875,8.515625,2537600
38,2000-02-28,8.96875,9.273438,8.84375,9.25,1039200
39,2000-02-29,9.59375,9.59375,9.226563,9.328125,2193600
40,2000-03-01,9.625,9.90625,9.5,9.882813,1716000
41,2000-03-02,10.015625,10.046875,9.664063,9.8125,1100000
42,2000-03-03,9.71875,9.84375,9.6875,9.703125,696800
43,2000-03-06,9.703125,9.867188,9.625,9.867188,707200
44,2000-03-07,9.875,9.9375,9.5625,9.648438,768000
45,2000-03-08,9.515625,9.640625,9.132813,9.640625,1144000
46,2000-03-09,9.75,9.921875,9.75,9.875,623200
47,2000-03-10,9.875,9.875,9.375,9.40625,586400
48,2000-03-13,9.28125,9.359375,9.023438,9.09375,644000
49,2000-03-14,8.859375,8.859375,7.25,7.5,2542400
50,2000-03-15,7.5,8.4375,7.46875,8.3125,1606400
51,2000-03-16,8.5,9.1875,8.5,9.1875,720000
52,2000-03-17,9.09375,9.15625,9.0,9.125,553600
53,2000-03-20,9.0625,9.132813,9.039063,9.09375,345600
54,2000-03-21,9.0625,9.234375,8.96875,9.234375,534400
55,2000-03-22,9.234375,9.921875,9.234375,9.90625,686400
56,2000-03-23,9.90625,10.171875,9.859375,9.875,1524000
57,2000-03-24,9.84375,9.84375,8.78125,8.882813,1370400
58,2000-03-27,9.054688,9.164063,8.5,8.5,1789600
59,2000-03-28,8.71875,9.15625,8.71875,9.085938,1624800
60,2000-03-29,9.085938,9.1875,8.609375,8.625,860000
61,2000-03-30,8.4375,8.867188,8.4375,8.695313,1351200
62,2000-03-31,8.78125,8.96875,8.78125,8.921875,804000
63,2000-04-03,9.03125,9.75,9.03125,9.21875,407200
64,2000-04-04,9.21875,9.21875,7.5,7.90625,594400
65,2000-04-05,8.1875,8.96875,7.984375,8.75,1262400
66,2000-04-06,8.75,8.765625,8.28125,8.34375,311600
67,2000-04-07,8.5625,8.625,8.40625,8.546875,170800
68,2000-04-10,8.515625,9.4375,8.515625,9.109375,539600
69,2000-04-11,9.40625,9.65625,8.1875,8.3125,672400
70,2000-04-12,8.4375,8.6875,8.0625,8.0625,326000
71,2000-04-13,8.0625,8.15625,7.1875,7.28125,734000
72,2000-04-14,7.3125,7.40625,7.28125,7.375,1764000
73,2000-04-17,7.0625,7.625,7.0625,7.359375,695600
74,2000-04-18,7.453125,8.59375,7.453125,8.59375,335200
75,2000-04-19,8.3125,8.5625,8.1875,8.3125,311200
76,2000-04-20,8.3125,8.46875,7.921875,7.953125,163600
77,2000-04-24,7.953125,7.953125,6.6875,6.75,734000
78,2000-04-25,7.125,7.6875,7.125,7.609375,664400
79,2000-04-26,7.75,8.46875,7.75,8.46875,862800
80,2000-04-27,8.40625,8.625,8.25,8.46875,522000
81,2000-04-28,8.65625,8.9375,8.5,8.5,438800
82,2000-05-01,8.875,9.65625,8.875,9.515625,456800
83,2000-05-02,9.53125,9.53125,8.9375,9.0,670400
84,2000-05-03,7.25,7.40625,6.59375,6.96875,3587200
85,2000-05-04,7.25,7.3125,6.828125,6.96875,2602400
86,2000-05-05,6.96875,7.1875,6.921875,7.1875,2062800
87,2000-05-08,7.3125,7.375,7.0,7.09375,1139600
88,2000-05-09,7.125,7.125,6.84375,6.9375,457600
89,2000-05-10,6.875,6.875,6.625,6.625,487200
90,2000-05-11,6.5625,6.625,6.25,6.25,626800
91,2000-05-12,6.25,6.34375,6.0,6.03125,1312800
92,2000-05-15,6.015625,6.53125,5.859375,6.53125,1875200
93,2000-05-16,6.5,6.5,6.15625,6.171875,1351600
94,2000-05-17,6.21875,6.296875,6.171875,6.25,1874800
95,2000-05-18,6.21875,6.359375,6.21875,6.25,1298400
96,2000-05-19,6.203125,6.25,6.1875,6.25,405200
97,2000-05-22,6.25,6.34375,6.0,6.0,1070000
98,2000-05-23,6.0625,6.0625,5.8125,5.9375,573600
99,2000-05-24,5.9375,5.9375,5.71875,5.734375,311600
100,2000-05-25,5.796875,5.875,5.5,5.53125,343200
101,2000-05-26,5.5,5.65625,4.9375,5.5,800800
102,2000-05-30,5.6875,6.03125,5.625,5.96875,528400
103,2000-05-31,5.9375,6.0,5.78125,6.0,758000
104,2000-06-01,6.125,6.21875,6.09375,6.09375,319600
105,2000-06-02,6.3125,6.5,6.25,6.328125,1111600
106,2000-06-05,6.453125,6.734375,6.453125,6.71875,384400
107,2000-06-06,6.9375,7.203125,6.890625,6.90625,314400
108,2000-06-07,7.0,7.03125,6.40625,6.59375,930800
109,2000-06-08,6.65625,6.6875,6.46875,6.484375,331600
110,2000-06-09,6.53125,6.65625,6.5,6.546875,405200
111,2000-06-12,6.53125,6.53125,6.3125,6.359375,143200
112,2000-06-13,6.375,6.78125,6.375,6.78125,452800
113,2000-06-14,7.0,7.8125,7.0,7.5,1262000
114,2000-06-15,7.5,7.78125,7.46875,7.640625,626000
115,2000-06-16,7.625,7.640625,7.1875,7.25,637200
116,2000-06-19,7.3125,7.71875,7.3125,7.5625,835200
117,2000-06-20,7.65625,7.8125,7.5,7.640625,629600
118,2000-06-21,7.65625,7.75,7.46875,7.484375,1152000
119,2000-06-22,7.484375,7.484375,7.171875,7.296875,668000
120,2000-06-23,6.6875,6.6875,5.53125,6.0,4752800
121,2000-06-26,6.0,6.5625,6.0,6.421875,1753200
122,2000-06-27,6.625,6.90625,6.5,6.65625,666400
123,2000-06-28,6.78125,6.875,6.6875,6.84375,621600
124,2000-06-29,7.0,7.0,6.5625,6.6875,1489600
125,2000-06-30,6.6875,6.875,6.59375,6.6875,510000
126,2000-07-03,6.65625,6.65625,6.46875,6.46875,479600
127,2000-07-05,6.75,6.84375,6.5625,6.59375,974000
128,2000-07-06,6.6875,6.6875,6.625,6.640625,660800
129,2000-07-07,6.640625,6.671875,6.546875,6.640625,764000
130,2000-07-10,6.640625,6.8125,6.5625,6.59375,1001200
131,2000-07-11,6.625,6.625,6.0,6.15625,1266000
132,2000-07-12,6.1875,6.359375,6.171875,6.28125,2238000
133,2000-07-13,6.25,6.46875,6.21875,6.453125,1490800
134,2000-07-14,6.59375,6.59375,6.5,6.5625,618400
135,2000-07-17,6.8125,6.96875,6.765625,6.96875,978400
136,2000-07-18,6.875,7.125,6.875,7.109375,1027600
137,2000-07-19,7.0625,7.078125,6.875,6.90625,620800
138,2000-07-20,6.90625,6.90625,6.75,6.765625,1067600
139,2000-07-21,6.765625,6.765625,6.640625,6.640625,468000
140,2000-07-24,6.65625,6.75,6.59375,6.6875,549200
141,2000-07-25,6.75,7.03125,6.75,7.03125,686800
142,2000-07-26,7.03125,7.53125,6.96875,7.25,1007600
143,2000-07-27,7.53125,7.71875,7.15625,7.171875,1550000
144,2000-07-28,7.25,7.375,6.75,7.0,799600
145,2000-07-31,7.1875,7.3125,6.765625,6.9375,638000
146,2000-08-01,6.984375,7.3125,6.953125,7.234375,568400
147,2000-08-02,7.5625,7.75,7.4375,7.65625,2278400
148,2000-08-03,8.1875,8.5625,8.09375,8.46875,2596800
149,2000-08-04,8.5,8.625,8.359375,8.46875,947600
150,2000-08-07,8.46875,8.46875,8.125,8.203125,554400
151,2000-08-08,8.203125,8.203125,7.90625,8.0,566400
152,2000-08-09,7.8125,7.8125,7.25,7.484375,2873600
153,2000-08-10,7.6875,8.65625,7.640625,8.3125,1548400
154,2000-08-11,8.75,9.1875,8.5,8.734375,1200000
