,Date,Open,High,Low,Close,Volume
0,2000-01-03,20.433449,20.453115,19.509125,19.666456,3401096
1,2000-01-04,19.233795,19.64679,18.565134,18.860132,5350163
2,2000-01-05,18.860132,18.958464,18.407804,18.486469,6204409
3,2000-01-06,18.407804,19.450127,17.896477,19.37146,9770125
4,2000-01-07,19.37146,20.354782,19.076464,20.138453,6348055
5,2000-01-10,20.138453,20.53178,20.040119,20.335115,3909258
6,2000-01-11,20.256451,20.276117,19.804123,19.863121,3511690
7,2000-01-12,19.882788,20.610447,19.863121,20.315451,4023666
8,2000-01-13,20.197451,20.728445,20.138453,20.53178,3347070
9,2000-01-14,20.53178,20.53178,19.82379,20.079453,4831831
10,2000-01-18,19.82379,19.961454,18.938799,19.745123,7745739
11,2000-01-19,19.627125,19.981119,19.017464,19.09613,5754087
12,2000-01-20,19.214128,19.292793,18.270138,18.663467,6102078
13,2000-01-21,18.722467,19.194462,18.270138,19.076464,7201984
14,2000-01-24,19.666456,20.059786,18.722467,18.879799,8651152
15,2000-01-25,18.683134,18.761801,17.621145,17.896477,8228160
16,2000-01-26,17.896477,18.250471,17.42448,17.935808,7009397
17,2000-01-27,17.935808,18.053806,16.991819,17.36548,6155468
18,2000-01-28,17.286816,17.345816,16.20516,16.441158,11385821
19,2000-01-31,16.559156,16.913153,16.460823,16.65749,6506637
20,2000-02-01,16.834488,16.991819,16.53949,16.893486,8373394
21,2000-02-02,16.952486,17.149151,16.736155,16.913153,4869014
22,2000-02-03,17.070484,17.109818,16.20516,16.65749,7058338
23,2000-02-04,16.677155,16.834488,15.733166,16.165829,10730199
24,2000-02-07,16.106829,16.362492,15.831498,16.106829,11746524
25,2000-02-08,16.047829,16.244493,15.713499,16.047829,7658344
26,2000-02-09,16.323158,16.53949,15.890497,15.92983,8769055
27,2000-02-10,15.969163,16.26416,15.6545,15.772498,5535440
28,2000-02-11,15.772498,16.067495,14.966174,15.221838,6336932
29,2000-02-14,15.359503,16.20516,15.359503,15.831498,7424444
30,2000-02-15,15.92983,16.637823,15.615167,16.500156,10315788
31,2000-02-16,16.578823,16.952486,16.362492,16.401825,6143392
32,2000-02-17,16.991819,17.188482,16.362492,17.031153,6334072
33,2000-02-18,17.070484,17.149151,16.323158,16.480492,4666893
34,2000-02-22,16.873819,17.129484,16.14616,16.834488,4588714
35,2000-02-23,16.834488,17.109818,16.59849,16.59849,5782371
36,2000-02-24,16.637823,16.716488,15.792165,16.008495,7706650
37,2000-02-25,15.890497,16.087162,15.693833,15.752832,6911514
38,2000-02-28,15.969163,16.283827,15.733166,16.067495,11246306
39,2000-02-29,16.362492,16.362492,15.890497,16.028162,5150902
40,2000-03-01,16.028162,16.087162,15.339836,15.988829,5820189
41,2000-03-02,15.969163,16.165829,15.615167,15.988829,5262132
42,2000-03-03,15.910164,16.65749,15.733166,16.303493,5078444
43,2000-03-06,16.460823,16.578823,15.497168,15.733166,5253552
44,2000-03-07,15.772498,16.224827,15.339836,15.890497,5278022
45,2000-03-08,15.890497,15.890497,15.418502,15.497168,5309485
46,2000-03-09,15.261171,15.418502,14.631844,15.123505,7058656
47,2000-03-10,15.04484,15.575834,14.769509,15.379169,6406212
48,2000-03-13,15.261171,15.556167,15.162838,15.418502,4731724
49,2000-03-14,15.5955,15.92983,15.5955,15.713499,7657391
50,2000-03-15,15.752832,17.463814,15.536501,16.952486,9841630
51,2000-03-16,17.267149,18.230806,17.070484,17.935808,10592910
52,2000-03-17,17.621145,18.368471,17.050817,17.188482,8560579
53,2000-03-20,17.188482,18.191473,16.972153,17.660479,5574530
54,2000-03-21,17.54248,18.191473,17.385147,17.857143,5469338
55,2000-03-22,18.09314,18.329138,17.42448,17.562145,8359729
56,2000-03-23,17.581812,18.368471,17.306482,18.368471,5560864
57,2000-03-24,18.09314,18.565134,17.778477,17.955475,5240840
58,2000-03-27,18.525803,18.525803,17.935808,18.073475,4734584
59,2000-03-28,17.935808,18.329138,17.935808,18.191473,3827583
60,2000-03-29,18.053806,18.329138,17.719479,18.132473,3656607
61,2000-03-30,18.09314,19.509125,18.09314,19.312462,6609287
62,2000-03-31,18.879799,20.295784,18.801132,19.882788,8862489
63,2000-04-03,19.882788,20.099119,18.801132,19.469791,6804734
64,2000-04-04,19.82379,20.099119,18.742132,19.882788,4932256
65,2000-04-05,19.587791,19.745123,19.03713,19.194462,4320809
66,2000-04-06,19.214128,19.70579,19.115795,19.351793,3677264
67,2000-04-07,19.351793,19.469791,18.879799,19.174795,3918792
68,2000-04-10,19.174795,20.138453,19.115795,20.138453,5824003
69,2000-04-11,19.784456,20.689114,19.725456,20.217117,7272853
70,2000-04-12,20.177786,20.53178,20.177786,20.217117,7556013
71,2000-04-13,20.177786,20.354782,19.135464,19.155128,7534085
72,2000-04-14,17.975142,18.565134,17.640812,17.699812,8042882
73,2000-04-17,18.250471,18.781466,18.132473,18.742132,4419009
74,2000-04-18,18.486469,18.997797,17.876808,18.270138,4291571
75,2000-04-19,18.604467,19.64679,18.486469,19.233795,4810539
76,2000-04-20,18.879799,20.335115,18.840466,20.158117,7115542
77,2000-04-24,20.453115,20.807112,20.138453,20.413782,8239918
78,2000-04-25,20.453115,20.669447,19.922121,20.315451,5261179
79,2000-04-26,20.197451,20.295784,19.076464,19.076464,5925699
80,2000-04-27,19.03713,19.76479,18.879799,19.509125,3638492
81,2000-04-28,19.509125,19.784456,19.115795,19.568125,2216973
82,2000-05-01,19.332127,20.020452,19.194462,19.509125,3667094
83,2000-05-02,19.64679,20.099119,19.37146,19.745123,4782890
84,2000-05-03,19.273129,19.568125,19.056797,19.292793,2444518
85,2000-05-04,19.332127,19.587791,18.879799,19.430458,5121347
86,2000-05-05,19.509125,20.748112,19.391127,20.551447,5380672
87,2000-05-08,20.472782,21.062775,19.489458,19.587791,6002289
88,2000-05-09,19.627125,19.981119,19.37146,19.666456,3826948
89,2000-05-10,19.804123,19.981119,18.565134,18.801132,6842552
90,2000-05-11,19.391127,20.295784,19.312462,19.981119,4171761
91,2000-05-12,20.020452,20.413782,19.784456,20.217117,3846016
92,2000-05-15,19.981119,20.453115,19.981119,20.158117,3619424
93,2000-05-16,20.413782,20.905443,20.236784,20.826778,3461160
94,2000-05-17,20.689114,20.689114,20.335115,20.512115,3440503
95,2000-05-18,20.433449,20.728445,20.256451,20.418699,2936472
96,2000-05-19,19.981119,20.099119,19.391127,19.627125,3433829
97,2000-05-22,19.82379,19.82379,19.391127,19.489458,5487770
98,2000-05-23,19.64679,19.64679,19.017464,19.135464,5133741
99,2000-05-24,19.469791,19.469791,18.565134,18.840466,7510885
100,2000-05-25,18.840466,18.840466,18.388138,18.683134,5905995
101,2000-05-26,18.919132,18.919132,18.368471,18.545469,2667613
102,2000-05-30,18.466803,18.742132,18.171806,18.565134,5636183
103,2000-05-31,18.545469,19.312462,18.466803,19.017464,4507675
104,2000-06-01,18.565134,19.469791,18.270138,19.410793,5209695
105,2000-06-02,19.76479,20.413782,19.70579,19.863121,4972617
106,2000-06-05,19.233795,19.37146,18.801132,19.115795,3889554
107,2000-06-06,19.115795,19.489458,18.919132,19.37146,2998443
108,2000-06-07,19.391127,19.587791,18.840466,18.879799,3076622
109,2000-06-08,18.250471,18.329138,17.621145,17.916142,11416329
110,2000-06-09,18.09314,18.663467,18.053806,18.466803,6127184
111,2000-06-12,18.486469,18.604467,18.329138,18.33897,2804267
112,2000-06-13,18.486469,18.506136,17.935808,17.994808,4267418
113,2000-06-14,18.250471,18.958464,18.250471,18.801132,5128021
114,2000-06-15,18.820799,19.430458,18.545469,18.761801,3457028
115,2000-06-16,18.604467,18.958464,18.309471,18.525803,5740739
116,2000-06-19,18.643801,18.663467,17.719479,18.053806,6803780
117,2000-06-20,17.935808,17.975142,17.345816,17.503147,8663546
118,2000-06-21,17.975142,18.073475,17.42448,17.896477,4428543
119,2000-06-22,18.250471,18.250471,17.503147,17.778477,4195278
120,2000-06-23,17.778477,18.014475,17.562145,17.955475,2465810
121,2000-06-26,18.171806,18.250471,17.778477,17.955475,2383500
122,2000-06-27,17.935808,18.289804,17.719479,17.778477,4823568
123,2000-06-28,17.778477,18.15214,17.680145,17.852226,4080870
124,2000-06-29,17.640812,17.660479,17.050817,17.149151,5517644
125,2000-06-30,17.286816,18.560219,16.991819,18.525803,8059726
126,2000-07-03,18.09314,18.112806,17.42448,17.837477,2695897
127,2000-07-05,18.407804,18.624134,18.132473,18.486469,4492739
128,2000-07-06,18.486469,18.604467,18.132473,18.15214,3962330
129,2000-07-07,18.230806,18.545469,18.171806,18.486469,4541680
130,2000-07-10,18.506136,18.742132,18.329138,18.663467,4699944
131,2000-07-11,18.683134,18.899466,18.427469,18.879799,5405460
132,2000-07-12,18.624134,18.997797,18.329138,18.958464,6174854
133,2000-07-13,18.958464,19.155128,18.840466,19.03713,5045393
134,2000-07-14,19.194462,19.430458,18.997797,19.233795,2694626
135,2000-07-17,19.155128,19.174795,18.958464,19.046963,2327567
136,2000-07-18,18.958464,18.958464,18.368471,18.565134,3181496
137,2000-07-19,18.879799,19.017464,18.014475,18.09314,6564477
138,2000-07-20,18.09314,18.250471,17.896477,18.053806,6670940
139,2000-07-21,18.053806,18.565134,18.053806,18.486469,5604721
140,2000-07-24,18.447138,18.722467,18.368471,18.584803,2675876
141,2000-07-25,18.565134,18.879799,18.289804,18.329138,3711904
142,2000-07-26,18.407804,18.407804,17.916142,18.053806,4762869
143,2000-07-27,18.09314,18.289804,17.719479,18.09314,4938294
144,2000-07-28,18.09314,18.171806,17.719479,18.073475,3164335
145,2000-07-31,18.250471,18.801132,18.230806,18.368471,2525557
146,2000-08-01,18.604467,18.722467,18.447138,18.643801,4869967
