,Date,Open,High,Low,Close,Volume
0,2000-01-03,9.006467,9.006467,8.68023,8.715184,517645
1,2000-01-04,8.668578,8.668578,8.377295,8.563717,369057
2,2000-01-05,8.587019,8.854999,8.575368,8.820045,400169
3,2000-01-06,8.77344,8.843348,8.738486,8.831697,342772
4,2000-01-07,8.843348,8.854999,8.715184,8.785092,323461
5,2000-01-10,8.715184,8.726835,8.587019,8.703532,326680
6,2000-01-11,8.738486,8.738486,8.633624,8.633624,157171
7,2000-01-12,8.633624,8.703532,8.540414,8.552065,190429
8,2000-01-13,8.528763,8.552065,8.412249,8.528763,199012
9,2000-01-14,8.552065,8.738486,8.50546,8.668578,285912
10,2000-01-18,8.621973,8.621973,8.144269,8.179223,197939
11,2000-01-19,8.06271,8.109315,7.922894,7.934546,495116
12,2000-01-20,7.957848,8.097664,7.911243,7.957848,251581
13,2000-01-21,7.946197,8.016105,7.573355,7.701519,455421
14,2000-01-24,7.748124,7.818032,7.200513,7.328677,537493
15,2000-01-25,7.375282,7.503447,7.200513,7.317026,675889
16,2000-01-26,7.305375,7.526749,7.258769,7.270421,1198363
17,2000-01-27,7.317026,7.410236,7.270421,7.328677,572360
18,2000-01-28,7.363631,8.039407,7.35198,7.829684,958583
19,2000-01-31,7.829684,8.097664,7.608309,8.016105,1201581
20,2000-02-01,8.016105,8.027756,7.771427,7.783078,365302
21,2000-02-02,7.736473,7.829684,7.713171,7.759776,401779
22,2000-02-03,7.748124,7.864638,7.666565,7.829684,392123
23,2000-02-04,7.818032,7.957848,7.771427,7.852986,261773
24,2000-02-07,7.829684,7.841335,7.515098,7.573355,273038
25,2000-02-08,7.61996,7.736473,7.515098,7.526749,344918
26,2000-02-09,7.526749,7.631611,7.526749,7.526749,717730
27,2000-02-10,7.503447,7.526749,7.17721,7.421888,867928
28,2000-02-11,7.433539,7.515098,7.247118,7.35198,337945
29,2000-02-14,7.375282,7.538401,7.35198,7.480144,229588
30,2000-02-15,7.456842,7.724822,7.456842,7.701519,347064
31,2000-02-16,7.654914,7.654914,7.515098,7.61996,529983
32,2000-02-17,7.666565,7.783078,7.573355,7.631611,798730
33,2000-02-18,7.61996,7.631611,7.340328,7.410236,941954
34,2000-02-22,7.410236,7.433539,7.340328,7.410236,505844
35,2000-02-23,7.456842,7.526749,7.44519,7.503447,377640
36,2000-02-24,7.503447,7.503447,7.200513,7.270421,638876
37,2000-02-25,7.17721,7.247118,7.095651,7.118953,247290
38,2000-02-28,7.118953,7.142256,7.014092,7.025743,376567
39,2000-02-29,7.049046,7.410236,6.932532,7.410236,620102
40,2000-03-01,7.410236,7.410236,7.142256,7.270421,277866
41,2000-03-02,7.258769,7.270421,7.130605,7.212164,217250
42,2000-03-03,7.212164,7.783078,7.200513,7.643263,329898
43,2000-03-06,7.61996,7.61996,7.282072,7.282072,216714
44,2000-03-07,7.282072,7.282072,6.897578,6.90923,746697
45,2000-03-08,6.874276,7.049046,6.874276,6.944184,741869
46,2000-03-09,6.862625,6.874276,6.781065,6.862625,364229
47,2000-03-10,6.850973,6.979138,6.850973,6.897578,372812
48,2000-03-13,6.944184,7.025743,6.73446,6.862625,278402
49,2000-03-14,6.874276,6.874276,6.629598,6.664552,674817
50,2000-03-15,6.711157,7.084,6.699506,7.084,944099
51,2000-03-16,7.072348,8.086013,7.072348,7.911243,1205872
52,2000-03-17,7.736473,7.922894,7.503447,7.538401,975212
53,2000-03-20,7.759776,8.167572,7.689868,7.876289,867391
54,2000-03-21,7.736473,7.864638,7.631611,7.852986,453275
55,2000-03-22,7.829684,7.864638,7.701519,7.806381,552513
56,2000-03-23,7.806381,8.50546,7.806381,8.365644,994523
57,2000-03-24,8.353993,8.552065,8.1967,8.272434,347600
58,2000-03-27,8.249131,8.482157,8.179223,8.202526,412507
59,2000-03-28,8.179223,8.225828,7.666565,7.666565,486533
60,2000-03-29,7.829684,8.412249,7.829684,8.284085,439328
61,2000-03-30,8.319039,8.575368,8.319039,8.482157,499407
62,2000-03-31,8.517111,9.088026,8.482157,9.088026,741333
63,2000-04-03,9.088026,9.099677,8.854999,8.983164,690373
64,2000-04-04,8.94821,9.111328,8.715184,8.913256,631903
