,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.1875,7.3125,7.0625,7.0625,22600
1,2000-01-04,7.0625,7.1875,7.0,7.125,28800
2,2000-01-05,7.25,7.5,7.25,7.375,230400
3,2000-01-06,7.375,7.5625,7.375,7.375,36700
4,2000-01-07,7.4375,7.625,7.375,7.5625,166800
5,2000-01-10,7.5625,7.75,7.5625,7.75,37100
6,2000-01-11,7.5625,7.75,7.5,7.6875,28900
7,2000-01-12,7.5625,7.625,7.5,7.5,29600
8,2000-01-13,7.5,7.625,7.5,7.5,28400
9,2000-01-14,7.625,7.625,7.5,7.5,49800
10,2000-01-18,7.625,8.0,7.5,7.625,121600
11,2000-01-19,7.625,7.6875,7.5625,7.625,23900
12,2000-01-20,7.6875,7.75,7.5625,7.625,59700
13,2000-01-21,7.6875,7.75,7.5625,7.625,40500
14,2000-01-24,7.6875,7.6875,7.5,7.625,65500
15,2000-01-25,7.5625,7.625,7.5,7.5625,63200
16,2000-01-26,7.5625,7.6875,7.5,7.5,71600
17,2000-01-27,7.5,7.5625,7.4375,7.4375,124500
18,2000-01-28,7.5625,7.625,7.4375,7.5,54800
19,2000-01-31,7.5,7.5,7.375,7.4375,22500
20,2000-02-01,7.375,7.375,7.3125,7.3125,30800
21,2000-02-02,7.3125,7.625,7.3125,7.5,51800
22,2000-02-03,7.5,7.625,7.5,7.625,13200
23,2000-02-04,7.5,7.6875,7.5,7.5625,34600
24,2000-02-07,7.6875,7.6875,7.625,7.625,8900
25,2000-02-08,7.625,7.6875,7.5,7.5,21700
26,2000-02-09,7.4375,7.5,7.4375,7.5,19000
27,2000-02-10,7.4375,7.4375,7.3125,7.375,23400
28,2000-02-11,7.4375,7.5,7.3125,7.5,47900
29,2000-02-14,7.375,7.5625,7.375,7.5,65200
30,2000-02-15,7.4375,7.5,7.4375,7.5,124900
31,2000-02-16,7.4375,7.75,7.4375,7.6875,58400
32,2000-02-17,7.625,7.9375,7.625,7.625,52300
33,2000-02-18,7.625,7.6875,7.5625,7.6875,50800
34,2000-02-22,7.5625,7.5625,7.5,7.5,40800
35,2000-02-23,7.5,7.625,7.5,7.625,39900
36,2000-02-24,7.5,7.5,7.25,7.3125,41800
37,2000-02-25,7.1875,7.3125,7.125,7.25,47200
38,2000-02-28,7.3125,7.375,7.125,7.1875,39500
39,2000-02-29,7.125,7.3125,7.125,7.3125,87600
40,2000-03-01,7.1875,7.25,7.0625,7.0625,50400
41,2000-03-02,7.0625,7.625,7.0625,7.5,107300
42,2000-03-03,7.375,7.375,7.25,7.375,37200
43,2000-03-06,7.3125,7.4375,7.25,7.25,47300
44,2000-03-07,7.4375,7.4375,7.1875,7.1875,21600
45,2000-03-08,7.1875,7.25,7.1875,7.1875,28900
46,2000-03-09,7.1875,7.1875,7.1875,7.1875,17800
47,2000-03-10,7.3125,7.375,7.1875,7.25,29100
48,2000-03-13,7.1875,7.375,7.1875,7.3125,43900
49,2000-03-14,7.25,7.3125,7.1875,7.1875,40700
50,2000-03-15,7.25,7.4375,7.25,7.3125,45800
51,2000-03-16,7.3125,7.4375,7.25,7.4375,21500
52,2000-03-17,7.1875,7.5,7.1875,7.4375,120500
53,2000-03-20,7.4375,7.4375,7.375,7.375,13900
54,2000-03-21,7.375,7.375,7.3125,7.3125,23900
55,2000-03-22,7.25,7.375,7.25,7.3125,45900
56,2000-03-23,7.25,7.4375,7.25,7.375,28200
57,2000-03-24,7.3125,7.4375,7.3125,7.375,24500
58,2000-03-27,7.25,7.375,7.25,7.375,28800
59,2000-03-28,7.25,7.5,7.25,7.4375,37900
60,2000-03-29,7.5,7.5625,7.4375,7.5625,26900
61,2000-03-30,7.4375,7.4375,7.4375,7.4375,4300
62,2000-03-31,7.4375,7.5625,7.4375,7.5,20100
63,2000-04-03,7.5,7.9375,7.5,7.9375,137300
64,2000-04-04,8.0,8.125,7.8125,7.9375,95400
65,2000-04-05,7.8125,8.0,7.6875,7.875,28400
66,2000-04-06,7.8125,7.9375,7.8125,7.875,13600
67,2000-04-07,8.0,8.0,7.875,7.9375,32500
68,2000-04-10,7.9375,8.0625,7.8125,8.0,30200
69,2000-04-11,8.0,8.0625,8.0,8.0625,20900
70,2000-04-12,7.9375,8.0,7.8125,7.875,49200
71,2000-04-13,7.875,7.9375,7.8125,7.875,11800
72,2000-04-14,7.875,8.0,7.75,7.75,101100
73,2000-04-17,7.75,7.75,7.625,7.625,49100
74,2000-04-18,7.5625,8.125,7.5,8.0,94500
75,2000-04-19,8.0625,8.3125,7.75,8.0,97200
76,2000-04-20,7.75,7.875,7.6875,7.8125,31500
77,2000-04-24,7.875,7.875,7.5625,7.6875,17700
78,2000-04-25,7.6875,7.6875,7.625,7.6875,33500
79,2000-04-26,7.625,7.75,7.625,7.625,12000
80,2000-04-27,7.625,7.9375,7.625,7.875,24500
81,2000-04-28,7.75,7.875,7.75,7.875,174200
82,2000-05-01,7.75,7.9375,7.75,7.875,13600
83,2000-05-02,7.875,7.9375,7.875,7.9375,7900
84,2000-05-03,7.9375,8.125,7.875,8.125,46800
85,2000-05-04,8.125,8.375,8.125,8.25,35700
86,2000-05-05,8.125,8.875,8.125,8.8125,135400
87,2000-05-08,8.6875,8.6875,8.25,8.5,74400
88,2000-05-09,8.4375,9.0,8.4375,8.75,92600
89,2000-05-10,8.625,8.6875,8.5,8.5,44800
90,2000-05-11,8.5,8.5,8.375,8.4375,14200
91,2000-05-12,8.4375,8.6875,8.4375,8.5625,66500
92,2000-05-15,8.5,8.875,8.5,8.6875,30000
93,2000-05-16,8.5625,8.75,8.5625,8.5625,17200
94,2000-05-17,8.5625,8.75,8.5625,8.75,14900
95,2000-05-18,8.625,9.125,8.625,9.125,43100
96,2000-05-19,9.125,9.1875,8.875,9.0,207000
97,2000-05-22,9.1875,9.25,8.9375,8.9375,15000
98,2000-05-23,8.8125,8.875,8.75,8.75,14800
99,2000-05-24,8.8125,8.875,8.625,8.75,15200
100,2000-05-25,8.6875,8.75,8.625,8.6875,5800
101,2000-05-26,8.5625,8.625,8.5,8.5625,29100
102,2000-05-30,8.625,8.625,8.5,8.5625,15100
103,2000-05-31,8.5625,8.6875,8.5,8.5,21500
104,2000-06-01,8.5,8.625,8.4375,8.5,22400
105,2000-06-02,8.5,8.9375,8.4375,8.9375,55200
106,2000-06-05,8.875,8.875,8.75,8.75,3400
107,2000-06-06,8.6875,9.0,8.6875,9.0,19700
108,2000-06-07,8.9375,8.9375,8.5,8.625,19300
109,2000-06-08,8.5,8.75,8.5,8.75,7900
110,2000-06-09,8.75,8.75,8.5,8.5,8100
111,2000-06-12,8.5,8.6875,8.5,8.625,18900
112,2000-06-13,8.625,8.6875,8.5625,8.5625,11600
113,2000-06-14,8.4375,8.4375,8.3125,8.375,21700
