,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.984375,3.085938,2.90625,3.082031,24232000
1,2000-01-04,3.007813,3.109375,2.96875,2.984375,21564800
2,2000-01-05,2.992188,3.078125,2.960938,3.023438,28206400
3,2000-01-06,3.0,3.203125,3.0,3.132813,30825600
4,2000-01-07,3.09375,3.125,3.03125,3.117188,26044800
5,2000-01-10,3.234375,3.34375,3.226563,3.25,29031200
6,2000-01-11,3.242188,3.257813,3.148438,3.15625,19623200
7,2000-01-12,3.171875,3.21875,3.09375,3.164063,17745600
8,2000-01-13,3.171875,3.40625,3.171875,3.390625,21556000
9,2000-01-14,3.398438,3.445313,3.289063,3.304688,22196800
10,2000-01-18,3.273438,3.328125,3.164063,3.257813,10513600
11,2000-01-19,3.257813,3.328125,3.179688,3.1875,15800800
12,2000-01-20,3.195313,3.21875,3.070313,3.132813,18167200
13,2000-01-21,3.164063,3.171875,3.09375,3.121094,11176000
14,2000-01-24,3.125,3.195313,2.890625,3.070313,31140000
15,2000-01-25,3.039063,3.375,2.976563,3.25,47650400
16,2000-01-26,3.367188,3.671875,3.34375,3.625,75863200
17,2000-01-27,3.609375,3.640625,3.539063,3.609375,37517600
18,2000-01-28,3.625,3.773438,3.617188,3.726563,60170400
19,2000-01-31,3.742188,4.0,3.734375,4.0,51054400
20,2000-02-01,3.96875,4.046875,3.929688,4.039063,30592000
21,2000-02-02,4.03125,4.0625,3.859375,3.976563,20413600
22,2000-02-03,3.984375,4.0,3.796875,3.929688,20513600
23,2000-02-04,4.0625,4.34375,3.9375,4.296875,51308800
24,2000-02-07,4.289063,4.3125,4.171875,4.28125,19449600
25,2000-02-08,4.28125,4.375,4.257813,4.375,21536000
26,2000-02-09,4.351563,4.359375,4.257813,4.3125,17676000
27,2000-02-10,4.3125,4.335938,3.945313,4.0,24207200
28,2000-02-11,3.984375,4.1875,3.984375,4.109375,19193600
29,2000-02-14,4.171875,4.351563,4.109375,4.242188,20843200
30,2000-02-15,4.242188,4.359375,4.046875,4.328125,16425600
31,2000-02-16,4.328125,4.335938,4.265625,4.273438,16617600
32,2000-02-17,4.296875,4.34375,4.25,4.328125,11840800
33,2000-02-18,4.320313,4.375,4.0625,4.140625,17745600
34,2000-02-22,4.109375,4.210938,4.039063,4.148438,13170400
35,2000-02-23,4.117188,4.382813,4.09375,4.359375,18372800
36,2000-02-24,4.359375,4.523438,4.210938,4.382813,24721600
37,2000-02-25,4.351563,4.375,4.1875,4.21875,9384000
38,2000-02-28,4.1875,4.265625,4.09375,4.257813,13456000
39,2000-02-29,4.21875,4.429688,4.203125,4.390625,13168000
40,2000-03-01,4.390625,4.476563,4.3125,4.34375,10548000
41,2000-03-02,4.320313,4.320313,4.078125,4.15625,13367200
42,2000-03-03,4.203125,4.71875,4.203125,4.648438,28210400
43,2000-03-06,4.615234,4.617188,4.460938,4.484375,11278400
44,2000-03-07,4.492188,4.515625,4.25,4.265625,12872000
45,2000-03-08,4.257813,4.34375,4.140625,4.234375,15707200
46,2000-03-09,4.21875,4.53125,4.125,4.515625,13624800
47,2000-03-10,4.460938,4.5,4.328125,4.453125,9488000
48,2000-03-13,4.320313,4.4375,4.28125,4.34375,14124800
49,2000-03-14,4.373047,4.429688,4.171875,4.179688,9474400
50,2000-03-15,4.15625,4.492188,4.15625,4.398438,14703200
51,2000-03-16,4.398438,4.867188,4.398438,4.796875,35879200
52,2000-03-17,4.6875,4.773438,4.546875,4.632813,19867200
53,2000-03-20,4.5625,4.59375,4.375,4.398438,10842400
54,2000-03-21,4.421875,4.878906,4.398438,4.875,21850400
55,2000-03-22,4.796875,4.976563,4.6875,4.890625,24861600
56,2000-03-23,4.828125,5.0,4.8125,4.921875,18564800
57,2000-03-24,4.953125,5.0,4.695313,4.828125,13520000
58,2000-03-27,4.851563,5.054688,4.84375,4.890625,17021600
59,2000-03-28,4.90625,4.984375,4.6875,4.742188,9432000
60,2000-03-29,4.765625,5.0,4.710938,4.960938,12658400
61,2000-03-30,4.90625,5.210938,4.90625,4.96875,25609600
62,2000-03-31,4.976563,5.65625,4.914063,5.601563,36625600
63,2000-04-03,5.023438,5.28125,4.90625,5.179688,35332000
64,2000-04-04,5.140625,5.4375,4.9375,5.429688,39746400
65,2000-04-05,5.328125,5.328125,4.90625,4.945313,25903200
66,2000-04-06,4.992188,5.03125,4.5625,4.695313,19013600
67,2000-04-07,4.75,5.015625,4.75,5.007813,18377600
68,2000-04-10,5.03125,5.039063,4.570313,4.578125,13938400
69,2000-04-11,4.578125,4.875,4.46875,4.742188,10528000
70,2000-04-12,4.746094,4.820313,4.671875,4.703125,11848800
71,2000-04-13,4.710938,5.015625,4.695313,4.978516,27032000
72,2000-04-14,4.867188,4.875,4.226563,4.398438,20801600
73,2000-04-17,4.28125,4.570313,4.179688,4.515625,19577600
74,2000-04-18,4.53125,4.703125,4.453125,4.679688,12808800
75,2000-04-19,4.648438,4.867188,4.59375,4.65625,16598400
76,2000-04-20,4.664063,4.75,4.5,4.679688,8062400
77,2000-04-24,4.625,5.078125,4.609375,4.992188,15964000
78,2000-04-25,4.8125,4.921875,4.375,4.773438,29955200
79,2000-04-26,4.714844,4.726563,4.5625,4.640625,18652000
80,2000-04-27,4.507813,4.640625,4.429688,4.632813,22625600
81,2000-04-28,4.210938,4.257813,3.75,3.779297,131648000
82,2000-05-01,3.875,3.914063,3.765625,3.867188,59110400
83,2000-05-02,4.023438,4.1875,3.976563,3.992188,32888000
84,2000-05-03,4.015625,4.015625,3.875,3.976563,19873600
85,2000-05-04,3.960938,4.234375,3.953125,4.179688,24694400
86,2000-05-05,4.117188,4.21875,3.982422,4.210938,17266400
87,2000-05-08,4.203125,4.203125,4.09375,4.125,13504800
88,2000-05-09,4.140625,4.1875,4.015625,4.171875,12227200
89,2000-05-10,4.15625,4.203125,4.03125,4.070313,10658400
90,2000-05-11,4.070313,4.1875,3.992188,4.15625,10589600
91,2000-05-12,4.125,4.140625,4.007813,4.070313,6435200
92,2000-05-15,3.867188,4.078125,3.6875,4.0625,32682400
93,2000-05-16,4.234375,4.25,4.085938,4.15625,18169600
94,2000-05-17,4.078125,4.21875,4.046875,4.054688,12980000
95,2000-05-18,4.070313,4.09375,3.835938,3.835938,7735200
96,2000-05-19,3.757813,3.84375,3.75,3.765625,10980000
97,2000-05-22,3.75,3.75,3.5,3.734375,15147200
98,2000-05-23,3.734375,3.804688,3.539063,3.539063,11849600
99,2000-05-24,3.632813,3.90625,3.617188,3.875,20748000
100,2000-05-25,3.875,3.984375,3.71875,3.734375,10899200
101,2000-05-26,3.796875,3.875,3.601563,3.640625,7568000
102,2000-05-30,3.703125,4.132813,3.703125,4.132813,15240800
103,2000-05-31,4.101563,4.375,4.070313,4.25,25138400
104,2000-06-01,4.265625,4.367188,4.195313,4.3125,14414400
105,2000-06-02,4.375,4.613281,4.351563,4.601563,18244800
106,2000-06-05,4.5625,4.78125,4.429688,4.453125,15199200
107,2000-06-06,4.875,4.9375,4.679688,4.6875,80343200
108,2000-06-07,4.65625,4.671875,4.0,4.320313,295411200
109,2000-06-08,4.320313,4.462891,4.3125,4.414063,40236000
110,2000-06-09,4.46875,4.5625,4.375,4.46875,12570400
111,2000-06-12,4.472656,4.476563,4.226563,4.234375,16373600
112,2000-06-13,4.265625,4.601563,4.25,4.492188,13188800
113,2000-06-14,4.5,4.505859,4.304688,4.398438,8879200
114,2000-06-15,4.40625,4.453125,4.304688,4.335938,7989600
115,2000-06-16,4.476563,4.484375,4.34375,4.359375,9588800
116,2000-06-19,4.367188,4.40625,4.320313,4.390625,7847200
117,2000-06-20,4.375,4.46875,4.28125,4.4375,9499200
118,2000-06-21,4.4375,4.59375,4.4375,4.523438,11316800
119,2000-06-22,4.515625,4.609375,4.460938,4.476563,10972800
120,2000-06-23,4.515625,4.53125,4.40625,4.414063,8563200
121,2000-06-26,4.390625,4.53125,4.375,4.53125,8988800
122,2000-06-27,4.5,4.773438,4.484375,4.6875,21997600
123,2000-06-28,4.6875,4.820313,4.664063,4.773438,15008800
124,2000-06-29,4.757813,4.765625,4.671875,4.734375,14005600
125,2000-06-30,4.742188,4.867188,4.736328,4.773438,19087200
126,2000-07-03,4.75,4.851563,4.734375,4.8125,4152800
127,2000-07-05,4.820313,4.875,4.710938,4.789063,9477600
128,2000-07-06,4.820313,4.84375,4.5625,4.757813,24504000
129,2000-07-07,4.867188,5.25,4.84375,5.226563,43858400
130,2000-07-10,5.171875,5.34375,4.96875,4.96875,27056000
131,2000-07-11,4.9375,5.101563,4.929688,4.992188,10144000
132,2000-07-12,4.96875,5.140625,4.96875,5.039063,11012800
133,2000-07-13,5.0,5.015625,4.9375,5.0,9336800
134,2000-07-14,4.992188,5.015625,4.953125,5.0,7544000
135,2000-07-17,4.960938,5.015625,4.953125,4.976563,6392000
136,2000-07-18,4.96875,5.101563,4.953125,4.96875,12171200
137,2000-07-19,4.953125,5.03125,4.953125,4.96875,8169600
138,2000-07-20,4.988281,5.109375,4.984375,5.0,11516800
139,2000-07-21,4.976563,5.054688,4.96875,4.992188,14138400
140,2000-07-24,5.0,5.046875,4.921875,4.964844,11320000
141,2000-07-25,4.914063,4.9375,4.632813,4.820313,42159200
142,2000-07-26,4.78125,4.789063,4.679688,4.710938,20628800
143,2000-07-27,4.710938,4.757813,4.492188,4.515625,29740800
144,2000-07-28,4.625,4.984375,4.609375,4.625,21852000
145,2000-07-31,4.640625,4.890625,4.578125,4.6875,11788800
146,2000-08-01,4.683594,4.796875,4.679688,4.742188,9661600
147,2000-08-02,4.75,5.007813,4.742188,4.90625,11322400
148,2000-08-03,4.859375,5.03125,4.835938,5.007813,12997600
149,2000-08-04,5.015625,5.242188,5.0,5.210938,19534400
150,2000-08-07,5.171875,5.375,5.101563,5.351563,24337600
151,2000-08-08,5.28125,5.414063,5.25,5.359375,17934400
152,2000-08-09,5.335938,5.453125,5.328125,5.375,16178400
153,2000-08-10,5.351563,5.515625,5.328125,5.359375,22708000
154,2000-08-11,5.359375,5.363281,5.195313,5.335938,15380000
155,2000-08-14,5.34375,5.351563,5.148438,5.242188,12744000
156,2000-08-15,5.21875,5.226563,5.0625,5.09375,10412800
157,2000-08-16,5.054688,5.179688,4.828125,5.054688,22195200
158,2000-08-17,4.953125,4.960938,4.71875,4.78125,27787200
159,2000-08-18,4.75,4.753906,4.523438,4.578125,31872000
160,2000-08-21,4.59375,4.703125,4.554688,4.65625,12217600
161,2000-08-22,4.671875,4.804688,4.664063,4.6875,11711200
162,2000-08-23,4.582031,4.585938,4.453125,4.476563,41151200
163,2000-08-24,4.484375,4.515625,4.4375,4.515625,12645600
164,2000-08-25,4.523438,4.632813,4.4375,4.46875,10297600
165,2000-08-28,4.476563,4.5625,4.445313,4.507813,9989600
166,2000-08-29,4.539063,4.546875,4.320313,4.390625,15006400
167,2000-08-30,4.390625,4.671875,4.390625,4.585938,19828000
168,2000-08-31,4.59375,4.695313,4.507813,4.578125,9632000
169,2000-09-01,4.78125,4.9375,4.703125,4.710938,14924000
170,2000-09-05,4.753906,4.851563,4.6875,4.703125,7419200
171,2000-09-06,4.8125,4.8125,4.609375,4.617188,12783200
172,2000-09-07,4.65625,4.71875,4.59375,4.703125,6658400
173,2000-09-08,4.65625,4.671875,4.53125,4.53125,6394400
174,2000-09-11,4.542969,4.648438,4.484375,4.546875,8928000
175,2000-09-12,4.578125,4.71875,4.570313,4.671875,7355200
176,2000-09-13,4.6875,4.921875,4.679688,4.867188,14172800
177,2000-09-14,4.859375,4.859375,4.6875,4.742188,12324000
178,2000-09-15,4.859375,4.890625,4.75,4.84375,19728800
179,2000-09-18,4.734375,4.804688,4.578125,4.689453,8418400
180,2000-09-19,4.703125,4.796875,4.570313,4.703125,9800000
181,2000-09-20,4.648438,4.765625,4.53125,4.734375,10300000
182,2000-09-21,4.710938,4.859375,4.65625,4.828125,10904800
183,2000-09-22,4.796875,4.960938,4.796875,4.890625,9906400
184,2000-09-25,4.84375,5.023438,4.828125,4.992188,11791200
185,2000-09-26,4.96875,5.046875,4.882813,4.9375,8460800
186,2000-09-27,4.914063,5.015625,4.75,4.984375,12504800
187,2000-09-28,5.007813,5.210938,5.0,5.132813,13140000
188,2000-09-29,5.171875,5.21875,4.96875,5.007813,10564000
189,2000-10-02,5.015625,5.0625,4.796875,5.046875,13757600
190,2000-10-03,5.078125,5.140625,4.890625,4.9375,10519200
191,2000-10-04,4.960938,5.109375,4.953125,5.09375,10004000
192,2000-10-05,5.03125,5.296875,5.0,5.125,16740000
193,2000-10-06,5.195313,5.296875,4.96875,5.023438,10987200
194,2000-10-09,5.015625,5.148438,4.96875,5.0625,8897600
195,2000-10-10,5.078125,5.179688,4.984375,5.070313,9776000
196,2000-10-11,4.96875,5.164063,4.96875,5.007813,9331200
197,2000-10-12,5.007813,5.007813,4.59375,4.789063,14966400
198,2000-10-13,4.726563,4.9375,4.640625,4.90625,12576800
199,2000-10-16,4.828125,5.125,4.796875,5.070313,11672000
200,2000-10-17,5.132813,5.15625,4.882813,4.96875,8452000
201,2000-10-18,4.921875,5.132813,4.78125,5.039063,13180000
202,2000-10-19,5.039063,5.21875,4.890625,5.125,15779200
203,2000-10-20,5.007813,5.117188,5.007813,5.039063,8728000
204,2000-10-23,5.03125,5.148438,4.953125,5.0,9466400
205,2000-10-24,5.101563,5.1875,5.015625,5.046875,8204800
206,2000-10-25,5.085938,5.25,5.046875,5.085938,13367200
207,2000-10-26,5.109375,5.132813,4.796875,5.125,20257600
208,2000-10-27,4.835938,5.0,4.6875,4.96875,30675200
209,2000-10-30,4.992188,5.25,4.929688,5.203125,17304800
210,2000-10-31,5.226563,5.609375,5.226563,5.585938,41275200
211,2000-11-01,5.539063,5.648438,5.375,5.570313,33812000
212,2000-11-02,5.585938,5.625,5.46875,5.625,20412800
213,2000-11-03,5.632813,5.914063,5.625,5.851563,40005600
214,2000-11-06,5.890625,5.992188,5.765625,5.84375,22116800
215,2000-11-07,5.804688,5.898438,5.75,5.882813,19873600
216,2000-11-08,5.875,5.875,5.570313,5.601563,14448800
217,2000-11-09,5.550781,5.632813,5.40625,5.601563,13647200
218,2000-11-10,5.515625,5.742188,5.5,5.5625,11436000
219,2000-11-13,5.515625,5.648438,5.4375,5.546875,20224800
220,2000-11-14,5.570313,5.882813,5.554688,5.882813,19925600
221,2000-11-15,5.875,6.03125,5.84375,5.945313,12563200
222,2000-11-16,5.914063,5.929688,5.671875,5.78125,17789600
223,2000-11-17,5.65625,6.101563,5.5625,5.992188,33911200
224,2000-11-20,5.929688,6.351563,5.898438,6.234375,51668000
225,2000-11-21,5.96875,6.007813,5.757813,5.929688,31701600
226,2000-11-22,5.84375,6.15625,5.8125,6.085938,25408000
227,2000-11-24,6.09375,6.117188,5.96875,6.0,5340800
228,2000-11-27,5.960938,5.96875,5.476563,5.632813,27276000
229,2000-11-28,5.578125,5.765625,5.539063,5.566406,20408000
230,2000-11-29,5.640625,5.742188,5.578125,5.685547,23116800
231,2000-11-30,5.625,5.78125,5.59375,5.695313,22667200
232,2000-12-01,5.78125,5.796875,5.46875,5.53125,18218400
233,2000-12-04,5.523438,5.671875,5.382813,5.609375,22654400
234,2000-12-05,5.617188,5.828125,5.539063,5.78125,18751200
235,2000-12-06,5.71875,5.8125,5.664063,5.75,19652800
236,2000-12-07,5.6875,5.875,5.65625,5.851563,13208000
237,2000-12-08,5.875,5.875,5.71875,5.859375,14835200
238,2000-12-11,5.84375,5.851563,5.460938,5.507813,25209600
239,2000-12-12,5.492188,5.742188,5.4375,5.617188,14096000
240,2000-12-13,5.65625,5.703125,5.492188,5.507813,11433600
241,2000-12-14,5.53125,5.578125,5.429688,5.445313,14220000
242,2000-12-15,5.421875,5.4375,5.171875,5.234375,32459200
243,2000-12-18,5.273438,5.507813,5.203125,5.445313,16646400
244,2000-12-19,5.460938,5.742188,5.453125,5.640625,19551200
245,2000-12-20,5.601563,5.609375,5.445313,5.5,21628800
246,2000-12-21,5.5,5.75,5.453125,5.617188,16499200
247,2000-12-22,5.671875,5.734375,5.53125,5.65625,14335200
248,2000-12-26,5.664063,5.6875,5.53125,5.625,8388800
249,2000-12-27,5.570313,5.640625,5.507813,5.53125,19945600
250,2000-12-28,5.507813,5.578125,5.445313,5.546875,15307200
251,2000-12-29,5.5625,5.648438,5.492188,5.53125,11246400
252,2001-01-02,5.490234,5.523438,5.164063,5.257813,16438400
253,2001-01-03,5.25,5.53125,5.085938,5.40625,24014400
254,2001-01-04,5.351563,5.359375,5.046875,5.140625,24139200
255,2001-01-05,5.304688,5.398438,5.210938,5.21875,28048000
256,2001-01-08,5.15625,5.367188,5.15625,5.304688,15412000
257,2001-01-09,5.320313,5.40625,5.210938,5.21875,8844800
258,2001-01-10,5.15625,5.539063,5.125,5.5,20512000
259,2001-01-11,5.4375,5.578125,5.4375,5.539063,12037600
260,2001-01-12,5.460938,5.59375,5.445313,5.59375,16648000
261,2001-01-16,5.53125,5.703125,5.53125,5.601563,11405600
262,2001-01-17,5.617188,5.703125,5.546875,5.601563,11756000
263,2001-01-18,5.664063,5.726563,5.609375,5.679688,12414400
264,2001-01-19,5.632813,5.84375,5.609375,5.789063,15804800
265,2001-01-22,5.8125,5.828125,5.59375,5.65625,11187200
266,2001-01-23,5.632813,5.820313,5.625,5.796875,9845600
267,2001-01-24,5.8125,5.828125,5.34375,5.421875,24792800
268,2001-01-25,5.445313,5.492188,5.226563,5.351563,19751200
269,2001-01-26,5.570313,5.726563,5.5625,5.703125,22613600
270,2001-01-29,5.710938,6.171875,5.6875,6.15625,46998400
271,2001-01-30,6.085938,6.109375,5.90625,6.09375,18477600
272,2001-01-31,6.085938,6.257813,6.085938,6.242188,31927200
273,2001-02-01,6.171875,6.210938,6.03125,6.132813,20617600
274,2001-02-02,6.046875,6.109375,5.953125,5.984375,23588000
275,2001-02-05,5.976563,6.0625,5.789063,5.992188,16599200
276,2001-02-06,6.0,6.25,5.976563,6.234375,27388000
277,2001-02-07,6.140625,6.257813,6.132813,6.234375,14171200
278,2001-02-08,6.234375,6.414063,6.023438,6.078125,27500000
279,2001-02-09,6.015625,6.148438,5.976563,6.039063,11520000
280,2001-02-12,6.039063,6.265625,6.039063,6.25,13576800
281,2001-02-13,6.195313,6.351563,6.078125,6.078125,17178400
