,Date,Open,High,Low,Close,Volume
0,2000-01-03,11.6875,11.6875,11.5625,11.5625,3800
1,2000-01-04,11.53125,11.5625,11.4375,11.5625,13000
2,2000-01-05,11.5,11.625,11.5,11.59375,3800
3,2000-01-06,11.5625,11.5625,11.5625,11.5625,4200
4,2000-01-07,11.5625,11.5625,11.5,11.5,2000
5,2000-01-10,11.40625,11.46875,11.40625,11.46875,5000
6,2000-01-11,11.46875,11.46875,11.375,11.40625,31400
7,2000-01-12,11.40625,11.46875,11.375,11.46875,3400
8,2000-01-13,11.4375,11.5,11.4375,11.46875,18400
9,2000-01-14,11.46875,11.53125,11.46875,11.53125,3600
10,2000-01-18,11.5,11.5,11.4375,11.5,1600
11,2000-01-19,11.46875,11.5,11.40625,11.46875,25200
12,2000-01-20,11.4375,11.46875,11.375,11.375,17000
13,2000-01-21,11.375,11.375,11.375,11.375,1400
14,2000-01-24,11.375,11.4375,11.3125,11.4375,1400
15,2000-01-25,11.4375,11.4375,11.1875,11.3125,9200
16,2000-01-26,11.25,11.25,11.25,11.25,1600
17,2000-01-27,11.25,11.28125,11.25,11.28125,6200
18,2000-01-28,11.21875,11.21875,11.1875,11.1875,2200
19,2000-01-31,11.1875,11.1875,11.0,11.0,5600
20,2000-02-01,11.0,11.0,10.8125,10.84375,5800
21,2000-02-02,10.84375,10.84375,10.75,10.75,9000
22,2000-02-03,10.75,10.875,10.75,10.875,5000
23,2000-02-04,10.8125,10.8125,10.78125,10.8125,3200
24,2000-02-07,10.78125,10.78125,10.6875,10.75,4600
25,2000-02-08,10.6875,10.6875,10.625,10.6875,19800
26,2000-02-09,10.625,10.75,10.625,10.625,5400
27,2000-02-10,10.625,10.65625,10.625,10.625,2400
28,2000-02-11,10.5,10.5,10.0,10.0,41000
29,2000-02-14,10.0,10.125,10.0,10.0,16200
30,2000-02-15,10.125,10.25,10.0,10.125,63800
31,2000-02-16,10.125,10.5,10.125,10.3125,34600
32,2000-02-17,10.375,10.4375,10.375,10.4375,3800
33,2000-02-18,10.4375,10.625,10.375,10.375,14000
34,2000-02-22,10.4375,10.4375,10.25,10.25,5200
35,2000-02-23,10.25,10.375,10.1875,10.3125,7600
36,2000-02-24,10.1875,10.1875,9.8125,9.9375,23400
37,2000-02-25,9.875,10.0,9.875,10.0,17200
38,2000-02-28,10.0,10.0625,10.0,10.03125,1200
39,2000-02-29,10.03125,10.25,10.03125,10.25,8200
40,2000-03-01,10.1875,10.5625,10.1875,10.5625,7600
41,2000-03-02,10.5,10.75,10.5,10.75,7800
42,2000-03-03,10.6875,11.0,10.6875,10.9375,13000
43,2000-03-06,11.25,11.5625,11.25,11.25,162600
44,2000-03-07,11.1875,11.21875,11.1875,11.21875,4000
45,2000-03-08,11.25,11.25,10.9375,10.9375,16200
46,2000-03-09,10.9375,11.0625,10.875,10.9375,15400
47,2000-03-10,10.875,10.875,10.8125,10.8125,3800
48,2000-03-13,10.75,10.75,10.625,10.6875,6600
49,2000-03-14,10.65625,10.75,10.65625,10.71875,4800
50,2000-03-15,10.75,10.84375,10.6875,10.84375,10000
51,2000-03-16,10.96875,11.0625,10.9375,11.0,8400
52,2000-03-17,11.0,11.0,11.0,11.0,2200
53,2000-03-20,11.0,11.0,10.96875,10.96875,17800
54,2000-03-21,10.9375,11.0625,10.9375,11.0625,3800
55,2000-03-22,11.03125,11.125,11.0,11.0,14200
56,2000-03-23,11.0,11.09375,11.0,11.03125,14400
57,2000-03-24,11.0625,11.0625,11.0,11.0,53400
58,2000-03-27,11.0625,11.1875,11.0625,11.15625,17000
59,2000-03-28,11.21875,11.25,11.125,11.15625,68600
60,2000-03-29,11.15625,11.21875,11.0625,11.0625,20000
61,2000-03-30,11.0625,11.0625,10.75,10.75,25000
62,2000-03-31,10.875,10.875,10.75,10.84375,27800
63,2000-04-03,10.8125,11.0,10.8125,10.96875,30800
64,2000-04-04,11.0,11.3125,11.0,11.25,37400
65,2000-04-05,11.375,11.4375,11.3125,11.34375,11400
66,2000-04-06,11.28125,11.4375,11.28125,11.4375,19800
67,2000-04-07,11.4375,11.46875,11.375,11.4375,12800
