,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.0625,10.0625,9.333333,9.973958,716400
1,2000-01-04,9.416667,9.583333,9.166667,9.229167,783600
2,2000-01-05,9.145833,9.28125,9.010417,9.273438,606000
3,2000-01-06,9.28125,9.28125,9.083333,9.083333,270000
4,2000-01-07,9.052083,9.520833,8.75,9.520833,1113600
5,2000-01-10,9.458333,9.760417,9.458333,9.666667,276000
6,2000-01-11,9.583333,9.671875,8.917969,9.023438,1206000
7,2000-01-12,9.033854,9.119792,8.947917,8.979167,362400
8,2000-01-13,9.0,9.208333,8.958333,9.161458,379200
9,2000-01-14,9.010417,9.708333,8.802083,9.15625,1437600
10,2000-01-18,9.197917,9.416667,8.75,9.1875,963600
11,2000-01-19,9.161458,9.260417,8.916667,9.208333,450000
12,2000-01-20,9.208333,9.552083,9.208333,9.283854,608400
13,2000-01-21,9.302083,9.552083,9.25,9.359375,714000
14,2000-01-24,9.375,9.375,9.088542,9.182292,1022400
15,2000-01-25,9.161458,9.239583,8.5,8.684896,837600
16,2000-01-26,8.708333,8.75,8.375,8.385417,601200
17,2000-01-27,8.338542,8.458333,8.125,8.375,1210800
18,2000-01-28,8.416667,8.875,8.369792,8.71875,688800
19,2000-01-31,8.6875,8.697917,8.520833,8.6875,331200
20,2000-02-01,8.635417,8.75,8.4375,8.640625,568800
21,2000-02-02,8.625,9.583333,8.625,8.921875,1530000
22,2000-02-03,9.09375,9.09375,8.317708,8.708333,783600
23,2000-02-04,8.645833,8.875,8.416667,8.416667,967200
24,2000-02-07,8.59375,8.677083,8.083333,8.192708,1671600
25,2000-02-08,8.25,8.541667,8.208333,8.25,1935600
26,2000-02-09,8.286458,8.572917,8.25,8.338542,889200
27,2000-02-10,8.3125,8.442708,7.859375,8.197917,1509600
28,2000-02-11,8.322917,8.489583,7.729167,7.75,798000
29,2000-02-14,8.145833,8.177083,7.8125,8.044271,925200
30,2000-02-15,8.0,8.25,7.947917,8.046875,274800
31,2000-02-16,8.036458,8.234375,7.703125,7.703125,333600
32,2000-02-17,7.786458,8.052083,7.786458,8.0,748800
33,2000-02-18,7.916667,8.0625,7.802083,8.03125,880800
34,2000-02-22,7.96875,8.072917,7.666667,7.872396,937200
35,2000-02-23,7.890625,8.171875,7.822917,8.161458,1010400
36,2000-02-24,8.15625,8.161458,7.5,7.53125,637200
37,2000-02-25,7.953125,7.953125,7.708333,7.763021,402000
38,2000-02-28,7.760417,7.765625,7.395833,7.677083,1047600
39,2000-02-29,7.666667,7.791667,7.395833,7.442708,1108800
40,2000-03-01,7.4375,7.916667,7.4375,7.867188,1123200
41,2000-03-02,7.744792,8.015625,7.744792,7.838542,632400
42,2000-03-03,7.833333,8.1875,7.833333,8.028646,613200
43,2000-03-06,7.875,8.1875,7.875,8.067708,470400
44,2000-03-07,8.125,8.604167,8.0625,8.166667,596400
45,2000-03-08,8.416667,8.416667,8.0,8.09375,496800
46,2000-03-09,8.114583,8.177083,8.041667,8.114583,673200
47,2000-03-10,8.135417,8.333333,8.0,8.104167,699600
48,2000-03-13,7.833333,8.083333,7.833333,8.013021,222000
49,2000-03-14,8.010417,8.25,8.010417,8.041667,253200
50,2000-03-15,8.302083,8.3125,7.958333,7.958333,249600
51,2000-03-16,8.119792,8.333333,7.916667,8.333333,367200
52,2000-03-17,8.283854,8.333333,8.177083,8.197917,280800
53,2000-03-20,8.28125,8.369792,8.208333,8.239583,736800
54,2000-03-21,8.270833,8.572917,8.209635,8.570313,412800
55,2000-03-22,8.526042,8.729167,8.484375,8.6875,444000
56,2000-03-23,8.6875,9.244792,8.661458,9.041667,771600
57,2000-03-24,8.791667,9.5,8.744792,9.255208,672000
58,2000-03-27,9.145833,9.604167,8.6875,8.6875,188400
59,2000-03-28,8.776042,9.0,8.6875,8.958333,284400
60,2000-03-29,8.875,8.916667,8.666667,8.729167,378000
61,2000-03-30,8.75,8.838542,8.666667,8.776042,637200
62,2000-03-31,8.921875,9.5,8.760417,9.453125,1164000
63,2000-04-03,9.40625,9.479167,9.25,9.369792,1519200
64,2000-04-04,9.390625,9.401042,8.25,9.213542,2223600
65,2000-04-05,8.557292,9.166667,8.557292,9.026042,396000
66,2000-04-06,8.973958,9.375,8.973958,9.135417,346800
67,2000-04-07,9.197917,9.380208,9.083333,9.151042,205200
68,2000-04-10,9.151042,9.625,9.057292,9.192708,265200
69,2000-04-11,8.994792,9.385417,8.479167,9.294271,502800
70,2000-04-12,9.182292,9.182292,8.625,8.695313,560400
71,2000-04-13,8.755208,9.458333,8.755208,8.9375,536400
72,2000-04-14,8.916667,9.145833,8.583333,8.59375,1998000
73,2000-04-17,8.479167,9.010417,8.458333,8.848958,582000
74,2000-04-18,8.927083,9.802083,8.927083,9.40625,902400
75,2000-04-19,9.760417,9.760417,9.208333,9.416667,736800
76,2000-04-20,9.286458,9.666667,9.286458,9.291667,470400
77,2000-04-24,9.265625,9.583333,9.265625,9.541667,478800
78,2000-04-25,9.458333,9.958333,9.458333,9.875,387600
79,2000-04-26,9.791667,9.916667,9.713542,9.8125,379200
80,2000-04-27,9.802083,9.916667,9.625,9.916667,196800
81,2000-04-28,9.773438,9.979167,9.75,9.947917,416400
82,2000-05-01,9.947917,10.125,9.895833,10.0,516000
83,2000-05-02,9.979167,10.041667,9.5625,9.661458,399600
84,2000-05-03,9.666667,9.854167,9.166667,9.761719,531600
85,2000-05-04,9.802083,9.802083,9.260417,9.541667,258000
