,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.453125,6.5,5.921875,6.0625,32400
1,2000-01-04,6.15625,6.1875,6.0,6.171875,28400
2,2000-01-05,6.09375,6.5625,6.0,6.25,43200
3,2000-01-06,6.25,6.25,5.9375,6.0625,19200
4,2000-01-07,6.03125,6.28125,6.03125,6.09375,21200
5,2000-01-10,6.09375,6.09375,6.09375,6.09375,2000
6,2000-01-11,6.0,6.234375,6.0,6.046875,50400
7,2000-01-12,6.046875,6.234375,5.921875,6.21875,21200
8,2000-01-13,6.21875,6.21875,6.21875,6.21875,0
9,2000-01-14,6.25,6.46875,6.1875,6.46875,22800
10,2000-01-18,6.25,6.34375,6.25,6.34375,4400
11,2000-01-19,6.25,6.25,6.21875,6.21875,9200
12,2000-01-20,6.0,6.25,6.0,6.203125,20000
13,2000-01-21,6.320313,6.320313,5.90625,5.90625,45200
14,2000-01-24,5.9375,6.125,5.9375,6.0625,23200
15,2000-01-25,6.046875,6.125,5.9375,6.125,17200
16,2000-01-26,5.96875,5.984375,5.828125,5.828125,25200
17,2000-01-27,5.96875,5.96875,5.8125,5.8125,21200
18,2000-01-28,5.8125,5.8125,5.625,5.625,31200
19,2000-01-31,5.625,5.84375,5.125,5.84375,80800
20,2000-02-01,5.875,6.078125,5.8125,5.84375,10400
21,2000-02-02,6.078125,6.40625,5.84375,6.03125,29200
22,2000-02-03,6.09375,6.09375,6.0,6.0,6800
23,2000-02-04,5.9375,6.0625,5.9375,5.96875,17200
24,2000-02-07,6.046875,6.109375,6.03125,6.109375,11200
25,2000-02-08,6.25,6.625,6.25,6.5625,112000
26,2000-02-09,6.6875,6.6875,6.4375,6.5625,2400
27,2000-02-10,6.5625,6.5625,6.5,6.5,6400
28,2000-02-11,6.46875,6.46875,6.375,6.375,9600
29,2000-02-14,6.375,6.375,6.34375,6.375,8400
30,2000-02-15,6.375,6.375,6.328125,6.375,14400
31,2000-02-16,6.375,6.375,6.25,6.25,3200
32,2000-02-17,6.25,6.25,5.78125,6.15625,14000
33,2000-02-18,6.15625,6.15625,5.703125,6.0,13200
