,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.6875,1.6875,1.609375,1.609375,8000
1,2000-01-04,1.625,1.632813,1.625,1.632813,8800
2,2000-01-05,1.65625,1.6875,1.578125,1.578125,129600
3,2000-01-06,1.578125,1.75,1.578125,1.75,30400
4,2000-01-07,1.75,1.75,1.5625,1.625,17600
5,2000-01-10,1.703125,1.703125,1.703125,1.703125,2400
6,2000-01-11,1.75,1.75,1.75,1.75,800
7,2000-01-12,1.691406,1.78125,1.6875,1.6875,47200
8,2000-01-13,1.75,1.765625,1.6875,1.6875,22400
9,2000-01-14,1.6875,1.734375,1.6875,1.734375,26400
10,2000-01-18,1.671875,1.71875,1.671875,1.71875,28800
11,2000-01-19,1.71875,1.765625,1.65625,1.710938,20000
12,2000-01-20,1.65625,1.84375,1.65625,1.75,80800
13,2000-01-21,1.824219,1.824219,1.804688,1.804688,44000
14,2000-01-24,1.804688,1.859375,1.804688,1.859375,96000
15,2000-01-25,1.75,1.867188,1.742188,1.742188,34400
16,2000-01-26,1.757813,1.757813,1.742188,1.742188,18400
17,2000-01-27,1.6875,1.6875,1.390625,1.65625,136800
18,2000-01-28,1.5625,1.6875,1.5625,1.6875,97600
19,2000-01-31,1.6875,1.6875,1.617188,1.6875,220800
20,2000-02-01,1.546875,1.769531,1.546875,1.769531,40000
21,2000-02-02,1.65625,1.703125,1.652344,1.703125,436000
22,2000-02-03,1.78125,1.867188,1.78125,1.796875,22400
23,2000-02-04,1.796875,1.796875,1.726563,1.726563,26400
24,2000-02-07,1.789063,1.796875,1.734375,1.773438,48000
25,2000-02-08,1.792969,1.875,1.6875,1.875,12000
26,2000-02-09,1.875,1.9375,1.765625,1.765625,58400
27,2000-02-10,1.703125,1.904297,1.578125,1.75,88000
28,2000-02-11,1.890625,1.890625,1.59375,1.828125,160000
29,2000-02-14,1.8125,1.929688,1.808594,1.929688,95200
30,2000-02-15,1.90625,2.0,1.875,1.953125,67200
31,2000-02-16,1.953125,2.171875,1.953125,2.070313,124800
32,2000-02-17,2.070313,2.140625,2.0,2.09375,33600
33,2000-02-18,2.125,2.125,2.109375,2.125,9600
34,2000-02-22,2.125,2.140625,1.9375,1.945313,155200
35,2000-02-23,1.921875,1.921875,1.6875,1.6875,237600
36,2000-02-24,1.730469,1.765625,1.5625,1.609375,228000
37,2000-02-25,1.625,1.625,1.546875,1.546875,104000
38,2000-02-28,1.59375,1.71875,1.5625,1.5625,108000
39,2000-02-29,1.578125,1.578125,1.578125,1.578125,800
40,2000-03-01,1.664063,1.765625,1.65625,1.71875,179200
41,2000-03-02,1.65625,1.65625,1.65625,1.65625,800
42,2000-03-03,1.492188,1.6875,1.488281,1.625,28800
43,2000-03-06,1.71875,1.8125,1.71875,1.734375,107200
44,2000-03-07,1.71875,1.765625,1.71875,1.765625,64000
45,2000-03-08,1.769531,1.78125,1.769531,1.78125,48800
46,2000-03-09,1.78125,1.78125,1.6875,1.6875,27200
47,2000-03-10,1.65625,1.65625,1.65625,1.65625,1600
48,2000-03-13,1.78125,1.78125,1.734375,1.75,106400
49,2000-03-14,1.75,1.75,1.75,1.75,0
50,2000-03-15,1.6875,1.703125,1.597656,1.703125,71200
51,2000-03-16,1.675781,1.679688,1.648438,1.671875,98400
52,2000-03-17,1.652344,1.65625,1.625,1.625,161600
53,2000-03-20,1.578125,1.578125,1.460938,1.492188,268000
54,2000-03-21,1.53125,1.53125,1.5,1.523438,48800
55,2000-03-22,1.535156,1.546875,1.5,1.5,71200
56,2000-03-23,1.46875,1.554688,1.46875,1.46875,272000
57,2000-03-24,1.511719,1.515625,1.46875,1.46875,65600
58,2000-03-27,1.507813,1.507813,1.484375,1.484375,71200
59,2000-03-28,1.53125,1.53125,1.453125,1.515625,131200
60,2000-03-29,1.46875,1.546875,1.453125,1.5,71200
61,2000-03-30,1.53125,1.546875,1.53125,1.53125,52800
