,Date,Open,High,Low,Close,Volume
0,2000-01-03,25.9375,28.875,24.0,28.5,808200
1,2000-01-04,27.875,28.0,25.625,26.125,586000
2,2000-01-05,26.0,27.3125,25.625,27.3125,839400
3,2000-01-06,27.34375,27.46875,25.5,26.34375,602400
4,2000-01-07,25.875,27.9375,24.5,27.5,578000
5,2000-01-10,28.984375,29.625,28.25,29.25,768600
6,2000-01-11,29.5625,29.75,28.453125,28.453125,774800
7,2000-01-12,28.375,28.375,26.75,27.625,1093800
8,2000-01-13,27.625,27.75,27.0,27.4375,538800
9,2000-01-14,27.5,33.5,27.375,33.375,2089600
10,2000-01-18,34.5625,34.625,31.0,32.40625,693600
11,2000-01-19,31.875,34.625,31.53125,34.0,266200
12,2000-01-20,34.125,34.375,32.4375,32.59375,386000
13,2000-01-21,32.53125,32.5625,31.625,31.9375,254800
14,2000-01-24,32.625,33.5625,31.0,31.5625,479000
15,2000-01-25,31.71875,33.0,29.625,32.625,738600
16,2000-01-26,33.0,33.71875,32.0,32.5,530400
17,2000-01-27,32.5625,33.25,32.125,32.875,388600
18,2000-01-28,32.5,32.53125,31.28125,31.28125,392000
19,2000-01-31,30.75,31.0,28.125,30.0,499000
20,2000-02-01,30.125,31.4375,29.8125,30.9375,465200
21,2000-02-02,31.9375,33.21875,31.875,32.75,426400
22,2000-02-03,32.375,32.5,31.5,32.3125,1046000
23,2000-02-04,32.875,33.4375,31.375,32.40625,554600
24,2000-02-07,32.625,32.6875,31.25,31.6875,1199800
25,2000-02-08,31.671875,34.25,31.53125,33.25,2309800
26,2000-02-09,34.4375,34.5,32.8125,33.1875,2098000
27,2000-02-10,33.375,34.0,33.0,33.59375,1211200
28,2000-02-11,33.75,35.0,32.8125,33.25,892600
29,2000-02-14,33.5,33.53125,31.5,32.0,1037200
30,2000-02-15,32.015625,32.5,30.75,32.25,926600
31,2000-02-16,32.125,33.554688,31.9375,32.5,1063200
32,2000-02-17,33.0,34.4375,32.5625,34.203125,696400
33,2000-02-18,34.5,34.71875,33.0625,33.125,1076200
34,2000-02-22,33.390625,34.4375,32.25,34.25,1271000
35,2000-02-23,34.75,37.375,34.6875,36.6875,3055200
36,2000-02-24,39.78125,39.875,35.5,37.9375,3213000
37,2000-02-25,35.75,36.6875,31.0,32.3125,6599200
38,2000-02-28,31.5,32.875,27.8125,32.0625,5129600
39,2000-02-29,31.5625,32.8125,30.125,31.25,2660800
40,2000-03-01,31.484375,32.25,31.03125,31.9375,2722400
41,2000-03-02,31.8125,33.9375,31.0,33.125,2216800
42,2000-03-03,33.25,33.3125,33.0,33.3125,1321400
43,2000-03-06,33.375,36.125,33.3125,35.8125,4448600
44,2000-03-07,37.53125,38.375,36.0625,36.5,3182200
45,2000-03-08,36.5,36.625,33.0,34.09375,1839800
46,2000-03-09,34.5,34.75,32.5,34.375,1245000
47,2000-03-10,34.625,34.96875,32.9375,33.03125,882000
48,2000-03-13,32.0,32.25,30.5,30.875,1616800
49,2000-03-14,31.0,31.8125,30.25,30.25,1718400
50,2000-03-15,30.1875,30.3125,27.3125,28.5625,1847000
51,2000-03-16,28.75,31.5,26.5,30.875,2066000
52,2000-03-17,30.84375,32.375,29.875,32.0,1503200
53,2000-03-20,32.34375,33.25,30.5,30.9375,1524800
54,2000-03-21,31.125,33.125,31.0,33.125,740000
55,2000-03-22,33.0,35.6875,32.6875,35.5,1229600
56,2000-03-23,34.75,36.0,34.25,34.9375,1255800
57,2000-03-24,34.6875,35.84375,34.5,34.9375,1097400
58,2000-03-27,35.0625,35.1875,33.75,35.0,928200
59,2000-03-28,34.0625,34.125,32.84375,32.875,787000
60,2000-03-29,33.0,33.3125,30.1875,31.5625,915600
61,2000-03-30,30.46875,31.625,29.5,30.6875,901400
62,2000-03-31,30.25,33.9375,30.25,32.03125,1290800
63,2000-04-03,32.0,32.0,30.0,30.0625,1114600
64,2000-04-04,30.15625,31.75,25.65625,30.3125,1418000
65,2000-04-05,29.5625,33.3125,29.0,32.0,1120200
66,2000-04-06,32.75,33.0,30.875,31.1875,1514600
67,2000-04-07,31.34375,33.75,31.0,33.492188,1085200
68,2000-04-10,34.5,34.53125,31.0,31.0625,1326200
