,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.625,22.875,21.4375,21.875,189800
1,2000-01-04,21.875,21.875,20.625,21.125,160400
2,2000-01-05,21.125,22.125,21.125,22.0,133800
3,2000-01-06,22.0625,22.625,22.0,22.4375,111300
4,2000-01-07,22.6875,22.75,22.3125,22.75,107400
5,2000-01-10,22.625,22.75,22.25,22.5625,123900
6,2000-01-11,22.8125,22.8125,21.9375,22.0,116800
7,2000-01-12,22.125,22.5,21.625,22.0,85100
8,2000-01-13,22.0625,22.4375,21.3125,22.0625,138900
9,2000-01-14,22.1875,22.1875,20.625,21.0,151100
10,2000-01-18,21.1875,21.1875,20.5,20.75,236600
11,2000-01-19,20.75,20.75,20.4375,20.75,116600
12,2000-01-20,20.75,21.1875,20.75,21.0,259200
13,2000-01-21,21.25,21.25,20.625,20.875,140900
14,2000-01-24,20.9375,21.0,19.875,20.0,159400
15,2000-01-25,20.125,20.375,19.9375,20.0,229000
16,2000-01-26,20.25,21.1875,20.25,20.625,215400
17,2000-01-27,21.0,21.0,20.3125,20.3125,110900
18,2000-01-28,20.5625,20.75,19.625,20.0625,386000
19,2000-01-31,20.125,20.1875,19.375,20.0,203500
20,2000-02-01,20.0,20.75,19.75,20.5,203800
21,2000-02-02,20.5625,20.5625,19.5,19.6875,153000
22,2000-02-03,19.8125,20.125,19.75,20.0,197200
23,2000-02-04,20.125,20.25,19.75,20.0625,167800
24,2000-02-07,20.4375,20.4375,20.0,20.0,262900
25,2000-02-08,20.0625,20.875,20.0625,20.625,256500
26,2000-02-09,20.5625,20.75,20.4375,20.4375,239900
27,2000-02-10,20.4375,20.75,20.375,20.75,311500
28,2000-02-11,20.625,21.1875,20.5,20.5625,278300
29,2000-02-14,20.625,20.75,20.375,20.5625,255000
30,2000-02-15,20.5625,21.125,20.375,20.625,231700
31,2000-02-16,20.5,20.5625,19.5625,19.75,300500
32,2000-02-17,19.8125,20.0625,19.3125,19.75,189800
33,2000-02-18,19.6875,19.6875,18.5,18.875,231900
34,2000-02-22,18.75,19.75,18.75,19.5625,154100
35,2000-02-23,19.625,19.625,19.0,19.25,139500
36,2000-02-24,18.875,18.9375,18.0625,18.4375,331200
37,2000-02-25,18.6875,18.8125,18.1875,18.625,146200
38,2000-02-28,18.5625,18.75,18.3125,18.5,274100
39,2000-02-29,18.4375,18.5,18.0,18.4375,370100
40,2000-03-01,18.0625,18.25,17.6875,17.875,395600
41,2000-03-02,17.875,18.0,17.625,17.75,293300
42,2000-03-03,17.625,19.1875,17.625,19.0,221600
43,2000-03-06,18.9375,18.9375,17.9375,18.0625,189000
44,2000-03-07,18.3125,18.3125,17.8125,17.875,295600
45,2000-03-08,17.625,18.5,17.5,18.0,887400
46,2000-03-09,18.0,18.3125,17.9375,18.25,144800
47,2000-03-10,18.625,18.6875,17.875,18.3125,427000
48,2000-03-13,18.125,18.25,17.75,18.125,159800
49,2000-03-14,18.125,18.25,17.625,17.8125,129000
50,2000-03-15,17.8125,19.0,17.75,18.75,238300
51,2000-03-16,19.0,21.0,18.875,20.3125,198100
52,2000-03-17,20.0,20.125,19.6875,20.0,177900
53,2000-03-20,20.125,20.375,19.25,19.6875,140500
54,2000-03-21,19.6875,19.6875,19.0625,19.5,127400
55,2000-03-22,19.5,19.5625,18.75,18.875,173900
56,2000-03-23,19.125,20.25,19.0,19.5,172100
57,2000-03-24,19.5,19.75,18.9375,19.0,161800
58,2000-03-27,18.875,19.75,18.5,18.875,141900
59,2000-03-28,18.9375,19.125,18.625,18.6875,99400
60,2000-03-29,18.8125,19.5625,18.8125,19.4375,179900
61,2000-03-30,20.25,22.125,20.25,20.875,325800
62,2000-03-31,20.875,23.5,20.875,23.0,693400
63,2000-04-03,23.375,23.375,22.75,22.75,318900
64,2000-04-04,22.75,23.5,22.125,22.875,277300
65,2000-04-05,22.625,23.125,21.25,21.25,172200
66,2000-04-06,21.25,21.875,21.25,21.5625,129100
67,2000-04-07,21.6875,21.75,21.0,21.375,75800
68,2000-04-10,21.0,21.4375,20.5625,21.125,155100
69,2000-04-11,21.3125,21.8125,21.1875,21.625,147300
70,2000-04-12,22.0,22.375,21.75,22.3125,137500
71,2000-04-13,22.25,22.4375,21.125,21.375,121800
72,2000-04-14,21.3125,21.5,20.0625,20.3125,118300
73,2000-04-17,20.5625,20.75,20.125,20.75,149400
74,2000-04-18,20.875,21.125,20.3125,20.3125,136900
75,2000-04-19,20.375,21.875,20.375,20.75,124300
76,2000-04-20,20.75,20.75,20.25,20.3125,60200
77,2000-04-24,20.25,20.3125,19.625,19.75,132600
78,2000-04-25,19.75,20.5,19.75,20.1875,134300
79,2000-04-26,20.1875,20.625,20.1875,20.3125,173400
80,2000-04-27,20.1875,20.625,20.1875,20.4375,155600
81,2000-04-28,20.4375,20.875,20.4375,20.875,102200
82,2000-05-01,20.875,21.125,20.75,20.9375,158000
83,2000-05-02,21.0,21.5,21.0,21.25,113600
84,2000-05-03,21.25,21.4375,21.1875,21.25,98900
85,2000-05-04,21.375,21.8125,21.1875,21.375,175300
86,2000-05-05,21.375,21.6875,21.3125,21.6875,95700
87,2000-05-08,21.6875,21.9375,21.625,21.8125,105300
88,2000-05-09,21.75,22.0,21.625,22.0,151100
89,2000-05-10,22.0,22.125,21.875,22.0,126600
90,2000-05-11,22.0,22.4375,22.0,22.3125,116300
91,2000-05-12,22.4375,22.4375,22.0625,22.1875,120800
92,2000-05-15,22.1875,22.9375,22.1875,22.75,120000
93,2000-05-16,22.6875,22.9375,22.5,22.75,80700
94,2000-05-17,22.5,22.5,21.75,22.0,170500
95,2000-05-18,21.75,22.0625,21.75,21.875,97400
96,2000-05-19,21.75,22.0,21.5625,21.5625,84200
97,2000-05-22,21.6875,22.3125,21.6875,21.9375,126800
98,2000-05-23,21.9375,21.9375,21.375,21.375,169900
99,2000-05-24,21.4375,21.6875,21.3125,21.4375,124500
100,2000-05-25,21.4375,21.5,20.9375,21.25,206500
101,2000-05-26,21.375,21.375,20.375,20.75,136400
102,2000-05-30,20.875,21.5,20.875,21.5,89400
103,2000-05-31,21.5,22.125,21.4375,22.0625,135300
104,2000-06-01,22.0625,22.375,21.9375,22.3125,138900
105,2000-06-02,22.375,22.75,22.375,22.625,74000
106,2000-06-05,22.625,22.75,22.4375,22.4375,77200
107,2000-06-06,22.5,22.625,22.375,22.5,92700
108,2000-06-07,22.5,22.75,22.375,22.5,109000
109,2000-06-08,22.5,22.5,21.5625,22.1875,103100
110,2000-06-09,22.25,22.25,21.8125,22.0625,114200
111,2000-06-12,22.0,22.0625,22.0,22.0625,44200
112,2000-06-13,22.0,22.25,21.875,22.1875,88300
113,2000-06-14,22.125,22.9375,22.125,22.4375,125700
114,2000-06-15,22.8125,22.9375,22.625,22.8125,163600
115,2000-06-16,22.6875,22.875,22.5625,22.625,197500
116,2000-06-19,22.6875,22.875,22.3125,22.375,122600
117,2000-06-20,22.3125,22.375,22.0,22.0,98100
118,2000-06-21,21.75,22.25,21.25,21.5,69400
119,2000-06-22,21.5,21.9375,21.1875,21.4375,94400
120,2000-06-23,21.5625,21.5625,21.0,21.0625,168200
121,2000-06-26,21.0625,21.5625,21.0,21.0625,89300
122,2000-06-27,21.1875,21.6875,20.75,21.3125,133300
123,2000-06-28,21.375,21.375,21.25,21.3125,85200
124,2000-06-29,21.375,21.625,20.625,21.1875,315800
125,2000-06-30,21.4375,21.4375,19.625,20.578125,345400
126,2000-07-03,20.5625,20.875,20.25,20.875,108000
127,2000-07-05,20.8125,21.4375,20.75,20.8125,117600
128,2000-07-06,20.8125,20.9375,20.3125,20.75,186100
129,2000-07-07,20.75,21.125,20.3125,20.4375,114200
130,2000-07-10,20.5625,21.0,20.4375,20.875,180700
131,2000-07-11,21.0625,21.6875,20.8125,21.5,224500
132,2000-07-12,21.6875,21.875,21.4375,21.6875,147800
133,2000-07-13,21.75,22.0,21.6875,21.8125,74800
134,2000-07-14,21.9375,22.0,21.8125,21.8125,91900
135,2000-07-17,21.8125,21.9375,20.6875,21.625,105600
136,2000-07-18,21.625,21.625,21.0,21.0625,53700
137,2000-07-19,21.0625,21.375,20.5,20.5625,87700
138,2000-07-20,20.125,20.375,19.75,20.0,158400
139,2000-07-21,20.0,20.125,19.6875,19.75,134100
140,2000-07-24,19.8125,19.8125,19.375,19.4375,77400
141,2000-07-25,19.3125,19.4375,18.25,19.125,182000
142,2000-07-26,19.125,19.375,18.6875,19.0625,119200
143,2000-07-27,19.0,19.5,18.9375,19.1875,107300
144,2000-07-28,19.125,19.375,19.125,19.375,104900
