,Date,Open,High,Low,Close,Volume
0,2000-01-03,17.25,17.5625,16.875,17.3125,512400
1,2000-01-04,17.25,17.75,17.25,17.5,731100
2,2000-01-05,17.75,18.1875,17.6875,17.875,1481700
3,2000-01-06,18.0,18.5,17.75,18.375,427300
4,2000-01-07,18.4375,18.5,17.875,18.0,460000
5,2000-01-10,18.125,18.1875,17.75,17.8125,427700
6,2000-01-11,17.0625,17.0625,16.25,16.875,1899000
7,2000-01-12,16.8125,17.625,16.75,17.625,864200
8,2000-01-13,17.4375,17.6875,17.1875,17.5,437400
9,2000-01-14,17.375,17.4375,16.875,17.4375,726000
10,2000-01-18,17.3125,17.4375,17.0625,17.3125,699000
11,2000-01-19,17.375,17.375,17.0,17.25,2051500
12,2000-01-20,17.0625,17.1875,17.0625,17.1875,545900
13,2000-01-21,17.1875,17.4375,17.0,17.4375,824500
14,2000-01-24,17.1875,17.375,17.125,17.1875,559400
15,2000-01-25,17.125,17.4375,16.9375,17.25,570200
16,2000-01-26,18.8125,19.125,18.0,18.625,4601100
17,2000-01-27,18.5,18.5,18.0625,18.3125,1234600
18,2000-01-28,18.25,18.3125,17.9375,18.125,899100
19,2000-01-31,18.125,18.6875,18.0625,18.5625,636700
20,2000-02-01,18.4375,18.6875,18.4375,18.6875,484400
21,2000-02-02,18.5625,19.0,18.5625,18.75,657700
22,2000-02-03,18.875,19.25,18.8125,19.0,838600
23,2000-02-04,19.0,19.0625,18.875,19.0,956100
24,2000-02-07,19.0,19.1875,18.9375,19.0625,967300
25,2000-02-08,19.0,19.125,19.0,19.0625,886200
26,2000-02-09,19.0625,19.1875,18.75,18.75,840600
27,2000-02-10,18.875,19.0,18.625,18.75,1013500
28,2000-02-11,18.75,18.875,18.625,18.8125,536000
29,2000-02-14,18.8125,19.0,18.75,18.8125,2229700
30,2000-02-15,18.8125,18.9375,18.75,18.875,684900
31,2000-02-16,18.8125,19.0,18.8125,18.9375,1193600
32,2000-02-17,18.9375,19.0625,18.75,18.75,1382500
33,2000-02-18,18.75,18.9375,18.625,18.734375,1003600
34,2000-02-22,18.625,18.75,18.5,18.5625,1211300
35,2000-02-23,18.5,18.5625,18.375,18.375,1479500
36,2000-02-24,18.375,18.5,18.125,18.25,2563500
37,2000-02-25,18.1875,18.75,18.125,18.75,2577900
38,2000-02-28,18.6875,18.6875,17.75,18.125,2517600
39,2000-02-29,18.0,18.0625,17.8125,18.0,853100
40,2000-03-01,18.0,18.0,17.5625,18.0,779500
41,2000-03-02,17.875,17.875,17.3125,17.5625,482400
42,2000-03-03,17.625,17.75,17.5,17.625,853900
43,2000-03-06,17.625,17.6875,17.0625,17.375,483200
44,2000-03-07,17.25,17.4375,17.125,17.25,748700
45,2000-03-08,17.0,17.3125,16.9375,17.0,824800
46,2000-03-09,17.0625,17.25,17.0,17.0625,755300
47,2000-03-10,17.375,17.6875,17.25,17.4375,991200
48,2000-03-13,17.25,17.5,17.1875,17.25,559900
49,2000-03-14,17.0625,17.25,16.875,17.0,917200
50,2000-03-15,17.0,17.8125,17.0,17.8125,3784100
51,2000-03-16,17.5625,18.5,17.5625,18.4375,1589400
52,2000-03-17,18.25,18.3125,17.5625,17.625,1188000
53,2000-03-20,17.8125,17.9375,17.1875,17.375,637200
54,2000-03-21,17.4375,17.4375,17.0,17.375,504200
55,2000-03-22,17.1875,17.25,16.8125,17.0,505900
56,2000-03-23,16.75,17.375,16.75,17.171875,336500
57,2000-03-24,17.1875,17.4375,17.0,17.375,529100
58,2000-03-27,17.375,17.6875,17.25,17.4375,566600
59,2000-03-28,17.125,17.4375,17.0,17.125,420600
60,2000-03-29,16.875,17.5625,16.8125,17.5,573100
61,2000-03-30,17.625,17.625,17.0,17.3125,381900
62,2000-03-31,17.1875,17.1875,16.6875,16.75,469400
63,2000-04-03,16.9375,16.9375,16.1875,16.625,442400
64,2000-04-04,16.8125,17.1875,16.5,16.625,666100
65,2000-04-05,16.625,17.25,16.5625,17.0,541500
66,2000-04-06,17.25,17.25,16.875,17.0,302300
67,2000-04-07,17.25,17.3125,16.8125,17.125,302400
68,2000-04-10,17.375,17.5625,17.0,17.3125,424100
69,2000-04-11,17.5,17.75,17.25,17.6875,1235300
70,2000-04-12,17.6875,18.4375,17.6875,18.3125,1157400
71,2000-04-13,18.25,19.0,18.0625,18.6875,812400
72,2000-04-14,18.4375,19.1875,18.1875,18.4375,655400
73,2000-04-17,18.3125,18.875,17.75,18.875,715800
74,2000-04-18,18.75,18.9375,18.375,18.5625,596700
75,2000-04-19,18.5,18.6875,17.9375,18.5625,358000
76,2000-04-20,18.625,18.625,18.125,18.4375,398200
77,2000-04-24,18.25,19.1875,18.25,18.4375,655000
78,2000-04-25,18.375,18.75,18.125,18.75,651900
79,2000-04-26,18.6875,19.0,18.5,18.875,375800
80,2000-04-27,18.5,18.75,17.9375,18.125,279300
81,2000-04-28,18.0,19.0,17.875,18.5625,827300
82,2000-05-01,18.0,18.4375,18.0,18.125,334500
83,2000-05-02,17.875,18.1875,17.0,17.0,499500
84,2000-05-03,17.25,18.1875,17.125,18.125,727500
85,2000-05-04,17.875,19.0,17.75,18.875,626400
86,2000-05-05,18.0,19.0,18.0,18.9375,441900
87,2000-05-08,18.375,19.0625,18.3125,18.5,408400
88,2000-05-09,18.25,18.9375,18.25,18.6875,514200
89,2000-05-10,18.4375,18.875,18.3125,18.3125,323800
90,2000-05-11,18.0625,18.625,18.0625,18.625,315000
91,2000-05-12,18.75,18.875,18.0625,18.1875,195400
92,2000-05-15,18.0,19.0625,18.0,18.9375,395800
93,2000-05-16,18.8125,18.8125,18.3125,18.3125,257500
94,2000-05-17,18.25,18.5,18.0625,18.4375,510700
95,2000-05-18,18.3125,19.0625,18.3125,18.375,337600
96,2000-05-19,18.375,18.625,18.1875,18.3125,205100
97,2000-05-22,18.375,18.875,18.3125,18.75,219000
98,2000-05-23,18.75,19.0,18.25,18.8125,388700
99,2000-05-24,18.5625,19.1875,18.5625,19.0625,421800
100,2000-05-25,18.8125,18.9375,18.375,18.5625,331400
101,2000-05-26,18.6875,18.9375,18.5625,18.8125,144000
102,2000-05-30,18.8125,19.0,18.625,18.8125,275500
103,2000-05-31,18.8125,19.125,18.6875,18.9375,440200
104,2000-06-01,19.0,19.25,18.9375,19.125,350800
105,2000-06-02,19.1875,19.25,18.75,18.875,249100
106,2000-06-05,18.875,18.9375,18.1875,18.375,393300
107,2000-06-06,18.1875,18.9375,18.1875,18.5625,330000
108,2000-06-07,18.5625,19.0,18.4375,18.5625,269900
109,2000-06-08,18.4375,18.4375,18.0625,18.3125,311500
110,2000-06-09,18.375,18.875,18.375,18.6875,336700
111,2000-06-12,18.6875,19.0,18.5625,18.875,359400
112,2000-06-13,18.875,19.1875,18.875,19.0,242700
113,2000-06-14,19.0,19.0625,18.5625,18.5625,356000
114,2000-06-15,18.625,19.0,18.5625,18.875,403300
115,2000-06-16,18.875,19.125,18.875,18.96875,2818600
116,2000-06-19,18.625,18.9375,18.5625,18.8125,1080100
117,2000-06-20,18.625,18.6875,18.0625,18.5,479400
118,2000-06-21,18.5625,18.875,18.375,18.5,322100
119,2000-06-22,18.5625,18.5625,18.1875,18.1875,314000
120,2000-06-23,18.1875,18.5625,18.1875,18.3125,242700
121,2000-06-26,18.375,18.5625,18.125,18.1875,415100
122,2000-06-27,18.4375,18.4375,17.1875,17.5,927800
123,2000-06-28,17.4375,18.6875,17.0,17.6875,507900
124,2000-06-29,17.6875,17.75,17.25,17.375,321300
125,2000-06-30,17.125,17.4375,16.9375,17.0,1444000
126,2000-07-03,17.0,17.8125,17.0,17.625,321100
127,2000-07-05,17.625,18.0,17.1875,17.375,739200
128,2000-07-06,17.375,18.0,17.3125,17.9375,910300
129,2000-07-07,17.75,18.125,17.75,17.9375,374200
130,2000-07-10,17.9375,18.5625,17.875,18.375,478700
131,2000-07-11,18.4375,18.5,18.0625,18.5,300300
132,2000-07-12,18.625,18.6875,18.3125,18.5625,512500
133,2000-07-13,18.25,18.5625,18.25,18.5,665200
134,2000-07-14,18.5,18.8125,18.375,18.8125,425200
135,2000-07-17,18.8125,18.8125,18.3125,18.75,904300
136,2000-07-18,18.75,18.875,18.375,18.5,843100
137,2000-07-19,18.5625,18.625,18.0625,18.1875,571500
138,2000-07-20,18.0625,18.625,18.0625,18.3125,685400
139,2000-07-21,18.25,18.3125,17.9375,18.125,305300
140,2000-07-24,17.875,18.3125,17.8125,18.25,381800
141,2000-07-25,18.1875,18.4375,18.125,18.4375,298600
142,2000-07-26,18.1875,18.1875,17.8125,17.828125,486400
143,2000-07-27,18.0,18.4375,18.0,18.25,253700
144,2000-07-28,18.1875,18.5625,18.1875,18.5625,273200
145,2000-07-31,18.6875,19.0,18.4375,18.75,1265400
146,2000-08-01,18.625,19.0625,18.5625,19.0625,489200
147,2000-08-02,19.0625,19.0625,18.6875,18.6875,317400
148,2000-08-03,18.9375,19.5,18.875,19.265625,565000
149,2000-08-04,19.125,19.3125,18.875,19.3125,374100
150,2000-08-07,19.1875,19.375,19.0625,19.328125,194900
151,2000-08-08,19.25,19.4375,19.0,19.375,413700
152,2000-08-09,19.125,19.375,19.0,19.109375,322200
