,Date,Open,High,Low,Close,Volume
0,2000-01-03,32.53125,36.0,32.53125,34.5,15867
1,2000-01-04,35.25,35.4375,31.875,32.625,5083
2,2000-01-05,32.8125,33.0,31.875,33.0,8267
3,2000-01-06,33.75,36.0,33.75,34.125,22700
4,2000-01-07,35.8125,37.125,35.25,36.0,15417
5,2000-01-10,36.375,37.875,35.25,36.0,14700
6,2000-01-11,35.8125,36.75,35.25,36.75,22667
7,2000-01-12,37.5,54.5625,37.3125,47.25,297550
8,2000-01-13,48.1875,50.25,43.875,48.0,54817
9,2000-01-14,47.8125,48.0,45.75,46.875,22067
10,2000-01-18,49.5,60.5625,49.5,60.5625,103167
11,2000-01-19,71.25,84.0,67.125,75.0,232617
12,2000-01-20,78.0,87.0,76.5,80.25,139233
13,2000-01-21,85.5,86.25,75.75,80.25,69433
14,2000-01-24,80.0625,85.5,79.875,82.125,89367
15,2000-01-25,86.25,86.625,81.75,82.875,47033
16,2000-01-26,84.1875,85.875,81.75,83.625,33083
17,2000-01-27,86.25,93.0,86.25,89.625,101817
18,2000-01-28,90.375,90.375,79.875,80.25,47850
19,2000-01-31,75.375,75.375,61.5,69.0,50333
20,2000-02-01,68.625,84.375,67.5,82.5,47917
21,2000-02-02,84.0,86.25,83.625,86.25,43633
22,2000-02-03,90.0,96.0,89.625,96.0,79767
23,2000-02-04,101.25,109.5,99.0,99.75,107650
24,2000-02-07,113.25,122.25,109.875,118.5,134900
25,2000-02-08,125.625,144.0,121.5,141.0,140583
26,2000-02-09,156.0,162.0,147.0,157.125,140017
27,2000-02-10,160.5,162.0,126.0,137.25,162950
28,2000-02-11,139.5,154.5,139.5,153.375,92967
29,2000-02-14,161.25,163.5,145.5,148.875,44117
30,2000-02-15,148.875,149.25,133.5,138.0,45583
31,2000-02-16,139.125,145.5,136.5,145.125,33617
32,2000-02-17,156.0,157.5,150.0,153.0,56733
33,2000-02-18,157.5,158.25,132.75,149.25,50633
34,2000-02-22,153.0,156.375,135.0,147.0,60350
35,2000-02-23,147.0,148.5,141.75,142.5,27617
36,2000-02-24,142.5,144.0,132.75,144.0,86333
37,2000-02-25,143.25,147.0,133.5,144.75,60483
38,2000-02-28,147.75,154.5,141.375,150.0,62350
39,2000-02-29,154.5,156.0,138.0,156.0,81100
40,2000-03-01,156.0,156.0,141.75,146.25,52583
41,2000-03-02,146.625,150.0,141.0,145.875,57100
42,2000-03-03,150.0,151.5,136.5,136.875,85800
43,2000-03-06,141.375,148.5,136.5,139.5,53317
44,2000-03-07,136.125,142.5,133.5,136.5,48367
45,2000-03-08,138.0,144.0,133.875,136.5,38383
46,2000-03-09,137.0625,137.25,120.0,126.75,64717
47,2000-03-10,127.5,130.5,111.0,126.75,75900
48,2000-03-13,113.25,123.0,109.5,117.375,42633
49,2000-03-14,115.875,117.0,90.0,99.75,119433
50,2000-03-15,94.5,97.5,92.25,97.5,48550
51,2000-03-16,103.3125,111.0,100.125,107.25,66983
52,2000-03-17,106.5,106.5,97.5,101.625,26000
