,Date,Open,High,Low,Close,Volume
0,2000-01-03,0.828125,0.851563,0.8125,0.828125,273600
1,2000-01-04,0.8125,0.890625,0.8125,0.835938,143200
2,2000-01-05,0.828125,0.828125,0.804688,0.804688,82400
3,2000-01-06,0.804688,0.804688,0.789063,0.804688,76800
4,2000-01-07,0.804688,0.8125,0.789063,0.796875,119200
5,2000-01-10,0.796875,0.8125,0.789063,0.796875,140800
6,2000-01-11,0.796875,0.8125,0.796875,0.804688,116800
7,2000-01-12,0.804688,0.804688,0.78125,0.789063,47200
8,2000-01-13,0.773438,0.84375,0.773438,0.828125,344000
9,2000-01-14,0.820313,0.820313,0.796875,0.820313,62400
10,2000-01-18,0.804688,0.820313,0.78125,0.8125,321600
11,2000-01-19,0.8125,0.8125,0.75,0.75,1160800
12,2000-01-20,0.75,0.75,0.734375,0.742188,189600
13,2000-01-21,0.734375,0.75,0.734375,0.75,158400
14,2000-01-24,0.75,0.75,0.6875,0.703125,395200
15,2000-01-25,0.703125,0.742188,0.695313,0.695313,264800
16,2000-01-26,0.703125,0.710938,0.695313,0.703125,1684000
17,2000-01-27,0.695313,0.703125,0.679688,0.679688,412800
18,2000-01-28,0.6875,0.71875,0.6875,0.695313,2050400
19,2000-01-31,0.710938,0.742188,0.703125,0.710938,171200
20,2000-02-01,0.71875,0.71875,0.703125,0.710938,99200
21,2000-02-02,0.710938,0.734375,0.710938,0.726563,56000
22,2000-02-03,0.742188,0.78125,0.742188,0.78125,161600
23,2000-02-04,0.78125,0.789063,0.765625,0.773438,204000
24,2000-02-07,0.78125,0.78125,0.75,0.757813,328800
25,2000-02-08,0.757813,0.78125,0.75,0.773438,270400
26,2000-02-09,0.78125,0.78125,0.757813,0.757813,71200
27,2000-02-10,0.757813,0.789063,0.75,0.78125,891200
28,2000-02-11,0.789063,0.796875,0.757813,0.757813,648000
29,2000-02-14,0.773438,0.78125,0.757813,0.765625,188000
30,2000-02-15,0.773438,0.789063,0.765625,0.78125,300000
31,2000-02-16,0.78125,0.804688,0.773438,0.804688,366400
32,2000-02-17,0.859375,0.859375,0.828125,0.84375,451200
33,2000-02-18,0.859375,0.890625,0.851563,0.882813,729600
34,2000-02-22,0.890625,0.890625,0.875,0.890625,236000
35,2000-02-23,0.875,0.890625,0.875,0.890625,210400
36,2000-02-24,0.875,0.875,0.84375,0.851563,362400
37,2000-02-25,0.84375,0.851563,0.84375,0.84375,140000
38,2000-02-28,0.859375,0.859375,0.84375,0.851563,96800
39,2000-02-29,0.851563,0.875,0.84375,0.875,944000
40,2000-03-01,0.882813,0.914063,0.867188,0.867188,300000
41,2000-03-02,0.875,0.882813,0.867188,0.882813,191200
42,2000-03-03,0.882813,0.914063,0.882813,0.90625,308800
43,2000-03-06,0.914063,0.929688,0.875,0.875,228800
44,2000-03-07,0.875,0.890625,0.84375,0.875,117600
45,2000-03-08,0.875,0.929688,0.859375,0.921875,198400
46,2000-03-09,0.90625,0.90625,0.875,0.890625,230400
47,2000-03-10,0.882813,0.890625,0.859375,0.859375,88800
48,2000-03-13,0.851563,0.882813,0.851563,0.882813,202400
49,2000-03-14,0.867188,0.867188,0.84375,0.84375,194400
50,2000-03-15,0.84375,0.859375,0.84375,0.851563,240000
51,2000-03-16,0.84375,0.890625,0.84375,0.867188,1173600
52,2000-03-17,0.851563,0.867188,0.828125,0.828125,877600
53,2000-03-20,0.84375,0.851563,0.828125,0.828125,220800
54,2000-03-21,0.828125,0.84375,0.820313,0.820313,484800
55,2000-03-22,0.820313,0.828125,0.8125,0.8125,576800
56,2000-03-23,0.820313,0.84375,0.8125,0.828125,132000
57,2000-03-24,0.820313,0.851563,0.820313,0.84375,140800
58,2000-03-27,0.84375,0.84375,0.8125,0.820313,92000
59,2000-03-28,0.820313,0.835938,0.820313,0.820313,48000
60,2000-03-29,0.820313,0.828125,0.8125,0.828125,104800
61,2000-03-30,0.820313,0.851563,0.820313,0.828125,164000
62,2000-03-31,0.84375,0.859375,0.820313,0.828125,465600
63,2000-04-03,0.820313,0.835938,0.820313,0.835938,153600
64,2000-04-04,0.828125,0.828125,0.78125,0.796875,205600
65,2000-04-05,0.78125,0.796875,0.765625,0.796875,187200
66,2000-04-06,0.796875,0.835938,0.796875,0.820313,164000
67,2000-04-07,0.820313,0.867188,0.820313,0.867188,185600
