,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.875,22.875,21.8125,22.125,34500
1,2000-01-04,22.0,22.0,21.0625,21.25,32200
2,2000-01-05,21.25,21.25,20.1875,20.875,165400
3,2000-01-06,21.0,21.6875,21.0,21.5,95100
4,2000-01-07,21.375,21.8125,21.3125,21.8125,163800
5,2000-01-10,21.875,22.0,21.8125,21.9375,97100
6,2000-01-11,22.0,22.0,21.75,21.8125,37800
7,2000-01-12,21.75,21.75,21.5,21.625,37400
8,2000-01-13,21.625,21.625,21.125,21.125,46800
9,2000-01-14,21.25,21.875,21.125,21.875,50300
10,2000-01-18,21.875,22.25,21.5625,22.1875,130500
11,2000-01-19,22.125,22.125,21.9375,22.125,58500
12,2000-01-20,22.125,22.125,21.875,22.125,68600
13,2000-01-21,22.125,23.0,22.0625,22.3125,53000
14,2000-01-24,22.0625,22.0625,20.1875,20.1875,303500
15,2000-01-25,20.0,20.5625,19.5625,20.0625,229800
16,2000-01-26,20.0625,20.125,19.0,19.5,112400
17,2000-01-27,19.625,20.0,19.25,19.25,116300
18,2000-01-28,19.4375,19.9375,19.375,19.375,73600
19,2000-01-31,19.5,19.6875,19.5,19.5625,66100
20,2000-02-01,19.5625,19.875,19.5625,19.875,43800
21,2000-02-02,19.875,19.875,19.75,19.8125,62700
22,2000-02-03,19.9375,19.9375,19.75,19.8125,56500
23,2000-02-04,19.75,19.8125,19.25,19.375,40300
24,2000-02-07,19.3125,19.625,19.1875,19.1875,50700
25,2000-02-08,19.0625,19.25,18.875,19.0,65200
26,2000-02-09,19.0,19.0625,18.3125,18.5,243200
27,2000-02-10,18.5,18.5,18.25,18.25,38000
28,2000-02-11,18.25,18.3125,17.875,18.125,81700
29,2000-02-14,17.8125,17.875,17.625,17.75,142200
30,2000-02-15,17.875,18.0,17.625,17.875,52700
31,2000-02-16,17.875,18.0,17.625,17.8125,54000
32,2000-02-17,17.8125,18.0,17.3125,17.625,50800
33,2000-02-18,17.875,17.875,17.625,17.6875,51700
34,2000-02-22,17.625,17.875,17.0625,17.0625,74100
35,2000-02-23,17.125,17.5,17.0625,17.3125,40300
36,2000-02-24,17.375,17.75,17.375,17.6875,68800
37,2000-02-25,17.75,18.0,17.6875,17.75,63900
38,2000-02-28,18.0,18.0625,17.75,17.75,30300
39,2000-02-29,17.875,18.5,17.75,18.5,105700
40,2000-03-01,18.4375,18.4375,18.0,18.0625,44100
41,2000-03-02,18.125,18.125,17.75,17.9375,67100
42,2000-03-03,17.9375,18.375,17.875,18.0625,62000
43,2000-03-06,19.0,19.125,18.5625,19.0,168100
44,2000-03-07,19.25,19.5,18.9375,18.9375,130200
45,2000-03-08,18.8125,18.9375,18.375,18.5,118700
46,2000-03-09,18.5,18.5,18.0,18.0,102400
47,2000-03-10,18.375,18.4375,17.5,17.75,82900
48,2000-03-13,18.0625,19.5,17.8125,19.0,205600
49,2000-03-14,19.0,19.375,18.5,19.0,85200
50,2000-03-15,18.9375,19.0,18.0625,18.375,48300
51,2000-03-16,18.75,19.5625,18.75,19.5625,93500
52,2000-03-17,19.3125,19.4375,18.875,18.875,64700
53,2000-03-20,18.625,19.1875,18.25,18.9375,44300
54,2000-03-21,18.6875,19.3125,18.6875,19.125,64000
55,2000-03-22,19.25,19.625,19.0,19.625,90000
56,2000-03-23,19.75,19.9375,19.3125,19.4375,47000
57,2000-03-24,19.6875,19.8125,19.25,19.25,54900
58,2000-03-27,19.0,19.4375,19.0,19.1875,30100
59,2000-03-28,19.1875,19.25,19.0625,19.0625,36500
60,2000-03-29,19.0625,19.375,19.0,19.3125,26100
