,Date,Open,High,Low,Close,Volume
0,2000-01-03,28.25,29.53125,27.3125,29.0625,585000
1,2000-01-04,28.375,28.375,26.75,27.40625,468400
2,2000-01-05,27.3125,27.65625,26.875,27.0,691400
3,2000-01-06,27.109375,27.34375,25.5625,26.03125,189400
4,2000-01-07,25.953125,26.8125,25.8125,25.984375,324800
5,2000-01-10,27.1875,30.21875,26.53125,29.46875,745800
6,2000-01-11,29.6875,31.75,29.6875,30.5625,698200
7,2000-01-12,30.3125,31.1875,29.9375,31.1875,528200
8,2000-01-13,31.25,31.5,30.4375,31.453125,385800
9,2000-01-14,31.53125,35.15625,31.5,33.5625,651600
10,2000-01-18,33.390625,34.3125,33.25,33.625,598000
11,2000-01-19,33.65625,34.71875,33.0,34.5625,363400
12,2000-01-20,34.65625,34.96875,33.4375,33.984375,271000
13,2000-01-21,33.53125,33.71875,32.53125,33.3125,256400
14,2000-01-24,33.09375,33.875,32.875,33.78125,208600
15,2000-01-25,33.5,34.0,32.0,33.765625,263200
16,2000-01-26,33.71875,33.9375,32.5,32.78125,129800
17,2000-01-27,32.5625,33.0625,31.84375,32.25,123800
18,2000-01-28,31.6875,32.0625,29.625,30.296875,274800
19,2000-01-31,30.25,31.3125,29.625,31.1875,373000
20,2000-02-01,31.09375,32.1875,30.5,32.078125,285800
21,2000-02-02,31.9375,31.9375,30.625,31.375,41000
22,2000-02-03,31.59375,32.1875,30.75,32.0625,308200
23,2000-02-04,31.78125,32.125,30.9375,31.4375,122400
24,2000-02-07,31.625,32.15625,31.40625,32.0,244200
25,2000-02-08,32.875,34.5,32.75,33.5,397000
26,2000-02-09,33.625,33.75,32.1875,32.875,346600
27,2000-02-10,33.0,34.84375,32.875,34.8125,632400
28,2000-02-11,34.765625,36.125,34.75,35.28125,736000
29,2000-02-14,35.6875,38.0,35.6875,35.96875,750600
30,2000-02-15,36.75,37.8125,36.0,37.375,464400
31,2000-02-16,37.5,38.8125,37.3125,37.8125,412400
32,2000-02-17,37.78125,41.0,37.1875,40.15625,540400
33,2000-02-18,38.8125,40.75,35.75,36.96875,582800
34,2000-02-22,37.1875,37.6875,34.0,36.34375,298600
35,2000-02-23,36.5,37.0625,34.625,36.265625,368400
36,2000-02-24,36.5625,39.25,36.5,39.0,257600
37,2000-02-25,38.0,38.53125,37.25,38.0625,269600
38,2000-02-28,38.375,41.078125,38.375,41.078125,570000
39,2000-02-29,41.9375,43.8125,41.75,42.890625,508000
40,2000-03-01,43.90625,45.25,43.0,44.1875,668600
41,2000-03-02,44.125,44.25,40.15625,41.578125,215800
42,2000-03-03,42.109375,42.625,41.125,41.78125,322400
43,2000-03-06,42.0625,44.6875,41.5,44.5,281200
44,2000-03-07,44.0,44.46875,41.0,41.0625,333800
45,2000-03-08,41.125,41.9375,38.5625,40.5,365600
46,2000-03-09,40.75,41.0,39.25,40.15625,139200
47,2000-03-10,40.132813,40.25,36.75,38.5625,189600
48,2000-03-13,38.25,38.5625,35.375,36.0,286400
49,2000-03-14,36.375,36.75,32.46875,32.8125,475600
50,2000-03-15,33.0,33.9375,32.0,32.78125,250200
51,2000-03-16,33.5,38.25,32.96875,37.53125,380000
52,2000-03-17,38.015625,39.84375,33.0,35.953125,328600
53,2000-03-20,36.6875,38.5,34.375,34.8125,836800
54,2000-03-21,34.65625,38.109375,34.0,38.109375,303400
55,2000-03-22,38.3125,40.5,36.5,40.5,328800
56,2000-03-23,40.625,40.875,37.75,37.8125,151800
57,2000-03-24,38.671875,40.125,38.5625,39.1875,247000
58,2000-03-27,39.96875,40.0,37.5,39.03125,187800
59,2000-03-28,39.28125,39.8125,35.5,35.5,215200
60,2000-03-29,35.8125,36.875,32.5625,33.5625,271400
61,2000-03-30,32.75,33.5,30.28125,32.375,407600
62,2000-03-31,32.34375,37.0,32.34375,34.5,222600
63,2000-04-03,34.96875,36.25,29.5,30.0,225000
64,2000-04-04,30.4375,34.375,29.75,34.34375,395400
65,2000-04-05,33.0625,35.5,31.25,34.5625,278400
66,2000-04-06,34.0625,35.96875,34.0625,34.9375,210600
67,2000-04-07,35.15625,35.15625,33.0,34.5625,141400
68,2000-04-10,34.40625,37.71875,34.40625,35.875,270400
69,2000-04-11,35.0,36.125,33.15625,35.515625,148200
70,2000-04-12,36.0,36.1875,32.5,33.375,127600
71,2000-04-13,33.625,35.3125,31.03125,33.75,114600
