,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.0,3.0,2.375,2.875,29300
1,2000-01-04,2.875,2.875,2.875,2.875,0
2,2000-01-05,2.8125,2.8125,2.6875,2.75,1600
3,2000-01-06,2.75,2.875,2.40625,2.5,14100
4,2000-01-07,2.75,2.875,2.75,2.875,1400
5,2000-01-10,2.875,2.875,2.875,2.875,3500
6,2000-01-11,2.8125,3.0,2.8125,3.0,10800
7,2000-01-12,3.0,3.0,2.5625,2.625,22400
8,2000-01-13,2.75,2.875,2.75,2.75,11500
9,2000-01-14,2.8125,2.8125,2.75,2.8125,6600
10,2000-01-18,2.75,3.0,2.625,2.75,32200
11,2000-01-19,2.6875,2.75,2.625,2.75,9800
12,2000-01-20,2.75,2.9375,2.625,2.875,14700
13,2000-01-21,2.875,2.875,2.75,2.75,4700
14,2000-01-24,2.71875,2.75,2.6875,2.75,7200
15,2000-01-25,2.875,3.5,2.8125,3.5,21900
16,2000-01-26,3.75,9.25,3.625,7.6875,1083500
17,2000-01-27,7.3125,7.625,6.03125,6.875,229500
18,2000-01-28,6.125,6.4375,5.9375,6.25,75200
19,2000-01-31,6.0,6.0,5.375,5.875,55500
20,2000-02-01,4.875,5.5,4.84375,5.25,32700
21,2000-02-02,5.0625,5.5,5.0,5.125,36200
22,2000-02-03,5.59375,5.625,5.1875,5.3125,41000
23,2000-02-04,5.75,6.5625,5.5,6.5,61000
24,2000-02-07,6.75,7.0,6.3125,6.75,28900
25,2000-02-08,6.8125,6.8125,6.25,6.25,12600
26,2000-02-09,6.25,6.5,5.5,6.125,31700
27,2000-02-10,6.125,6.9375,6.0,6.84375,25900
28,2000-02-11,6.828125,7.8125,6.8125,7.6875,70100
29,2000-02-14,7.5625,8.0,7.125,7.625,40600
30,2000-02-15,7.6875,7.75,7.125,7.25,17000
31,2000-02-16,7.375,8.0,7.375,7.75,10000
32,2000-02-17,7.8125,11.0,7.8125,9.0,102600
33,2000-02-18,9.875,11.5,9.8125,11.0,39700
34,2000-02-22,10.96875,16.25,10.75,14.0,197600
35,2000-02-23,14.125,17.0,14.0625,16.4375,120200
36,2000-02-24,16.25,16.25,13.25,15.25,48300
37,2000-02-25,15.625,17.0,13.75,14.0,83800
38,2000-02-28,14.5,15.75,13.75,15.75,20300
39,2000-02-29,16.5,20.0,16.0,18.4375,127700
40,2000-03-01,18.4375,29.0,18.40625,25.5,187400
41,2000-03-02,26.0,28.9375,20.25,23.0,114100
42,2000-03-03,22.125,23.0,16.0,19.5,106800
43,2000-03-06,19.0,22.5,18.875,22.0,78300
44,2000-03-07,22.375,22.375,20.125,20.625,56200
45,2000-03-08,20.375,21.0,19.0,19.0,9900
46,2000-03-09,18.75,19.125,17.0,18.75,39700
47,2000-03-10,18.5625,20.5,17.75,20.125,51700
48,2000-03-13,19.0,20.0,17.5,19.0,17800
49,2000-03-14,18.5,18.75,17.125,17.5,11700
50,2000-03-15,18.875,18.875,17.125,17.125,14800
51,2000-03-16,16.625,17.0,13.0,14.75,39200
52,2000-03-17,14.5,15.375,14.5,14.875,11600
53,2000-03-20,16.5,16.75,14.875,15.25,12200
54,2000-03-21,15.0,15.25,14.8125,15.0,6400
55,2000-03-22,14.875,15.0,14.0625,14.125,7000
56,2000-03-23,14.125,16.875,14.0,15.5,19700
57,2000-03-24,15.8125,16.125,15.25,15.25,3800
58,2000-03-27,15.6875,16.125,14.75,14.75,11800
59,2000-03-28,15.75,17.0,15.625,15.625,38400
60,2000-03-29,16.125,16.875,16.0,16.125,8500
61,2000-03-30,15.53125,15.5625,15.0,15.5,5100
62,2000-03-31,15.28125,16.375,14.625,15.4375,36400
63,2000-04-03,15.25,15.8125,14.5,15.0,9600
64,2000-04-04,14.5,15.0,13.0,14.0625,10100
65,2000-04-05,14.0,15.875,13.0,13.0,10500
66,2000-04-06,13.5,14.0,13.0,13.0,7600
67,2000-04-07,16.0,16.0,14.0,14.0,4300
68,2000-04-10,14.0,14.5,13.0,14.0,3200
69,2000-04-11,13.0,14.5,12.5,13.0,10500
70,2000-04-12,12.875,13.0,11.375,11.9375,20400
71,2000-04-13,11.53125,11.5625,9.75,9.75,14400
72,2000-04-14,9.4375,9.875,5.53125,8.0,60000
73,2000-04-17,7.84375,9.75,7.25,8.625,26000
74,2000-04-18,8.625,10.0,8.625,9.75,18400
75,2000-04-19,9.9375,9.9375,9.375,9.375,900
76,2000-04-20,10.75,10.75,9.375,10.5,8200
