,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.884449,6.884449,6.584473,6.599472,916323
1,2000-01-04,6.569474,6.599472,6.389489,6.404488,572546
2,2000-01-05,6.344492,6.584473,6.344492,6.524478,647969
3,2000-01-06,6.49448,6.644468,6.479482,6.614471,433785
4,2000-01-07,6.599472,6.614471,6.554476,6.584473,732142
5,2000-01-10,6.599472,6.599472,6.404488,6.524478,764228
6,2000-01-11,6.509479,6.539477,6.419486,6.464483,581713
7,2000-01-12,6.419486,6.449484,6.314495,6.37449,602548
8,2000-01-13,6.359491,6.449484,6.329494,6.329494,665887
9,2000-01-14,6.329494,6.359491,6.149508,6.179506,1137591
10,2000-01-18,6.11951,6.179506,5.954524,6.149508,908823
11,2000-01-19,6.134509,6.194504,6.029518,6.089513,853402
12,2000-01-20,6.209503,6.284497,5.99952,6.029518,1155092
13,2000-01-21,6.014519,6.029518,5.759539,5.819534,999247
14,2000-01-24,5.819534,5.849532,5.729542,5.834533,1647632
15,2000-01-25,5.894528,5.894528,5.62455,5.714543,1350525
16,2000-01-26,5.759539,5.804536,5.684545,5.759539,3614873
17,2000-01-27,5.759539,5.819534,5.714543,5.714543,1414280
18,2000-01-28,5.729542,5.774538,5.639549,5.639549,889655
19,2000-01-31,5.699544,5.699544,5.579554,5.609551,664220
20,2000-02-01,5.609551,5.669546,5.609551,5.62455,706307
21,2000-02-02,5.639549,5.789537,5.594552,5.609551,1398862
22,2000-02-03,5.639549,5.684545,5.459563,5.459563,1465951
23,2000-02-04,5.489561,5.489561,5.384569,5.444564,800897
24,2000-02-07,5.429566,5.564555,5.399568,5.549556,1269685
25,2000-02-08,5.564555,5.654548,5.36957,5.399568,799231
26,2000-02-09,5.399568,5.429566,5.264579,5.279578,1655132
27,2000-02-10,5.309575,5.384569,5.24958,5.309575,1617213
28,2000-02-11,5.309575,5.309575,5.159587,5.24958,2531036
29,2000-02-14,5.24958,5.24958,5.054596,5.234581,1425947
30,2000-02-15,5.219582,5.36957,5.189585,5.324574,2171424
31,2000-02-16,5.309575,5.384569,5.279578,5.384569,1539707
32,2000-02-17,5.36957,5.414567,5.219582,5.279578,452120
33,2000-02-18,5.279578,5.279578,5.159587,5.189585,601715
34,2000-02-22,5.204584,5.36957,5.174586,5.36957,969244
35,2000-02-23,5.384569,5.399568,5.279578,5.339573,497957
36,2000-02-24,5.309575,5.309575,5.114591,5.159587,1148009
37,2000-02-25,5.099592,5.24958,5.099592,5.174586,564629
38,2000-02-28,5.219582,5.279578,5.159587,5.219582,542127
39,2000-02-29,5.219582,5.324574,5.159587,5.309575,442119
40,2000-03-01,5.324574,5.324574,5.159587,5.234581,636718
41,2000-03-02,5.219582,5.279578,5.084593,5.099592,749643
42,2000-03-03,5.12959,5.279578,5.12959,5.219582,825899
43,2000-03-06,5.219582,5.219582,5.039597,5.054596,591297
44,2000-03-07,5.054596,5.069594,4.859611,4.9946,1293437
45,2000-03-08,4.934605,5.039597,4.889609,5.024598,1196762
46,2000-03-09,5.024598,5.024598,4.87461,4.9946,828816
47,2000-03-10,4.979602,4.979602,4.769618,4.769618,1181761
48,2000-03-13,4.784617,4.919606,4.75462,4.859611,1251767
49,2000-03-14,4.889609,4.889609,4.769618,4.769618,439619
50,2000-03-15,4.769618,4.919606,4.739621,4.859611,1107172
51,2000-03-16,4.889609,5.609551,4.889609,5.36957,1385944
52,2000-03-17,5.399568,5.579554,5.339573,5.339573,1312188
53,2000-03-20,5.399568,5.444564,5.354572,5.36957,717557
54,2000-03-21,5.36957,5.534557,5.339573,5.459563,761728
55,2000-03-22,5.444564,5.549556,5.444564,5.519558,655469
56,2000-03-23,5.50456,5.74454,5.489561,5.549556,1047584
57,2000-03-24,5.519558,5.594552,5.429566,5.50456,1230515
58,2000-03-27,5.489561,5.519558,5.384569,5.399568,409199
59,2000-03-28,5.279578,5.294576,5.054596,5.084593,1655132
60,2000-03-29,5.099592,5.174586,5.009599,5.144588,1303854
61,2000-03-30,5.144588,5.399568,5.144588,5.24958,803814
62,2000-03-31,5.264579,5.684545,5.264579,5.684545,1262184
63,2000-04-03,5.654548,5.699544,5.339573,5.429566,970494
64,2000-04-04,5.459563,5.714543,5.459563,5.50456,993413
65,2000-04-05,5.489561,5.594552,5.489561,5.534557,702140
66,2000-04-06,5.519558,5.669546,5.444564,5.444564,675887
67,2000-04-07,5.444564,5.519558,5.324574,5.354572,817565
68,2000-04-10,5.444564,5.62455,5.36957,5.36957,876320
69,2000-04-11,5.36957,5.549556,5.36957,5.549556,592964
70,2000-04-12,5.549556,5.579554,5.489561,5.519558,581713
71,2000-04-13,5.549556,5.62455,5.519558,5.534557,824233
72,2000-04-14,5.549556,5.549556,5.234581,5.309575,851735
73,2000-04-17,5.324574,5.414567,5.279578,5.339573,867569
74,2000-04-18,5.309575,5.459563,5.24958,5.459563,913823
75,2000-04-19,5.399568,5.429566,5.264579,5.309575,594631
76,2000-04-20,5.324574,5.354572,5.189585,5.294576,446286
77,2000-04-24,5.279578,5.279578,5.219582,5.219582,238352
78,2000-04-25,5.264579,5.489561,5.204584,5.489561,587130
79,2000-04-26,5.459563,5.50456,5.219582,5.219582,688805
80,2000-04-27,5.234581,5.36957,5.204584,5.36957,516291
81,2000-04-28,5.354572,5.354572,5.264579,5.339573,309191
82,2000-05-01,5.339573,5.339573,5.174586,5.324574,409199
83,2000-05-02,5.324574,5.36957,5.189585,5.204584,407533
84,2000-05-03,5.219582,5.234581,5.159587,5.174586,517958
85,2000-05-04,5.234581,5.309575,5.189585,5.279578,437118
86,2000-05-05,5.264579,5.399568,5.264579,5.324574,652969
87,2000-05-08,5.339573,5.564555,5.339573,5.384569,545877
88,2000-05-09,5.354572,5.489561,5.279578,5.324574,428368
89,2000-05-10,5.309575,5.36957,5.264579,5.264579,202933
90,2000-05-11,5.264579,5.489561,5.264579,5.399568,710890
