,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.339844,2.34375,2.277344,2.28125,800000
1,2000-01-04,2.273438,2.292969,2.238281,2.242188,865600
2,2000-01-05,2.246094,2.269531,2.222656,2.226563,1177600
3,2000-01-06,2.222656,2.257813,2.222656,2.242188,563200
4,2000-01-07,2.25,2.25,2.234375,2.242188,784000
5,2000-01-10,2.234375,2.289063,2.234375,2.28125,1336000
6,2000-01-11,2.273438,2.292969,2.257813,2.261719,766400
7,2000-01-12,2.253906,2.296875,2.234375,2.296875,577600
8,2000-01-13,2.289063,2.324219,2.273438,2.324219,907200
9,2000-01-14,2.316406,2.316406,2.269531,2.269531,904000
10,2000-01-18,2.25,2.253906,2.234375,2.242188,608000
11,2000-01-19,2.246094,2.246094,2.210938,2.226563,497600
12,2000-01-20,2.21875,2.234375,2.195313,2.210938,2051200
13,2000-01-21,2.203125,2.203125,2.167969,2.1875,588800
14,2000-01-24,2.179688,2.179688,2.136719,2.144531,1521600
15,2000-01-25,2.148438,2.148438,2.070313,2.078125,1028800
16,2000-01-26,2.09375,2.09375,2.066406,2.070313,1036800
17,2000-01-27,2.070313,2.15625,2.070313,2.136719,1451200
18,2000-01-28,2.136719,2.140625,2.125,2.136719,612800
19,2000-01-31,2.140625,2.140625,2.078125,2.121094,1153600
20,2000-02-01,2.113281,2.113281,2.054688,2.101563,468800
21,2000-02-02,2.09375,2.109375,2.085938,2.109375,875200
22,2000-02-03,2.113281,2.128906,2.085938,2.101563,1073600
23,2000-02-04,2.089844,2.101563,2.070313,2.078125,172800
24,2000-02-07,2.078125,2.109375,2.070313,2.078125,363200
25,2000-02-08,2.078125,2.089844,2.050781,2.054688,595200
26,2000-02-09,2.046875,2.046875,1.976563,1.996094,665600
27,2000-02-10,1.988281,1.988281,1.953125,1.964844,768000
28,2000-02-11,1.964844,1.964844,1.925781,1.929688,651200
29,2000-02-14,1.929688,1.929688,1.851563,1.871094,1283200
30,2000-02-15,1.871094,1.871094,1.832031,1.835938,1592000
31,2000-02-16,1.835938,1.929688,1.835938,1.921875,3699200
