,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.916667,10.0,8.666667,9.125,1176750
1,2000-01-04,9.083333,9.333333,8.666667,8.875,345300
2,2000-01-05,8.75,8.875,8.333333,8.833333,628800
3,2000-01-06,8.791667,9.0,8.5,8.75,374100
4,2000-01-07,8.666667,9.041667,8.375,9.0,482850
5,2000-01-10,9.208333,9.416667,9.0,9.166667,315000
6,2000-01-11,9.25,9.416667,8.916667,8.958333,393300
7,2000-01-12,9.083333,9.291667,8.583333,8.666667,260700
8,2000-01-13,8.833333,9.666667,8.833333,9.291667,942300
9,2000-01-14,9.75,9.833333,9.333333,9.541667,526950
10,2000-01-18,9.5625,9.666667,9.333333,9.333333,385200
11,2000-01-19,9.458333,9.583333,8.833333,8.875,409350
12,2000-01-20,8.875,9.291667,8.833333,8.875,441300
13,2000-01-21,8.979167,9.166667,7.916667,7.916667,1096350
14,2000-01-24,8.333333,8.5,7.25,7.5,1423500
15,2000-01-25,7.708333,7.875,7.25,7.583333,901800
16,2000-01-26,7.708333,8.364583,7.583333,8.0,969600
17,2000-01-27,8.333333,8.708333,7.875,8.010417,1024950
18,2000-01-28,8.666667,8.833333,7.75,7.875,798600
19,2000-01-31,8.0625,8.333333,7.5,8.291667,585750
20,2000-02-01,8.166667,8.625,7.666667,8.0,466950
21,2000-02-02,8.25,8.333333,7.833333,8.0,388200
22,2000-02-03,8.166667,8.166667,7.645833,7.875,550050
23,2000-02-04,8.0,8.166667,7.75,8.083333,652650
24,2000-02-07,8.208333,8.333333,8.0,8.0,322650
25,2000-02-08,8.041667,8.833333,8.041667,8.75,1106850
26,2000-02-09,8.833333,9.333333,8.791667,9.291667,1259250
27,2000-02-10,9.541667,9.833333,9.333333,9.416667,1100700
28,2000-02-11,9.583333,9.583333,9.083333,9.166667,382050
29,2000-02-14,9.270833,9.333333,8.666667,8.958333,238050
30,2000-02-15,8.875,8.875,8.5,8.791667,248250
31,2000-02-16,8.791667,9.25,8.583333,9.25,291900
32,2000-02-17,9.166667,9.333333,8.458333,8.708333,555150
33,2000-02-18,8.916667,9.208333,8.583333,8.75,327750
34,2000-02-22,8.666667,8.916667,8.416667,8.875,357450
35,2000-02-23,9.0,9.541667,8.75,9.416667,802500
36,2000-02-24,9.5,9.583333,8.5,8.666667,683550
37,2000-02-25,9.0,9.0,8.5,8.583333,427350
38,2000-02-28,8.625,8.708333,7.833333,8.25,565500
39,2000-02-29,8.166667,8.479167,7.916667,8.291667,491850
40,2000-03-01,8.416667,9.541667,8.25,9.333333,1511250
41,2000-03-02,9.458333,10.208333,9.458333,9.916667,2132550
42,2000-03-03,10.083333,10.666667,10.083333,10.5,2141700
43,2000-03-06,10.708333,11.0,10.416667,10.458333,1209150
44,2000-03-07,10.666667,11.0,10.416667,10.9375,1604250
45,2000-03-08,11.25,12.0,11.25,11.958333,3354450
46,2000-03-09,12.25,12.541667,10.666667,12.416667,4187850
47,2000-03-10,12.5,12.625,10.666667,10.75,4932150
48,2000-03-13,10.583333,11.333333,10.125,11.083333,1130250
49,2000-03-14,11.0,11.333333,9.375,10.041667,875100
50,2000-03-15,10.166667,10.541667,9.666667,9.958333,621000
51,2000-03-16,10.041667,10.166667,9.333333,9.916667,941550
52,2000-03-17,10.458333,10.5,9.791667,10.0,678150
53,2000-03-20,10.1875,10.25,9.75,9.791667,456900
54,2000-03-21,9.958333,10.5,9.416667,10.333333,682200
55,2000-03-22,10.5,10.583333,9.791667,10.333333,473100
56,2000-03-23,10.333333,10.375,9.666667,9.75,921300
57,2000-03-24,9.75,9.75,8.833333,8.916667,1123650
58,2000-03-27,8.916667,9.5,8.833333,9.166667,416550
59,2000-03-28,9.333333,9.375,8.833333,9.0,699900
60,2000-03-29,8.958333,9.166667,8.791667,8.958333,533850
61,2000-03-30,8.75,9.083333,8.166667,8.291667,689100
62,2000-03-31,8.375,9.041667,8.333333,8.833333,825150
63,2000-04-03,8.75,8.958333,8.333333,8.625,361800
64,2000-04-04,8.666667,8.666667,5.833333,8.0,1374900
65,2000-04-05,7.75,8.666667,7.5,8.416667,593100
66,2000-04-06,8.583333,8.666667,8.375,8.625,561900
67,2000-04-07,8.625,8.833333,8.041667,8.083333,570450
68,2000-04-10,8.25,8.25,6.875,7.083333,653850
69,2000-04-11,7.208333,7.333333,6.458333,6.833333,964050
70,2000-04-12,7.333333,7.333333,6.333333,6.333333,829650
71,2000-04-13,6.791667,7.041667,6.25,6.416667,1062900
72,2000-04-14,6.416667,6.5,5.333333,5.5,1498200
73,2000-04-17,5.479167,6.208333,5.416667,5.833333,1057200
74,2000-04-18,6.166667,6.583333,6.0,6.583333,852300
75,2000-04-19,6.625,7.166667,6.416667,6.666667,787650
