,Date,Open,High,Low,Close,Volume
0,2000-01-03,49.75,51.9375,48.0625,51.4375,10815600
1,2000-01-04,50.75,50.8125,48.875,49.25,7952400
2,2000-01-05,49.25,49.625,47.8125,48.0625,12142400
3,2000-01-06,48.1875,48.75,45.25,46.75,11758400
4,2000-01-07,46.28125,47.5625,45.6875,47.0,12938800
5,2000-01-10,49.21875,50.625,48.75,50.21875,9371200
6,2000-01-11,50.25,51.4375,49.28125,49.75,7636400
7,2000-01-12,49.625,51.53125,49.21875,50.5,6697600
8,2000-01-13,51.25,51.90625,49.3125,51.1875,6548200
9,2000-01-14,52.4375,54.0625,52.375,53.9375,8829000
10,2000-01-18,52.5,55.6875,52.5,55.1875,8800800
11,2000-01-19,55.96875,56.0,54.6875,54.75,6658400
12,2000-01-20,56.0,57.53125,55.40625,56.4375,9374600
13,2000-01-21,57.375,57.5625,54.96875,55.398438,8594600
14,2000-01-24,57.25,58.75,54.0,55.4375,10265000
15,2000-01-25,56.4375,58.625,55.5625,56.9375,15104800
16,2000-01-26,56.65625,56.75,54.9375,56.25,8639600
17,2000-01-27,56.125,58.25,54.84375,56.5,9990800
18,2000-01-28,56.03125,56.625,52.46875,53.5625,9993400
19,2000-01-31,53.46875,54.0,51.0,53.875,9603000
20,2000-02-01,53.8125,56.6875,52.9375,56.5625,7616600
21,2000-02-02,57.6875,60.25,57.21875,59.6875,10920800
22,2000-02-03,60.5,67.25,60.28125,67.0,14903400
23,2000-02-04,65.875,69.5,65.125,66.0,11947600
24,2000-02-07,65.625,67.71875,65.625,67.25,7854400
25,2000-02-08,67.5625,69.8125,67.375,69.4375,7639600
26,2000-02-09,69.5625,71.5625,69.0625,70.4375,9807600
27,2000-02-10,70.3125,72.5,69.0,72.5,6801800
28,2000-02-11,71.5,71.625,68.0,68.8125,8288600
29,2000-02-14,69.375,69.625,66.0,67.3125,8250200
30,2000-02-15,67.3125,67.90625,65.125,67.46875,7677600
31,2000-02-16,67.9375,69.875,67.65625,67.875,8574000
32,2000-02-17,67.96875,72.5,67.96875,71.5,8459800
33,2000-02-18,72.5,72.5,67.0,67.0,9154600
34,2000-02-22,71.0,75.0,68.75,74.5,15547200
35,2000-02-23,74.40625,76.5625,72.25,73.5625,11989800
36,2000-02-24,74.5,79.5,74.3125,78.875,13451600
37,2000-02-25,78.6875,80.375,76.375,76.625,9430200
38,2000-02-28,76.625,78.75,73.0,77.9375,12205400
39,2000-02-29,78.5,84.84375,78.5,83.0625,11302200
40,2000-03-01,83.71875,85.0,78.875,82.1875,10125800
41,2000-03-02,82.03125,87.6875,80.0,86.5,11208200
42,2000-03-03,89.0,94.0625,89.0,93.8125,13211200
43,2000-03-06,96.125,99.78125,90.75,93.0,12745000
44,2000-03-07,93.75,93.96875,87.8125,90.0,10917000
45,2000-03-08,90.0,90.125,84.15625,86.0,12086200
46,2000-03-09,86.0,90.46875,83.8125,90.0,9660000
47,2000-03-10,90.1875,92.0,86.75,90.375,8506000
48,2000-03-13,86.75,89.375,85.5,85.875,8810600
49,2000-03-14,87.0,88.1875,76.5625,78.25,12852600
50,2000-03-15,78.75,78.75,73.0,73.5,18261000
51,2000-03-16,75.0625,80.96875,71.90625,80.0,15793800
52,2000-03-17,80.0,85.375,79.0625,84.9375,12554600
53,2000-03-20,85.0,87.59375,82.25,83.5625,8981800
54,2000-03-21,83.5,86.25,80.9375,85.625,7923400
55,2000-03-22,87.0,90.25,83.875,89.0,9254600
56,2000-03-23,89.0,91.4375,86.25,87.125,8781800
57,2000-03-24,88.125,92.46875,86.0,88.28125,10100800
58,2000-03-27,88.0,91.71875,88.0,90.46875,8098200
59,2000-03-28,90.25,90.4375,87.75,89.4375,8277600
60,2000-03-29,89.0,89.5,84.25,85.40625,10445400
61,2000-03-30,85.40625,85.5,77.5,81.5625,12646200
62,2000-03-31,82.5,83.5,78.5,80.0,13718400
63,2000-04-03,80.0,80.28125,74.875,75.375,11295600
64,2000-04-04,75.5,76.625,64.125,72.875,24174800
65,2000-04-05,72.96875,80.09375,71.1875,75.0,15996000
66,2000-04-06,78.0,81.0,77.125,80.0,10249800
67,2000-04-07,82.0,83.3125,80.375,83.25,7803000
68,2000-04-10,83.75,84.5,77.625,78.1875,7877200
69,2000-04-11,76.0,77.9375,73.03125,75.0,13802800
70,2000-04-12,75.25,76.875,69.25,70.25,12635400
71,2000-04-13,70.8125,74.875,68.625,70.9375,12616200
72,2000-04-14,69.5625,70.90625,64.78125,69.5,15033800
73,2000-04-17,65.375,79.5,65.375,74.5,16798400
74,2000-04-18,72.8125,75.0,68.5,75.0,21243200
75,2000-04-19,75.0,76.5,71.3125,71.5,11299800
76,2000-04-20,72.5,74.46875,71.8125,72.5,8532400
77,2000-04-24,71.0,72.78125,69.875,70.625,8591800
78,2000-04-25,73.6875,76.0,72.8125,76.0,8429400
79,2000-04-26,77.5,77.96875,73.875,74.5,7174800
80,2000-04-27,73.375,81.4375,73.0,79.75,9612200
81,2000-04-28,81.0,84.375,81.0,81.4375,9997600
82,2000-05-01,81.875,82.71875,78.5625,80.0,8312600
83,2000-05-02,78.90625,82.25,77.75,77.75,8252200
84,2000-05-03,77.75,78.9375,72.71875,75.90625,8063800
85,2000-05-04,76.25,78.4375,74.53125,77.75,8952400
86,2000-05-05,78.75,80.21875,76.4375,76.90625,7486400
87,2000-05-08,77.46875,77.71875,73.0,73.40625,6999000
88,2000-05-09,73.40625,74.5,69.4375,70.65625,11576400
89,2000-05-10,69.5,69.5,64.5,66.4375,14795800
90,2000-05-11,65.875,70.5625,65.5,70.0,9575200
91,2000-05-12,71.4375,73.125,69.75,70.625,8086000
92,2000-05-15,70.375,72.25,67.625,71.34375,7233400
93,2000-05-16,73.0625,74.5,71.4375,73.9375,7119600
94,2000-05-17,73.8125,75.5,71.53125,72.4375,8821200
95,2000-05-18,72.9375,73.9375,71.375,72.53125,6360000
96,2000-05-19,71.0,71.5,67.875,69.75,9401800
97,2000-05-22,68.78125,69.125,64.5625,66.875,13305400
98,2000-05-23,68.0,68.75,64.0,64.0,6087000
99,2000-05-24,64.125,69.4375,60.125,68.375,9135500
100,2000-05-25,71.75,73.5625,69.375,70.0,9748900
101,2000-05-26,68.0,69.1875,65.0625,67.0,4726600
102,2000-05-30,70.0,72.625,68.75,72.25,6134700
103,2000-05-31,72.5,73.375,70.25,72.25,7722100
104,2000-06-01,74.375,78.625,73.875,78.125,6912700
105,2000-06-02,83.0,89.0,82.5,85.6875,11159600
106,2000-06-05,83.75,85.5,80.5,84.0,5341600
107,2000-06-06,84.0625,85.25,80.0,80.5,5502700
108,2000-06-07,82.0,84.25,78.9375,82.875,5388300
109,2000-06-08,84.0,84.75,80.875,81.75,4744700
110,2000-06-09,83.625,85.0,81.9375,83.75,4066900
111,2000-06-12,83.0,83.625,78.125,79.125,5086700
112,2000-06-13,80.5,83.25,78.5625,83.25,5631000
113,2000-06-14,83.5,85.0,81.5625,81.875,6662500
114,2000-06-15,81.625,83.0,78.5,80.5,6712800
115,2000-06-16,78.5,82.0,78.5,82.0,5308600
116,2000-06-19,80.875,88.875,80.875,87.75,6370800
117,2000-06-20,87.3125,90.0,86.0,86.875,7393300
118,2000-06-21,86.0,88.0,80.0,82.0,5574800
119,2000-06-22,82.25,85.375,79.25,81.625,16771500
120,2000-06-23,79.5,79.5,74.0,75.75,13886900
121,2000-06-26,75.0,76.125,73.0,74.75,9962900
122,2000-06-27,74.75,74.75,71.75,71.75,7373300
123,2000-06-28,73.75,74.4375,71.25,71.625,8286300
124,2000-06-29,71.0,73.625,67.9375,69.0,9523500
125,2000-06-30,69.4375,71.5,68.1875,68.6875,8848800
126,2000-07-03,69.0,69.75,68.5625,69.0,3797100
127,2000-07-05,64.25,66.0,63.75,65.75,15001800
128,2000-07-06,65.875,67.3125,64.5625,67.0,11724900
129,2000-07-07,68.25,70.4375,67.875,69.0,9242400
130,2000-07-10,68.5,69.9375,67.5625,68.0,5728000
131,2000-07-11,67.75,69.5,64.9375,68.0,8054800
132,2000-07-12,67.5,68.0,66.0625,68.0,7792000
133,2000-07-13,68.5,72.4375,67.875,70.875,10993100
134,2000-07-14,71.0,73.0,69.75,72.5,6702000
135,2000-07-17,72.9375,74.5,70.75,73.5,7907600
136,2000-07-18,73.0,73.0,69.9375,70.5625,6575100
137,2000-07-19,70.5,70.5,67.0,67.25,6282000
138,2000-07-20,67.5,69.375,65.5625,67.75,8237200
139,2000-07-21,65.5,65.875,61.5,63.5,15965900
140,2000-07-24,62.75,68.875,62.0625,68.0,13576000
141,2000-07-25,68.75,70.375,66.375,67.0625,14329200
142,2000-07-26,66.5625,66.625,62.25,64.0625,12375200
143,2000-07-27,57.5,60.0,56.5,57.0625,22040800
144,2000-07-28,58.5,58.9375,55.875,57.5,15331200
145,2000-07-31,59.375,60.4375,58.3125,59.5,11878400
146,2000-08-01,59.8125,59.8125,57.25,58.0,7507500
147,2000-08-02,57.875,59.75,56.1875,57.0,8061900
148,2000-08-03,58.0,58.0,53.0,55.75,16528200
149,2000-08-04,59.0,59.0,53.8125,55.25,10308000
150,2000-08-07,55.375,59.0,54.875,58.5,9339200
151,2000-08-08,57.6875,61.25,57.3125,59.875,8726800
152,2000-08-09,61.0,62.25,60.0,60.0,7749800
153,2000-08-10,61.0,61.25,58.375,60.5,5979700
154,2000-08-11,59.0,59.546875,56.0,57.25,8302100
155,2000-08-14,59.875,64.0,58.8125,63.5,10750600
156,2000-08-15,65.5,67.5,65.25,66.5,14482800
157,2000-08-16,66.9375,68.875,66.0,66.5,12801100
158,2000-08-17,66.5625,68.5625,65.5,67.5,8400500
159,2000-08-18,69.125,71.0,69.0,70.625,10660600
160,2000-08-21,70.625,70.75,66.1875,67.75,9478300
161,2000-08-22,67.5,67.5,65.0,65.375,10647500
162,2000-08-23,65.125,67.875,65.125,67.875,9463200
163,2000-08-24,68.5,70.625,68.125,69.625,18899900
164,2000-08-25,69.4375,69.6875,66.9375,67.125,7796600
165,2000-08-28,67.375,69.375,66.875,69.375,6283900
166,2000-08-29,67.875,68.3125,66.8125,67.0625,7354300
167,2000-08-30,66.875,67.1875,65.4375,66.9375,6414600
168,2000-08-31,66.0625,68.0,66.0625,66.75,6629500
169,2000-09-01,68.4375,68.625,66.5625,67.0,6724300
170,2000-09-05,67.0625,67.0625,65.625,66.0,5182100
171,2000-09-06,65.0625,66.0,62.0,62.875,10993800
172,2000-09-07,62.625,64.25,60.5,61.5,10982800
173,2000-09-08,61.875,61.875,57.3125,58.625,15473500
174,2000-09-11,57.9375,59.75,56.4375,58.0,10534200
175,2000-09-12,58.5625,59.4375,56.6875,57.25,8247700
176,2000-09-13,56.3125,58.125,55.5625,57.0,9403400
177,2000-09-14,58.5,60.5,58.25,60.125,10749700
178,2000-09-15,59.875,59.875,58.21875,59.0,9535300
179,2000-09-18,60.0,62.0625,58.0625,59.1875,8386900
180,2000-09-19,59.125,64.125,58.125,63.6875,12746300
181,2000-09-20,62.5,63.625,58.8125,60.0,15424700
182,2000-09-21,58.875,59.3125,52.5,53.875,9328900
183,2000-09-22,54.0,57.0,53.8125,57.0,13919700
184,2000-09-25,57.3125,57.8125,51.0,52.0,13266700
185,2000-09-26,51.3125,52.5,47.875,49.0625,19344800
186,2000-09-27,50.5,50.875,46.5,48.375,16335900
187,2000-09-28,48.4375,49.25,47.0,47.0,13550700
188,2000-09-29,47.5,48.5625,46.8125,47.5,9547800
189,2000-10-02,49.1875,51.5625,48.375,50.0,12730500
190,2000-10-03,51.5,51.5,48.25,48.75,7995900
191,2000-10-04,48.8125,50.75,48.75,50.75,10553400
192,2000-10-05,50.0,50.125,47.75,48.8125,12253800
193,2000-10-06,48.25,49.875,45.75,46.875,9927100
194,2000-10-09,47.0,47.125,43.0625,45.375,9857300
195,2000-10-10,44.25,44.75,41.9375,43.25,12301900
196,2000-10-11,40.375,42.5,38.4375,41.8125,27419500
197,2000-10-12,43.0625,43.125,39.125,39.5625,16921700
198,2000-10-13,39.5625,46.25,39.5,44.5,16335000
199,2000-10-16,45.75,46.0,43.0625,43.5625,9937500
200,2000-10-17,43.5625,43.5625,38.875,40.1875,14058000
201,2000-10-18,37.0,39.875,35.0,36.875,27928100
202,2000-10-19,44.75,46.375,43.25,45.75,25188400
203,2000-10-20,44.75,49.875,44.1875,47.5,15330900
204,2000-10-23,49.25,51.5,48.125,48.875,13472000
205,2000-10-24,48.3125,48.4375,45.125,45.875,12907400
206,2000-10-25,44.5,44.8125,42.125,42.625,12586200
207,2000-10-26,42.625,44.8125,40.9375,44.25,12768800
208,2000-10-27,46.0,46.0,43.625,44.6875,7959200
209,2000-10-30,44.875,47.25,44.8125,46.6875,8284700
210,2000-10-31,47.5,50.0625,47.4375,49.0625,11319900
211,2000-11-01,47.75,48.0625,45.5,46.75,9724800
212,2000-11-02,48.1875,48.375,46.0,47.5,11247400
213,2000-11-03,48.125,48.125,46.3125,46.625,5704300
214,2000-11-06,47.0,47.75,46.25,46.375,5851900
215,2000-11-07,46.6875,46.6875,44.65625,44.9375,7474700
216,2000-11-08,44.9375,45.625,42.0625,42.3125,7519400
217,2000-11-09,41.0625,42.0,39.4375,41.875,13240800
218,2000-11-10,40.125,40.1875,38.75,38.75,9313300
219,2000-11-13,38.5,43.1875,38.375,42.3125,13502600
