,Date,Open,High,Low,Close,Volume
0,2000-01-03,4.5,4.625,4.416667,4.625,147150
1,2000-01-04,4.75,4.75,4.569444,4.638889,135000
2,2000-01-05,4.638889,4.777778,4.597222,4.777778,83700
3,2000-01-06,4.763889,4.791667,4.708333,4.777778,148500
4,2000-01-07,4.805556,4.847222,4.75,4.819444,143100
5,2000-01-10,4.791667,4.875,4.708333,4.763889,145800
6,2000-01-11,4.652778,4.75,4.625,4.722222,220500
7,2000-01-12,4.777778,4.833333,4.708333,4.833333,162000
8,2000-01-13,4.861111,4.916667,4.861111,4.916667,181350
9,2000-01-14,4.916667,4.916667,4.736111,4.736111,67500
10,2000-01-18,4.722222,4.722222,4.527778,4.694444,241200
11,2000-01-19,4.722222,4.833333,4.722222,4.777778,144900
12,2000-01-20,4.791667,4.791667,4.680556,4.708333,150300
13,2000-01-21,4.694444,4.763889,4.652778,4.75,168300
14,2000-01-24,4.694444,4.708333,4.513889,4.597222,346500
15,2000-01-25,4.652778,4.708333,4.5,4.680556,436050
16,2000-01-26,4.652778,4.888889,4.625,4.888889,274950
17,2000-01-27,4.875,4.902778,4.847222,4.847222,193950
18,2000-01-28,4.861111,4.861111,4.777778,4.791667,173250
19,2000-01-31,4.791667,4.944444,4.694444,4.722222,462150
20,2000-02-01,4.694444,4.708333,4.638889,4.694444,157500
21,2000-02-02,4.694444,4.722222,4.652778,4.680556,188100
22,2000-02-03,4.666667,4.666667,4.555556,4.569444,217350
23,2000-02-04,4.555556,4.583333,4.444444,4.5,216900
24,2000-02-07,4.541667,4.597222,4.513889,4.527778,122400
25,2000-02-08,4.527778,4.555556,4.513889,4.527778,253350
26,2000-02-09,4.513889,4.583333,4.513889,4.569444,136800
27,2000-02-10,4.541667,4.569444,4.402778,4.472222,281250
28,2000-02-11,4.458333,4.486111,4.347222,4.361111,360900
29,2000-02-14,4.402778,4.458333,4.388889,4.444444,366300
30,2000-02-15,4.458333,4.722222,4.458333,4.583333,299700
31,2000-02-16,4.555556,4.569444,4.375,4.430556,194400
32,2000-02-17,4.388889,4.444444,4.388889,4.416667,495000
33,2000-02-18,4.361111,4.416667,4.347222,4.375,261000
34,2000-02-22,4.388889,4.416667,4.222222,4.236111,422100
35,2000-02-23,4.291667,4.319444,4.25,4.305556,684450
36,2000-02-24,4.333333,4.368056,4.25,4.277778,240300
37,2000-02-25,4.222222,4.305556,4.194444,4.208333,237600
38,2000-02-28,4.208333,4.208333,4.125,4.138889,200700
39,2000-02-29,4.152778,4.166667,4.138889,4.166667,209700
40,2000-03-01,4.166667,4.166667,4.111111,4.152778,174150
41,2000-03-02,4.152778,4.166667,4.097222,4.138889,151650
42,2000-03-03,4.125,4.194444,4.111111,4.152778,63450
43,2000-03-06,4.097222,4.111111,4.055556,4.111111,225450
44,2000-03-07,4.083333,4.208333,4.083333,4.111111,157500
45,2000-03-08,4.111111,4.291667,4.111111,4.166667,141300
46,2000-03-09,4.194444,4.208333,4.166667,4.194444,301050
47,2000-03-10,4.194444,4.208333,4.055556,4.055556,268650
48,2000-03-13,4.055556,4.166667,4.041667,4.111111,112950
49,2000-03-14,4.125,4.208333,4.125,4.138889,211050
50,2000-03-15,4.138889,4.166667,4.069444,4.166667,304200
51,2000-03-16,4.208333,4.388889,4.152778,4.305556,315900
52,2000-03-17,4.25,4.361111,4.25,4.333333,382950
53,2000-03-20,4.319444,4.416667,4.319444,4.388889,131850
54,2000-03-21,4.361111,4.416667,4.347222,4.388889,195750
55,2000-03-22,4.361111,4.388889,4.305556,4.333333,90900
56,2000-03-23,4.333333,4.486111,4.333333,4.444444,292500
57,2000-03-24,4.416667,4.611111,4.277778,4.527778,320400
58,2000-03-27,4.541667,4.569444,4.416667,4.472222,189450
59,2000-03-28,4.416667,4.472222,4.333333,4.333333,253350
60,2000-03-29,4.361111,4.583333,4.333333,4.444444,208800
61,2000-03-30,4.486111,4.541667,4.375,4.513889,159750
62,2000-03-31,4.513889,4.958333,4.513889,4.805556,541800
63,2000-04-03,4.833333,4.833333,4.569444,4.652778,185400
64,2000-04-04,4.666667,4.847222,4.666667,4.819444,333000
65,2000-04-05,4.791667,4.861111,4.736111,4.805556,301950
66,2000-04-06,4.805556,4.888889,4.763889,4.763889,266850
67,2000-04-07,4.819444,4.944444,4.819444,4.875,460800
68,2000-04-10,4.833333,4.916667,4.833333,4.847222,294750
69,2000-04-11,4.819444,4.861111,4.777778,4.861111,192150
70,2000-04-12,4.833333,4.986111,4.833333,4.847222,141750
71,2000-04-13,4.819444,4.875,4.722222,4.847222,171900
72,2000-04-14,4.805556,4.861111,4.666667,4.777778,149400
73,2000-04-17,4.777778,4.861111,4.583333,4.833333,159750
74,2000-04-18,4.833333,4.847222,4.680556,4.833333,180450
