,Date,Open,High,Low,Close,Volume
0,2000-01-03,9.25,9.25,8.8125,8.8125,2000
1,2000-01-04,8.875,9.3125,8.5,8.5,8300
2,2000-01-05,8.875,8.875,8.4375,8.875,4000
3,2000-01-06,8.875,8.875,8.875,8.875,700
4,2000-01-07,8.65625,9.0,8.65625,9.0,9700
5,2000-01-10,8.625,8.875,8.625,8.625,2600
6,2000-01-11,8.625,8.875,8.625,8.875,1300
7,2000-01-12,8.625,9.5,8.25,8.375,15100
8,2000-01-13,8.375,8.375,8.375,8.375,0
9,2000-01-14,8.375,8.375,8.375,8.375,0
10,2000-01-18,8.9375,8.9375,8.9375,8.9375,500
11,2000-01-19,9.25,10.0,9.0,9.0,33300
12,2000-01-20,8.875,9.125,8.875,8.875,1000
13,2000-01-21,8.875,8.875,8.5,8.5,2000
14,2000-01-24,8.625,8.875,8.625,8.875,3500
15,2000-01-25,8.625,8.875,8.5,8.609375,4600
16,2000-01-26,8.59375,8.6875,8.5,8.6875,2200
17,2000-01-27,8.625,8.875,8.5,8.875,9300
18,2000-01-28,8.875,9.375,8.875,9.375,5900
19,2000-01-31,8.9375,8.9375,8.5,8.5,1900
20,2000-02-01,8.6875,8.75,8.625,8.75,7800
21,2000-02-02,9.375,9.375,9.375,9.375,200
22,2000-02-03,9.375,9.375,9.0625,9.0625,1100
23,2000-02-04,9.1875,9.375,9.1875,9.375,400
24,2000-02-07,9.0,9.0,8.875,8.875,3500
25,2000-02-08,9.0625,9.0625,9.0625,9.0625,400
26,2000-02-09,9.0625,9.0625,9.0625,9.0625,0
27,2000-02-10,9.0,9.0,8.875,8.875,1000
28,2000-02-11,8.9375,8.9375,8.9375,8.9375,2100
29,2000-02-14,9.0,9.1875,9.0,9.1875,500
30,2000-02-15,8.75,9.0,8.75,9.0,5400
31,2000-02-16,9.0,9.125,8.875,9.125,3200
32,2000-02-17,8.875,9.0,8.875,8.875,6000
33,2000-02-18,8.75,8.75,8.625,8.625,4100
34,2000-02-22,8.5,8.5,7.75,7.75,9800
35,2000-02-23,8.0,8.0,7.625,8.0,7300
