,Date,Open,High,Low,Close,Volume
0,2000-01-03,20.9375,21.0,20.0625,20.5625,2354200
1,2000-01-04,20.375,20.375,19.1875,19.8125,3687700
2,2000-01-05,19.8125,20.0625,19.3125,19.375,2704200
3,2000-01-06,19.375,20.875,19.375,20.875,4185300
4,2000-01-07,20.9375,22.1875,20.9375,21.6875,4486700
5,2000-01-10,22.1875,22.3125,20.875,21.5625,2594200
6,2000-01-11,21.5,21.5,20.375,20.75,2032400
7,2000-01-12,20.875,21.9375,20.6875,21.8125,3381300
8,2000-01-13,22.875,23.25,22.3125,23.25,2848000
9,2000-01-14,24.25,24.875,22.875,23.25,3074400
10,2000-01-18,24.0,24.0,23.1875,23.4375,2850600
11,2000-01-19,23.3125,23.625,22.75,23.0,2264600
12,2000-01-20,22.9375,23.1875,21.75,22.1875,1660200
13,2000-01-21,22.4375,22.4375,21.5,21.6875,2459600
14,2000-01-24,22.0,22.0,21.25,21.4375,2060400
15,2000-01-25,21.1875,22.3125,21.0,21.75,1984600
16,2000-01-26,21.5,23.625,21.5,22.8125,3471500
17,2000-01-27,23.0625,23.875,23.0,23.125,2206000
18,2000-01-28,22.75,23.125,22.0,22.25,1906400
19,2000-01-31,22.0625,23.9375,21.9375,23.875,2254200
20,2000-02-01,23.75,24.75,23.25,24.3125,2521700
21,2000-02-02,24.1875,24.75,24.0,24.625,2146600
22,2000-02-03,24.5,24.5625,23.3125,23.9375,1991300
23,2000-02-04,24.0,24.0,22.3125,22.3125,2125900
24,2000-02-07,22.3125,22.875,22.0,22.75,1276700
25,2000-02-08,23.375,23.75,23.0625,23.625,2155300
26,2000-02-09,23.625,23.8125,22.8125,22.9375,1884100
27,2000-02-10,22.75,23.4375,22.3125,22.625,1237700
28,2000-02-11,22.625,23.0625,22.125,22.1875,1101400
29,2000-02-14,22.0625,22.3125,21.0,21.75,2542500
30,2000-02-15,21.0625,22.1875,21.0625,21.9375,2608600
31,2000-02-16,21.75,21.875,21.0,21.0625,2217100
32,2000-02-17,21.25,21.4375,19.6875,19.875,3921000
33,2000-02-18,19.75,20.0,19.125,19.1875,4014900
34,2000-02-22,19.25,19.8125,19.25,19.5625,3748000
35,2000-02-23,19.125,19.4375,18.875,19.0,2613800
36,2000-02-24,19.3125,19.375,18.0,18.5,3399400
37,2000-02-25,18.25,19.0625,17.75,18.0,3465100
38,2000-02-28,18.1875,18.4375,18.0,18.375,5374400
39,2000-02-29,18.0,18.3125,17.5,17.8125,2756800
40,2000-03-01,17.8125,18.5,17.5,18.3125,2176400
41,2000-03-02,18.5,18.75,18.125,18.6875,2319100
42,2000-03-03,19.4375,19.4375,18.375,18.8125,2347800
43,2000-03-06,18.625,18.6875,18.1875,18.3125,2310100
44,2000-03-07,18.75,18.8125,17.125,17.625,2986200
45,2000-03-08,17.375,17.375,16.6875,17.0,3204400
46,2000-03-09,16.375,17.375,16.375,17.1875,2818400
47,2000-03-10,17.1875,17.6875,17.0625,17.5625,1758300
48,2000-03-13,16.9375,17.8125,16.9375,17.6875,2653900
49,2000-03-14,17.75,18.375,17.5,17.875,3496700
50,2000-03-15,17.8125,19.875,17.75,19.875,3738600
51,2000-03-16,20.5,22.875,20.3125,22.875,5996000
52,2000-03-17,22.8125,23.0,22.25,22.4375,4704600
53,2000-03-20,22.5,22.625,21.75,22.125,3228300
54,2000-03-21,22.4375,23.6875,22.0625,23.625,3294900
55,2000-03-22,23.25,23.375,22.6875,23.3125,2343700
56,2000-03-23,23.0625,23.625,22.375,23.5,3007200
57,2000-03-24,23.375,23.875,23.0,23.6875,2682900
58,2000-03-27,23.5,23.8125,22.4375,23.0,2072300
59,2000-03-28,22.625,23.6875,22.625,23.1875,1517200
60,2000-03-29,23.4375,23.625,22.75,23.1875,1072100
61,2000-03-30,23.1875,23.1875,22.4375,22.5625,1294000
62,2000-03-31,22.75,23.25,22.375,22.9375,2323900
63,2000-04-03,23.375,24.625,23.3125,24.5,3363400
64,2000-04-04,24.5,25.0,22.5,24.0625,3413000
65,2000-04-05,24.125,24.4375,23.625,23.625,2106700
66,2000-04-06,24.0,24.125,23.1875,23.625,2160200
67,2000-04-07,23.6875,23.6875,23.0,23.4375,2020200
68,2000-04-10,23.0625,24.3125,23.0625,23.5,1934900
69,2000-04-11,23.875,25.1875,23.5,25.125,6194600
70,2000-04-12,25.0,27.3125,25.0,26.375,7165500
71,2000-04-13,25.9375,25.9375,25.0,25.125,2689000
72,2000-04-14,24.875,25.3125,23.6875,25.0625,3910900
73,2000-04-17,23.5,24.875,23.375,24.5625,2433100
74,2000-04-18,24.25,25.9375,24.25,25.625,2537000
75,2000-04-19,25.9375,26.25,25.1875,26.0,2596800
76,2000-04-20,26.0625,26.5,25.8125,26.5,2375500
77,2000-04-24,26.1875,28.0,26.0,27.75,4777900
78,2000-04-25,27.4375,27.8125,26.75,27.0,3077300
79,2000-04-26,27.0,27.0,26.25,26.625,2244300
80,2000-04-27,25.75,26.0625,25.0,25.5,3500200
81,2000-04-28,25.3125,25.625,24.5,24.875,1910100
82,2000-05-01,25.625,26.375,24.875,25.5,1771900
83,2000-05-02,25.5625,25.9375,25.375,25.8125,1046900
84,2000-05-03,25.4375,25.8125,24.6875,24.875,1820300
85,2000-05-04,24.75,24.9375,23.875,23.875,1707600
86,2000-05-05,23.6875,24.4375,23.6875,24.0,957000
87,2000-05-08,24.0,25.25,23.9375,24.9375,1537900
88,2000-05-09,24.9375,25.4375,24.3125,24.6875,1515800
89,2000-05-10,24.9375,25.0,24.0625,24.25,2026500
90,2000-05-11,24.5,25.5625,24.4375,24.8125,1688600
91,2000-05-12,24.625,25.625,24.625,25.3125,1392200
92,2000-05-15,25.1875,25.75,24.9375,25.25,1810700
93,2000-05-16,25.5,25.5,24.1875,24.4375,2394800
94,2000-05-17,24.1875,24.1875,23.0,23.25,4383900
95,2000-05-18,23.375,23.9375,22.5,23.0625,3168900
96,2000-05-19,22.875,24.25,22.875,23.75,1518800
97,2000-05-22,23.875,24.875,23.875,24.5625,2096300
98,2000-05-23,24.4375,25.3125,24.4375,25.0,2856400
99,2000-05-24,25.0625,26.1875,25.0625,25.8125,4658200
100,2000-05-25,25.4375,26.0625,25.0625,25.3125,2686100
101,2000-05-26,25.375,25.6875,25.125,25.5,1246400
102,2000-05-30,25.5,25.9375,25.25,25.8125,1741600
