,Date,Open,High,Low,Close,Volume
0,2000-01-03,102.25,102.9375,99.3125,100.375,238700
1,2000-01-04,100.0,100.0625,92.625,94.25,373400
2,2000-01-05,94.25,94.25,86.75,87.0,401800
3,2000-01-06,87.0,87.0,79.375,81.25,436600
4,2000-01-07,82.0,90.625,81.75,89.0,778900
5,2000-01-10,92.0,98.0,91.75,98.0,344700
6,2000-01-11,98.5,98.5,91.75,94.5,395800
7,2000-01-12,95.5,95.625,89.75,93.0,463700
8,2000-01-13,93.625,95.625,90.5,93.4375,326900
9,2000-01-14,94.375,94.875,91.375,92.375,147800
10,2000-01-18,92.25,97.5,92.25,97.4375,654200
11,2000-01-19,98.4375,101.625,98.0625,98.9375,287900
12,2000-01-20,99.125,101.5,99.125,100.0,280600
13,2000-01-21,100.0,102.75,100.0,102.75,251400
14,2000-01-24,103.5,104.0,101.0,101.875,217300
15,2000-01-25,102.875,102.875,98.125,99.0,538100
16,2000-01-26,100.0,101.875,99.6875,100.875,256400
17,2000-01-27,86.0,87.0,74.0,75.625,3000400
18,2000-01-28,75.875,79.9375,69.5,71.875,1290900
19,2000-01-31,65.0,68.25,60.0,67.0,2250600
20,2000-02-01,66.125,69.25,66.0,67.625,697800
21,2000-02-02,69.5,70.75,68.25,70.5,524100
22,2000-02-03,69.5,70.25,63.0,68.0,676500
23,2000-02-04,68.1875,68.75,64.25,65.25,524300
24,2000-02-07,65.25,66.0,62.0,63.0,375500
25,2000-02-08,63.0,64.75,62.5625,62.9375,671000
26,2000-02-09,63.5,63.75,61.0625,61.875,434600
27,2000-02-10,64.0,64.5,60.75,61.5,776500
28,2000-02-11,61.5,62.0,57.875,59.375,566700
29,2000-02-14,59.75,59.875,55.6875,56.1875,751900
30,2000-02-15,56.25,58.0,52.9375,56.125,830100
31,2000-02-16,57.0,63.9375,56.8125,61.0,917100
32,2000-02-17,62.5,66.5,62.0,66.5,488400
33,2000-02-18,66.25,66.25,59.625,61.625,497300
