,Date,Open,High,Low,Close,Volume
0,2000-01-03,27.65625,27.65625,24.5,26.5625,410400
1,2000-01-04,26.875,27.1875,26.0,27.1875,115400
2,2000-01-05,27.1875,27.5625,25.75,26.25,167200
3,2000-01-06,25.5,28.5,25.5,27.1875,204600
4,2000-01-07,28.5,29.0,27.28125,28.5,60400
5,2000-01-10,28.9375,30.75,28.75,29.6875,323200
6,2000-01-11,30.0,33.25,30.0,33.0,293200
7,2000-01-12,33.0,34.875,33.0,33.75,218800
8,2000-01-13,34.40625,36.875,33.34375,35.0,260400
9,2000-01-14,35.625,36.375,35.0,35.78125,109000
10,2000-01-18,35.78125,38.5,35.78125,38.5,277000
11,2000-01-19,38.25,38.25,37.03125,37.0625,254600
12,2000-01-20,38.03125,39.875,38.03125,38.625,199200
13,2000-01-21,39.03125,39.625,38.0,38.125,208800
14,2000-01-24,39.25,39.625,38.1875,38.375,372600
15,2000-01-25,38.1875,38.5625,37.0,37.5,346800
16,2000-01-26,37.25,37.375,29.5,33.8125,301000
17,2000-01-27,33.0,33.1875,30.0,31.875,326000
18,2000-01-28,31.5,32.0,31.3125,31.4375,443600
19,2000-01-31,31.375,32.625,30.875,31.0,103000
20,2000-02-01,31.0,31.5,31.0,31.5,248000
21,2000-02-02,31.25,31.6875,30.0,31.1875,75400
22,2000-02-03,31.6875,31.6875,30.5,31.625,215800
23,2000-02-04,31.6875,33.125,31.625,33.125,298400
24,2000-02-07,33.125,33.25,32.75,33.0625,242800
25,2000-02-08,32.875,43.5,32.875,40.5,263000
26,2000-02-09,40.5,41.0,37.6875,38.0,289400
27,2000-02-10,38.125,39.25,38.0,38.0,135400
28,2000-02-11,39.0,40.125,38.0,40.0,57400
29,2000-02-14,39.5,40.25,39.375,39.875,72200
30,2000-02-15,39.625,43.1875,39.625,42.28125,352000
31,2000-02-16,42.25,45.0,42.25,44.0625,452000
32,2000-02-17,43.5,47.1875,43.375,46.0,519000
33,2000-02-18,46.5,47.875,45.875,46.8125,282600
34,2000-02-22,47.0625,48.96875,46.0,47.0,142000
35,2000-02-23,46.875,48.5,45.8125,47.6875,205200
36,2000-02-24,48.25,48.25,46.375,47.9375,186000
37,2000-02-25,47.8125,50.5625,47.8125,50.5625,383000
38,2000-02-28,50.625,51.25,49.25,49.84375,234200
39,2000-02-29,50.8125,50.8125,48.75,48.75,136400
40,2000-03-01,50.0,50.25,48.5,50.0,261400
41,2000-03-02,50.25,50.25,47.875,49.40625,132000
42,2000-03-03,49.3125,50.125,44.4375,46.375,428400
43,2000-03-06,45.03125,46.6875,44.84375,45.0,249000
44,2000-03-07,45.5,46.125,45.0,45.65625,377800
45,2000-03-08,46.0,46.0,45.3125,45.5,267800
46,2000-03-09,45.75,46.0,45.125,45.5625,657200
47,2000-03-10,45.5,47.0,45.3125,46.4375,651600
48,2000-03-13,46.75,46.75,44.0,44.0,216800
49,2000-03-14,43.8125,43.8125,39.1875,39.375,554000
50,2000-03-15,39.25,40.5,34.03125,34.125,389000
51,2000-03-16,37.3125,37.3125,34.75,35.0,128000
52,2000-03-17,34.0,35.0,34.0,34.125,225000
53,2000-03-20,34.5,34.5,25.0,28.5625,208600
54,2000-03-21,29.3125,37.375,29.125,32.5,505800
55,2000-03-22,35.0,36.375,34.0,36.375,262400
56,2000-03-23,36.0,36.375,35.0,36.0,121000
