,Date,Open,High,Low,Close,Volume
0,2000-01-03,203.0,206.0,181.75,190.125,2270100
1,2000-01-04,182.0,199.75,180.0,188.375,3002200
2,2000-01-05,184.0,185.0,153.375,178.0,6886600
3,2000-01-06,176.375,181.0,153.0,155.125,4003200
4,2000-01-07,153.5,174.875,147.9375,169.828125,3803200
5,2000-01-10,187.125,190.25,178.625,181.75,2829000
6,2000-01-11,180.1875,183.0,165.375,165.8125,3086900
7,2000-01-12,168.5,170.0,156.125,160.421875,2698100
8,2000-01-13,162.0,176.25,161.5,176.0,2367500
9,2000-01-14,180.25,184.0,172.75,183.4375,2871400
10,2000-01-18,188.0,202.0,186.125,196.875,3296500
11,2000-01-19,199.5,206.125,193.25,195.125,2001900
12,2000-01-20,200.625,213.625,197.75,209.0,3311100
13,2000-01-21,213.875,213.875,189.625,207.9375,3977200
14,2000-01-24,212.0,215.3125,191.5,195.9375,3228500
15,2000-01-25,199.625,200.0,183.0,196.875,2458600
16,2000-01-26,193.0,193.875,187.125,189.8125,1544400
17,2000-01-27,192.125,193.625,173.0,175.015625,2134400
18,2000-01-28,170.3125,182.9375,160.0,164.46875,2609400
19,2000-01-31,164.125,164.4375,146.625,161.375,3986600
20,2000-02-01,162.4375,173.125,155.375,169.4375,2572100
21,2000-02-02,170.75,182.5,166.125,175.0625,2698300
22,2000-02-03,179.25,187.6875,176.625,182.5,2426800
23,2000-02-04,186.75,195.25,182.5,188.9375,1921000
24,2000-02-07,188.875,188.875,180.5,182.5625,1960100
25,2000-02-08,184.75,190.5,184.0,189.4375,1791800
26,2000-02-09,189.6875,200.875,185.75,194.8125,3379700
27,2000-02-10,199.0,223.0,198.0625,219.75,5188600
28,2000-02-11,222.0,222.015625,200.0,209.0,3005700
29,2000-02-14,209.0,209.0,200.0,201.5,2080100
30,2000-02-15,202.0,219.1875,194.75,218.5,2677700
31,2000-02-16,215.0,230.0,214.75,220.734375,2465700
32,2000-02-17,222.265625,230.0,220.5,223.015625,2026600
33,2000-02-18,227.625,242.0,227.0,237.125,2723400
34,2000-02-22,234.25,235.125,217.5,223.625,2061300
35,2000-02-23,223.9375,243.5,223.875,242.625,2377300
36,2000-02-24,245.875,252.125,234.875,251.25,2414900
37,2000-02-25,249.3125,258.5,239.0,239.875,1465300
38,2000-02-28,242.0,249.875,229.625,246.0625,2007700
39,2000-02-29,248.625,256.0,245.0,253.0,1890100
40,2000-03-01,252.5,258.5,242.875,251.125,1812000
41,2000-03-02,254.125,254.25,235.3125,245.6875,1397900
42,2000-03-03,251.0,251.0,244.5,248.5,1687300
43,2000-03-06,248.5625,255.0,243.125,247.4375,1942600
44,2000-03-07,222.5,226.0,194.5,200.0,13775100
45,2000-03-08,209.6875,211.5,183.0,203.0,9970200
46,2000-03-09,206.875,248.5,200.5,240.75,10494200
47,2000-03-10,232.5,246.0,231.484375,239.9375,4789400
48,2000-03-13,224.0,243.0,222.0,227.125,2275100
49,2000-03-14,232.25,235.5,206.625,217.625,2859800
50,2000-03-15,219.75,219.75,191.75,194.75,4939800
51,2000-03-16,197.375,214.0,179.0,200.25,5855400
52,2000-03-17,202.1875,204.75,195.875,202.125,2124400
53,2000-03-20,204.5,204.5,180.3125,185.1875,2777300
54,2000-03-21,185.8125,188.125,173.5,178.078125,3069300
55,2000-03-22,183.015625,191.0,179.5,182.0625,4249700
56,2000-03-23,181.8125,182.125,171.5,175.5,4025300
57,2000-03-24,176.75,202.0,175.0,190.875,5895700
58,2000-03-27,198.125,203.0,186.5,189.25,4048500
59,2000-03-28,192.4375,197.5,187.25,187.5,2535700
60,2000-03-29,190.0,190.75,167.5,169.25,4076500
61,2000-03-30,163.875,170.0,148.5625,152.0,4665000
62,2000-03-31,160.125,162.0,141.0,149.5,3593200
63,2000-04-03,147.75,148.5,111.0,116.625,4585300
64,2000-04-04,124.5,124.75,94.0,120.0,8360100
65,2000-04-05,116.75,143.25,113.0,130.375,5878100
66,2000-04-06,138.0,158.5,138.0,155.265625,5886000
67,2000-04-07,160.75,177.8125,159.0,176.5,4716600
68,2000-04-10,176.375,179.5,151.0625,152.6875,6570500
69,2000-04-11,145.25,160.0,136.625,146.75,6287800
70,2000-04-12,144.5,151.125,132.0,133.125,3503000
71,2000-04-13,133.75,135.0,112.125,114.6875,7073900
72,2000-04-14,109.0,116.5,91.0,97.796875,7819700
73,2000-04-17,92.75,112.0,91.875,110.75,6430600
74,2000-04-18,114.6875,140.75,114.0,139.5,6093600
75,2000-04-19,140.5,140.5625,127.25,130.921875,5059700
76,2000-04-20,124.625,125.0,108.0,118.5,5366800
77,2000-04-24,108.0,109.5,91.0,99.375,7444400
78,2000-04-25,105.25,111.875,101.3125,111.0,5103900
79,2000-04-26,115.0,120.9375,106.5,107.03125,4858800
80,2000-04-27,102.0,129.0,101.8125,126.296875,6605800
81,2000-04-28,132.25,140.625,131.5,139.375,4463400
82,2000-05-01,144.0,147.0,134.0,136.0,3818500
83,2000-05-02,131.625,141.5,125.625,126.5,2407800
84,2000-05-03,124.984375,128.625,117.5,128.484375,3639300
85,2000-05-04,129.75,132.75,121.75,129.8125,2324800
86,2000-05-05,128.5,139.5,127.5,138.5,3178900
87,2000-05-08,139.8125,143.0,131.0,132.0625,2985900
88,2000-05-09,132.375,133.5,123.5,129.8125,2713300
89,2000-05-10,124.5625,128.0,117.5,121.0,2996200
90,2000-05-11,124.1875,124.625,114.0,116.75,5133400
91,2000-05-12,120.5625,124.0,116.5,117.25,2943800
92,2000-05-15,118.8125,131.75,113.5625,129.8125,2533200
93,2000-05-16,133.6875,140.0,131.0625,139.5625,2970100
94,2000-05-17,134.5625,138.5,130.25,133.0625,2163800
95,2000-05-18,134.1875,136.0,130.375,130.5,1842300
96,2000-05-19,126.8125,132.0625,122.5,125.0,2451500
97,2000-05-22,124.1875,124.6875,113.0,117.875,3265700
98,2000-05-23,117.9375,123.6875,107.75,108.0,3399600
99,2000-05-24,107.75,119.0,99.5,117.3125,4297400
100,2000-05-25,118.84375,134.75,118.6875,122.125,5592000
101,2000-05-26,123.0,123.9375,114.03125,120.859375,2549300
102,2000-05-30,124.875,135.125,124.75,135.0,3973500
103,2000-05-31,132.5,142.015625,129.75,135.375,4118400
104,2000-06-01,139.125,156.25,138.5,154.5625,6354600
105,2000-06-02,162.5625,183.0,162.125,182.375,7127300
106,2000-06-05,178.4375,184.0,174.0,177.6875,4309400
107,2000-06-06,181.5,182.0,171.0,171.046875,3117200
108,2000-06-07,168.125,191.0,165.875,190.8125,4522700
109,2000-06-08,192.0625,200.5,181.6875,196.375,9092200
110,2000-06-09,192.5625,197.0625,181.75,196.0,4188400
111,2000-06-12,194.0625,194.3125,172.0,172.9375,5477400
112,2000-06-13,171.8125,172.875,156.25,167.0625,7976600
113,2000-06-14,168.375,177.875,162.0,166.125,5623600
114,2000-06-15,166.125,179.25,161.375,172.4375,6221200
115,2000-06-16,178.75,179.625,164.5,164.5625,3436300
116,2000-06-19,164.5625,176.875,158.5,173.5,4553600
117,2000-06-20,172.90625,183.0,171.625,175.625,4967600
118,2000-06-21,172.875,172.875,165.5,167.875,4605700
119,2000-06-22,169.890625,174.8125,160.640625,161.0,4299200
120,2000-06-23,160.75,165.0,148.625,149.25,4860000
121,2000-06-26,152.5,163.0,149.5625,161.9375,5545500
122,2000-06-27,158.3125,160.375,154.5,156.9375,2327200
123,2000-06-28,158.0,172.0,157.1875,171.75,8311400
124,2000-06-29,166.5,178.875,166.25,175.5625,5874800
125,2000-06-30,178.5,179.75,170.0,176.5,4021400
126,2000-07-03,175.0,185.5,172.125,183.375,1997500
127,2000-07-05,175.0625,180.0,166.0,166.5,5029400
128,2000-07-06,168.8125,176.21875,165.125,175.5,4223300
129,2000-07-07,176.5,179.5625,171.125,172.875,4097400
130,2000-07-10,172.0,177.0,168.1875,172.9375,2144600
131,2000-07-11,171.5,175.75,165.0,166.0,2485400
132,2000-07-12,170.125,180.984375,169.25,177.6875,3635600
133,2000-07-13,181.4375,193.625,181.0,192.875,5045500
134,2000-07-14,193.125,193.375,185.5,192.0,3108400
135,2000-07-17,191.0625,195.0,185.1875,187.0625,3044400
136,2000-07-18,183.1875,184.625,178.0625,179.125,2269400
137,2000-07-19,177.0,177.1875,170.125,172.0,2951900
138,2000-07-20,176.9375,187.5,175.625,186.5,3086700
139,2000-07-21,184.5,186.0,177.375,180.4375,2217400
140,2000-07-24,183.8125,187.0,180.75,184.625,3482700
141,2000-07-25,186.28125,188.0,172.625,181.875,4285000
142,2000-07-26,178.8125,182.0,172.25,179.1875,2717800
143,2000-07-27,178.0,183.25,169.6875,175.625,3121500
144,2000-07-28,176.0,176.5,158.25,160.75,3505100
145,2000-07-31,159.1875,163.5,150.5,158.6875,3795900
146,2000-08-01,157.5,158.5,150.5625,151.25,2922200
147,2000-08-02,152.125,153.4375,142.3125,143.4375,5240000
148,2000-08-03,137.5,163.0,136.375,162.1875,7568400
149,2000-08-04,160.6875,163.875,156.375,162.0625,4672600
150,2000-08-07,161.5,162.6875,154.0,154.3125,2963900
151,2000-08-08,155.5,159.75,147.5625,148.0,3780900
152,2000-08-09,153.3125,154.9375,145.5,145.75,4255600
153,2000-08-10,146.25,149.0,142.25,142.5,2584900
154,2000-08-11,142.8125,146.125,137.75,140.3125,2932900
155,2000-08-14,142.0625,149.625,139.5,147.0,3588500
156,2000-08-15,147.4375,158.375,146.625,154.1875,4269900
157,2000-08-16,155.625,160.375,151.0625,155.125,3538000
158,2000-08-17,153.125,157.875,150.5,157.25,2571700
159,2000-08-18,156.625,162.1875,156.0,159.75,2928400
160,2000-08-21,165.625,169.5,162.0,162.6875,3751700
161,2000-08-22,164.75,171.75,163.25,166.1875,4288800
162,2000-08-23,164.3125,175.0625,164.25,174.125,2590800
163,2000-08-24,175.3125,179.9375,174.625,178.4375,2978500
164,2000-08-25,176.625,179.5,172.9375,176.375,2280800
165,2000-08-28,177.0,184.0,176.9375,181.375,2709500
166,2000-08-29,182.75,189.25,179.5625,187.5,3212300
167,2000-08-30,188.625,197.125,187.5625,193.75,4137500
168,2000-08-31,196.625,199.625,195.0,198.875,4500800
169,2000-09-01,199.75,199.875,182.375,185.9375,8741900
170,2000-09-05,185.3125,185.4375,176.125,181.3125,5706000
171,2000-09-06,181.375,181.5625,166.25,170.1875,6386800
172,2000-09-07,171.25,179.75,166.5,178.6875,4833900
173,2000-09-08,175.125,177.0,168.5,171.875,4621900
174,2000-09-11,169.9375,178.5,166.375,171.75,3692800
175,2000-09-12,173.25,174.25,164.25,166.265625,3359300
176,2000-09-13,164.0,175.0,160.0,173.0,4917600
177,2000-09-14,177.9375,180.25,172.25,175.6875,3923900
178,2000-09-15,176.25,182.0,172.5,180.5625,5495600
179,2000-09-18,178.4375,183.5,173.0,179.859375,4253100
180,2000-09-19,181.875,189.5625,180.5,188.1875,3001700
181,2000-09-20,188.5625,195.25,185.5,194.0,3935400
182,2000-09-21,191.875,196.5,188.6875,191.1875,3230200
183,2000-09-22,183.0625,198.0,183.0625,194.875,4219000
184,2000-09-25,196.3125,199.0,190.5,192.1875,3832500
185,2000-09-26,191.25,194.875,186.0,186.5625,2828900
186,2000-09-27,190.3125,199.5,190.25,194.4375,6074700
187,2000-09-28,193.6875,209.5625,193.375,208.375,9321700
188,2000-09-29,209.625,214.375,200.5,202.5625,4859600
189,2000-10-02,206.625,207.875,190.4375,191.875,4851000
190,2000-10-03,195.5625,198.75,179.875,180.0,4125300
191,2000-10-04,176.3125,185.0,169.0625,183.5625,5544900
192,2000-10-05,181.125,196.0,180.875,193.3125,5874500
193,2000-10-06,189.9375,193.21875,180.515625,188.0625,3638200
194,2000-10-09,186.8125,196.75,174.5625,186.6875,3621900
195,2000-10-10,191.75,193.125,174.0,177.375,5795200
196,2000-10-11,171.625,173.4375,156.875,157.625,8913900
197,2000-10-12,163.125,163.125,140.0,147.5,10309300
198,2000-10-13,145.875,163.0,145.875,162.0,6783700
199,2000-10-16,161.0625,169.25,157.75,165.125,4710500
200,2000-10-17,170.25,177.0,156.375,158.375,6830700
201,2000-10-18,149.125,159.5,144.5,153.5,5982700
202,2000-10-19,161.5,168.5,155.875,166.859375,4793300
203,2000-10-20,168.75,179.0,166.0,177.3125,4121900
204,2000-10-23,175.75,182.375,172.625,176.625,3704600
205,2000-10-24,182.1875,187.3125,168.3125,168.3125,5025500
206,2000-10-25,166.5,170.4375,146.8125,147.4375,5932600
207,2000-10-26,139.9375,145.0,120.0,142.3125,20034900
208,2000-10-27,145.0,149.5,122.5,127.3125,9165500
209,2000-10-30,128.0,132.0,115.8125,116.9375,7905300
210,2000-10-31,120.625,133.875,119.125,132.0,6994900
211,2000-11-01,128.75,134.4375,124.0625,127.3125,5782700
212,2000-11-02,130.625,139.6875,130.375,135.875,8829100
213,2000-11-03,138.9375,144.875,134.375,142.375,4341100
214,2000-11-06,143.5,146.4375,140.375,143.265625,4182200
215,2000-11-07,140.8125,146.0,137.375,139.75,3384000
216,2000-11-08,140.0625,141.875,125.25,127.125,5595900
217,2000-11-09,122.5,128.546875,116.5,123.0625,8079200
218,2000-11-10,120.75,126.125,108.5,113.1875,7052700
219,2000-11-13,107.6875,118.0,98.5,108.75,9548200
220,2000-11-14,116.0,119.0625,113.8125,119.0625,5205800
221,2000-11-15,117.625,125.125,115.0,119.9375,5207600
222,2000-11-16,117.75,124.125,116.6875,117.9375,3726700
223,2000-11-17,110.5,120.0,102.5,113.75,10148900
224,2000-11-20,108.375,110.875,104.375,104.625,4584200
225,2000-11-21,105.0625,107.75,91.125,94.0625,7647600
226,2000-11-22,91.75,94.8125,78.3125,85.0625,14698600
227,2000-11-24,91.3125,94.625,86.25,93.25,4276800
228,2000-11-27,99.8125,101.0,85.5,87.1875,7160600
229,2000-11-28,86.015625,89.5,80.375,82.09375,5660500
230,2000-11-29,83.1875,84.375,75.5625,80.75,6847600
231,2000-11-30,76.0,90.75,75.875,86.6875,8453400
232,2000-12-01,89.375,93.9375,83.5,84.875,7145700
233,2000-12-04,84.625,89.875,78.984375,87.0,5191100
234,2000-12-05,92.1875,109.375,89.0,101.375,8797300
235,2000-12-06,103.8125,109.875,99.0,103.625,6707900
236,2000-12-07,101.0625,107.125,97.625,102.375,3705100
237,2000-12-08,108.75,120.3125,108.5,111.984375,6890100
238,2000-12-11,114.0,119.0,110.9375,116.0,5217000
239,2000-12-12,111.1875,118.3125,110.5625,112.0625,3395800
240,2000-12-13,115.6875,116.875,100.375,102.0,4792000
241,2000-12-14,103.8125,106.0,95.0,95.4375,4471200
242,2000-12-15,91.875,97.375,86.625,93.5625,6114700
243,2000-12-18,96.625,97.125,84.125,86.4375,4019900
244,2000-12-19,85.75,93.625,77.5,79.75,6821000
245,2000-12-20,76.5,79.3125,68.25,68.8125,10041500
246,2000-12-21,68.625,74.375,65.375,68.125,7322500
247,2000-12-22,71.0,81.875,70.6875,80.4375,5689500
248,2000-12-26,81.4375,82.375,72.1875,79.75,3933700
249,2000-12-27,79.8125,82.0,74.375,81.3125,5115800
250,2000-12-28,82.5625,85.0,78.5,79.625,3356800
251,2000-12-29,78.75,80.625,72.0,74.1875,5530600
252,2001-01-02,68.375,70.0,58.25,61.8125,10251300
253,2001-01-03,59.75,81.25,58.1875,80.609375,11418600
254,2001-01-04,79.0625,84.375,71.6875,76.875,7606300
255,2001-01-05,76.4375,77.375,67.5,68.8125,4214200
256,2001-01-08,66.3125,68.4375,59.3125,66.6875,6782100
257,2001-01-09,67.9375,73.5,67.0,73.125,6703300
258,2001-01-10,71.9375,80.875,69.5625,79.5625,7879800
259,2001-01-11,74.4375,87.625,72.5,87.4375,8647200
260,2001-01-12,86.0,87.125,82.125,84.875,6545400
261,2001-01-16,83.375,84.25,76.5,78.375,4309500
262,2001-01-17,82.1875,91.0,82.0625,88.5,7971100
263,2001-01-18,90.0,92.5,85.6875,91.9375,6479300
264,2001-01-19,97.6875,97.75,78.875,79.4375,9293500
265,2001-01-22,81.0,84.125,70.0,77.75,8522400
266,2001-01-23,79.0,79.4375,71.375,74.5,11881900
267,2001-01-24,75.375,82.6875,75.0,81.5,10762400
268,2001-01-25,73.25,79.0,72.8125,73.625,15265800
269,2001-01-26,73.5,76.5,69.5,76.25,7107700
270,2001-01-29,75.8125,81.125,73.4375,80.875,5125800
271,2001-01-30,80.5,80.875,75.5625,77.8125,4705700
272,2001-01-31,79.75,81.0,72.875,73.5,5085800
273,2001-02-01,74.0625,75.75,69.0,75.0,8973300
274,2001-02-02,73.65625,76.0,66.25,67.5,9307000
275,2001-02-05,65.75,71.75,62.625,70.0625,6966400
276,2001-02-06,69.4375,70.75,66.5625,68.8125,3701400
277,2001-02-07,67.25,69.0,62.5,64.375,5099500
278,2001-02-08,65.484375,66.0,60.625,61.625,4866900
279,2001-02-09,60.25,61.3125,58.625,59.9375,6699100
280,2001-02-12,56.875,59.9375,52.8125,58.5,7521600
281,2001-02-13,60.0,64.5,56.6875,57.875,5877400
282,2001-02-14,57.75,63.5,53.5,63.0,9325600
283,2001-02-15,65.0625,67.0,63.125,63.984375,6901400
284,2001-02-16,59.625,61.75,58.75,59.75,5478500
285,2001-02-20,59.5625,59.75,54.5,56.3125,5826400
286,2001-02-21,54.9375,56.625,48.0,50.6875,9497500
287,2001-02-22,51.75,52.25,48.125,48.125,12435200
288,2001-02-23,48.5625,50.5,45.875,48.875,7414100
289,2001-02-26,50.5,56.6875,47.125,53.3125,11507400
290,2001-02-27,51.1875,51.75,47.125,48.1875,7927600
291,2001-02-28,49.125,51.75,46.75,47.6875,6509200
292,2001-03-01,48.75,54.375,48.75,54.0,10833600
293,2001-03-02,50.625,52.5,48.0,50.5625,11778900
294,2001-03-05,49.5625,49.875,44.625,46.9375,8257700
295,2001-03-06,48.9375,49.875,48.0,48.6875,4986800
296,2001-03-07,49.875,50.5,46.25,47.0,6637600
297,2001-03-08,46.875,47.0,43.1875,44.625,5920700
298,2001-03-09,42.6875,43.0,38.75,40.4375,9865500
299,2001-03-12,39.4375,40.5,36.75,36.9375,13090700
300,2001-03-13,37.375,37.625,33.75,37.125,9547300
301,2001-03-14,35.25,38.75,35.0,38.0,9432000
302,2001-03-15,40.4375,40.875,33.25,34.4375,8073900
303,2001-03-16,33.5625,35.125,33.125,33.9375,6172300
304,2001-03-19,34.0,35.4375,29.875,34.0,15442900
305,2001-03-20,34.3125,36.8125,31.75,31.75,8275100
306,2001-03-21,32.0625,34.9375,31.875,33.0,7120300
307,2001-03-22,33.078125,35.265625,31.1875,35.0,8238100
308,2001-03-23,35.75,35.828125,30.0625,33.375,12175800
309,2001-03-26,35.0,36.9375,32.875,35.25,9351700
310,2001-03-27,34.9375,38.875,34.375,37.625,7597200
311,2001-03-28,37.1875,37.5625,32.75,33.0625,6801900
312,2001-03-29,32.5,34.6875,31.125,32.25,5840400
313,2001-03-30,33.3125,38.3125,32.25,35.4375,9596900
314,2001-04-02,35.28125,37.875,33.875,35.75,9652500
315,2001-04-03,33.25,33.6875,28.0,28.0,24231200
316,2001-04-04,27.4375,30.875,26.25,30.75,18441700
317,2001-04-05,33.375,34.5,31.375,34.0625,12771900
318,2001-04-06,32.6875,33.75,31.6875,33.375,6941400
319,2001-04-09,34.119999,35.700001,31.09,33.599998,5450700
320,2001-04-10,34.23,41.299999,34.0,39.869999,9884000
321,2001-04-11,42.98,45.5,41.450001,43.82,11234300
322,2001-04-12,41.689999,46.049999,41.610001,44.950001,6565100
323,2001-04-16,44.310001,45.799999,41.990002,42.259998,5114700
324,2001-04-17,41.799999,45.310001,41.139999,44.130001,6870900
325,2001-04-18,47.48,53.990002,46.5,47.43,9485000
326,2001-04-19,49.0,51.5,47.049999,51.360001,12255700
327,2001-04-20,49.290001,53.150002,48.880001,50.919998,10363200
328,2001-04-23,49.209999,50.0,46.5,46.900002,4934700
329,2001-04-24,43.950001,47.0,41.700001,41.93,8859200
330,2001-04-25,42.240002,46.77,40.790001,46.599998,9610800
331,2001-04-26,47.389999,47.450001,44.68,46.220001,10202200
332,2001-04-27,52.84,53.09,49.82,51.91,17568200
333,2001-04-30,53.049999,54.700001,48.830002,51.279999,13284200
334,2001-05-01,51.040001,53.599998,48.700001,52.549999,9161600
335,2001-05-02,54.099998,60.099998,53.799999,59.400002,12805700
336,2001-05-03,55.84,58.700001,55.0,56.490002,10051500
337,2001-05-04,53.419998,57.470001,52.34,57.040001,8803100
338,2001-05-07,55.82,57.84,55.0,55.52,7602000
339,2001-05-08,58.360001,60.599998,57.25,58.25,13382100
340,2001-05-09,56.099998,56.900002,54.43,54.950001,9219800
341,2001-05-10,57.18,57.189999,52.900002,53.389999,4645800
342,2001-05-11,53.189999,54.150002,51.849998,52.540001,6636700
343,2001-05-14,52.599998,52.650002,49.950001,51.360001,4014500
344,2001-05-15,52.549999,55.23,50.5,51.540001,9054400
345,2001-05-16,50.18,55.650002,49.849998,55.470001,8414900
346,2001-05-17,55.09,59.099998,53.689999,58.0,10131800
347,2001-05-18,57.0,61.23,56.950001,60.740002,6205500
348,2001-05-21,62.389999,67.940002,62.380001,67.660004,14612200
349,2001-05-22,67.589996,67.900002,65.18,66.010002,6444600
350,2001-05-23,64.330002,64.809998,61.799999,61.970001,6499400
351,2001-05-24,62.959999,65.029999,60.25,64.949997,7165800
352,2001-05-25,64.330002,64.709999,62.310001,62.470001,2631000
353,2001-05-29,61.98,61.98,56.939999,58.049999,5587700
354,2001-05-30,56.360001,58.0,55.0,55.209999,5729900
355,2001-05-31,55.32,58.529999,55.16,56.5,6284700
356,2001-06-01,57.400002,58.349998,54.119999,56.240002,4318000
357,2001-06-04,56.700001,57.240002,53.799999,54.299999,4049000
358,2001-06-05,54.759998,57.759998,54.5,56.599998,6234200
359,2001-06-06,57.150002,57.919998,53.799999,54.09,5757900
360,2001-06-07,54.099998,59.5,53.599998,58.75,6039200
361,2001-06-08,58.610001,58.610001,55.599998,55.66,4919400
362,2001-06-11,55.360001,56.0,52.029999,53.91,3499300
363,2001-06-12,52.400002,58.799999,51.759998,57.950001,8473900
364,2001-06-13,58.279999,58.279999,53.919998,54.009998,9718700
365,2001-06-14,53.0,53.25,49.560001,50.099998,7095800
366,2001-06-15,49.389999,51.150002,47.880001,50.110001,8422700
367,2001-06-18,50.240002,53.240002,49.099998,50.459999,6210400
368,2001-06-19,52.900002,54.049999,48.599998,49.139999,7381300
