,Date,Open,High,Low,Close,Volume
0,2000-01-03,17.75,18.78125,16.8125,18.78125,1010000
1,2000-01-04,18.25,18.3125,17.25,17.28125,265400
2,2000-01-05,17.125,17.125,16.5,17.0,202000
3,2000-01-06,16.625,16.9375,16.5625,16.75,270600
4,2000-01-07,16.5,18.5,16.5,18.21875,813200
5,2000-01-10,18.453125,19.125,18.1875,18.78125,1306400
6,2000-01-11,18.6875,20.0625,18.4375,19.78125,1208800
7,2000-01-12,19.875,19.9375,19.0,19.5625,842400
8,2000-01-13,19.3125,19.8125,19.3125,19.5625,925600
9,2000-01-14,19.515625,23.0,19.46875,22.0,550800
10,2000-01-18,21.71875,22.0,20.71875,21.21875,268000
11,2000-01-19,21.296875,21.3125,19.8125,21.09375,638000
12,2000-01-20,21.0625,23.0625,21.0625,22.140625,550000
13,2000-01-21,22.03125,25.25,22.0,24.59375,1096000
14,2000-01-24,24.0,24.625,23.9375,24.09375,549200
15,2000-01-25,24.6875,24.875,21.5,22.125,620800
16,2000-01-26,22.125,23.5625,22.0,22.125,777200
17,2000-01-27,21.890625,23.25,20.625,21.03125,560600
18,2000-01-28,21.125,21.125,20.3125,20.859375,312600
19,2000-01-31,20.640625,20.9375,19.9375,20.5,492400
20,2000-02-01,20.40625,20.4375,18.875,19.796875,769800
21,2000-02-02,19.78125,21.125,19.75,21.0,551400
22,2000-02-03,22.375,22.75,21.28125,22.21875,523800
23,2000-02-04,22.0,24.0,21.1875,23.75,615400
24,2000-02-07,23.8125,26.875,23.3125,24.75,792000
25,2000-02-08,25.0625,25.8125,23.875,25.78125,594200
26,2000-02-09,25.5,26.0,24.0,24.125,286000
27,2000-02-10,24.125,25.0,23.5625,24.125,560800
28,2000-02-11,24.0625,25.5625,24.0,25.46875,634800
29,2000-02-14,25.46875,25.8125,24.9375,25.8125,264400
30,2000-02-15,25.625,27.1875,25.625,26.40625,434600
31,2000-02-16,26.25,27.1875,26.25,27.0,441600
32,2000-02-17,27.75,33.492188,27.5625,33.0,1690600
33,2000-02-18,33.25,33.25,29.75,30.75,1381800
34,2000-02-22,30.8125,30.8125,27.5,28.53125,980200
35,2000-02-23,28.53125,30.46875,27.875,30.171875,852000
36,2000-02-24,30.25,31.1875,29.75,30.1875,1287800
37,2000-02-25,30.3125,30.875,30.09375,30.5,1485400
38,2000-02-28,31.375,32.8125,30.0,31.0,793800
39,2000-02-29,32.75,38.25,32.75,36.3125,1450200
40,2000-03-01,37.8125,41.5625,36.5625,41.28125,1777200
41,2000-03-02,41.25,41.65625,37.53125,37.859375,1120800
42,2000-03-03,38.0,40.0625,37.9375,40.0,1546200
43,2000-03-06,42.5625,45.1875,41.625,44.0,2242000
44,2000-03-07,44.5625,44.625,38.625,42.09375,2466600
45,2000-03-08,42.5,42.53125,35.5,36.03125,2803600
46,2000-03-09,33.875,34.625,31.375,32.5,1517600
47,2000-03-10,33.9375,34.25,31.75,33.03125,1448200
48,2000-03-13,31.75,32.4375,30.0,30.78125,774800
49,2000-03-14,31.0,31.0,24.0625,26.3125,3482000
50,2000-03-15,26.375,27.375,24.0,24.125,2111000
51,2000-03-16,25.0,28.5,24.5,28.375,1465400
52,2000-03-17,27.90625,30.125,27.125,30.109375,910400
53,2000-03-20,30.3125,32.53125,28.4375,28.4375,1389800
54,2000-03-21,28.46875,28.53125,25.25,26.71875,764400
55,2000-03-22,27.625,31.5,27.5,29.9375,1089200
56,2000-03-23,30.5625,31.0,28.84375,30.0,774000
57,2000-03-24,30.09375,31.0,26.0,28.875,861600
58,2000-03-27,28.875,29.375,27.125,28.65625,635200
59,2000-03-28,28.5,29.0,26.0,27.71875,780600
60,2000-03-29,27.65625,28.15625,25.4375,26.09375,1133200
61,2000-03-30,26.25,26.34375,23.15625,24.0,892600
62,2000-03-31,24.25,24.78125,21.34375,23.40625,1579000
63,2000-04-03,23.96875,24.0,22.4375,22.8125,824400
64,2000-04-04,23.03125,23.25,19.75,21.4375,945800
65,2000-04-05,20.75,24.8125,20.75,24.375,1637200
66,2000-04-06,25.1875,27.796875,25.1875,27.78125,1048800
67,2000-04-07,27.75,27.8125,26.078125,27.15625,611400
68,2000-04-10,27.5,27.5,23.6875,23.84375,350000
69,2000-04-11,23.5,23.5,21.25,22.6875,497000
70,2000-04-12,22.84375,24.0,21.875,21.875,423800
71,2000-04-13,22.03125,23.375,21.625,21.625,170400
72,2000-04-14,21.625,22.125,19.0,19.6875,410200
73,2000-04-17,18.890625,21.75,18.875,21.75,817800
74,2000-04-18,21.09375,25.375,21.0625,25.25,566200
75,2000-04-19,25.375,26.3125,24.8125,25.40625,712800
76,2000-04-20,27.59375,27.59375,23.0,23.40625,852000
77,2000-04-24,23.0625,24.25,21.25,22.75,438200
