,Date,Open,High,Low,Close,Volume
0,2000-01-03,23.65625,23.75,22.8125,23.0,424600
1,2000-01-04,23.0,23.03125,21.875,21.9375,327000
2,2000-01-05,21.8125,22.875,21.8125,22.875,149300
3,2000-01-06,22.75,23.3125,22.5,23.0625,230000
4,2000-01-07,23.25,24.1875,23.1875,24.1875,328000
5,2000-01-10,24.0625,24.125,23.5,23.53125,449800
6,2000-01-11,23.125,23.25,22.3125,22.3125,677700
7,2000-01-12,22.46875,22.5,22.0,22.09375,223800
8,2000-01-13,22.0,22.875,22.0,22.8125,630500
9,2000-01-14,22.75,23.4375,22.75,22.75,292300
10,2000-01-18,22.625,22.75,21.875,22.125,154800
11,2000-01-19,22.0,22.1875,21.625,21.8125,150200
12,2000-01-20,22.0,22.5625,22.0,22.5,613400
13,2000-01-21,22.46875,22.5625,22.375,22.4375,299000
14,2000-01-24,22.5625,23.640625,21.0625,21.1875,507200
15,2000-01-25,21.5,22.125,21.5,21.875,432600
16,2000-01-26,21.875,22.8125,21.875,22.125,379800
17,2000-01-27,22.375,23.0,22.375,22.75,321100
18,2000-01-28,22.5,23.125,22.5,23.0,342500
19,2000-01-31,22.75,23.5,22.75,23.25,206500
20,2000-02-01,23.3125,24.0,23.265625,23.9375,561200
21,2000-02-02,23.875,23.9375,23.3125,23.4375,335400
22,2000-02-03,23.5625,23.75,23.4375,23.625,505600
23,2000-02-04,23.5,23.75,23.25,23.3125,305500
24,2000-02-07,23.375,23.4375,23.125,23.1875,198500
25,2000-02-08,23.1875,23.25,23.125,23.1875,444400
26,2000-02-09,23.1875,23.1875,22.25,22.3125,318200
27,2000-02-10,22.375,22.4375,22.125,22.125,343000
28,2000-02-11,22.5,22.5,22.0,22.0,521300
29,2000-02-14,22.0,22.1875,21.75,21.875,163300
30,2000-02-15,21.875,22.25,21.6875,22.1875,153200
31,2000-02-16,22.25,22.3125,21.6875,21.8125,100200
32,2000-02-17,21.75,21.875,21.375,21.5625,245000
33,2000-02-18,21.625,21.625,21.125,21.1875,655300
34,2000-02-22,21.25,21.25,21.0,21.0625,158700
35,2000-02-23,21.0,21.875,21.0,21.5625,273100
36,2000-02-24,21.375,21.625,20.8125,20.9375,243500
37,2000-02-25,20.75,21.0625,20.6875,20.9375,142600
38,2000-02-28,20.75,20.875,20.4375,20.75,177200
39,2000-02-29,20.625,21.25,20.5,21.125,231500
40,2000-03-01,21.09375,21.5,20.75,21.25,188900
41,2000-03-02,21.4375,21.625,20.5,20.9375,102200
42,2000-03-03,20.6875,20.9375,20.5,20.6875,222200
43,2000-03-06,20.8125,20.8125,20.25,20.625,281900
44,2000-03-07,20.75,20.9375,20.125,20.125,189300
45,2000-03-08,20.125,20.5,19.875,20.125,252800
46,2000-03-09,19.875,20.4375,19.75,20.375,515000
47,2000-03-10,20.25,20.5,20.0,20.1875,135000
48,2000-03-13,20.1875,20.25,19.6875,20.125,201700
49,2000-03-14,20.0,20.375,19.875,20.21875,242000
50,2000-03-15,20.4375,22.5625,20.0625,22.5,310200
51,2000-03-16,22.9375,24.0,22.5,23.375,566400
52,2000-03-17,22.8125,23.3125,22.625,22.6875,371500
53,2000-03-20,22.9375,22.9375,22.0,22.0,239500
54,2000-03-21,22.1875,22.1875,21.375,21.6875,729300
55,2000-03-22,21.5,22.0625,21.5,21.875,133700
56,2000-03-23,21.625,22.25,21.5625,22.1875,248000
57,2000-03-24,22.1875,22.5625,22.0625,22.375,157000
58,2000-03-27,22.625,22.6875,21.875,22.0,189400
59,2000-03-28,22.0,22.25,21.875,22.0,392900
60,2000-03-29,22.3125,22.3125,21.625,21.75,272000
61,2000-03-30,21.875,22.125,21.8125,21.9375,210800
62,2000-03-31,22.0625,23.0,21.875,23.0,483000
63,2000-04-03,22.9375,23.5,22.8125,23.1875,327100
64,2000-04-04,23.25,23.625,21.875,23.0,245100
65,2000-04-05,22.75,23.125,21.875,22.625,136300
66,2000-04-06,22.5625,22.875,22.5,22.75,63300
67,2000-04-07,22.625,22.65625,21.875,21.875,182300
68,2000-04-10,22.1875,22.1875,21.75,21.8125,116300
69,2000-04-11,21.875,22.0,21.5,21.53125,300200
70,2000-04-12,21.5625,22.3125,21.5,21.8125,165200
71,2000-04-13,21.8125,21.8125,21.390625,21.5,195400
72,2000-04-14,21.6875,21.6875,20.4375,20.4375,104300
73,2000-04-17,20.5,20.875,20.25,20.6875,119000
74,2000-04-18,20.375,21.5,20.375,21.25,116300
75,2000-04-19,20.9375,21.75,20.875,21.125,124700
76,2000-04-20,21.0625,21.8125,20.875,21.0625,117600
77,2000-04-24,21.0,21.25,20.75,21.0625,169500
78,2000-04-25,21.125,22.375,21.0625,22.375,234000
79,2000-04-26,21.9375,22.375,21.875,21.875,254700
80,2000-04-27,21.75,21.75,21.125,21.4375,120600
81,2000-04-28,21.125,21.4375,21.125,21.375,255800
82,2000-05-01,21.34375,22.25,21.1875,22.125,218600
83,2000-05-02,22.0625,22.09375,21.25,21.25,290700
84,2000-05-03,21.4375,21.625,21.25,21.4375,167100
85,2000-05-04,21.4375,22.0,21.1875,21.75,911700
86,2000-05-05,21.78125,21.8125,21.625,21.625,378300
87,2000-05-08,21.625,21.9375,21.5625,21.6875,111400
88,2000-05-09,21.6875,21.9375,21.375,21.75,292300
89,2000-05-10,21.6875,21.71875,21.375,21.5,158000
90,2000-05-11,21.8125,22.25,21.625,22.25,165200
91,2000-05-12,22.15625,22.3125,22.125,22.1875,161700
92,2000-05-15,22.25,22.4375,22.0625,22.4375,726200
93,2000-05-16,22.3125,22.875,22.3125,22.8125,197700
94,2000-05-17,22.8125,22.8125,22.125,22.125,143300
95,2000-05-18,22.0625,22.6875,22.0625,22.375,73500
96,2000-05-19,22.25,22.4375,21.5,21.75,120800
97,2000-05-22,21.78125,21.8125,20.9375,21.75,197300
98,2000-05-23,21.75,22.4375,21.75,22.1875,93500
99,2000-05-24,22.375,22.9375,22.1875,22.625,156300
100,2000-05-25,23.0,23.3125,22.5,22.625,218100
101,2000-05-26,22.4375,22.75,22.4375,22.75,69200
102,2000-05-30,22.5,23.375,22.4375,23.375,72900
103,2000-05-31,23.125,23.375,23.0,23.0625,140700
104,2000-06-01,23.0,23.8125,23.0,23.75,286100
105,2000-06-02,23.625,26.3125,23.625,25.1875,388900
106,2000-06-05,25.0625,25.125,23.4375,23.625,230700
107,2000-06-06,23.625,23.84375,23.0625,23.1875,181200
108,2000-06-07,23.125,24.0625,23.0625,23.8125,156400
109,2000-06-08,23.8125,23.8125,23.25,23.4375,269500
110,2000-06-09,23.5625,23.5625,22.75,22.875,186900
111,2000-06-12,22.84375,22.84375,22.375,22.625,61600
112,2000-06-13,22.25,22.5,21.875,22.25,590300
113,2000-06-14,22.5,23.125,22.375,22.9375,472100
114,2000-06-15,22.8125,23.0,22.5,22.875,1114300
115,2000-06-16,23.0625,23.0625,20.875,21.4375,702900
116,2000-06-19,21.25,21.75,21.1875,21.6875,205900
117,2000-06-20,21.71875,21.71875,20.375,20.6875,514700
118,2000-06-21,20.625,20.875,20.25,20.375,232400
119,2000-06-22,20.375,20.5,20.1875,20.1875,253800
120,2000-06-23,20.375,20.375,20.125,20.1875,325800
