,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.125,22.125,20.375,20.75,65100
1,2000-01-04,21.0,21.0,20.375,20.625,37000
2,2000-01-05,20.375,21.0,20.0625,20.0625,51300
3,2000-01-06,19.75,19.8125,19.5,19.75,56800
4,2000-01-07,19.78125,20.0,19.6875,20.0,63100
5,2000-01-10,20.0625,21.0,19.8125,19.9375,50800
6,2000-01-11,20.125,20.125,19.8125,19.8125,41800
7,2000-01-12,19.875,19.9375,19.75,19.8125,49800
8,2000-01-13,20.03125,20.3125,19.875,20.0,49700
9,2000-01-14,19.9375,20.625,19.9375,20.25,13100
10,2000-01-18,20.5,20.5,19.5,20.25,56900
11,2000-01-19,20.25,20.25,19.0,19.0,64700
12,2000-01-20,19.5,19.5,18.875,19.5,66600
13,2000-01-21,19.375,19.375,18.25,18.5,93500
14,2000-01-24,19.125,19.75,18.5,18.5,132400
15,2000-01-25,18.71875,19.625,18.5,19.0,49500
16,2000-01-26,18.9375,19.125,18.4375,19.0,128000
17,2000-01-27,19.125,19.125,18.5,18.75,65100
18,2000-01-28,19.125,19.125,18.5,18.875,44100
19,2000-01-31,18.8125,18.9375,18.5625,18.75,75000
20,2000-02-01,18.75,18.875,18.5,18.5,100800
21,2000-02-02,18.5,18.6875,18.125,18.4375,60500
22,2000-02-03,18.25,18.5,18.125,18.4375,45700
23,2000-02-04,18.375,18.5,18.3125,18.4375,53000
24,2000-02-07,18.4375,18.4375,18.0,18.0,92500
25,2000-02-08,18.1875,18.5,18.0,18.34375,99300
26,2000-02-09,18.125,18.5,18.0,18.25,41600
27,2000-02-10,18.3125,18.5,18.125,18.3125,124200
28,2000-02-11,18.25,18.25,17.75,17.75,69700
29,2000-02-14,18.0,18.3125,17.5,17.5625,61400
30,2000-02-15,17.75,17.875,17.5625,17.6875,81700
31,2000-02-16,17.6875,17.6875,17.5,17.625,82600
32,2000-02-17,17.625,19.0,17.5625,18.5625,78900
33,2000-02-18,18.84375,19.0,18.5,18.6875,38100
34,2000-02-22,18.5625,19.0,18.125,18.375,67800
35,2000-02-23,18.125,18.375,18.0,18.375,62000
36,2000-02-24,18.1875,18.625,18.0,18.125,51000
37,2000-02-25,18.375,18.625,18.375,18.5625,36300
38,2000-02-28,18.625,19.0,18.25,18.5625,48400
39,2000-02-29,18.53125,18.75,18.25,18.5,62100
40,2000-03-01,18.625,18.9375,18.3125,18.625,98300
41,2000-03-02,18.375,18.625,18.0,18.0,34300
42,2000-03-03,18.25,18.25,17.75,17.8125,32400
43,2000-03-06,17.75,18.5,17.75,18.0,31900
44,2000-03-07,17.75,18.25,17.5,17.875,44400
45,2000-03-08,17.75,18.9375,17.625,18.9375,84100
46,2000-03-09,18.8125,19.0,18.375,18.75,49200
47,2000-03-10,18.375,18.75,17.890625,18.25,45800
48,2000-03-13,18.34375,19.0,18.25,18.6875,34900
