,Date,Open,High,Low,Close,Volume
0,2000-01-03,68.375,69.0,65.5,66.8125,8369900
1,2000-01-04,65.5,65.8125,64.1875,64.3125,6745100
2,2000-01-05,63.875,64.375,62.1875,63.0,7018700
3,2000-01-06,63.0,64.5625,62.6875,63.6875,6544500
4,2000-01-07,64.5,68.9375,64.5,68.5,7976900
5,2000-01-10,67.25,67.5,65.625,67.25,6714300
6,2000-01-11,67.0625,67.75,65.625,66.25,4943300
7,2000-01-12,66.1875,66.75,65.0625,65.0625,4085000
8,2000-01-13,66.0,66.125,65.0,65.125,5021000
9,2000-01-14,64.0,65.9375,64.0,64.5,6312200
10,2000-01-18,63.1875,66.4375,63.0625,65.5625,6442200
11,2000-01-19,65.25,65.8125,64.0,64.0625,4819900
12,2000-01-20,64.4375,64.5,62.5,63.375,5738100
13,2000-01-21,63.9375,63.9375,62.0625,62.4375,6952500
14,2000-01-24,63.4375,63.4375,57.5,59.375,7799900
15,2000-01-25,59.8125,61.1875,59.5,61.125,6403800
16,2000-01-26,61.125,62.0625,60.0,61.9375,4538400
17,2000-01-27,61.3125,61.5,57.875,59.125,7323300
18,2000-01-28,58.875,58.875,53.5,55.125,14029400
19,2000-01-31,54.5625,55.5,54.125,54.75,7972700
20,2000-02-01,55.0,59.5,54.9375,58.6875,8359000
21,2000-02-02,58.875,60.125,57.9375,58.375,6034600
22,2000-02-03,58.375,58.8125,56.25,58.375,6999000
23,2000-02-04,57.9375,57.9375,56.0,56.3125,6549700
24,2000-02-07,56.625,56.625,54.625,55.75,6043700
25,2000-02-08,57.3125,59.6875,56.875,59.5,8576100
26,2000-02-09,60.0,60.125,57.3125,57.8125,8216600
27,2000-02-10,57.625,58.375,56.8125,57.0,4591600
28,2000-02-11,57.4375,57.5,55.625,56.0625,4816700
29,2000-02-14,56.6875,58.875,56.5,58.875,5803600
30,2000-02-15,56.9375,58.0,55.0,58.0,9712100
31,2000-02-16,56.5,56.5,52.6875,52.75,13585800
32,2000-02-17,52.9375,53.5,48.0,48.375,24766700
33,2000-02-18,48.5,49.5,47.25,47.75,19394400
34,2000-02-22,49.25,49.3125,46.75,48.125,12342600
35,2000-02-23,48.4375,48.5,46.75,47.0,12874400
36,2000-02-24,47.0,47.875,43.4375,47.875,19431900
37,2000-02-25,44.3125,45.3125,43.625,44.5,16908500
38,2000-02-28,44.5625,46.9375,44.5625,46.1875,17836100
39,2000-02-29,47.9375,49.75,47.9375,48.75,17197200
40,2000-03-01,49.875,50.0,47.5,49.0,10165800
41,2000-03-02,52.75,52.875,50.4375,50.5625,15542700
42,2000-03-03,52.125,53.3125,51.5,52.625,10790800
43,2000-03-06,52.625,52.6875,48.625,50.5,10493600
44,2000-03-07,49.625,49.625,47.125,47.5625,9724700
45,2000-03-08,47.3125,49.3125,45.625,48.3125,10018700
46,2000-03-09,49.0,49.4375,46.875,48.9375,7944900
47,2000-03-10,49.75,49.75,47.4375,47.9375,7005500
48,2000-03-13,46.25,47.9375,45.875,47.6875,7727900
49,2000-03-14,47.0,48.8125,46.3125,47.75,9985000
50,2000-03-15,47.4375,51.9375,46.5625,51.5,14670000
51,2000-03-16,52.3125,55.5625,51.625,54.625,19716000
52,2000-03-17,54.5625,56.25,54.125,55.75,12637300
53,2000-03-20,55.8125,55.8125,53.375,55.125,6769100
54,2000-03-21,55.4375,56.625,54.5,56.625,7854600
55,2000-03-22,56.5,56.5,54.0,55.375,9963500
56,2000-03-23,54.375,54.5625,53.5,54.0,7025500
57,2000-03-24,54.4375,55.6875,54.0,55.5,7952900
58,2000-03-27,54.6875,55.5,54.25,55.4375,5774900
59,2000-03-28,54.5625,55.9375,54.5,54.5,5797600
60,2000-03-29,55.5,59.375,55.4375,58.75,13596700
61,2000-03-30,59.75,60.75,58.875,59.0,11570800
62,2000-03-31,59.25,59.3125,55.5,56.5,9054000
63,2000-04-03,56.625,62.0,56.625,61.1875,11935700
64,2000-04-04,61.6875,63.3125,57.5,60.0,13675800
65,2000-04-05,59.3125,60.125,57.5625,58.25,7066000
66,2000-04-06,59.125,61.25,58.75,61.125,7254200
67,2000-04-07,61.25,62.0,60.625,61.5,4013100
68,2000-04-10,61.5,63.6875,61.0,63.5625,5521000
69,2000-04-11,62.875,63.5,61.5,63.375,5355400
70,2000-04-12,63.4375,64.9375,62.0625,62.4375,7243300
71,2000-04-13,62.3125,62.3125,59.5,60.0625,7884500
72,2000-04-14,58.0,58.9375,55.0,55.0,9372700
73,2000-04-17,55.125,56.375,51.75,54.0,9660500
74,2000-04-18,54.0,56.3125,53.125,53.875,7661200
75,2000-04-19,54.125,55.5,53.75,54.9375,6255300
76,2000-04-20,55.125,57.9375,55.125,57.6875,6090400
77,2000-04-24,57.9375,60.625,57.5,58.875,5633700
78,2000-04-25,58.0625,60.75,57.5625,59.6875,6038300
79,2000-04-26,60.1875,60.75,58.3125,58.75,5202000
80,2000-04-27,57.625,58.4375,56.5,57.6875,5515000
81,2000-04-28,56.8125,57.3125,55.375,55.375,5012600
82,2000-05-01,56.375,58.8125,56.1875,57.9375,5109000
83,2000-05-02,57.3125,57.8125,56.6875,57.625,4821500
84,2000-05-03,54.25,54.5,52.75,53.4375,10457300
85,2000-05-04,53.9375,53.9375,50.4375,51.0,10766900
86,2000-05-05,50.1875,52.875,50.1875,51.3125,8640000
87,2000-05-08,51.25,52.375,49.5,52.375,7626100
88,2000-05-09,54.375,54.875,52.5,53.0,8888200
89,2000-05-10,53.4375,57.125,53.0,56.6875,11245300
90,2000-05-11,56.9375,57.0625,55.0,56.0,6105300
91,2000-05-12,55.75,57.1875,55.3125,56.8125,4371000
92,2000-05-15,56.25,57.3125,55.5,57.0,4272300
93,2000-05-16,57.4375,59.0625,57.1875,58.0,6378700
94,2000-05-17,56.6875,56.75,55.4375,56.375,4592300
95,2000-05-18,56.25,57.9375,56.1875,57.9375,4887900
96,2000-05-19,56.125,58.75,56.125,57.0625,6357700
97,2000-05-22,57.6875,57.6875,56.1875,57.375,4628100
98,2000-05-23,57.5625,58.375,56.8125,57.1875,4291000
99,2000-05-24,55.25,57.0,52.75,56.875,10341500
100,2000-05-25,55.8125,56.6875,54.0625,55.0,4619200
101,2000-05-26,54.25,55.0,53.125,54.0,3996400
102,2000-05-30,53.0625,54.125,52.6875,53.375,4352700
103,2000-05-31,54.875,60.0,54.5,57.625,7658900
104,2000-06-01,57.125,57.6875,56.25,57.0,4786400
105,2000-06-02,58.875,60.0625,58.0625,59.0625,7088100
106,2000-06-05,59.3125,59.75,58.75,59.3125,4360400
107,2000-06-06,58.8125,58.8125,57.75,58.25,4440100
108,2000-06-07,57.75,59.0625,57.75,57.875,3424600
109,2000-06-08,57.8125,58.0,56.3125,56.875,3993100
110,2000-06-09,57.4375,58.0,53.9375,54.0,7283100
111,2000-06-12,54.0,54.375,51.8125,52.75,8089200
112,2000-06-13,52.0625,55.0,51.625,55.0,7711700
113,2000-06-14,54.9375,55.6875,54.125,55.125,6686800
114,2000-06-15,55.0625,56.1875,54.8125,55.5,5682300
115,2000-06-16,54.75,56.125,53.25,53.875,9569700
116,2000-06-19,53.6875,55.0,52.8125,54.375,6001700
117,2000-06-20,54.25,54.6875,53.125,54.5,6063800
118,2000-06-21,54.5625,54.5625,53.375,53.9375,4287300
119,2000-06-22,53.0625,53.4375,51.875,52.5,5667800
120,2000-06-23,53.6875,54.4375,52.875,53.75,6269600
121,2000-06-26,54.1875,54.6875,53.75,53.75,3924700
122,2000-06-27,54.125,57.4375,53.75,56.8125,6554400
123,2000-06-28,56.5,57.1875,55.6875,55.984375,4824100
124,2000-06-29,55.3125,55.375,53.5625,54.125,5290900
125,2000-06-30,54.125,57.734375,54.0625,57.625,7622200
126,2000-07-03,57.25,57.375,56.125,56.875,2577300
127,2000-07-05,57.3125,57.9375,56.5625,57.0,5139800
128,2000-07-06,57.9375,58.4375,56.8125,57.5,5757800
129,2000-07-07,57.9375,62.0625,57.3125,61.5625,10513400
130,2000-07-10,61.375,62.9375,60.6875,61.25,8233700
131,2000-07-11,61.0625,62.75,60.8125,62.0,5897600
132,2000-07-12,62.0625,62.1875,60.625,61.0,5833600
133,2000-07-13,60.5,61.1875,59.125,59.125,4302600
134,2000-07-14,59.8125,60.9375,59.375,59.5,4184100
135,2000-07-17,60.3125,61.25,59.625,60.71875,4610700
136,2000-07-18,60.9375,61.125,59.75,60.0625,3592100
137,2000-07-19,60.1875,60.5,59.375,60.0,3736400
138,2000-07-20,59.9375,60.8125,59.5625,60.0,4986800
139,2000-07-21,60.3125,60.5,59.25,59.6875,3911000
140,2000-07-24,59.0,59.1875,57.1875,57.4375,5045800
141,2000-07-25,57.5,59.3125,57.3125,59.1875,4122000
142,2000-07-26,58.1875,60.125,58.1875,58.75,7322100
143,2000-07-27,59.375,60.3125,59.0,60.0625,4744800
144,2000-07-28,59.8125,59.9375,57.25,58.6875,5247600
145,2000-07-31,58.875,58.875,54.25,55.25,7534300
146,2000-08-01,54.0,54.9375,53.0,54.5,9055300
147,2000-08-02,54.5,55.0625,53.8125,54.0625,6734800
148,2000-08-03,56.5,56.5,53.4375,53.875,8229100
149,2000-08-04,54.0625,54.0625,52.75,52.9375,5842400
150,2000-08-07,53.125,55.9375,53.0,55.125,5605200
151,2000-08-08,56.4375,57.625,55.0625,57.625,5859800
152,2000-08-09,54.0625,54.75,52.9375,53.625,17750700
153,2000-08-10,53.125,53.25,50.6875,51.0,12380600
154,2000-08-11,51.4375,52.375,51.125,52.125,7534100
155,2000-08-14,52.25,53.0625,52.125,52.875,6032800
156,2000-08-15,51.875,52.5625,51.25,51.5625,7953000
157,2000-08-16,50.75,50.875,48.75,49.9375,13811000
158,2000-08-17,49.5625,50.4375,48.625,50.0,6799800
159,2000-08-18,49.6875,50.875,49.5625,50.875,7349300
160,2000-08-21,49.25,49.75,47.125,49.0,14148700
161,2000-08-22,49.0,50.0,48.5625,49.125,7610900
162,2000-08-23,49.75,50.1875,49.0625,49.125,6875700
163,2000-08-24,49.75,50.125,49.0,49.4375,4967300
164,2000-08-25,49.625,50.5,49.25,50.5,4877100
165,2000-08-28,50.0625,50.625,48.625,49.5,7003200
166,2000-08-29,49.5,49.9375,48.875,49.4375,5665100
167,2000-08-30,48.875,49.0,48.0,48.4375,8155500
168,2000-08-31,48.3125,48.75,47.125,47.625,12236200
169,2000-09-01,47.5625,49.125,47.375,48.75,7661500
170,2000-09-05,48.9375,50.1875,48.8125,49.75,8031000
171,2000-09-06,50.25,51.125,49.875,50.0,8310400
172,2000-09-07,51.1875,52.0625,50.5,51.0,8400600
173,2000-09-08,51.5,52.625,51.0,52.125,7380600
174,2000-09-11,52.75,54.75,52.6875,54.375,9844600
175,2000-09-12,53.5625,54.625,52.9375,54.0,6351100
176,2000-09-13,54.25,54.4375,53.0,53.875,4981600
177,2000-09-14,53.625,53.625,51.875,52.5,4711600
178,2000-09-15,52.3125,52.9375,51.4375,52.0,8109100
179,2000-09-18,51.0,52.6875,50.625,51.125,5211600
180,2000-09-19,50.625,50.875,49.25,49.875,8573700
181,2000-09-20,49.9375,50.0,48.0625,48.5,9882700
182,2000-09-21,48.6875,51.375,48.625,50.0,8645500
183,2000-09-22,51.9375,51.9375,49.5625,50.5,6726300
184,2000-09-25,50.625,50.6875,48.9375,49.0,5466000
185,2000-09-26,49.4375,49.4375,46.875,47.375,9409100
186,2000-09-27,47.625,48.375,47.125,48.125,7582800
187,2000-09-28,48.4375,49.875,48.0,48.5625,8137800
188,2000-09-29,48.5,49.5,48.0,48.125,7532900
189,2000-10-02,48.1875,48.625,45.4375,46.25,11174600
190,2000-10-03,46.1875,46.375,44.125,45.8125,16548400
191,2000-10-04,45.6875,47.875,45.5,46.125,11085200
192,2000-10-05,46.375,46.75,45.75,46.0625,8732500
193,2000-10-06,45.875,45.875,44.625,45.5,11160500
194,2000-10-09,45.6875,46.4375,45.125,45.125,6033800
195,2000-10-10,45.9375,46.6875,45.375,46.375,6683200
196,2000-10-11,46.125,46.375,44.875,45.3125,8390900
