,Date,Open,High,Low,Close,Volume
0,2000-01-03,43.625,44.75,38.75,41.96875,1290400
1,2000-01-04,40.90625,41.25,38.28125,38.28125,954400
2,2000-01-05,36.75,38.40625,33.5625,37.4375,1721400
3,2000-01-06,36.5,37.5625,33.3125,33.34375,1382600
4,2000-01-07,33.625,37.03125,33.5625,37.03125,1649600
5,2000-01-10,39.0,41.5,38.75,41.375,1045600
6,2000-01-11,41.625,41.8125,39.1875,39.78125,1550200
7,2000-01-12,38.875,42.5,38.8125,41.8125,1886600
8,2000-01-13,42.40625,42.9375,41.5,42.59375,950000
9,2000-01-14,43.1875,43.75,42.6875,43.125,4431400
10,2000-01-18,42.90625,45.75,42.0625,45.34375,4035800
11,2000-01-19,45.25,48.6875,43.875,47.3125,2596200
12,2000-01-20,48.875,51.0625,48.0625,49.625,1450200
13,2000-01-21,50.0625,51.9375,50.0,51.375,814400
14,2000-01-24,52.5625,53.5,45.5,45.6875,1438400
15,2000-01-25,47.5,52.5,46.3125,52.125,1692000
16,2000-01-26,51.875,56.0,51.5,52.5,1178800
17,2000-01-27,54.0,54.5,50.5625,53.0625,807400
18,2000-01-28,52.0,54.5,49.0,50.25,887600
19,2000-01-31,52.125,52.125,44.625,47.0625,2113600
20,2000-02-01,48.28125,53.6875,48.0625,52.5625,1959400
21,2000-02-02,53.3125,61.5,53.1875,60.0,2679200
22,2000-02-03,62.375,77.5,61.875,69.5,6435600
23,2000-02-04,72.75,75.25,69.125,71.65625,3233400
24,2000-02-07,74.5,76.25,70.09375,75.34375,1500800
25,2000-02-08,76.4375,78.25,71.25,71.40625,1926800
26,2000-02-09,71.9375,73.625,70.4375,71.5,1255400
27,2000-02-10,73.0,80.5,72.0,80.25,1963400
28,2000-02-11,81.625,84.0,77.25,80.15625,1842200
29,2000-02-14,82.0,90.875,81.375,90.875,3118400
30,2000-02-15,92.5625,93.0,87.0,89.875,1691000
31,2000-02-16,92.09375,99.0,91.0,95.5,1861400
32,2000-02-17,96.96875,97.5,92.0,95.0625,1369600
33,2000-02-18,95.0,95.25,82.0,84.46875,2107400
34,2000-02-22,87.0,89.75,75.5,84.40625,2660600
35,2000-02-23,85.0,85.5625,77.75,83.375,1414200
36,2000-02-24,82.5625,87.25,79.375,82.84375,1281400
37,2000-02-25,83.5,91.8125,83.125,87.9375,1405400
38,2000-02-28,89.25,90.0,82.625,86.375,779800
39,2000-02-29,87.125,95.25,87.125,93.9375,1203600
40,2000-03-01,94.25,100.25,94.25,99.09375,1311000
41,2000-03-02,99.71875,100.5,90.1875,90.3125,1242400
42,2000-03-03,95.25,98.210938,93.1875,96.5,945400
43,2000-03-06,96.8125,101.0,93.0,94.75,713200
44,2000-03-07,95.5625,95.5625,90.5,92.125,1001600
45,2000-03-08,92.75,93.5,84.25,92.5,1011600
46,2000-03-09,92.625,98.0,90.25,96.5,870200
47,2000-03-10,98.0,100.0,95.25,97.0,778000
48,2000-03-13,92.375,96.625,91.5,92.78125,811800
49,2000-03-14,95.75,96.1875,91.75,91.875,893600
50,2000-03-15,92.125,92.28125,77.125,81.5,2164000
51,2000-03-16,81.75,83.75,68.5,75.34375,2882200
52,2000-03-17,75.40625,80.625,74.4375,75.6875,1124000
53,2000-03-20,84.5,85.0,75.9375,76.84375,1334600
54,2000-03-21,78.375,82.0,71.1875,80.75,1472000
55,2000-03-22,84.0,86.3125,80.8125,86.0,1342000
56,2000-03-23,87.25,87.5625,82.8125,83.75,1022800
57,2000-03-24,84.5,90.5,83.15625,83.90625,938400
58,2000-03-27,84.5,85.75,80.28125,80.28125,649800
59,2000-03-28,81.75,82.0625,76.0,77.125,684800
