,Date,Open,High,Low,Close,Volume
0,2000-01-03,26.0625,26.0625,24.0,24.125,15300
1,2000-01-04,25.625,25.625,24.125,24.375,12300
2,2000-01-05,24.0,24.625,23.75,24.0,10200
3,2000-01-06,24.375,24.375,22.0,24.0,22500
4,2000-01-07,24.0,24.875,23.75,24.5,12600
5,2000-01-10,24.375,24.5,24.375,24.5,23000
6,2000-01-11,24.4375,24.5,22.75,23.625,17200
7,2000-01-12,23.5,24.625,23.5,24.5,9100
8,2000-01-13,24.25,24.5,23.625,23.625,12600
9,2000-01-14,23.5,24.625,22.5,22.5,21800
10,2000-01-18,22.5,23.875,22.5,23.75,10100
11,2000-01-19,23.75,24.25,23.625,24.0,16000
12,2000-01-20,24.25,25.125,23.875,25.0,16800
13,2000-01-21,24.375,24.625,24.3125,24.3125,28100
14,2000-01-24,24.3125,25.0,24.3125,24.375,18200
15,2000-01-25,24.5,24.625,23.375,23.75,41200
16,2000-01-26,24.125,24.375,23.9375,23.9375,7000
17,2000-01-27,23.875,23.875,23.625,23.75,9800
18,2000-01-28,23.0,24.875,23.0,24.75,22500
19,2000-01-31,24.625,24.9375,23.5,24.0,24500
20,2000-02-01,24.0,24.5,23.0,24.5,13000
21,2000-02-02,24.4375,24.4375,23.75,24.0,15000
22,2000-02-03,24.125,24.1875,23.875,24.0,14900
23,2000-02-04,24.0,24.0,23.375,23.6875,16700
24,2000-02-07,23.75,24.0,23.75,24.0,19800
25,2000-02-08,24.0,24.0,23.5,23.5,26000
26,2000-02-09,23.75,23.75,23.125,23.625,8200
27,2000-02-10,23.6875,23.6875,23.5,23.625,12500
28,2000-02-11,23.5,24.125,23.5,23.5625,14000
29,2000-02-14,23.625,23.625,22.875,23.25,30700
30,2000-02-15,23.25,23.25,21.625,21.625,12900
31,2000-02-16,22.4375,22.6875,21.625,21.625,30500
32,2000-02-17,21.75,23.375,21.3125,23.375,17200
33,2000-02-18,23.375,23.375,21.375,22.875,13700
34,2000-02-22,22.625,22.75,20.5,21.75,21200
35,2000-02-23,21.0,21.5,21.0,21.5,44400
36,2000-02-24,21.5,22.375,21.0,21.75,4000
37,2000-02-25,22.125,22.25,22.125,22.25,900
38,2000-02-28,22.25,22.25,21.0,21.375,9000
39,2000-02-29,21.0,21.25,20.5625,21.0,20000
40,2000-03-01,21.0,21.75,21.0,21.75,13400
41,2000-03-02,22.0,22.0,21.1875,21.375,15900
42,2000-03-03,21.375,21.8125,20.875,21.375,9500
43,2000-03-06,21.0,21.8125,21.0,21.75,8600
44,2000-03-07,22.0,22.375,21.0,21.0,10400
45,2000-03-08,21.0,21.5625,20.75,20.875,10900
46,2000-03-09,21.0,22.0,20.875,21.5,10400
47,2000-03-10,21.625,22.125,21.0,22.125,15600
48,2000-03-13,21.5,22.125,21.0,21.625,30300
49,2000-03-14,21.3125,21.625,20.5,20.5,13800
50,2000-03-15,20.375,20.6875,18.9375,20.4375,27100
51,2000-03-16,20.25,20.46875,19.25,20.125,24000
52,2000-03-17,19.03125,19.5,19.03125,19.5,14100
53,2000-03-20,19.625,21.125,19.625,21.0,8100
54,2000-03-21,21.25,21.25,20.875,21.25,10000
55,2000-03-22,20.75,21.5,20.75,20.75,17100
56,2000-03-23,20.75,21.625,20.75,21.625,13500
57,2000-03-24,21.0,21.625,20.75,21.5625,12200
58,2000-03-27,21.25,21.5,21.0,21.0,17400
59,2000-03-28,21.0,21.0,20.25,20.625,15600
60,2000-03-29,20.8125,20.8125,20.25,20.5,21000
61,2000-03-30,20.53125,20.75,20.125,20.5,37900
62,2000-03-31,20.375,20.8125,18.875,19.3125,55700
63,2000-04-03,20.125,20.125,19.0,20.0,56900
64,2000-04-04,20.25,23.0,20.25,22.8125,59900
65,2000-04-05,22.25,22.625,19.5,21.875,72700
66,2000-04-06,21.625,21.75,19.25,21.5,49100
67,2000-04-07,21.5,22.25,21.5,22.0,31100
68,2000-04-10,21.0,21.75,20.25,20.5,21900
69,2000-04-11,20.25,22.25,20.25,22.25,19900
70,2000-04-12,22.25,22.875,21.0,22.0,23400
71,2000-04-13,21.875,22.9375,21.875,22.5,28100
72,2000-04-14,21.75,22.5,21.5,22.5,22500
73,2000-04-17,22.0,22.875,21.25,22.75,28600
74,2000-04-18,21.5,22.5625,21.5,22.5,20500
75,2000-04-19,21.8125,22.0,21.25,21.75,22100
76,2000-04-20,21.75,22.0,21.25,22.0,35400
77,2000-04-24,21.25,22.0,21.25,21.75,20700
78,2000-04-25,21.25,22.0,21.25,22.0,18200
79,2000-04-26,21.5,22.25,21.5,22.0,26600
80,2000-04-27,21.75,22.5,21.75,22.0,22900
81,2000-04-28,22.5,22.75,22.0,22.75,23200
82,2000-05-01,22.6875,23.0,22.5,23.0,28000
83,2000-05-02,23.0,23.0,22.5,22.75,20400
84,2000-05-03,22.46875,23.0,22.375,22.75,19300
85,2000-05-04,22.75,22.875,22.75,22.875,500
86,2000-05-05,23.0,23.5,22.9375,23.0,35900
87,2000-05-08,22.9375,23.5,22.9375,22.9375,34200
88,2000-05-09,22.9375,23.875,22.5,23.875,19900
89,2000-05-10,23.0,23.5,22.0,23.5,13700
90,2000-05-11,22.25,23.5,22.0,23.125,25300
91,2000-05-12,22.9375,23.125,22.75,22.9375,52900
92,2000-05-15,22.9375,23.5,22.875,23.5,21600
93,2000-05-16,22.75,23.375,22.625,22.75,32400
94,2000-05-17,22.875,23.5,22.0,23.5,43000
95,2000-05-18,22.5,23.0,22.5,22.9375,10000
