,Date,Open,High,Low,Close,Volume
0,2000-01-03,32.75,32.9375,31.5,31.8125,494100
1,2000-01-04,30.8125,31.5625,30.125,30.625,1202500
2,2000-01-05,30.875,31.1875,30.0,30.9375,1464500
3,2000-01-06,31.1875,31.625,30.4375,31.125,675000
4,2000-01-07,32.9375,32.9375,31.5625,31.9375,904600
5,2000-01-10,31.875,32.25,31.375,31.6875,704700
6,2000-01-11,31.6875,32.0,31.0625,31.1875,501200
7,2000-01-12,31.0625,31.375,30.0625,30.1875,461400
8,2000-01-13,31.375,32.3125,30.75,31.5,691900
9,2000-01-14,31.5625,32.25,30.6875,30.875,737400
10,2000-01-18,30.625,30.625,28.5,28.8125,958000
11,2000-01-19,29.8125,29.9375,28.75,28.9375,1007100
12,2000-01-20,29.0,29.0,27.5,28.0,522700
13,2000-01-21,27.875,27.875,27.0,27.125,657500
14,2000-01-24,27.5,28.0625,25.9375,26.1875,792500
15,2000-01-25,26.375,26.8125,25.75,26.5,811100
16,2000-01-26,26.25,26.3125,25.25,25.5625,907400
17,2000-01-27,25.8125,26.6875,25.8125,26.3125,520700
18,2000-01-28,26.6875,27.125,25.5,25.5625,465800
19,2000-01-31,25.5,25.5625,24.5625,24.875,354000
20,2000-02-01,25.0,25.5625,24.8125,24.875,777200
21,2000-02-02,25.0,25.1875,24.8125,24.8125,624100
22,2000-02-03,24.8125,24.9375,24.1875,24.4375,586800
23,2000-02-04,24.3125,24.9375,24.125,24.3125,420000
24,2000-02-07,24.125,24.1875,22.9375,23.875,853500
25,2000-02-08,24.125,24.4375,23.625,23.8125,578800
26,2000-02-09,24.25,24.5,23.75,23.75,1013500
27,2000-02-10,23.875,23.875,22.625,23.0625,812900
28,2000-02-11,23.5625,23.5625,22.875,22.9375,1786900
29,2000-02-14,23.125,23.875,22.875,23.5,858300
30,2000-02-15,23.375,25.25,23.375,24.6875,1066300
31,2000-02-16,25.125,25.5,24.625,25.125,746900
32,2000-02-17,24.875,25.1875,24.25,24.25,838500
33,2000-02-18,23.5,24.0,23.1875,23.375,646300
34,2000-02-22,23.375,23.875,22.8125,23.6875,876800
35,2000-02-23,23.75,24.0,23.0625,23.0625,404000
36,2000-02-24,23.5625,23.5625,22.25,22.5,637500
37,2000-02-25,22.625,22.6875,21.3125,21.625,1133900
38,2000-02-28,21.75,22.375,21.4375,22.0,892500
39,2000-02-29,22.0,22.25,21.3125,21.875,689800
40,2000-03-01,21.625,21.8125,21.4375,21.4375,750100
41,2000-03-02,21.5,21.875,21.4375,21.4375,621000
42,2000-03-03,22.0,23.5625,21.625,22.1875,627700
43,2000-03-06,22.1875,22.25,21.125,21.3125,485700
44,2000-03-07,21.25,21.4375,20.6875,20.6875,768100
45,2000-03-08,20.75,21.4375,20.625,20.9375,630900
46,2000-03-09,21.1875,21.5625,21.0,21.3125,551400
47,2000-03-10,21.5625,22.1875,21.4375,21.75,610400
48,2000-03-13,21.5,22.0,21.25,21.4375,378700
49,2000-03-14,21.375,22.125,21.3125,21.5,1068900
50,2000-03-15,21.5,23.5625,21.4375,23.375,998600
51,2000-03-16,24.75,25.5625,23.75,24.25,1511000
52,2000-03-17,23.75,24.4375,23.25,23.25,611100
53,2000-03-20,23.375,23.75,23.125,23.25,683100
54,2000-03-21,23.0,24.375,22.875,23.9375,701500
