,Date,Open,High,Low,Close,Volume
0,2000-01-03,25.930555,26.0,24.777779,25.027779,1055700
1,2000-01-04,25.027779,25.166668,23.0,24.666668,522450
2,2000-01-05,23.569445,25.222221,23.555555,25.138889,612225
3,2000-01-06,24.819445,24.819445,23.722221,23.777779,263925
4,2000-01-07,23.666668,24.055555,23.111111,23.513889,333900
5,2000-01-10,23.444445,25.0,23.444445,24.305555,325800
6,2000-01-11,24.194445,24.777779,24.0,24.472221,317925
7,2000-01-12,24.333332,24.555555,23.611111,23.861111,512775
8,2000-01-13,24.388889,24.444445,23.333332,23.944445,397575
9,2000-01-14,23.944445,26.777779,23.777779,26.638889,1008900
10,2000-01-18,26.5,26.888889,25.694445,26.472221,630675
11,2000-01-19,26.458332,26.666668,26.0,26.305555,277650
12,2000-01-20,26.444445,27.916668,26.277779,27.222221,1087875
13,2000-01-21,27.444445,27.944445,27.222221,27.944445,298350
14,2000-01-24,27.944445,28.833332,27.777779,28.027779,388350
15,2000-01-25,28.0,28.222221,27.277779,27.597221,1076625
16,2000-01-26,27.763889,27.833332,27.416668,27.5,1212750
17,2000-01-27,27.222221,28.666668,27.222221,28.055555,486450
18,2000-01-28,28.027779,28.361111,27.5,27.583332,479700
19,2000-01-31,27.583332,28.305555,25.444445,26.305555,336825
20,2000-02-01,26.638889,27.361111,26.0,26.472221,360225
21,2000-02-02,26.444445,26.833332,25.388889,26.263889,494775
22,2000-02-03,26.263889,30.5,26.166668,28.888889,1344600
23,2000-02-04,29.888889,30.5,29.111111,29.416668,640125
24,2000-02-07,29.527779,30.222221,29.277779,29.888889,470250
25,2000-02-08,29.777779,31.055555,29.694445,30.25,632925
26,2000-02-09,30.25,30.611111,29.972221,29.972221,328500
27,2000-02-10,30.25,30.583332,29.333332,29.916668,371700
28,2000-02-11,29.361111,29.722221,28.833332,29.0,582525
29,2000-02-14,29.111111,30.0,28.75,29.652779,297000
30,2000-02-15,29.666668,30.777779,29.555555,29.722221,439875
31,2000-02-16,30.055555,31.5,29.444445,30.944445,295875
32,2000-02-17,31.388889,31.5,26.666668,26.944445,4403700
33,2000-02-18,27.083332,27.5,26.111111,26.833332,1025550
34,2000-02-22,27.208332,27.222221,25.0,25.083332,1654875
35,2000-02-23,25.5,27.861111,25.083332,27.833332,1073925
36,2000-02-24,28.0,28.388889,27.777779,28.166668,425475
37,2000-02-25,28.166668,28.166668,27.777779,28.013889,307350
38,2000-02-28,28.013889,28.444445,27.666668,28.333332,443025
39,2000-02-29,28.111111,29.888889,28.111111,29.583332,534600
40,2000-03-01,29.861111,30.222221,28.444445,29.777779,273150
41,2000-03-02,29.013889,29.666668,29.0,29.361111,276300
42,2000-03-03,29.194445,29.777779,28.888889,29.638889,543150
43,2000-03-06,29.694445,30.111111,29.277779,29.555555,245700
44,2000-03-07,29.555555,31.138889,29.055555,29.388889,497250
45,2000-03-08,29.333332,29.333332,27.805555,28.5,342225
46,2000-03-09,28.472221,28.888889,28.222221,28.5,266850
47,2000-03-10,28.888889,29.166668,27.888889,27.972221,283500
48,2000-03-13,27.888889,28.277779,26.444445,26.944445,257625
49,2000-03-14,26.861111,27.583332,26.722221,26.833332,305325
50,2000-03-15,27.166668,27.166668,22.527779,25.138889,1178325
51,2000-03-16,24.666668,25.138889,19.444445,20.666668,2797875
52,2000-03-17,21.166668,21.5,17.694445,19.486111,5892525
53,2000-03-20,20.0,22.111111,20.0,20.0,1626075
54,2000-03-21,20.388889,22.333332,20.333332,22.069445,1817325
55,2000-03-22,19.777779,22.277779,19.555555,20.277779,6015600
56,2000-03-23,20.319445,21.055555,20.0,20.5,1671750
57,2000-03-24,21.416668,23.666668,21.333332,22.861111,1636425
58,2000-03-27,23.166668,23.555555,22.833332,23.333332,414225
59,2000-03-28,23.444445,23.444445,22.444445,22.694445,827775
60,2000-03-29,22.763889,22.833332,21.888889,22.25,754200
61,2000-03-30,22.111111,22.666668,21.333332,21.444445,401175
62,2000-03-31,22.0,22.694445,21.111111,22.222221,914400
63,2000-04-03,22.111111,22.388889,20.722221,21.305555,825300
64,2000-04-04,21.305555,21.972221,19.444445,21.055555,1282950
65,2000-04-05,20.666668,22.333332,20.611111,21.833332,1299375
66,2000-04-06,21.333332,24.208332,21.333332,23.555555,694800
67,2000-04-07,23.722221,24.111111,23.111111,24.055555,652500
68,2000-04-10,23.972221,24.111111,21.333332,22.333332,733950
69,2000-04-11,21.694445,22.166668,21.111111,21.777779,639675
70,2000-04-12,21.777779,21.833332,21.111111,21.138889,837000
71,2000-04-13,21.194445,21.638889,21.111111,21.166668,487800
72,2000-04-14,21.055555,21.055555,20.444445,20.527779,640350
73,2000-04-17,20.5,21.833332,20.222221,21.361111,829575
74,2000-04-18,21.722221,22.388889,21.333332,22.166668,711000
75,2000-04-19,22.277779,22.5,19.555555,20.638889,958050
76,2000-04-20,21.333332,25.333332,21.333332,24.25,2139075
77,2000-04-24,23.5,24.611111,22.5,24.166668,780300
78,2000-04-25,24.555555,25.777779,24.5,25.694445,439200
79,2000-04-26,25.555555,25.777779,24.0,24.25,283050
80,2000-04-27,23.569445,25.333332,23.111111,25.166668,524025
81,2000-04-28,25.444445,25.805555,24.055555,25.333332,251550
82,2000-05-01,25.138889,25.777779,24.777779,25.5,246600
83,2000-05-02,25.472221,25.5,23.222221,23.305555,305325
84,2000-05-03,23.277779,24.222221,23.0,23.527779,490050
85,2000-05-04,23.555555,23.888889,23.277779,23.5,607275
86,2000-05-05,23.166668,24.333332,22.972221,24.25,186300
87,2000-05-08,24.333332,24.333332,22.388889,22.388889,384975
88,2000-05-09,22.777779,23.138889,21.055555,21.555555,404100
89,2000-05-10,21.5,21.611111,20.388889,21.166668,504225
90,2000-05-11,21.777779,23.777779,21.444445,23.333332,655875
91,2000-05-12,23.305555,24.0,23.194445,23.5,299700
92,2000-05-15,23.756945,23.777779,22.0,22.722221,369450
93,2000-05-16,22.694445,22.888889,22.111111,22.527779,470700
94,2000-05-17,22.486111,22.486111,22.0,22.305555,280350
95,2000-05-18,22.222221,22.444445,21.888889,22.166668,359325
96,2000-05-19,22.361111,22.361111,21.111111,21.361111,233550
97,2000-05-22,21.444445,22.444445,20.777779,22.444445,394650
98,2000-05-23,22.166668,22.333332,20.722221,20.833332,388125
99,2000-05-24,21.138889,22.555555,20.0,22.527779,957375
100,2000-05-25,22.5,22.611111,20.777779,20.833332,391050
101,2000-05-26,21.111111,21.777779,20.555555,20.833332,373725
102,2000-05-30,20.888889,21.694445,20.666668,21.694445,553275
103,2000-05-31,21.75,21.777779,21.055555,21.333332,699975
104,2000-06-01,21.361111,22.055555,21.361111,22.027779,335700
105,2000-06-02,22.138889,23.277779,22.138889,22.75,739125
106,2000-06-05,22.833332,23.388889,22.777779,23.229168,615375
107,2000-06-06,23.111111,23.416668,22.222221,22.319445,290700
108,2000-06-07,22.666668,23.888889,22.388889,23.888889,397350
109,2000-06-08,23.611111,24.111111,23.361111,23.5,390825
110,2000-06-09,23.583332,23.972221,23.444445,23.777779,119475
111,2000-06-12,23.638889,23.888889,22.694445,22.944445,719775
112,2000-06-13,22.111111,22.444445,21.111111,21.388889,1074375
113,2000-06-14,21.916668,22.055555,20.888889,20.944445,825300
114,2000-06-15,20.902779,20.944445,19.888889,20.472221,2140425
115,2000-06-16,20.652779,20.861111,19.833332,20.166668,825300
116,2000-06-19,20.152779,20.166668,19.555555,19.805555,1006425
117,2000-06-20,19.805555,21.166668,19.777779,20.888889,1842300
118,2000-06-21,20.555555,21.111111,20.555555,20.666668,985725
119,2000-06-22,20.75,20.833332,20.222221,20.277779,1223100
120,2000-06-23,20.319445,20.319445,19.333332,19.416668,540450
121,2000-06-26,19.5,19.583332,19.0,19.166668,839700
122,2000-06-27,19.138889,19.611111,18.722221,19.555555,882450
123,2000-06-28,19.444445,20.083332,19.444445,20.055555,852975
124,2000-06-29,19.805555,20.111111,19.777779,19.972221,403875
125,2000-06-30,19.986111,20.0,18.833332,19.694445,2342250
126,2000-07-03,19.611111,19.777779,19.222221,19.222221,175050
127,2000-07-05,19.361111,19.444445,18.972221,19.444445,702450
128,2000-07-06,19.361111,20.555555,19.055555,20.333332,877950
129,2000-07-07,20.444445,20.944445,20.361111,20.833332,605025
130,2000-07-10,20.75,21.111111,20.277779,20.638889,586800
131,2000-07-11,20.638889,20.666668,19.944445,20.277779,265950
132,2000-07-12,20.472221,20.472221,19.111111,20.222221,888975
133,2000-07-13,20.305555,20.305555,19.722221,19.972221,482850
134,2000-07-14,19.916668,20.055555,19.444445,19.833332,627750
135,2000-07-17,20.041668,20.055555,19.555555,20.027779,214200
136,2000-07-18,20.041668,20.055555,18.611111,18.638889,755325
137,2000-07-19,18.833332,20.527779,18.8125,19.333332,1177425
138,2000-07-20,20.555555,23.75,20.527779,23.75,2600550
139,2000-07-21,22.847221,22.916668,21.722221,22.166668,1132650
140,2000-07-24,22.277779,22.5,21.833332,22.222221,598500
141,2000-07-25,22.416668,22.666668,21.388889,21.861111,425475
142,2000-07-26,22.041668,22.277779,21.777779,22.222221,819900
143,2000-07-27,22.333332,23.0,21.833332,21.944445,791325
144,2000-07-28,21.722221,21.791668,20.666668,21.444445,286200
145,2000-07-31,21.444445,22.888889,21.111111,22.694445,402075
146,2000-08-01,22.430555,22.555555,21.944445,22.277779,574200
147,2000-08-02,22.222221,22.583332,21.944445,22.222221,247950
148,2000-08-03,21.916668,22.666668,21.611111,22.638889,267750
149,2000-08-04,22.652779,23.444445,22.416668,23.333332,307350
150,2000-08-07,23.208332,23.666668,23.055555,23.472221,166500
151,2000-08-08,23.388889,23.5,22.666668,23.25,266850
152,2000-08-09,23.416668,23.5,22.5,23.027779,104850
153,2000-08-10,22.972221,23.222221,22.444445,22.444445,94500
154,2000-08-11,22.777779,23.111111,22.527779,23.111111,123300
155,2000-08-14,22.583332,23.666668,22.583332,23.555555,250875
156,2000-08-15,23.138889,23.444445,22.888889,23.055555,191250
157,2000-08-16,22.916668,23.277779,22.333332,22.666668,282150
158,2000-08-17,22.222221,23.111111,22.166668,23.0,187875
159,2000-08-18,22.944445,23.638889,22.944445,23.277779,322200
160,2000-08-21,23.333332,23.333332,23.0,23.111111,217575
161,2000-08-22,23.0,23.027779,22.305555,22.777779,305325
162,2000-08-23,22.666668,22.694445,22.277779,22.416668,171450
163,2000-08-24,22.416668,22.944445,22.222221,22.333332,238725
164,2000-08-25,22.513889,22.513889,22.083332,22.25,356400
165,2000-08-28,22.208332,23.055555,22.166668,22.972221,172350
166,2000-08-29,22.861111,23.666668,22.861111,23.416668,263250
167,2000-08-30,23.222221,23.5,23.0,23.388889,340200
168,2000-08-31,23.416668,24.277779,22.777779,24.0,636525
169,2000-09-01,24.138889,24.333332,23.361111,23.666668,259875
170,2000-09-05,23.583332,23.638889,23.222221,23.222221,603225
171,2000-09-06,23.5,23.5,22.361111,22.777779,138150
172,2000-09-07,22.75,23.333332,22.75,23.055555,407250
173,2000-09-08,22.888889,23.0,22.666668,22.75,339750
174,2000-09-11,22.833332,22.833332,22.166668,22.25,303750
175,2000-09-12,22.333332,22.388889,22.111111,22.222221,306900
176,2000-09-13,22.0,22.166668,20.388889,20.555555,713250
177,2000-09-14,21.055555,21.416668,20.444445,20.916668,976725
178,2000-09-15,20.611111,21.194445,20.611111,21.0,653175
179,2000-09-18,21.055555,21.111111,19.5,20.333332,827325
180,2000-09-19,20.625,21.666668,20.611111,21.277779,468900
181,2000-09-20,21.138889,21.416668,20.222221,20.388889,758250
182,2000-09-21,20.513889,20.805555,20.25,20.361111,191925
183,2000-09-22,20.041668,20.333332,19.555555,20.166668,175050
184,2000-09-25,20.361111,20.777779,19.777779,19.888889,231750
185,2000-09-26,20.083332,20.805555,19.722221,20.5,378000
186,2000-09-27,20.736111,20.888889,19.444445,19.666668,436500
187,2000-09-28,19.638889,21.25,19.611111,21.25,573975
188,2000-09-29,21.083332,21.583332,20.111111,21.361111,744975
189,2000-10-02,21.194445,21.333332,19.583332,19.694445,428175
190,2000-10-03,19.722221,20.222221,19.638889,19.638889,392625
191,2000-10-04,19.777779,20.0,18.583332,18.916668,1480050
192,2000-10-05,18.965279,19.611111,18.666668,18.805555,517950
193,2000-10-06,18.9375,19.111111,17.888889,17.972221,722250
194,2000-10-09,18.111111,18.111111,17.527779,17.694445,720225
195,2000-10-10,17.777779,19.0,17.583332,18.277779,309825
196,2000-10-11,18.222221,18.277779,17.388889,17.805555,427050
197,2000-10-12,17.826389,18.5,17.805555,18.194445,1012275
198,2000-10-13,18.090279,20.770832,18.083332,20.472221,378225
199,2000-10-16,20.472221,20.722221,19.694445,19.805555,414900
200,2000-10-17,20.0625,20.222221,18.666668,18.729168,325800
201,2000-10-18,18.25,19.666668,17.777779,19.388889,551250
202,2000-10-19,19.944445,20.833332,17.444445,19.166668,1825650
203,2000-10-20,17.263889,19.0,16.888889,18.833332,2520450
204,2000-10-23,18.291668,18.416668,17.722221,18.0,1042425
205,2000-10-24,18.034721,18.083332,17.333332,17.666668,586575
206,2000-10-25,17.694445,18.0,16.944445,17.305555,549900
207,2000-10-26,17.527779,17.611111,17.0,17.340279,438525
208,2000-10-27,17.229168,17.611111,17.166668,17.333332,454725
209,2000-10-30,17.381945,17.611111,17.277779,17.583332,819900
210,2000-10-31,17.805555,19.694445,17.722221,19.472221,955350
211,2000-11-01,19.138889,19.305555,18.527779,18.611111,422775
212,2000-11-02,18.784721,19.222221,18.784721,19.027779,462375
213,2000-11-03,19.166668,20.194445,18.916668,20.194445,352125
