,Date,Open,High,Low,Close,Volume
0,2000-01-03,59.03125,59.125,53.4375,55.5,1199600
1,2000-01-04,54.625,55.0,52.5,52.8125,816100
2,2000-01-05,52.75,53.25,51.0625,52.75,1124700
3,2000-01-06,52.75,54.9375,52.375,53.5,1112100
4,2000-01-07,53.75,54.25,53.3125,53.625,782000
5,2000-01-10,53.6875,53.75,51.5,52.65625,408800
6,2000-01-11,52.6875,53.0,49.875,49.875,987800
7,2000-01-12,50.5,50.75,49.0,50.3125,794300
8,2000-01-13,51.0625,55.5,51.0,54.6875,458700
9,2000-01-14,56.0,56.75,54.9375,55.625,596500
10,2000-01-18,55.625,56.125,52.75,52.8125,476800
11,2000-01-19,52.75,54.625,52.625,53.375,310400
12,2000-01-20,54.125,54.125,51.9375,52.4375,368200
13,2000-01-21,53.125,53.3125,50.28125,52.875,448900
14,2000-01-24,53.5,54.25,51.375,52.0,573000
15,2000-01-25,51.8125,53.875,51.375,53.6875,497200
16,2000-01-26,54.0,54.21875,52.5625,53.5625,541500
17,2000-01-27,53.75,58.625,53.625,57.75,967300
18,2000-01-28,57.25,57.25,54.875,56.125,801400
19,2000-01-31,56.1875,59.3125,56.125,59.125,440500
20,2000-02-01,58.875,60.0,58.5625,59.75,730800
21,2000-02-02,59.5,59.5625,58.5625,58.625,655400
22,2000-02-03,58.5625,59.5,57.125,57.9375,297300
23,2000-02-04,57.875,58.125,55.0,55.3125,240400
24,2000-02-07,55.375,55.75,53.875,55.25,384300
25,2000-02-08,55.0625,58.4375,55.0,58.0625,366000
26,2000-02-09,58.5625,58.6875,54.0,55.125,935800
27,2000-02-10,55.4375,56.5,54.75,54.9375,362500
28,2000-02-11,55.4375,56.0,54.5,54.6875,448800
29,2000-02-14,54.6875,55.234375,54.0625,54.125,199400
30,2000-02-15,54.375,55.5,53.5625,54.8125,412600
31,2000-02-16,54.75,54.8125,54.25,54.5625,233900
32,2000-02-17,54.75,55.75,54.0625,55.03125,439500
33,2000-02-18,55.0,55.125,49.625,49.875,1174700
34,2000-02-22,50.0625,51.1875,48.875,51.125,706100
35,2000-02-23,51.0625,51.25,49.3125,50.625,433000
36,2000-02-24,50.78125,51.5625,50.4375,50.875,821900
37,2000-02-25,50.875,50.875,49.875,50.0,338300
38,2000-02-28,49.96875,52.65625,49.6875,51.5,1029200
39,2000-02-29,51.75,53.25,51.0,53.0625,415700
40,2000-03-01,53.0,53.1875,50.5,50.6875,786900
41,2000-03-02,50.6875,52.25,50.6875,51.4375,423300
42,2000-03-03,51.25,51.40625,32.0,38.8125,14244100
43,2000-03-06,39.25,42.375,37.125,41.5625,3842200
44,2000-03-07,41.875,41.875,39.125,39.8125,1162600
45,2000-03-08,40.5625,40.5625,36.5,37.4375,1449300
46,2000-03-09,37.1875,37.625,36.375,36.875,862200
47,2000-03-10,36.9375,39.75,36.0625,37.25,822100
48,2000-03-13,37.875,38.9375,37.625,37.96875,1970600
49,2000-03-14,38.34375,38.625,36.0,36.4375,536200
50,2000-03-15,36.75,39.5,36.6875,38.75,832300
51,2000-03-16,39.625,41.875,39.5625,41.375,1168300
52,2000-03-17,40.5,42.9375,40.375,40.9375,1010300
53,2000-03-20,41.0,41.25,39.3125,39.3125,542200
54,2000-03-21,39.25,42.625,38.625,42.25,511800
55,2000-03-22,42.0,44.34375,42.0,42.0625,529200
56,2000-03-23,41.75,44.0,41.5,44.0,673600
57,2000-03-24,43.75,44.0,42.0,42.5625,579300
58,2000-03-27,42.59375,42.6875,38.8125,39.4375,900300
59,2000-03-28,39.375,41.3125,38.875,39.75,796100
60,2000-03-29,39.6875,40.875,38.875,39.515625,876000
61,2000-03-30,39.5625,41.0625,38.3125,38.3125,1151400
62,2000-03-31,38.875,43.0,38.625,41.625,1414100
63,2000-04-03,44.109375,44.25,38.5625,40.0,3809900
64,2000-04-04,41.5,43.75,40.75,41.625,2188000
